下一轮序号,下一轮建议状态,组级核验动作,家庭讨论优先级,院校代码,院校名称,院校专业组代码,城市,冲稳保,历史线索分层,专业明细行数,优先了解专业数,可调剂了解专业数,待核后判断专业数,不能接受提示专业数,特殊限制专业数,高费或中外合作提示数,医学护理动物兽医提示数,农林园艺提示数,字段缺口专业数,100%核验专业数,建议放入6专业讨论专业数,可服从调剂初判,组内调剂判断状态,调剂风险摘要,家庭先决策问题,家庭逐专业填写说明,入选理由,下一步核验动作,是否可作为定稿依据,来源页码,版面列,第四轮候选ID
11,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,K354,曲靖师范学院,K35405,曲靖市,稳妥观察,H2-历史最高线不高于等位分,6,2,4,0,0,0,0,0,0,6,0,2,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×6,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络1；师范1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,220,left,R4GROUP-bc6df0b4dd63b190
12,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,H375,赣东学院,H37503,抚州市,稳妥观察,H2-历史最高线不高于等位分,7,2,5,0,0,0,0,0,0,7,1,2,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×7,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,161,right,R4GROUP-a7a53ab0f4e20447
13,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,K005,琼台师范学院,K00505,海口市,稳妥观察,H2-历史最高线不高于等位分,8,2,0,6,0,6,0,0,0,8,7,2,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×8,体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI3；计算机类3；电子信息/网络1；师范1；有6个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,202,left,R4GROUP-43251e7bdb31e3d9
14,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,F189,保定学院,F18905,保定市,稳妥观察,H2-历史最高线不高于等位分,4,3,1,0,0,0,0,0,0,4,4,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×4,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络1；师范2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,101,right,R4GROUP-b7e335896d03679f
15,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,F348,山西电子科技学院,F34801,临汾市,稳妥观察,H2-历史最高线不高于等位分,5,2,3,0,0,0,0,0,0,5,1,2,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×5,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,110,right,R4GROUP-63e7de6cd453c519
16,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,K272,六盘水师范学院,K27203,六盘水市,稳妥观察,H2-历史最高线不高于等位分,4,3,1,0,0,0,0,0,0,3,0,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×4,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；电子信息/网络1；师范2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,216,left,R4GROUP-9fcb67becaf3ef14
17,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,K757,新疆工程学院,K75703,乌鲁木齐市,稳妥观察,H2-历史最高线不高于等位分,2,1,1,0,0,0,0,0,0,1,0,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×2,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；电子信息/网络2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,236,left,R4GROUP-89cf9bcbf473967f
18,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,H901,河池学院,H90105,河池市,稳妥观察,H2-历史最高线不高于等位分,2,0,0,2,0,2,0,0,0,2,1,0,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×2,体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络1；师范1；有2个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,197,left,R4GROUP-3647cf6fb3b88ac1
19,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,C127,湖北工程学院,C12708,孝感市,稳妥观察,H2-历史最高线不高于等位分,3,1,2,0,0,0,0,0,0,1,3,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×3,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,74,right,R4GROUP-3d290a431cb6510e
20,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,F200,河北科技师范学院,F20002,秦皇岛市,稳妥观察,H2-历史最高线不高于等位分,4,2,2,0,0,0,0,0,0,3,1,2,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×4,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI2；计算机类2；电子信息/网络1；机械自动化1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,103,right,R4GROUP-abc6b0c3be579ab0
21,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,C151,汉江师范学院,C15108,十堰市,稳妥观察,H2-历史最高线不高于等位分,7,5,0,2,0,2,0,0,0,7,0,5,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×7,体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；师范7；有2个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,81,left,R4GROUP-5f8b2212333cd246
22,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P1-稳妥主力讨论,K347,云南农业大学,K34707,昆明市,稳妥观察,H2-历史最高线不高于等位分,5,1,4,0,0,0,0,0,0,4,0,1,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×5,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；机械自动化1；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,218,right,R4GROUP-7d2040383de1f7af
23,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,K473,宝鸡文理学院,K47302,宝鸡市,稳妥观察,H2-历史最高线不高于等位分,4,1,2,1,0,1,0,0,0,4,2,1,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×4,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；计算机/软件/AI1；计算机类1；电子信息/网络1；师范2；机械自动化1；有1个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,225,left,R4GROUP-0f82c426b7390702
24,可讨论但先看调剂,先判断是否能接受组内非偏好专业调剂，再决定是否投入核页时间。,P1-稳妥主力讨论,C138,湖北理工学院,C13811,黄石市,稳妥观察,H2-历史最高线不高于等位分,4,0,4,0,0,0,0,0,0,3,0,0,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×4,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；电子信息/网络2；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,79,right,R4GROUP-068169280809c9a7
25,可讨论但先看调剂,先判断是否能接受组内非偏好专业调剂，再决定是否投入核页时间。,P1-稳妥主力讨论,C127,湖北工程学院,C12707,孝感市,稳妥观察,H2-历史最高线不高于等位分,4,0,4,0,0,0,0,0,0,3,0,0,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×4,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳妥观察；H2-历史最高线不高于等位分；电子信息/网络3；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,74,right,R4GROUP-ae6b9c4afaf15a02
26,先核限制后讨论,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,P1-先核限制费用,H135,淮南师范学院,H13502,淮南市,稳冲观察,H3-历史最高线高于等位分15分内,18,9,7,2,0,2,0,0,0,15,1,9,待核后再判断,存在待核后判断专业，需先核限制/字段再判断调剂,组内有特殊限制待核，服从调剂前需核完整专业组×18,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；电子信息/网络4；师范6；工商旅游管理1；有2个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,146,left,R4GROUP-50a8956cdf247800
27,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P2-稳冲择优讨论,A207,北方民族大学,A20711,银川市,稳冲观察,H3-历史最高线高于等位分15分内,12,4,8,0,0,0,0,0,0,11,0,4,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×12,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；电子信息/网络3；机械自动化4；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,58,left,R4GROUP-85aaddf9b2320037
28,先核页后讨论,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,P0-先核页,H450,山东工商学院,H45004,烟台市,稳冲观察,H3-历史最高线高于等位分15分内,16,4,12,0,0,0,0,0,0,16,2,4,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,组内专业较多，需逐条确认调剂接受度×16,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；数字媒体技术1；计算机/软件/AI3；计算机类3；电子信息/网络4；机械自动化2；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,169,right,R4GROUP-c391e381654f3d11
29,优先家庭讨论,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,P2-稳冲择优讨论,F311,太原工业学院,F31102,太原市,稳冲观察,H3-历史最高线高于等位分15分内,10,3,7,0,0,0,0,0,0,10,9,3,可讨论服从调剂,可进入调剂讨论，但需确认勉强接受专业是否真能接受,暂未见硬排除项，但仍需原页/章程闭环×10,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,逐专业只填：可接受、勉强接受、不能接受、待核后判断；全组无不能接受且待核项闭环后，才讨论服从调剂。,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI3；计算机类3；电子信息/网络1；机械自动化4；公办普通学费主线且未进入H0/H5附录,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,false,109,right,R4GROUP-c98d65af99b45fd0
