核验包序号,页码版面键,来源页码,版面列,执行泳道,人工核验批次,页列任务数,涉及院校数,涉及专业组数,涉及专业行数,字段范围摘要,冲突状态摘要,PDFOCR提示任务数,机器坐标提示任务数,高校辅证线索任务数,无候选需看图任务数,双人复核任务数,PDF原页状态,湖北官方状态,高校辅证状态,字段写回状态,公开核验动作,私有填写内容,完成条件,下一步
11,023-left,23,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,1,1,1,1,专业计划数×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
12,040-right,40,right,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,1,1,1,1,专业计划数×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
13,043-left,43,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,1,1,1,1,专业计划数×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
14,053-right,53,right,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,1,1,1,1,学费×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
15,093-left,93,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,1,1,1,1,学费×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
16,141-left,141,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,1,1,1,1,学费×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
17,205-left,205,left,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,1,1,1,1,学费×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
18,235-right,235,right,E0-冲突异常双人优先核验,B1-E0冲突异常双人核页,1,1,1,1,专业计划数×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先双人回看PDF原页，核专业行归属、计划数/学费/选科；再查湖北官方侧；最后用高校官网解释差异。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,同一页列冲突字段完成PDF原页读数、湖北官方侧字段值、高校辅证复核和第二人复核，仍不自动写回。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
19,226-left,226,left,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,39,2,2,20,专业计划数；学费；再选科目×19；专业计划数×19；学费；再选科目×1,H2-已有PDFOCR候选×19；H1-原缺PDFOCR但有机器坐标候选×13；H4-无候选需人工看图×6；H0-PDFOCR与高校辅证冲突×1,20,13,19,7,5,pending_private_pdf_reading×39,pending_private_hubei_reading×39,pending_private_school_reading×39,blocked_until_required_private_readings_complete×39,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
20,109-left,109,left,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,8,1,1,4,专业计划数×4；专业计划数；学费；再选科目×2；专业计划数；学费×2,H2-已有PDFOCR候选×4；H4-无候选需人工看图×4,4,0,4,4,2,pending_private_pdf_reading×8,pending_private_hubei_reading×8,pending_private_school_reading×8,blocked_until_required_private_readings_complete×8,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
21,226-right,226,right,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,4,1,2,2,专业计划数；学费；再选科目×2；专业计划数×2,H0-PDFOCR与高校辅证冲突×2；H4-无候选需人工看图×2,2,0,2,4,2,pending_private_pdf_reading×4,pending_private_hubei_reading×4,pending_private_school_reading×4,blocked_until_required_private_readings_complete×4,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
22,038-right,38,right,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,2,1,1,2,专业计划数×2,H1-原缺PDFOCR但有机器坐标候选×2,0,2,0,0,2,pending_private_pdf_reading×2,pending_private_hubei_reading×2,not_applicable_no_school_field_clue×2,blocked_until_required_private_readings_complete×2,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
23,082-right,82,right,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,2,1,1,2,专业计划数×2,H1-原缺PDFOCR但有机器坐标候选×2,0,2,0,0,2,pending_private_pdf_reading×2,pending_private_hubei_reading×2,not_applicable_no_school_field_clue×2,blocked_until_required_private_readings_complete×2,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
24,137-left,137,left,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,2,1,1,1,专业计划数；学费；再选科目×1；专业计划数×1,H2-已有PDFOCR候选×1；H4-无候选需人工看图×1,1,0,1,1,1,pending_private_pdf_reading×2,pending_private_hubei_reading×2,pending_private_school_reading×2,blocked_until_required_private_readings_complete×2,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
25,014-left,14,left,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,1,1,1,1,专业计划数×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
26,032-right,32,right,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,1,1,1,1,专业计划数×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
27,033-right,33,right,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,1,1,1,1,专业计划数×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
28,102-left,102,left,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,1,1,1,1,专业计划数×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
29,228-left,228,left,E1-计划数补缺或偏大优先核验,B2-E1计划数补缺或偏大核页,1,1,1,1,专业计划数×1,H1-原缺PDFOCR但有机器坐标候选×1,0,1,0,0,1,pending_private_pdf_reading×1,pending_private_hubei_reading×1,not_applicable_no_school_field_clue×1,blocked_until_required_private_readings_complete×1,先回PDF原页补计划数或异常字段；再查湖北官方侧确认；必要时用高校官网补缺线索定位。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,计划数/偏大字段完成PDF原页读数和湖北官方侧确认；若与高校辅证不一致，升级双人复核。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
30,080-right,80,right,E2-官网未匹配专业名归属核验,B3-E2官网未匹配归属核页,18,1,1,18,再选科目×17；专业计划数；学费×1,H4-无候选需人工看图×17；H2-已有PDFOCR候选×1,1,0,0,17,17,pending_private_pdf_reading×18,pending_private_hubei_reading×18,pending_private_school_reading×18,blocked_until_required_private_readings_complete×18,先确认专业名、专业代号和专业组边界是否串读；再核字段值和高校辅证匹配关系。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,专业归属、组边界和字段三方一致性完成记录；若发现串读，整页列升级核验。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
31,070-right,70,right,E2-官网未匹配专业名归属核验,B3-E2官网未匹配归属核页,11,1,1,11,专业计划数；学费×6；学费×4；专业计划数；学费；再选科目×1,H2-已有PDFOCR候选×11,11,0,0,0,0,pending_private_pdf_reading×11,pending_private_hubei_reading×11,pending_private_school_reading×11,blocked_until_required_private_readings_complete×11,先确认专业名、专业代号和专业组边界是否串读；再核字段值和高校辅证匹配关系。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,专业归属、组边界和字段三方一致性完成记录；若发现串读，整页列升级核验。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
32,135-right,135,right,E2-官网未匹配专业名归属核验,B3-E2官网未匹配归属核页,3,1,1,3,待人工判定字段×2；专业计划数；学费×1,H4-无候选需人工看图×2；H2-已有PDFOCR候选×1,1,0,0,2,0,pending_private_pdf_reading×3,pending_private_hubei_reading×3,pending_private_school_reading×3,blocked_until_required_private_readings_complete×3,先确认专业名、专业代号和专业组边界是否串读；再核字段值和高校辅证匹配关系。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,专业归属、组边界和字段三方一致性完成记录；若发现串读，整页列升级核验。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
33,235-left,235,left,E2-官网未匹配专业名归属核验,B3-E2官网未匹配归属核页,2,1,1,2,专业计划数；学费×1；专业计划数；学费；再选科目×1,H2-已有PDFOCR候选×2,2,0,0,0,0,pending_private_pdf_reading×2,pending_private_hubei_reading×2,pending_private_school_reading×2,blocked_until_required_private_readings_complete×2,先确认专业名、专业代号和专业组边界是否串读；再核字段值和高校辅证匹配关系。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,专业归属、组边界和字段三方一致性完成记录；若发现串读，整页列升级核验。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
34,036-right,36,right,E2-官网未匹配专业名归属核验,B3-E2官网未匹配归属核页,1,1,1,1,学费；再选科目×1,H2-已有PDFOCR候选×1,1,0,0,0,0,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,blocked_until_required_private_readings_complete×1,先确认专业名、专业代号和专业组边界是否串读；再核字段值和高校辅证匹配关系。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,专业归属、组边界和字段三方一致性完成记录；若发现串读，整页列升级核验。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
35,057-left,57,left,E2-官网未匹配专业名归属核验,B3-E2官网未匹配归属核页,1,1,1,1,专业计划数；学费×1,H2-已有PDFOCR候选×1,1,0,0,0,0,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,blocked_until_required_private_readings_complete×1,先确认专业名、专业代号和专业组边界是否串读；再核字段值和高校辅证匹配关系。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,专业归属、组边界和字段三方一致性完成记录；若发现串读，整页列升级核验。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
36,081-left,81,left,E2-官网未匹配专业名归属核验,B3-E2官网未匹配归属核页,1,1,1,1,专业计划数；学费×1,H2-已有PDFOCR候选×1,1,0,0,0,0,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,blocked_until_required_private_readings_complete×1,先确认专业名、专业代号和专业组边界是否串读；再核字段值和高校辅证匹配关系。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,专业归属、组边界和字段三方一致性完成记录；若发现串读，整页列升级核验。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
37,096-right,96,right,E2-官网未匹配专业名归属核验,B3-E2官网未匹配归属核页,1,1,1,1,学费×1,H2-已有PDFOCR候选×1,1,0,0,0,0,pending_private_pdf_reading×1,pending_private_hubei_reading×1,pending_private_school_reading×1,blocked_until_required_private_readings_complete×1,先确认专业名、专业代号和专业组边界是否串读；再核字段值和高校辅证匹配关系。,PDF原页读数、湖北官方字段值、高校官网字段值、复核结论、复核备注只写入Git忽略的私有工作台。,专业归属、组边界和字段三方一致性完成记录；若发现串读，整页列升级核验。,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
