执行顺序,页码版面键,来源页码,版面列,任务来源类型,第一闭环纳入原因,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,字段名,OCR专业计划数候选,最佳官网计划数,OCR学费候选,最佳官网学费,OCR再选科目候选,最佳官网选科,官网证据强度,官网来源状态,官网证据匹配状态,计划数核验状态,差异字段集合,是否裁图OCR与高校辅证冲突,是否机器高校冲突,人工核验泳道,人工核验方式,是否需要双人复核,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,当前闭环状态,下一步,专业行ID,稳定基座第一闭环明细任务ID
2,199-left,199,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,H945,南宁学院,H94505,3,24,数字媒体技术,,22500.,3,,22500,,物理+化学,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-428c631bc321e966,FIRSTDETAIL-93e1c6f08abff549
2,199-left,199,left,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,H945,南宁学院,H94505,4,25,计算机科学与技术（不招单色不能识别考生）,,22500,2,,22500,,物理+化学,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-dc718284a7b7340c,FIRSTDETAIL-a54f685382d6b1c6
2,199-left,199,left,自动官网辅证任务,官网源未稳定匹配专业名，第一批确认专业归属,H945,南宁学院,H94505,5,26,智能科学与技术H948柳州工学院（民办）（广西）,,2,,,,,,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-0e8881b7e05a4ea3,FIRSTDETAIL-b0445279f2648fcb
3,209-right,209,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,K153,成都信息工程大学,K15306,1,13,大气科学（办学地点：航空港校区）,,,3,6240,6240,,物理+化学,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-eb78e1c31fae9e22,FIRSTDETAIL-91f329b50cb442b2
3,209-right,209,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,K153,成都信息工程大学,K15306,1,13,大气科学（办学地点：航空港校区）,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,true,false,M0-冲突优先双人核页,双人复核,true,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-eb78e1c31fae9e22,FIRSTDETAIL-a76e59cf1cf0d059
3,209-right,209,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,K153,成都信息工程大学,K15306,2,14,应用气象学（办学地点：航空港校区）,,,2,6240,6240,,物理+化学,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-4d07d36dc438349c,FIRSTDETAIL-efa0717525e49d43
3,209-right,209,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,K153,成都信息工程大学,K15306,2,14,应用气象学（办学地点：航空港校区）,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,false,false,M3-多源一致快速三方核验,三方线索优先核验,false,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-4d07d36dc438349c,FIRSTDETAIL-d82fb416df4cb6df
3,209-right,209,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,K153,成都信息工程大学,K15306,3,15,电子信息工程（办学地点：航空港校,,,2,6240,6240,,物理+化学,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-8281eec06d651680,FIRSTDETAIL-db3c8109cbb01ac9
3,209-right,209,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,K153,成都信息工程大学,K15306,3,15,电子信息工程（办学地点：航空港校,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,false,false,M4-高校补缺线索核PDF,三方线索优先核验,false,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-8281eec06d651680,FIRSTDETAIL-80f6e32678d47edc
3,209-right,209,right,自动官网辅证任务,官网源未稳定匹配专业名，第一批确认专业归属,K153,成都信息工程大学,K15306,7,19,逻感科学与技术（办学地点：航空港校,,2,,6240,,,,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-912162e2ec586cf5,FIRSTDETAIL-321c7d17dc30653c
3,209-right,209,right,自动官网辅证任务,官网源未稳定匹配专业名，第一批确认专业归属,K153,成都信息工程大学,K15306,9,21,包象技术与工程（办学地点：航空港校,,2,,6240,,,,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-946c01fc445f6eb2,FIRSTDETAIL-ff3b9d7ceecbddf8
3,209-right,209,right,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,K153,成都信息工程大学,K15306,12,24,机器人工程（办学地点：航空港校区）,,2,1,6240,6240,,物理+化学,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-0aea883663b5fb39,FIRSTDETAIL-1c3252c859c2d2ea
3,209-right,209,right,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,K153,成都信息工程大学,K15306,17,29,信息安全（办学地点：航空港校区）,,2,1,6240,6240,,物理+化学,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-e2879b097d059aee,FIRSTDETAIL-ac9be6f84b5cb492
3,209-right,209,right,自动官网辅证任务,官网源未稳定匹配专业名，第一批确认专业归属,K153,成都信息工程大学,K15306,18,30,婆产与应用数学（办学地点：航空港校,,,,6240,,,,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-026664ca0517a54d,FIRSTDETAIL-b23680d0e33b54fd
3,209-right,209,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,K153,成都信息工程大学,K15306,19,31,信息与计算科学（办学地点：航空港校区）,,,1,6240,6240,,物理+化学,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-8aed30091b7482da,FIRSTDETAIL-7c1d30e2021684d3
3,209-right,209,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,K153,成都信息工程大学,K15306,19,31,信息与计算科学（办学地点：航空港校区）,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,true,false,M0-冲突优先双人核页,双人复核,true,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-8aed30091b7482da,FIRSTDETAIL-d130070db0608685
4,169-right,169,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,H450,山东工商学院,H45004,1,39,统计学,,,2,5500,,化学,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-8ba195c86a925e83,FIRSTDETAIL-4a3b29ecc48bcddc
4,169-right,169,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,H450,山东工商学院,H45004,1,39,统计学,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,true,false,M0-冲突优先双人核页,双人复核,true,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-8ba195c86a925e83,FIRSTDETAIL-352f0e7f8e92d653
4,169-right,169,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,H450,山东工商学院,H45004,2,40,人工智能,,,3,5500,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-90b2fc54c5bc2e5c,FIRSTDETAIL-1e13c2dc5bcd6811
4,169-right,169,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,H450,山东工商学院,H45004,2,40,人工智能,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,false,false,M4-高校补缺线索核PDF,三方线索优先核验,false,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-90b2fc54c5bc2e5c,FIRSTDETAIL-04f5273e386af8c6
4,169-right,169,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,H450,山东工商学院,H45004,3,41,数学与应用数学,,,2,6325,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-9710c4b647b66507,FIRSTDETAIL-32bdf82346802bf7
4,169-right,169,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,H450,山东工商学院,H45004,3,41,数学与应用数学,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,true,false,M0-冲突优先双人核页,双人复核,true,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-9710c4b647b66507,FIRSTDETAIL-9085a434404761c6
4,169-right,169,right,自动官网辅证任务,官网计划数与OCR候选冲突，第一批必须回页核,H450,山东工商学院,H45004,8,46,通信工程,,2,1,5500,,,,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,,,,,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-a8b31c9114605c03,FIRSTDETAIL-8991edc6731114ee
4,169-right,169,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,H450,山东工商学院,H45004,9,47,计算机科学与技术,,,3,6600,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-cdfe659d6ddbb7d7,FIRSTDETAIL-2805b5347b8e40ae
4,169-right,169,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,H450,山东工商学院,H45004,9,47,计算机科学与技术,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,true,false,M0-冲突优先双人核页,双人复核,true,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-cdfe659d6ddbb7d7,FIRSTDETAIL-e796394270d8dbd9
4,169-right,169,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,H450,山东工商学院,H45004,10,48,数字媒体技术,,,2,5500,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-13b19a3991c8159a,FIRSTDETAIL-2f3d5f6bcb8b8c58
4,169-right,169,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,H450,山东工商学院,H45004,10,48,数字媒体技术,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,true,false,M0-冲突优先双人核页,双人复核,true,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-13b19a3991c8159a,FIRSTDETAIL-26a4a2d46176a22b
4,169-right,169,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,H450,山东工商学院,H45004,11,49,安全工程,,,3,5500,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-b4b8560bd289f9b5,FIRSTDETAIL-55c641ecf7db1022
4,169-right,169,right,P0人工字段任务,EXEC-03-高校辅证线索三方核验,H450,山东工商学院,H45004,11,49,安全工程,专业计划数,,,,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,,,true,false,M0-冲突优先双人核页,双人复核,true,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,线索待核，不可写回字段事实,按页列集中看PDF原页，记录私有人工读数；再用湖北官方系统或省招办计划核验字段。,M-b4b8560bd289f9b5,FIRSTDETAIL-80ab74779f516adb
4,169-right,169,right,自动官网辅证任务,OCR计划数缺口但官网有补缺线索，第一批回页核,H450,山东工商学院,H45004,12,50,应急技术与管理,,,4,5500,,,,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,,,,,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,线索待核，不可写回字段事实,第一批回到PDF原页核同专业行，再用湖北官方系统或省招办计划确认；官网只作辅证。,M-4a71a2765412ac2a,FIRSTDETAIL-2fc55fcaedc06c57
