下一轮组序号,下一轮建议状态,院校代码,院校名称,院校专业组代码,城市,冲稳保,专业组内专业序号,专业代号,专业名称及备注,机器家庭接受度建议,家庭可选项提示,家庭最终接受度待填,家庭最终接受度可填值,是否建议放入6专业讨论,建议6专业理由,调剂风险提示,服从调剂影响,组内调剂判断状态,家庭要回答的问题,专业偏好方向,专业角色判断,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,来源页码,版面列,专业行ID,第四轮候选ID
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,3,61,智能测控工程（汽车智能测控）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,,48,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-4b9d9db71e637b5b,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,4,62,电子信息工程（汽车电子工程）63（智能电网信息工程（汽车产业）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,66,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-1cef07ff4b22c9a0,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,5,64,电气工程及其自动化（汽车产业）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,79,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-b9692f3336f632cc,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,6,65,自动化（汽车产业）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,82,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-739c3748f1af43d6,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,7,66,机器人工程（汽车产业）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,48,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-9d5f0b3502551420,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,8,67,计算机科学与技术（智能软件）,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内专业较多，需逐条确认调剂接受度,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,49,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-6c80adf580311506,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,9,68,计算机科学与技术（大数据技术）,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内专业较多，需逐条确认调剂接受度,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,244,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-5bddebcd50feb72b,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,10,69,信息安全（智能汽车安全）,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内专业较多，需逐条确认调剂接受度,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,65,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-0d56d3aa94ba06f9,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,11,70,智能科学与技术（智能网联）,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内专业较多，需逐条确认调剂接受度,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,66,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-e82b18054b0ea501,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,12,71,智能科学与技术（智能汽车）,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内专业较多，需逐条确认调剂接受度,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,54,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-58dc6a81dd16c9d8,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,13,72,智能无人系统技术（低空技术）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,字段缺口待核,,,48,5200,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-655ec1115a7811d2,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,14,73,数学与应用数学（智能科学）,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内专业较多，需逐条确认调剂接受度,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,54,4000,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-4a0ece0eee9ba76c,R4GROUP-103ee2b5e642f511
2,优先家庭讨论,C131,湖北汽车工业学院,C13107,十堰市,稳妥观察,15,74,数据科学与大数据技术,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内专业较多，需逐条确认调剂接受度,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,［化学,63,5200,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-4efc34fbf540cd09,R4GROUP-103ee2b5e642f511
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,1,10,数学与应用数学（师范类：数学单科成绩≥65分：办学地点：解放路校区）,待核后判断,待核后判断,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,限制、字段或费用核清前不放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,限制、费用或字段未闭环前，不能判断是否可接受调剂。,存在待核后判断专业，需先核限制/字段再判断调剂,先核限制后再判断是否接受；确认语种或单科要求是否满足,师范类相关,可了解-师范,语种或单科限制,［化学,,4500,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-d4478deadbe9d36c,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,2,11,应用统计学（数学单科成绩≥60分；办学地点：解放路校区）,待核后判断,待核后判断,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,限制、字段或费用核清前不放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,限制、费用或字段未闭环前，不能判断是否可接受调剂。,存在待核后判断专业，需先核限制/字段再判断调剂,先核限制后再判断是否接受；确认语种或单科要求是否满足,,字段缺口待核,语种或单科限制,,5,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-ff4d11d6aa60c91f,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,3,12,数据科学与大数据技术（数学单科成续≥60分；办学地点：解放路校区）,待核后判断,待核后判断,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,限制、字段或费用核清前不放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,限制、费用或字段未闭环前，不能判断是否可接受调剂。,存在待核后判断专业，需先核限制/字段再判断调剂,先核限制后再判断是否接受；确认语种或单科要求是否满足,计算机类相关,主线偏好-计算机/数字媒体,语种或单科限制,,,4500,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-ae298e3e9cf6a985,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,4,13,测绘工程（办学地点：解放路校区）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,存在待核后判断专业，需先核限制/字段再判断调剂,如果被调剂到该专业是否能接受,,字段缺口待核,,,5,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-8e56cb8663c33e0f,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,5,14,地理空间信息工程（办学地点：解放路校区）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,存在待核后判断专业，需先核限制/字段再判断调剂,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,5,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-34db041d2c031664,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,6,15,机械设计制造及其自动化（办学地点：解放路校区）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,存在待核后判断专业，需先核限制/字段再判断调剂,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,5,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-a6af8ec1a245260a,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,7,16,机械电子工程（办学地点：解放路校,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,存在待核后判断专业，需先核限制/字段再判断调剂,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,5,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-12b5da2492cb1299,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,8,17,机器人工程（办学地点：解放路校区）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,存在待核后判断专业，需先核限制/字段再判断调剂,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,5,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-085e00cc78e0a600,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,9,18,人工智能（办学地点：解放路校区）,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内有特殊限制待核，服从调剂前需核完整专业组,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,存在待核后判断专业，需先核限制/字段再判断调剂,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,5,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-934399f2aef81da5,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,10,19,计算机科学与技术（办学地点：解放路校区）,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内有特殊限制待核，服从调剂前需核完整专业组,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,存在待核后判断专业，需先核限制/字段再判断调剂,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,5,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-1565ac475964e78f,R4GROUP-9948d103a09dc6ad
3,先核限制后讨论,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,11,20,网络工程（办学地点：解放路校区）,可接受,可接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,true,命中当前偏好方向：计算机类相关。,组内有特殊限制待核，服从调剂前需核完整专业组,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,存在待核后判断专业，需先核限制/字段再判断调剂,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,,5,4500,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-548cfb291f3c4ff1,R4GROUP-9948d103a09dc6ad
4,优先家庭讨论,F597,长春工程学院,F59704,长春市,稳妥观察,1,06,电气工程及其自动化（办学地点：湖西校区）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,化学,,5940,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,122,left,M-e7fe36d5532b09d9,R4GROUP-7895dad618982745
4,优先家庭讨论,F597,长春工程学院,F59704,长春市,稳妥观察,2,07,电子信息工程（办学地点：湖西校区）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,3,5940,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,122,left,M-bd89c44dc46ddb80,R4GROUP-7895dad618982745
4,优先家庭讨论,F597,长春工程学院,F59704,长春市,稳妥观察,3,08,智能电网信息工程（办学地点：湖西校区）,勉强接受,勉强接受,待家庭确认,可接受/勉强接受/不能接受/待核后判断,false,可作为调剂容忍项，暂不优先放入6专业。,组内专业较多，需逐条确认调剂接受度,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,,3,5400,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,122,left,M-7824ce19c5a3190d,R4GROUP-7895dad618982745
