下一轮序号,院校代码,院校名称,院校专业组代码,城市,冲稳保,下一轮建议状态,专业明细行数,可接受专业数,勉强接受专业数,待核后判断专业数,不能接受专业数,特殊限制专业数,高费或中外合作提示数,字段缺口专业数,100%核验专业数,调剂风险等级,家庭最小决策动作,核验最小动作,是否建议进入下一轮重点核验,是否可作为定稿依据
22,K347,云南农业大学,K34707,昆明市,稳妥观察,优先家庭讨论,5,1,4,0,0,0,0,4,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
24,C138,湖北理工学院,C13811,黄石市,稳妥观察,可讨论但先看调剂,4,0,4,0,0,0,0,3,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先判断是否能接受组内非偏好专业调剂，再决定是否投入核页时间。,true,false
25,C127,湖北工程学院,C12707,孝感市,稳妥观察,可讨论但先看调剂,4,0,4,0,0,0,0,3,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先判断是否能接受组内非偏好专业调剂，再决定是否投入核页时间。,true,false
27,A207,北方民族大学,A20711,银川市,稳冲观察,优先家庭讨论,12,4,8,0,0,0,0,11,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
29,F311,太原工业学院,F31102,太原市,稳冲观察,优先家庭讨论,10,3,7,0,0,0,0,10,9,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
30,C138,湖北理工学院,C13810,黄石市,稳冲观察,优先家庭讨论,5,4,1,0,0,0,0,4,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
33,C129,湖北民族大学,C12903,恩施土家族苗族自治州,稳冲观察,优先家庭讨论,9,2,7,0,0,0,0,8,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
35,C127,湖北工程学院,C12706,孝感市,稳冲观察,优先家庭讨论,5,3,2,0,0,0,0,4,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
36,C126,湖北文理学院,C12610,襄阳市,稳冲观察,优先家庭讨论,9,2,7,0,0,0,0,8,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
37,A197,西北民族大学,A19717,兰州市,稳冲观察,优先家庭讨论,5,1,4,0,0,0,0,3,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
38,F583,吉林建筑大学,F58303,长春市,稳冲观察,优先家庭讨论,19,1,18,0,0,0,0,18,1,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
40,C118,黄冈师范学院,C11811,黄冈市,稳冲观察,优先家庭讨论,7,1,6,0,0,0,0,7,7,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
44,C128,湖北经济学院,C12815,武汉市,冲刺观察,优先家庭讨论,8,6,2,0,0,0,0,7,8,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
46,C118,黄冈师范学院,C11810,黄冈市,冲刺观察,优先家庭讨论,5,4,1,0,0,0,0,5,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
47,H892,桂林电子科技大学,H89207,桂林市,冲刺观察,优先家庭讨论,4,3,1,0,0,0,0,4,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
48,C128,湖北经济学院,C12812,武汉市,冲刺观察,优先家庭讨论,20,3,17,0,0,0,0,19,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
49,H911,桂林航天工业学院,H91103,桂林市,冲刺观察,优先家庭讨论,9,1,8,0,0,0,0,9,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
54,C128,湖北经济学院,C12811,武汉市,冲刺观察,优先家庭讨论,5,1,4,0,0,0,0,5,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
55,F687,佳木斯大学,F68704,佳木斯市,冲刺观察,优先家庭讨论,4,1,3,0,0,0,0,3,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,家庭先看完整组内专业，标出可接受/勉强接受/不能接受；保留后再做100%原页和湖北官方侧核验。,true,false
3,K754,伊犁师范大学,K75403,伊犁哈萨克自治州,稳妥观察,先核限制后讨论,11,3,5,3,0,3,0,11,0,T2-先核限制费用再谈调剂,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
5,F313,山西工程技术学院,F31303,阳泉市,稳妥观察,先核页后讨论,15,4,11,0,0,0,0,15,1,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
8,K783,新疆政法学院,K78304,图木舒克市,稳妥观察,先核页后讨论,6,3,3,0,0,0,0,6,1,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
9,K585,兰州工业学院,K58501,兰州市,稳妥观察,先核页后讨论,10,3,7,0,0,0,0,10,2,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
12,H375,赣东学院,H37503,抚州市,稳妥观察,先核页后讨论,7,2,5,0,0,0,0,7,1,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
13,K005,琼台师范学院,K00505,海口市,稳妥观察,先核限制后讨论,8,2,0,6,0,6,0,8,7,T2-先核限制费用再谈调剂,体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
14,F189,保定学院,F18905,保定市,稳妥观察,先核页后讨论,4,3,1,0,0,0,0,4,4,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
15,F348,山西电子科技学院,F34801,临汾市,稳妥观察,先核页后讨论,5,2,3,0,0,0,0,5,1,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
18,H901,河池学院,H90105,河池市,稳妥观察,先核限制后讨论,2,0,0,2,0,2,0,2,1,T2-先核限制费用再谈调剂,体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
20,F200,河北科技师范学院,F20002,秦皇岛市,稳妥观察,先核页后讨论,4,2,2,0,0,0,0,3,1,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
21,C151,汉江师范学院,C15108,十堰市,稳妥观察,先核限制后讨论,7,5,0,2,0,2,0,7,0,T2-先核限制费用再谈调剂,体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
23,K473,宝鸡文理学院,K47302,宝鸡市,稳妥观察,先核限制后讨论,4,1,2,1,0,1,0,4,2,T2-先核限制费用再谈调剂,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
26,H135,淮南师范学院,H13502,淮南市,稳冲观察,先核限制后讨论,18,9,7,2,0,2,0,15,1,T2-先核限制费用再谈调剂,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
28,H450,山东工商学院,H45004,烟台市,稳冲观察,先核页后讨论,16,4,12,0,0,0,0,16,2,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
31,H907,广西科技师范学院,H90703,来宾市,稳冲观察,先核页后讨论,9,4,5,0,0,0,0,9,8,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
32,H330,新余学院,H33005,新余市,稳冲观察,先核页后讨论,8,3,5,0,0,0,0,7,3,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
34,C138,湖北理工学院,C13813,黄石市,稳冲观察,先核限制后讨论,4,3,0,1,0,1,0,3,0,T2-先核限制费用再谈调剂,体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
39,K755,新疆财经大学,K75504,乌鲁木齐市,稳冲观察,先核限制后讨论,7,3,3,1,0,1,0,6,5,T2-先核限制费用再谈调剂,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
41,K753,喀什大学,K75307,喀什地区,稳冲观察,先核限制后讨论,8,0,1,7,0,7,0,7,2,T2-先核限制费用再谈调剂,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
42,F387,内蒙古农业大学,F38702,呼和浩特市,稳冲观察,先核页后讨论,10,2,8,0,0,0,0,10,1,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
43,F694,齐齐哈尔大学,F69403,齐齐哈尔市,稳冲观察,先核页后讨论,4,2,2,0,0,0,0,3,1,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
45,K752,新疆师范大学,K75205,乌鲁木齐市,冲刺观察,先核限制后讨论,17,5,6,6,0,6,0,17,1,T2-先核限制费用再谈调剂,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
50,K002,海南热带海洋学院,K00205,三亚市,冲刺观察,先核限制后讨论,21,3,5,13,0,13,0,21,17,T2-先核限制费用再谈调剂,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；农林园艺方向是否接受；字段缺口补齐前不进入最终排序,先核体检、语种、单科、专项或备注限制；限制不能接受则整组暂缓。,false,false
51,H569,洛阳理工学院,H56902,洛阳市,冲刺观察,先核页后讨论,13,3,10,0,0,0,0,12,11,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
52,A223,大连民族大学,A22303,大连市,冲刺观察,先核费用后讨论,8,1,7,0,0,0,0,8,0,T2-字段或限制待核较多,是否能接受组内非偏好专业调剂；字段缺口补齐前不进入最终排序,先核学费和合作办学属性；超预算或高收费不接受则暂缓。,false,false
53,F204,北华航天工业学院,F20403,廊坊市,冲刺观察,先核页后讨论,8,2,6,0,0,1,0,7,1,T2-先核限制费用再谈调剂,是否能接受组内非偏好专业调剂；体检/语种/单科/专项限制是否满足；字段缺口补齐前不进入最终排序,先核PDF原页结构、专业组边界和串读风险，再进入家庭调剂讨论。,false,false
