专项序号,专项层级,家庭讨论动作,是否进入专项讨论,是否可作为定稿依据,适配理由,关键风险,院校代码,院校名称OCR,院校专业组代码OCR规范化,城市候选,历史线索分层,历史最高等位分差,场景判断,场景内最低学费,场景内最高学费,预算内中外合作或高收费专业数,超过预算专业数,待核费用专业数,第19期页码,版面列,组内完整专业清单索引,专业组出现ID,下一步核验动作
11,B-专项可研究,进入专项讨论,true,false,山东交通学院计算机方向，费用候选 45000，专业贴合。,H0，小计划风险和双证真实性需核。,F449,山东交通学院,F44904,,H0-无同代码历史线索,,预算内中外合作/高收费可讨论,45000,45000,3,0,0,169,right,1.21 计算机科学与技术（中外合作办学（双证，俄罗斯顿河国立技术大学；办学地点：长清校区）[M-138481f2e28a9775]；2.22 交通运输（中外合作办学）（双证，俄罗覆優河国立技术大学；办学地点：长清[M-759e989351f82bd4]；3.23 生木工程（中外合作办学）（双证，俄罗叛顿河国立技术大学；办学地点：长清校区）H450 山东工商学院（公办）（山东）[M-d99877e0c9464f70],G-fb29084e6c0d60a8,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
12,C-专项保守观察,谨慎进入专项讨论,true,false,湖北理工学院中外合作费用低，H2 接近。,专业为机械，不是最高偏好，需确认是否愿意读。,C138,湖北理工学院,C13815,,H2-历史最高线不高于等位分,-1,预算内中外合作/高收费可讨论,22800,22800,1,0,0,79,right,1.67 机械设计制造及其自动化（中外合作办学）（非英语语种考生慎报）[M-5edc934771dbf416],G-21e14f5f768e5237,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
13,C-专项保守观察,谨慎进入专项讨论,true,false,吉林师范大学电子信息方向，费用可控，H3。,存在串页/组边界风险，先确认学校与专业组归属。,F589,吉林师范大学,F58907,,H3-历史最高线高于等位分15分内,8,预算内中外合作/高收费可讨论,26000,26000,1,0,0,121,right,1.10 电子信息工程（中外合作办学）（与美图拉特诺大学合作办学：办学地点：四F590 吉林工程技术师范学院（公办）（吉林）[M-0d32217adcdfa38c],G-10adbbd8abe0ef20,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
14,C-专项保守观察,谨慎进入专项讨论,true,false,长春大学自动化方向，费用候选 26000，H3。,俄方合作，授课语言、4+0/出国安排和证书需核。,F600,长春大学,F60016,,H3-历史最高线高于等位分15分内,10,预算内中外合作/高收费可讨论,26000,26000,1,0,0,122,right,1.24 自动化（中外合作办学）（与俄罗斯马斯季诺夫波罗的海国立技术大学合作办学：办学地点：卫星校区）[M-3f6c86ee41c1be8a],G-f5a9e8d0e8d1e1ac,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
15,C-专项保守观察,谨慎进入专项讨论,true,false,贵州商学院数据科学方向，H2，录取安全线索较好。,费用 60000 但学校层级不占优，性价比需要家庭判断。,K273,贵州商学院,K27302,,H2-历史最高线不高于等位分,-12,预算内中外合作/高收费可讨论,60000,60000,1,0,0,216,right,1.02 数据科学与大数据技术（中外合作办学）（学费上限：60000元/学年学费金额严格按照贵州省价格主管部门批准的项目及标准执行）K274 贵州警察学院（公办）（贵州）[M-e3e8ed4c935ec557],G-7928cd3ff8c9fa3f,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
16,C-专项保守观察,谨慎进入专项讨论,true,false,桂林旅游学院数据科学方向，H3 接近。,有只录有专业志愿线索和串页风险，先核组边界。,H912,桂林旅游学院,H91203,,H3-历史最高线高于等位分15分内,1,预算内中外合作/高收费可讨论,59800,59800,1,0,0,198,right,1.03 数据科学与大数据技术（中外合作办学）（高收费专业，不招无此志愿考生学生完成四年国内学习可获得本校毕业证、学位证及外方学位证）「H914广西农业职业技术大学（公办）（广西）[M-5009c03284f6a512],G-01ebed11db067d72,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
17,D-专项暂缓,暂缓进入专项讨论,false,false,桂林理工大学软件/网络方向贴合，费用在预算内。,H5 高冲且 OCR 有串页风险，先不投入主核验。,H893,桂林理工大学,H89304,,H5-历史最高线高于等位分30分以上,40,预算内中外合作/高收费可讨论,57000,57000,2,0,0,196,left,1.23 软件工程（中外合作办学）（办学地点生林雁山校区）[M-e65829e30962a572]；2.24 网络工程（中外合作办学）（办学地点：桂林雁山校区）H894广西医科大学（公办）（广西）[M-af076575d5aee2f6],G-208ba86b1a09d149,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
18,D-专项暂缓,暂缓进入专项讨论,false,false,厦门大学嘉庚学院计算机/软件方向和费用看似友好。,民办独立学院，不能按厦门大学主校理解，除非保底不足再讨论。,F273,厦门大学嘉庚学院,F27306,,H0-无同代码历史线索,,预算内中外合作/高收费可讨论,23000,23000,2,0,0,150,right,1.22 计算机科学与技术（办学地点：厦门大学漳州校区）[M-f9f520744946f450]；2.23 软件工程（办学地点：厦门大学漳州校[M-95da5a1626079db1],G-6955bf0992b6564c,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
19,E-排除或仅留风险记录,不进入家庭讨论,false,false,中国地质大学（武汉）学校和城市有吸引力。,费用线索超过 70000 或待核且 H5 明显高冲，当前口径不进入讨论。,A145,中国地质大学（武汉）,A14509,武汉,H5-历史最高线高于等位分30分以上,112,费用待核,72000,72000,0,1,1,41,left,1.52 机械设计制造及其自动化（中外合作办学）（德国安哈尔特应用技术大学）14510中国地质大学（武汉）第10组[M-9c455737ff29c870]；2.53 计算机科学与技术（中外合作办学）（智能方向：澳大利亚科廷大学）[M-90b4155a5843271c],G-340555f92113ad53,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
20,E-排除或仅留风险记录,不进入家庭讨论,false,false,南昌大学 211 和计算机/软件方向有吸引力。,费用文本写 80000 待核且有体检限制线索，按超预算风险处理。,H310,南昌大学,H31011,,H0-无同代码历史线索,,费用待核,,,0,0,2,152,right,"1.68 计算机科学与技术（中外合作办学（中法双学位合作办学；不招单色不能识别的考生，培养模式为“4+0”毕业时符合条件者可获南昌大学毕业证书、学士学位证书及合作方（法国雷昂那多达芬奇高等工程师学院）院校学士学位证书：学费暂定80000元/学年，具体...[M-98339d528e84465a]；2.69 软件工程（中外合作办学）（中法双学位合作办学：培养模式为”4+0""，毕业时符合条件者可获南昌大学毕业证书、学士学位证书及合作方（法国雷昂那多达芬奇高等工程师学院）院校学士学位证书：学费暂定 80000元/学院校专业组及专业代号年，具体以上级...[M-60751bf64d06d79d]",G-09c3c3c51b4fc717,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
21,E-排除或仅留风险记录,不进入家庭讨论,false,false,北京语言大学线索保留为负例。,费用候选 100000，超过预算，且专业方向不构成优先收益。,A032,北京语言大学,A03208,北京,H5-历史最高线高于等位分30分以上,84,超过预算,100000,100000,0,1,0,17,right,1.29 信息管理与信息系统（中外合作办学）（办学地点：海南国际学院）[M-0f7a9fa8c9a117eb],G-553de3a14627ccf4,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
22,E-排除或仅留风险记录,不进入家庭讨论,false,false,北京语言大学线索保留为负例。,费用候选 82500，超过预算，且涉及康复等与不学医底线冲突的风险。,A032,北京语言大学,A03209,北京,H5-历史最高线高于等位分30分以上,88,超过预算,82500,82500,0,1,0,17,right,1.30 听力与言语康复学（中外合作办学）（办学地点：海南国际学院）A033 中国传媒大学（公办）（北京）[M-f1100797078e9203],G-1125cf1d1e87651c,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。
