重点核验序号,重点核验状态,压缩结论,入选或暂缓理由,城市偏好提示,核验优先级,建议家庭动作,是否可作为定稿依据,组内硬排除专业数,城市,院校代码,院校名称,院校专业组代码,冲稳保,历史线索分层,同代码命中年份数,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,环境工程科学专业数,农业不含动物相关专业数,工商旅游管理专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,机器核验下一步,人工核验下一步,下一步核验动作,专业组出现ID,第四轮候选ID
,暂缓,暂缓保留在Round4优先120组备选,稳冲观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选；存在特殊限制待核，先不占用第一核验位,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,宜春市,H321,宜春学院,H32107,稳冲观察,H3-历史最高线高于等位分15分内,1,,,,,483,483-481=+2,2,0,2,2,0,0,1,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.12 计算机科学与技术（不招单色识别不全者；办学地点：本部校区）[M-09b73a4cc142a1b2]；2.13 软件工程（办学地点：本部校区）H322 赣南师范大学（公办）（江西）[M-8e4b67ee72353453],本部校区,158,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-834a4bea5026736b,R4GROUP-ce1703834ae3d736
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,廊坊市,F192,廊坊师范学院,F19202,稳妥观察,H2-历史最高线不高于等位分,3,480,480-494=-14,497,497-497=+0,480,480-481=-1,4,0,0,0,0,0,2,0,0,1,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.05 学前教育（师范类；办学地点：廊坊校[M-27660ebcc50bac90]；2.06 新闻学（办学地点：廊坊校区）[M-d73bee87d264c211]；3.07 历史学（师范类；办学地点：廊坊校区）[M-499d72dd2f774902]；4.08 会计学（办学地点：空港校区）XGAAI专业组及专业[M-7110a2c5f3beaddb],廊坊校区；空港校区,101,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-e63fb5861f1dcee2,R4GROUP-a81339ee442bfbac
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,天水市,K578,天水师范大学,K57803,稳妥观察,H2-历史最高线不高于等位分,1,493,493-494=-1,,,,,4,0,0,0,0,0,2,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.04 化学（师范类）[M-e2e7dccf73fc5f4a]；2.05 数学与应用数学（师范类）[M-02639ec1927a08bd]；3.06 材料成型及控制工程[M-2b6732aa743288e6]；4.07 测绘工程[M-4e11c765ffc71dec],,229,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-5222b0d36a3b95c2,R4GROUP-d206b412b1ae715b
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,银川市,A207,北方民族大学,A20709,稳妥观察,H2-历史最高线不高于等位分,3,485,485-494=-9,497,497-497=+0,479,479-481=-2,4,0,1,1,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.37 信息与计算科学[M-bddfe99340a08647]；2.38 数学与应用数学[M-a740f14838ad81d0]；3.39 统计学[M-21075ae8d509774c]；4.40 数据科学与大数据技术[M-5591813d562ea248],,58,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-1553d54f9a9f074e,R4GROUP-26b3f06b9a49c48f
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,凉山彝族自治州,K157,西昌学院,K15703,稳妥观察,H2-历史最高线不高于等位分,1,490,490-494=-4,,,,,2,0,0,0,1,1,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.05 电气工程及其自动化（办学地点：安宁[M-be87fe2d3dc80a21]；2.06 电子信息工程（办学地点：安宁校区）[M-dec8fa390cd56322],安宁校区,210,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-34b454fb2083287f,R4GROUP-fd71999ec4905d3b
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,汉中市,K472,陕西理工大学,K47208,稳妥观察,H2-历史最高线不高于等位分,1,,,,,476,476-481=-5,2,0,0,0,0,2,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.16 电气工程及其自动化[M-4dcc0252d2ed6279]；2.17 自动化[M-bb6385cd1c1ed550],,225,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-9f2465243e418245,R4GROUP-2b6b28855b494618
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选；存在特殊限制待核，先不占用第一核验位,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,荆门市,C139,荆楚理工学院,C13904,稳妥观察,H2-历史最高线不高于等位分,2,479,479-494=-15,495,495-497=-2,,,10,0,0,0,0,0,4,0,0,2,2,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.Z1 X院校专业组及专业代号[M-10b595c969f09f39]；2.15 科学教育（师范类）[M-60c83c1998dc1ee7]；3.16 学前教育（师范类）[M-0e0be1005e359738]；4.17 小学教育（师范类）[M-8780891b8ea90dbe]；5.18 网络与新媒体[M-126c16c55045a49a]；6.19 财务管理[M-c86ea91746875a97]；7.20 物流管理[M-68645cae55b69e0a]；8.21 数字经济[M-159d51cc0aed85ac]；9.22 英语（师范类；外语语种：英语）[M-5a67a45be9bd6776]；10.23 商务英语（外语语种：英语）[M-a332ceb0a9b3f368],,79,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-9def6a5a21eb51d6,R4GROUP-933c38a421cf688b
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,哈尔滨市,F696,哈尔滨学院,F69603,稳妥观察,H2-历史最高线不高于等位分,1,480,480-494=-14,,,,,4,0,0,0,0,0,1,0,0,2,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.06 小学教育（师范类）[M-e22048107f802854]；2.07 商务经济学[M-8a71c5bbb5ecb9af]；3.08 会计学[M-4f6a8d7253cdc820]；4.09 旅游管理[M-a5fe82604af19911],,126,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-138c426667d838bf,R4GROUP-fb9e89612f97e902
,暂缓,暂缓保留在Round4优先120组备选,组内存在3条当前硬排除或医学护理相关风险，服从调剂前先暂缓；稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,3,阿克苏地区,K779,新疆理工学院,K77903,稳妥观察,H2-历史最高线不高于等位分,2,467,467-494=-27,482,482-497=-15,,,32,1,2,2,3,4,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.13 智慧水利[M-c7f27ed4e9fc1d7b]；2.14 土木工程[M-e27947d8ae0ea9a1]；3.15 智能建造[M-a2f970843ee0086e]；4.16 水文与水资源工程[M-f7c3e54136addfcd]；5.17 食品营养与检验教育[M-307fb90dd3c7f953]；6.18 食品安全与检测[M-565f36f9437e59b4]；7.19 食品卫生与营养学[M-ef0176f3cd42b6e6]；8.20 食品科学与工程[M-fd16ebff85bc7357]；9.21 信息与计算科学[M-5188f591a6cea37b]；10.22 应用物理学[M-c90717c10324dbb2]；11.23 机械设计制造及其自动化[M-baad839ae4b04b3d]；12.24 机械电子工程[M-f93cce94b286a7b8]；13.25 机器人工程[M-c05e542c665152c3]；14.26 电气工程及其自动化[M-af581406ddcaf646]；15.27 测控技术与仪器[M-91db0bb4e627a35a]；16.28 材料成型及控制工程[M-95800106dd891216]；17.29 纺织工程[M-e4df36b775c23497]；18.30 通信工程[M-13e9a4bf0eedb5b4]；19.31 计算机科学与技术[M-32d21b79fc6cf598]；20.32 智能科学与技术[M-e934d55262e1e997]；21.33 数字媒体技术[M-0ae549c5cc552c9e]；22.34 医学信息工程[M-1718d0f6eeb9ee17]；23.35 电子信息工程[M-67fa15f1907821b4]；24.36 低空技术与工程[M-609c26f9fef06754]；25.37 过程装备与控制工程[M-6e7cbb06ef8c89eb]；26.38 能源化学工程[M-991db8ad67d7ad31]；27.39 能源服务工程[M-99b382a943c648a6]；28.40 材料化学[M-b2ae93cc47b2abf7]；29.41 储能科学与工程[M-7618f05e6e06c1f1]；30.42 能源与环境系统工程[M-15b903a8527e15c4]；31.43 化学工程与工艺[M-60990a381bdee4b7]；32.44 化工安全工程K781 新疆第二医学院（公办）（新疆）[M-90fd3d7521baa33e],,236,right,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-11987cdfba1d7cb7,R4GROUP-46b8b8b4ab477db9
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选；当前专业方向匹配较弱,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,乌鲁木齐市,K755,新疆财经大学,K75503,稳妥观察,H2-历史最高线不高于等位分,3,484,484-494=-10,496,496-497=-1,473,473-481=-8,17,0,0,0,0,0,0,0,0,6,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.18 金融学[M-f03c4ef1f39ebfb6]；2.19 金融工程[M-695638a4e195323a]；3.20 保险学[M-ce2a99bdc00de329]；4.21 工商管理[M-c7fdfcdc322e608e]；5.22 会计学[M-00eda30bf9920ddc]；6.23 财务管理[M-3a4a989d7c5ef322]；7.24 审计学[M-015c4b80011eb879]；8.25 经济学[M-e4363f30c0b3494d]；9.26 敪字经济[M-d1735d8c54961491]；10.27 财政学[M-d561632684b42e03]；11.28 税收学[M-6b2893557e17734d]；12.29 行政管理（办学地点：北校区）[M-4ff81d294d7fcdb1]；13.30 旅游管理（办学地点：北校区）[M-c004bfaa6313019a]；14.31 酒店管理（办学地点：北校区）[M-21077cdf39ad3ab3]；15.32 国际经济与贸易[M-34b7569d6cac1662]；16.33 国际商务[M-c2e9d7ea6941d366]；17.34 电子商务[M-1228b9acd479c8d3],北校区,235,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-fa79972ed51283db,R4GROUP-6250cc5002636c5d
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,廊坊市,F192,廊坊师范学院,F19203,稳妥观察,H2-历史最高线不高于等位分,3,476,476-494=-18,485,485-497=-12,479,479-481=-2,2,0,0,0,0,0,2,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.09 化学（师范类：办学地点：廊坊校区）[M-9be2ed885e527950]；2.10 生物科学类（生物科学（师范炎）、生物技术：办学地点：廊坊校区）F193 𧗽水学院（公办）（河北）[M-80bf00091127f8bb],廊坊校区,102,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-45c66c099b17d08b,R4GROUP-7acacfd272492039
,暂缓,暂缓保留在Round4优先120组备选,稳冲观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,黄石市,C138,湖北理工学院,C13812,稳冲观察,H3-历史最高线高于等位分15分内,3,481,481-494=-13,491,491-497=-6,493,493-481=+12,4,0,0,0,0,4,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.58 机械设计制造及其自动化[M-a4ca762a6e64fd95]；2.59 机械电子工程[M-1a15b062db5afdf1]；3.60 智能制造工程[M-6f7e7805227cc278]；4.61 机器人工程[M-ecf6099351018602],,79,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-b874ab6ac519bb4a,R4GROUP-7c7c2754f750f063
,暂缓,暂缓保留在Round4优先120组备选,稳冲观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,邵阳市,H671,邵阳学院,H67102,稳冲观察,H3-历史最高线高于等位分15分内,2,492,492-494=-2,503,503-497=+6,,,2,0,1,1,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.03 大数据管理与应用（办学地点：七里坪[M-0faf334aff2fd7be]；2.04 法学（办学地点：七里坪校区）[M-7c1589d072517955],七里坪校区,181,right,先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,官网只作辅证，不能替代湖北省招办计划。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-c714047bc3296171,R4GROUP-fdf608fb0dbdcd18
,暂缓,暂缓保留在Round4优先120组备选,冲刺观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P3-冲刺择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,哈尔滨市,F685,黑龙江科技大学,F68503,冲刺观察,H4-历史最高线高于等位分16-30分,2,514,514-494=+20,524,524-497=+27,,,9,0,2,2,0,3,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.05 应用化学[M-a116dc3f95872f15]；2.06 机械设计制造及其自动化[M-5179550d8cb092cf]；3.07 电气工程及其自动化[M-a5da18d1e8bec80e]；4.08 智能测控工程[M-2783fa4c700cc681]；5.09 自动化[M-0bda34643b71335a]；6.10 计算机科学与技术[M-68f24b9c98e42976]；7.11 数据科学与大数据技术[M-7c526963f838029b]；8.12 测绘工程[M-0392fd22eec0a020]；9.13 安全工程[M-55003711f7f0dec1],,124,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-89ca75a8d299d341,R4GROUP-418bd628ac37293c
,暂缓,暂缓保留在Round4优先120组备选,稳冲观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,韶关市,H775,韶关学院,H77505,稳冲观察,H3-历史最高线高于等位分15分内,3,484,484-494=-10,500,500-497=+3,478,478-481=-3,1,1,0,0,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.05 数字媒体技术（办学地点：韶乐园校[M-4b0cc9d74eef3c59],,187,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-aed32fc724b7746b,R4GROUP-0649094bd8a9fcab
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,衡水市,F193,衡水学院,F19304,稳妥观察,H2-历史最高线不高于等位分,2,470,470-494=-24,484,484-497=-13,,,1,0,0,0,1,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.04 电子信息工程（办学地点：桃城校区）[M-8efdf900630c1907],桃城校区,102,left,保留为机器初筛观察池，等官方计划或人工抽检结果后再排序。,低风险抽检发现异常时升级同页列/同校/同组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-7de675498d57f1ad,R4GROUP-16b0f26ad941a8b4
,暂缓,暂缓保留在Round4优先120组备选,冲刺观察本轮名额已优先用于分数/方向/城市综合分更高的组,次级可讨论城市：天津市,P3-冲刺择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,天津市,F098,天津职业技术师范大学,F09801,冲刺观察,H4-历史最高线高于等位分16-30分,2,514,514-494=+20,519,519-497=+22,,,6,0,0,0,1,1,5,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.01 自动化（师范类）[M-900914afc9e7a27b]；2.03 无人驾驶航空器系统工程（师范类）[M-cb6cec6fe1d2f2a9]；3.04 新能源汽车工程（师范炎）[M-7816ea9556c46bef]；4.05 交通运输（师范类）[M-9a8ca8255e44758c]；5.06 数学与应用数学（师范类）[M-a7f1dd30a5332dc5]；6.07 电子科学与技术F099 天津外国语大学（公办）（天津）[M-387a5eea5ad975f6],,96,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-f1718d0e8d4cccfc,R4GROUP-fd036213c2dc7160
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,黄冈市,C118,黄冈师范学院,C11813,稳妥观察,H2-历史最高线不高于等位分,1,494,494-494=+0,,,,,2,0,0,0,0,0,1,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.72 思想政治教育（师范类）[M-b3ced3c1e01933db]；2.73 政治学与行政学[M-ebb3d512b40f6137],,73,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-d173668e07c7af3f,R4GROUP-d40b1f6bc1643ca7
,暂缓,暂缓保留在Round4优先120组备选,组内存在1条当前硬排除或医学护理相关风险，服从调剂前先暂缓；稳冲观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,1,济南市,H455,山东管理学院,H45501,稳冲观察,H3-历史最高线高于等位分15分内,1,498,498-494=+4,,,,,6,0,2,2,1,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,主线机器门禁通过，仍需完整专业组人工核验。,1.01 虚拟现实技术[M-e48724ae1e458823]；2.02 数据科学与大数据技术[M-8e563aeea0abe059]；3.03 电子信息工程[M-443b36a75e3efc35]；4.04 人工智能[M-c4cd381ce46030b0]；5.05 工业智能[M-032560c423e67473]；6.06 机器人工程H486 齐鲁医药学院（民办）（山东）[M-031ac1146653f467],,170,left,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-dcfface6881291cb,R4GROUP-280d246e8e7e5ac3
,暂缓,暂缓保留在Round4优先120组备选,稳妥观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P1-稳妥主力先核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,通辽市,F390,内蒙古民族大学,F39007,稳妥观察,H2-历史最高线不高于等位分,1,,,,,479,479-481=-2,1,0,0,0,0,1,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.07 智能制造工程[M-ff248d449f969e8b],,112,left,保留为机器初筛观察池，等官方计划或人工抽检结果后再排序。,低风险抽检发现异常时升级同页列/同校/同组。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-acda47e9da674ef7,R4GROUP-e16ef600b6dac6c7
,暂缓,暂缓保留在Round4优先120组备选,稳冲观察本轮名额已优先用于分数/方向/城市综合分更高的组；城市未命中当前优先城市，只保留为备选；存在特殊限制待核，先不占用第一核验位,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,暂不投入人工核验时间；家庭点名喜欢时再拉回,false,0,上饶市,H320,上饶师范学院,H32003,稳冲观察,H3-历史最高线高于等位分15分内,3,477,477-494=-17,483,483-497=-14,488,488-481=+7,10,0,2,2,0,0,1,0,1,0,7,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.06 数据科学与大数据技术（不能准确在显示器上识别红、黄、兰、绿、紫各颜色中任何一种颜色的数码、字母者（不予录取）A◎A◎ZG院校专业组及专业代号[M-714c0a095e82677b]；2.07 人工智能[M-97fae4c85698e33a]；3.08 类曳傅息材料与器件（色盲、色弱考生[M-dc35ef3202b7617c]；4.09 化学（色盲、色弱考生不予录取）[M-f462c203afe79ff6]；5.10 应用化学（色盲、色弱考生不予录取）[M-0aef402589bf7a8f]；6.11 材料科学与工程（色直、色弱考生不予二在学校主校区学习大四将按照培养方案在弋阳校[M-ba733cd5f20c1e00]；7.12 生物科学（色盲、色弱考生不予录取）[M-43449428c14619e8]；8.14 智薏农业（大一、大二在学校主校区学习，大三、大四将按照培养方案在弋阳[M-aa82c94d0d020a52]；9.15 逼感科学与技术（色盲、色弱考生不予[M-2b697a90ff5edca5]；10.16 数学与应用数学（师范类）[M-e866dd877a243bab],色弱考生不予二在学校主校区；大二在学校主校区,157,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-18c7c3f4af6abe8d,R4GROUP-0b6dfdf3dc5e0d1b
