第一轮候选ID,第一轮层级,建议梯度,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,来源页码,版面列,专业行ID,专业组出现ID
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,13,18,机器人工程,,,,4800,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-aa0e1b058e5ebb48,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,14,19,应急装备技术与工程,,,,4800,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-d11a6dcaf3b55217,G-f00ad59bf89d790b
R1GROUP-019cd2fc63dd1130,S1-保底稳妥优先讨论,稳妥观察,F313,山西工程技术学院,F31303,15,20,电气工程与智能控制F314山西能源学院（公办）（山西）,,,30,4800,1,再选科目,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,110,left,M-440d0d1899bba201,G-f00ad59bf89d790b
R1GROUP-0371066741c60b51,S1-保底稳妥优先讨论,稳妥观察,K157,西昌学院,K15705,1,10,数学与应用数学（师范类：办学地点：,师范类相关,化学,5,5980,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,210,right,M-95e06e6f0f724685,G-fcb6c0b7447f893d
R1GROUP-06f500e5f9006160,S2-稳冲优先讨论,稳冲观察,C129,湖北民族大学,C12903,1,16,电子信息工程,,,68,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-17e88617ba0b945e,G-941db55ee939c751
R1GROUP-06f500e5f9006160,S2-稳冲优先讨论,稳冲观察,C129,湖北民族大学,C12903,2,17,信息安全,计算机类相关,,30,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-b710ed35bc5509ba,G-941db55ee939c751
R1GROUP-06f500e5f9006160,S2-稳冲优先讨论,稳冲观察,C129,湖北民族大学,C12903,3,18,智能制造工程,,,92,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-d02b951098ffa84b,G-941db55ee939c751
R1GROUP-06f500e5f9006160,S2-稳冲优先讨论,稳冲观察,C129,湖北民族大学,C12903,4,19,数学与应用数学,,,98,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-4b0040c9e765bb7e,G-941db55ee939c751
R1GROUP-06f500e5f9006160,S2-稳冲优先讨论,稳冲观察,C129,湖北民族大学,C12903,5,20,统计学,,,45,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-f1045946d7c121f0,G-941db55ee939c751
R1GROUP-06f500e5f9006160,S2-稳冲优先讨论,稳冲观察,C129,湖北民族大学,C12903,6,21,电气工程及其自动化,,,90,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-bd390734b328c076,G-941db55ee939c751
R1GROUP-06f500e5f9006160,S2-稳冲优先讨论,稳冲观察,C129,湖北民族大学,C12903,7,22,计算机科学与技术,计算机类相关,,41,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-4fbdf8c8639f107b,G-941db55ee939c751
R1GROUP-06f500e5f9006160,S2-稳冲优先讨论,稳冲观察,C129,湖北民族大学,C12903,8,23,物理学,,,58,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-d18018b776fcfae6,G-941db55ee939c751
R1GROUP-06f500e5f9006160,S2-稳冲优先讨论,稳冲观察,C129,湖北民族大学,C12903,9,24,光电信息科学与工程,,不限,67,4000,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-a0d8aa651acec549,G-941db55ee939c751
R1GROUP-07d4c9f9c32ebedc,S1-保底稳妥优先讨论,稳妥观察,K005,琼台师范学院,K00505,1,06,软件工程（办学地点：桂林洋校区）,计算机类相关,化学,,4620,1,专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-68b6096c537fec1d,G-d2c32a2887ae3b29
R1GROUP-07d4c9f9c32ebedc,S1-保底稳妥优先讨论,稳妥观察,K005,琼台师范学院,K00505,2,07,数学与应用数学（师范类；办学地点：桂林洋校区）识别红、紫各种颜色中任何一种颜色者；办学地点：桂林洋校K006 海南比勒贵尔德应用科学大学（中外）（海南）K00601海南比勒费尔德应用科学大学第01不限,师范类相关,,,4620,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-765e62d010fed49a,G-d2c32a2887ae3b29
R1GROUP-07d4c9f9c32ebedc,S1-保底稳妥优先讨论,稳妥观察,K005,琼台师范学院,K00505,3,01,经济工程（英语教学为主，非英语语种考生慎重报考）,,,,,3,再选科目；专业计划数；学费,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-43ef232afb4786f8,G-d2c32a2887ae3b29
R1GROUP-07d4c9f9c32ebedc,S1-保底稳妥优先讨论,稳妥观察,K005,琼台师范学院,K00505,4,02,物流工程（英语教学为主，非英语语种考生慎重报考）K00602 海南比勒费尔德应用科学大学第 02化学,,,,,3,再选科目；专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-304952e0a49afbdd,G-d2c32a2887ae3b29
R1GROUP-07d4c9f9c32ebedc,S1-保底稳妥优先讨论,稳妥观察,K005,琼台师范学院,K00505,5,03,计算机科学与技术（单色识别不清者不予录取：英语教学为主，非英语语种考生慎重报名）,计算机类相关,,,10万,3,再选科目；专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-86b686687a3d92db,G-d2c32a2887ae3b29
R1GROUP-07d4c9f9c32ebedc,S1-保底稳妥优先讨论,稳妥观察,K005,琼台师范学院,K00505,6,04,电子信息科学与技术（单色识别不清煮不予录取：英语教学为主，非英语语种考生慎重报名）,,,,「10万,3,再选科目；专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-74c1aa721dde978e,G-d2c32a2887ae3b29
R1GROUP-07d4c9f9c32ebedc,S1-保底稳妥优先讨论,稳妥观察,K005,琼台师范学院,K00505,7,05,软件工程（单色识别不清者不予录取英语教学为主，非英语语种考生慎重报名）K00603海南比勒费尔德应用科学大学第03化学,计算机类相关,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-1183b632693d5a5e,G-d2c32a2887ae3b29
R1GROUP-07d4c9f9c32ebedc,S1-保底稳妥优先讨论,稳妥观察,K005,琼台师范学院,K00505,8,06,电气工程与智能控制（英语教学为主，非英语语种考生慎重报名）K035 海口经济学院（民办）（海南）,,,,10万,3,再选科目；专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,202,left,M-1d948bdb8e0f5e65,G-d2c32a2887ae3b29
R1GROUP-08fa3eaa11b0f6cb,S2-稳冲优先讨论,稳冲观察,C127,湖北工程学院,C12706,1,27,数学与应用数学,,化学,100,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,74,right,M-672c5d285a777ea4,G-25242282690fb171
R1GROUP-08fa3eaa11b0f6cb,S2-稳冲优先讨论,稳冲观察,C127,湖北工程学院,C12706,2,28,数据科学与大数据技术,计算机类相关,,76,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,74,right,M-efaf780f0468128b,G-25242282690fb171
R1GROUP-08fa3eaa11b0f6cb,S2-稳冲优先讨论,稳冲观察,C127,湖北工程学院,C12706,3,29,人工智能,计算机类相关,,50,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,74,right,M-c4212113be49105a,G-25242282690fb171
R1GROUP-08fa3eaa11b0f6cb,S2-稳冲优先讨论,稳冲观察,C127,湖北工程学院,C12706,4,30,软件工程,计算机类相关,,90,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,74,right,M-c6c94fd2e6d5447a,G-25242282690fb171
R1GROUP-08fa3eaa11b0f6cb,S2-稳冲优先讨论,稳冲观察,C127,湖北工程学院,C12706,5,31,网络空间安全,,,50,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,74,right,M-ae1dacd1e9960113,G-25242282690fb171
R1GROUP-186f65dbd0997ed7,S2-稳冲优先讨论,稳冲观察,F197,沧州师范学院,F19702,1,04,物理学（师范类）,师范类相关,,,4900,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,102,left,M-9ac9c46bc6727f9c,G-186d0fe2c08110d6
R1GROUP-18922b52fd2e356f,S1-保底稳妥优先讨论,稳妥观察,H781,嘉应学院,H78102,1,02,历史学（师范类；办学地点：第一学年在程江校区，第二至第四学年在江北校区）,师范类相关,不限,2,5050,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,188,left,M-a5d49ea0f036ec60,G-704b0c4ef156d79c
R1GROUP-19e874e82d562d5f,S2-稳冲优先讨论,稳冲观察,H775,韶关学院,H77505,1,05,数字媒体技术（办学地点：韶乐园校,数字媒体技术,化学,10,5710,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,187,right,M-4b0cc9d74eef3c59,G-aed32fc724b7746b
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,1,06,经济统计学（办学地点：北校区）,,不限,2,3300,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-7cbfe07e07dc5a11,G-6c6ce1b442e36fab
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,2,07,金融学（办学地点：北校区）,,,2,3500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-b4dea31419120354,G-6c6ce1b442e36fab
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,3,08,金融工程（办学地点：北校区）,,,2,4200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-78ed397b4d596205,G-6c6ce1b442e36fab
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,4,09,人力资源管理（办学地点：北校区）,,,2,3500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-22cfeefa12e74ab7,G-6c6ce1b442e36fab
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,5,10,物流管理（办学地点：北校区）,,,2,3500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-031300bc819e2ac6,G-6c6ce1b442e36fab
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,6,1,物流工程（办学地点：北校区）,,,2,5000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-3808401bd037bbfc,G-6c6ce1b442e36fab
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,7,12,质量管理工程（办学地点：北校区）,,,2,5000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-3306d4513abbe8ca,G-6c6ce1b442e36fab
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,8,13,审计学（办学地点：北校区）,,,4,4600,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-99650d2b77868ac7,G-6c6ce1b442e36fab
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,9,14,大数据管理与应用（办学地点：北校,计算机类相关,,4,4500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-d8895a1870ff420d,G-6c6ce1b442e36fab
R1GROUP-19f7907268ecd25a,S3-冲刺保留讨论,冲刺观察,F699,哈尔滨商业大学,F69902,10,15,数字经济（办学地点：北校区）,,,2,4500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,127,left,M-277c4e83ff93e184,G-6c6ce1b442e36fab
R1GROUP-1b7da5b7f499d87b,S1-保底稳妥优先讨论,稳妥观察,F189,保定学院,F18905,1,07,数学与应用数学（师范类）,师范类相关,,,5390,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,101,right,M-a9cdb2383dd485e9,G-c5d11aeb048a778d
R1GROUP-1b7da5b7f499d87b,S1-保底稳妥优先讨论,稳妥观察,F189,保定学院,F18905,2,08,软件工程,计算机类相关,,,5390,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,101,right,M-adbf733f17230445,G-c5d11aeb048a778d
R1GROUP-1b7da5b7f499d87b,S1-保底稳妥优先讨论,稳妥观察,F189,保定学院,F18905,3,09,份差（不把色頭、堡真疑公森照售型混别红、黄、绿、、紫各种颜色中任何一种颜色的考生）,,,,4900,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,101,right,M-fd2f73ab505a5c0d,G-c5d11aeb048a778d
R1GROUP-1b7da5b7f499d87b,S1-保底稳妥优先讨论,稳妥观察,F189,保定学院,F18905,4,10,物联网工程F191 唐山师范学院（公办）（河北）,计算机类相关；师范类相关,,,4900,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,101,right,M-3c11775a27ed0c0f,G-c5d11aeb048a778d
R1GROUP-22a22ff1e1043b8e,S3-冲刺保留讨论,冲刺观察,F587,北华大学,F58703,1,06,物理学（师范类；办学地点：丰满校区）,师范类相关,,2,5500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,121,left,M-5ca95bb70550dbd6,G-18582677cde6eaaa
R1GROUP-22a22ff1e1043b8e,S3-冲刺保留讨论,冲刺观察,F587,北华大学,F58703,2,07,生物科学（师范类：色盲、单色识别熊昇常考生不予录取：办学地点：丰满校区）,师范类相关,,3,5000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,121,left,M-fdef7413abca9298,G-18582677cde6eaaa
R1GROUP-22a22ff1e1043b8e,S3-冲刺保留讨论,冲刺观察,F587,北华大学,F58703,3,08,化学（师范类：色盲、色弱、单色识别能力异常考生不予录取；办学地点：丰满校区）,师范类相关,,3,5000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,121,left,M-0b27eedc4c6366c4,G-18582677cde6eaaa
R1GROUP-2658cfbd7bc61d23,S1-保底稳妥优先讨论,稳妥观察,C139,荆楚理工学院,C13908,1,40,数学与应用数学（师范类）,师范类相关,化学,41,4000,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,80,left,M-1e595b9d61ccb677,G-878c4f8ce339e4d2
R1GROUP-2658cfbd7bc61d23,S1-保底稳妥优先讨论,稳妥观察,C139,荆楚理工学院,C13908,2,4,数据计算及应用,,,84,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,80,left,M-4a0671ade73427d3,G-878c4f8ce339e4d2
R1GROUP-2658cfbd7bc61d23,S1-保底稳妥优先讨论,稳妥观察,C139,荆楚理工学院,C13908,3,42,应用物理学,,,36,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,80,left,M-a941f1f48e8ffb11,G-878c4f8ce339e4d2
R1GROUP-2658cfbd7bc61d23,S1-保底稳妥优先讨论,稳妥观察,C139,荆楚理工学院,C13908,4,43,机械设计制造及其自动化,,,101,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,80,left,M-50205b490715b7ca,G-878c4f8ce339e4d2
R1GROUP-2658cfbd7bc61d23,S1-保底稳妥优先讨论,稳妥观察,C139,荆楚理工学院,C13908,5,44,材料成型及控制工程,,,10,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,80,left,M-8f50f2a644715dd7,G-878c4f8ce339e4d2
