第四轮5万专项候选ID,费用场景,年学费上限,5万内中外合作或高收费专业数,超过5万专业数,费用待核专业数,场景内最低学费,场景内最高学费,5万内专业摘要,费用风险提示,第四轮来源口径,讨论集合,是否进入优先讨论,是否可作为定稿依据,城市,城市来源,教育部所在地,教育部所在地命中城市,原城市候选,城市口径提醒,所在地使用边界,城市字段状态,校区字段状态,省份,主管部门,学校登记备注,院校代码,院校名称,院校专业组代码,专业组号,历史线索分层,冲稳保,冲稳保解释,与515关系,2026考生分数,2026考生位次,2025等位分,2024等位分,2023等位分,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,同代码命中年份数,同代码命中年份,三年投档分范围,等位分差摘要,历史线使用口径,再选要求跨年变化,历史组名疑似不一致,公办民办机器线索,家庭底线属性动作,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,工商旅游管理专业数,环境工程科学专业数,农业不含动物相关专业数,高收费或超预算专业数,护理助产专业数,动物医学兽医专业数,临床口腔中医暂缓专业数,医技护理康复专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,保真核验层级,机器核验下一步,人工核验下一步,下一步核验动作,讨论排序分,专业组出现ID,稳定基座专业组筛选ID
R4FEEGROUP-dffb874bcde7537d,5万内中外合作/高收费专项,50000,1,0,0,20000,20000,07 财务管理（国际本科学术互认课程专业：办学地点：四平校区）｜学费:20000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,四平市,教育部所在地,四平市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,吉林省,吉林省,,F589,吉林师范大学,F58905,05,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 39 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；520-481=+39；509-494=+15；历史最高等位分差=39。,515,91723,494,497,481,509,509-494=+15,,,520,520-481=+39,2,2023；2025,509-520,520-481=+39；509-494=+15,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.07 财务管理（国际本科学术互认课程专业：办学地点：四平校区）[M-e2db3f2a049a1cf7],四平校区,121,left,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-8.75,G-5113f21a0ce290eb,STABLEGROUP-d29f608c9d2d6ec2
R4FEEGROUP-dd83d65d72fe48a8,5万内中外合作/高收费专项,50000,2,0,0,35000,40000,12 机械电子工程（中外合作办学）（与英国雷克瑟姆大学合作）［47112/大连工业大学第 12组｜学费:35000｜预算内中外合作/高收费可讨论；13 自动化（中外合作办学）（与白俄罗斯国立工艺大学合作）｜学费:40000｜预算内中外合作/高收费可讨论,2个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,大连市,教育部所在地,大连市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,辽宁省,辽宁省,,F471,大连工业大学,F47111,11,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 64 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；545-481=+64；561-497=+64；534-494=+40；历史最高等位分差=64。,515,91723,494,497,481,534,534-494=+40,561,561-497=+64,545,545-481=+64,3,2023；2024；2025,534-561,545-481=+64；561-497=+64；534-494=+40,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.12 机械电子工程（中外合作办学）（与英国雷克瑟姆大学合作）［47112/大连工业大学第 12组[M-d4481d02c1533b63]；2.13 自动化（中外合作办学）（与白俄罗斯国立工艺大学合作）[M-8d8f86c136e931fa],,114,right,R3-P2官网后人工确认,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,9.0,G-04b69457ca0e36a9,STABLEGROUP-f2b6cb0259b791ae
R4FEEGROUP-118364e6d1ed4651,5万内中外合作/高收费专项,50000,1,0,0,40000,40000,15 机械工程（中外合作办学）（与白俄罗斯国立工艺大学合作）F472沈阳建筑大学（公办）（辽宁）｜学费:40000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,大连市,教育部所在地,大连市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,辽宁省,辽宁省,,F471,大连工业大学,F47114,14,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 31 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；525-494=+31；历史最高等位分差=31。,515,91723,494,497,481,525,525-494=+31,,,,,1,2025,525,525-494=+31,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.15 机械工程（中外合作办学）（与白俄罗斯国立工艺大学合作）F472沈阳建筑大学（公办）（辽宁）[M-f488d9120e61d325],,114,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-2.75,G-edd00a538a5762f7,STABLEGROUP-85a3e9f7865e20d7
R4FEEGROUP-2d3a225a1fc668a5,5万内中外合作/高收费专项,50000,1,0,0,40000,40000,14 计算机科学与技术（中外合作办学）（与白俄罗斯国立工艺大学合作）｜学费:40000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,大连市,教育部所在地,大连市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,辽宁省,辽宁省,,F471,大连工业大学,F47113,13,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 58 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；555-497=+58；529-494=+35；历史最高等位分差=58。,515,91723,494,497,481,529,529-494=+35,555,555-497=+58,,,2,2024；2025,529-555,555-497=+58；529-494=+35,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.14 计算机科学与技术（中外合作办学）（与白俄罗斯国立工艺大学合作）[M-fbf1f896ac6e0fc8],,114,right,R3-P2官网后人工确认,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-4.5,G-e2f9052ee41fc8db,STABLEGROUP-44aabebd1df63445
R4FEEGROUP-23eb5b93fb9f38a8,5万内中外合作/高收费专项,50000,2,0,0,48000,48000,16 会计学（中外合作办学）｜学费:48000｜预算内中外合作/高收费可讨论；17 旅游管理（中外合作办学）｜学费:48000｜预算内中外合作/高收费可讨论,2个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,大连市,教育部所在地,大连市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,辽宁省,辽宁省,,F492,大连大学,F49207,07,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 89 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；570-481=+89；489-494=-5；历史最高等位分差=89。,515,91723,494,497,481,489,489-494=-5,,,570,570-481=+89,2,2023；2025,489-570,570-481=+89；489-494=-5,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.16 会计学（中外合作办学）[M-3e5676216bb9392e]；2.17 旅游管理（中外合作办学）[M-6972cde8e6b25bd1],,117,left,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-5.25,G-0b885f026c934658,STABLEGROUP-5fb159f2310dbdb9
R4FEEGROUP-822dfdfaeb4809d8,5万内中外合作/高收费专项,50000,1,0,0,45000,45000,16 会计学（中外合作办学）（中澳合作办学，韭英语语种考生慎重报考：办学地点：旅顺口校区）｜学费:45000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,大连市,教育部所在地,大连市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified；pending_campus_or_location_review,辽宁省,辽宁省,,F470,大连交通大学,F47007,07,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 80 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；561-481=+80；562-494=+68；历史最高等位分差=80。,515,91723,494,497,481,562,562-494=+68,,,561,561-481=+80,2,2023；2025,561-562,561-481=+80；562-494=+68,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.16 会计学（中外合作办学）（中澳合作办学，韭英语语种考生慎重报考：办学地点：旅顺口校区）[M-c924376d17e89564]；2.19 期資高評冬院校专业组及专业代号[M-424267bba7d424d6],旅顺口校区,114,left,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-19.0,G-b8e069614153e755,STABLEGROUP-c3aa7637aab0e657
R4FEEGROUP-13d4c0628945fc1f,5万内中外合作/高收费专项,50000,1,0,0,30000,30000,12 财务管理（中外合作办学）（英语单科成绩未达到95分的考生慎重填报）F101天津财经大学（公办）（天津）｜学费:|30000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,天津市,教育部所在地,天津市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,天津市,天津市,,F100,天津商业大学,F10005,05,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 43 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；524-481=+43；536-497=+39；523-494=+29；历史最高等位分差=43。,515,91723,494,497,481,523,523-494=+29,536,536-497=+39,524,524-481=+43,3,2023；2024；2025,523-536,524-481=+43；536-497=+39；523-494=+29,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.12 财务管理（中外合作办学）（英语单科成绩未达到95分的考生慎重填报）F101天津财经大学（公办）（天津）[M-eeff819a96cd8259],,96,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-9.75,G-db35f4a068a0dfb0,STABLEGROUP-400d0f5c7a8a372a
R4FEEGROUP-521ce6a639e50f1b,5万内中外合作/高收费专项,50000,1,0,0,22000,22000,33 计算机科学与技术（中外合作办学）（与日本京都信息大学院大学合作办学，公共外语为日语（零起点）：办学F092 天津工业大学（公办）（天津）｜学费:22000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,天津市,教育部所在地,天津市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review,天津市,天津市,,F091,天津科技大学,F09106,06,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 91 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；572-481=+91；572-497=+75；563-494=+69；历史最高等位分差=91。,515,91723,494,497,481,563,563-494=+69,572,572-497=+75,572,572-481=+91,3,2023；2024；2025,563-572,572-481=+91；572-497=+75；563-494=+69,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.33 计算机科学与技术（中外合作办学）（与日本京都信息大学院大学合作办学，公共外语为日语（零起点）：办学F092 天津工业大学（公办）（天津）[M-ceca429dce05aaad],,94,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-12.75,G-912bbe80412f145d,STABLEGROUP-1233526e33849cac
R4FEEGROUP-1096acd4cab34355,5万内中外合作/高收费专项,50000,1,0,0,5800,5800,18 工科试验班（中外合作办学，中欧航空工程师，飞行器动力工程；办学地点：｜学费:5800｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,天津市,教育部所在地,天津市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,pending_campus_or_location_review；machine_ocr_remark_candidate_unverified,天津市,交通运输部（中国民用航空局）,,A059,中国民航大学,A05905,05,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 91 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；572-481=+91；567-497=+70；565-494=+71；历史最高等位分差=91。,515,91723,494,497,481,565,565-494=+71,567,567-497=+70,572,572-481=+91,3,2023；2024；2025,565-572,572-481=+91；567-497=+70；565-494=+71,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.18 工科试验班（中外合作办学，中欧航空工程师，飞行器动力工程；办学地点：[M-55fed89688ad6d48]；2.19 材料物理（先进航罕材料及智能设计；办学地点：东丽校区）[M-faf57d9a2f3d5c36]；3.20 材料化学（航空材料与器件处理；办学地点：东丽校区）[M-2e40a45eeae7d08c]；4.21 工科试验班（航空航天；飞行器动力工程（航空发动机）：飞行器制造 程（机结构与系统）：飞行器设计与工程：奈天智能电推进技术：办学地点：东丽[M-44f148d4ce5ed6c3]；5.22 飞行器质量与可靠性（办学地点：东丽校区）[M-fb996fb932ac4ce8]；6.23 飞行器适航技术（办学地点：东丽校[M-f6877166968ad19a]；7.24 工科试验班（民航安全与应急类：安全工程；应急技术与管理；办学地点：东丽校区）[M-dc20532e1378f357]；8.25 飞行器运维工程（办学地点：东丽校[M-4fdb19aa3a082ea3]；9.26 工科试验班（航空智能装各与能源类机械电子工程（飞机机电附件）：材料科学与工程：新能源科学与工程：油气储运工程：办学地点：东丽校区）A069华北电力大学（保定）（公办）（河北）[M-c38b183ec0c6747e],东丽校区,21,left,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-17.75,G-e4cb35c38460f7ab,STABLEGROUP-e42cb22977a0e846
R4FEEGROUP-8e4d76ea1d5d7496,5万内中外合作/高收费专项,50000,1,0,0,40000,40000,20 数据科学与大教据技术（中外合作办代号学）《阿斯顿国际学院；办学地点：开封校区）H554河南师范大学（公办）（河南）｜学费:40000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,开封市,教育部所在地,开封市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,河南省,河南省,,H553,河南大学,H55310,10,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 92 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；573-481=+92；历史最高等位分差=92。,515,91723,494,497,481,,,,,573,573-481=+92,1,2023,573,573-481=+92,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.20 数据科学与大教据技术（中外合作办代号学）《阿斯顿国际学院；办学地点：开封校区）H554河南师范大学（公办）（河南）[M-bf647134363e12f7],开封校区,174,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-9.0,G-81a010f52639d4c7,STABLEGROUP-d17f3cd69f9a3fd3
R4FEEGROUP-0fdf36f5b6fa143d,5万内中外合作/高收费专项,50000,1,0,0,40000,40000,18 电子信息科学与技术（中外合作办学《阿斯顿国际学院；办学地点：开封校区）｜学费:40000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,开封市,教育部所在地,开封市,,,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,pending_school_location_review,machine_ocr_remark_candidate_unverified,河南省,河南省,,H553,河南大学,H55308,08,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 103 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；584-481=+103；历史最高等位分差=103。,515,91723,494,497,481,,,,,584,584-481=+103,1,2023,584,584-481=+103,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,false,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.18 电子信息科学与技术（中外合作办学《阿斯顿国际学院；办学地点：开封校区）[M-d059fe74c0f3bc21],开封校区,174,right,R2-P1页列集中核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,-20.75,G-bcb22b45230ade31,STABLEGROUP-c2c6eb5ce4a2a7fd
R4FEEGROUP-4bf40c6c44cf316c,5万内中外合作/高收费专项,50000,1,0,0,45000,45000,03 数字媒体技术（中外合作办学）（办学地点：郫都校区）K174 攀枝花学院（公办）（四川）｜学费:45000｜预算内中外合作/高收费可讨论,1个5万内高收费/中外合作线索；仍需核第19期原页、湖北官方侧、招生章程、培养模式、证书和出国要求,直接来源于稳定底座、教育部学校属性表、三年投档线旁挂表和逐专业费用线索；不引用 Round3/Round4 输出。,高冲暂缓索引,false,false,成都市,教育部所在地,成都市,成都,成都,城市按教育部学校所在地展示，仅作讨论维度；实际校区和办学地点必须再核第19期原页、湖北官方侧和招生章程。,教育部所在地为学校登记地线索，不能替代2026招生计划和章程中的办学地点,machine_school_name_keyword_unverified,machine_ocr_remark_candidate_unverified,四川省,四川省,,K173,成都工业学院,K17302,02,H5-历史最高线高于等位分30分以上,高冲暂缓,高冲暂缓：按同代码历史最高等位分差 40 判断；分差为各年投档分减该年515位次等位分。,515对应等位分：2025=494、2024=497、2023=481；521-481=+40；532-497=+35；历史最高等位分差=40。,515,91723,494,497,481,,,532,532-497=+35,521,521-481=+40,2,2023；2024,521-532,521-481=+40；532-497=+35,按院校专业组代码同代码旁挂，仅作冲稳保筛选前置线索；不能证明2026专业组存在、组内专业不变、计划数准确或投档位次可沿用。,true,false,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,调剂风险线索-组内存在默认不能接受专业,高收费或超预算；费用专项需确认同组所有可调剂专业均不突破家庭费用底线。,1.03 数字媒体技术（中外合作办学）（办学地点：郫都校区）K174 攀枝花学院（公办）（四川）[M-7dba8b98288507c5],郫都校区,212,right,R1-P0整组先核,先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,核第19期原页、湖北官方系统/省招办计划、招生章程、学费、培养模式、证书、出国要求、校区、语种/单科/体检限制和调剂范围。,3.0,G-6b703c5e4b17b419,STABLEGROUP-74ad0c37f415b345
