Round4重点核验专业ID,来源Round4重点核验组,来源Round4完整组内专业,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,压缩序号,第四轮候选ID,专业组出现ID,城市,冲稳保,院校代码,院校名称,院校专业组代码,专业组内专业序号,专业代号,专业名称及备注,专业偏好方向,第四轮方向标签,专业角色判断,机器专业接受度初判,家庭接受度初判V2,调剂风险初判V2,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,来源页码,版面列,专业行ID
R4FOCUSMAJOR-032760ebf63d9a08,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,3,61,智能测控工程（汽车智能测控）,,,字段缺口待核,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,组内专业较多，需逐条确认调剂接受度,,,48,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-4b9d9db71e637b5b
R4FOCUSMAJOR-f646184f491309a3,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,4,62,电子信息工程（汽车电子工程）63（智能电网信息工程（汽车产业）,,电子信息网络,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,组内专业较多，需逐条确认调剂接受度,,,66,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-1cef07ff4b22c9a0
R4FOCUSMAJOR-db9275822d9f60f1,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,5,64,电气工程及其自动化（汽车产业）,,机械自动化机器人,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,组内专业较多，需逐条确认调剂接受度,,,79,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-b9692f3336f632cc
R4FOCUSMAJOR-9774295c740a930d,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,6,65,自动化（汽车产业）,,机械自动化机器人,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,组内专业较多，需逐条确认调剂接受度,,,82,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-739c3748f1af43d6
R4FOCUSMAJOR-c68da157be93cf27,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,7,66,机器人工程（汽车产业）,,机械自动化机器人,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,组内专业较多，需逐条确认调剂接受度,,,48,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-9d5f0b3502551420
R4FOCUSMAJOR-68cab2f5e1a9bd8e,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,8,67,计算机科学与技术（智能软件）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,组内专业较多，需逐条确认调剂接受度,,,49,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-6c80adf580311506
R4FOCUSMAJOR-ab04d130fef05793,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,9,68,计算机科学与技术（大数据技术）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,组内专业较多，需逐条确认调剂接受度,,,244,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-5bddebcd50feb72b
R4FOCUSMAJOR-c08cb24074437d6d,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,10,69,信息安全（智能汽车安全）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,组内专业较多，需逐条确认调剂接受度,,,65,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-0d56d3aa94ba06f9
R4FOCUSMAJOR-93c2936a73ed9f35,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,11,70,智能科学与技术（智能网联）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,组内专业较多，需逐条确认调剂接受度,,,66,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-e82b18054b0ea501
R4FOCUSMAJOR-c2011b626c3db18a,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,12,71,智能科学与技术（智能汽车）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,组内专业较多，需逐条确认调剂接受度,,,54,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-58dc6a81dd16c9d8
R4FOCUSMAJOR-4f17349fcd45a540,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,13,72,智能无人系统技术（低空技术）,,,字段缺口待核,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,组内专业较多，需逐条确认调剂接受度,,,48,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-655ec1115a7811d2
R4FOCUSMAJOR-efb4bb6fc06d360a,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,14,73,数学与应用数学（智能科学）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,组内专业较多，需逐条确认调剂接受度,,,54,4000,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-4a0ece0eee9ba76c
R4FOCUSMAJOR-1bdb0280680ddf4d,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,2,R4GROUP-103ee2b5e642f511,G-c60fd32db2360718,十堰市,稳妥观察,C131,湖北汽车工业学院,C13107,15,74,数据科学与大数据技术,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,优先了解-命中当前偏好方向,优先了解-命中当前专业方向,组内专业较多，需逐条确认调剂接受度,,［化学,63,5200,0,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,77,right,M-4efc34fbf540cd09
R4FOCUSMAJOR-02a1159734769c13,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,3,R4GROUP-9948d103a09dc6ad,G-d7999ebd3ca3839c,伊犁哈萨克自治州,稳妥观察,K754,伊犁师范大学,K75403,1,10,数学与应用数学（师范类：数学单科成绩≥65分：办学地点：解放路校区）,师范类相关,师范类相关,可了解-师范,暂缓判断-特殊限制待核,待核后判断-有体检/语种/单科/专项等限制,组内有特殊限制待核，服从调剂前需核完整专业组,语种或单科限制,［化学,,4500,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-d4478deadbe9d36c
R4FOCUSMAJOR-fa85843738aac11f,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,3,R4GROUP-9948d103a09dc6ad,G-d7999ebd3ca3839c,伊犁哈萨克自治州,稳妥观察,K754,伊犁师范大学,K75403,2,11,应用统计学（数学单科成绩≥60分；办学地点：解放路校区）,,,字段缺口待核,暂缓判断-特殊限制待核,待核后判断-有体检/语种/单科/专项等限制,组内有特殊限制待核，服从调剂前需核完整专业组,语种或单科限制,,5,4500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-ff4d11d6aa60c91f
R4FOCUSMAJOR-55a4004cabecadd0,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,3,R4GROUP-9948d103a09dc6ad,G-d7999ebd3ca3839c,伊犁哈萨克自治州,稳妥观察,K754,伊犁师范大学,K75403,3,12,数据科学与大数据技术（数学单科成续≥60分；办学地点：解放路校区）,计算机类相关,计算机AI软件；计算机类相关,主线偏好-计算机/数字媒体,暂缓判断-特殊限制待核,待核后判断-有体检/语种/单科/专项等限制,组内有特殊限制待核，服从调剂前需核完整专业组,语种或单科限制,,,4500,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-ae298e3e9cf6a985
R4FOCUSMAJOR-5a03a261c80c1d16,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,3,R4GROUP-9948d103a09dc6ad,G-d7999ebd3ca3839c,伊犁哈萨克自治州,稳妥观察,K754,伊犁师范大学,K75403,4,13,测绘工程（办学地点：解放路校区）,,,字段缺口待核,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,组内有特殊限制待核，服从调剂前需核完整专业组,,,5,4500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-8e56cb8663c33e0f
R4FOCUSMAJOR-32b489e3fc518d95,data/exports/issue19-round4-priority-focus55-groups.csv,data/exports/issue19-round4-city-gradient-major-details.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_round4_priority_focus55,Round4重点核验组×完整组内专业,false,false,false,false,false,false,false,false,3,R4GROUP-9948d103a09dc6ad,G-d7999ebd3ca3839c,伊犁哈萨克自治州,稳妥观察,K754,伊犁师范大学,K75403,5,14,地理空间信息工程（办学地点：解放路校区）,,电子信息网络,主线偏好-工科信息制造,待了解-未命中当前偏好方向,可调剂了解-未命中偏好但暂未见硬排除,组内有特殊限制待核，服从调剂前需核完整专业组,,,5,4500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,235,right,M-34db041d2c031664
