执行顺序,页码版面键,来源页码,版面列,执行泳道,第一闭环页列优先级,页列总任务数,PDF原页必核任务数,湖北官方侧必核任务数,高校辅证需复核任务数,双人复核任务数,专业计划数字段任务数,学费字段任务数,再选科目字段任务数,PDFOCR候选任务数,无PDFOCR需看图任务数,PDFOCR与高校辅证冲突任务数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,页列首要核验动作,页列候选核验动作,当前闭环状态,当前阻断原因,下一步,完成条件
11,023-left,23,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
12,040-right,40,right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
13,043-left,43,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
14,053-right,53,right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
15,093-left,93,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
16,141-left,141,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
17,205-left,205,left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
18,235-right,235,right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
19,226-left,226,left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,39,39,39,39,5,19,0,0,20,19,1,0,19,1,0,0,19,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=39；湖北官方侧记录完成=39或记录官方系统不可得状态；高校辅证记录完成=39；双人复核完成=5；字段事实写回复查通过后才可进入下一层
20,109-left,109,left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,8,8,8,8,2,4,0,0,4,4,0,0,4,0,0,0,4,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=8；湖北官方侧记录完成=8或记录官方系统不可得状态；高校辅证记录完成=8；双人复核完成=2；字段事实写回复查通过后才可进入下一层
21,226-right,226,right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,4,4,4,4,2,2,0,0,2,2,2,0,2,0,0,0,2,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先核PDFOCR与高校辅证冲突任务，再做双人复核,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=4；湖北官方侧记录完成=4或记录官方系统不可得状态；高校辅证记录完成=4；双人复核完成=2；字段事实写回复查通过后才可进入下一层
22,038-right,38,right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,2,2,0,2,2,0,0,0,2,0,0,0,0,0,2,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=2；湖北官方侧记录完成=2或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=2；字段事实写回复查通过后才可进入下一层
23,082-right,82,right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,2,2,0,2,2,0,0,0,2,0,0,0,0,0,2,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=2；湖北官方侧记录完成=2或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=2；字段事实写回复查通过后才可进入下一层
24,137-left,137,left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,2,2,2,1,1,0,0,1,1,0,0,1,0,0,0,1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=2；湖北官方侧记录完成=2或记录官方系统不可得状态；高校辅证记录完成=2；双人复核完成=1；字段事实写回复查通过后才可进入下一层
25,014-left,14,left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
26,032-right,32,right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
27,033-right,33,right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
28,102-left,102,left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
29,228-left,228,left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层
30,080-right,80,right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,18,18,18,18,17,0,0,17,1,17,0,0,0,1,0,0,17,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=18；湖北官方侧记录完成=18或记录官方系统不可得状态；高校辅证记录完成=18；双人复核完成=17；字段事实写回复查通过后才可进入下一层
31,070-right,70,right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,11,11,11,11,0,0,0,0,11,0,0,0,0,11,0,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先按PDFOCR候选逐条人工确认原页,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=11；湖北官方侧记录完成=11或记录官方系统不可得状态；高校辅证记录完成=11；双人复核完成=0；字段事实写回复查通过后才可进入下一层
32,135-right,135,right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,3,3,3,3,0,0,0,0,1,2,0,0,0,3,0,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先人工看图补PDF原页读数，再核湖北官方侧,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=3；湖北官方侧记录完成=3或记录官方系统不可得状态；高校辅证记录完成=3；双人复核完成=0；字段事实写回复查通过后才可进入下一层
33,235-left,235,left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,2,2,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先按PDFOCR候选逐条人工确认原页,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=2；湖北官方侧记录完成=2或记录官方系统不可得状态；高校辅证记录完成=2；双人复核完成=0；字段事实写回复查通过后才可进入下一层
34,036-right,36,right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先按PDFOCR候选逐条人工确认原页,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=1；双人复核完成=0；字段事实写回复查通过后才可进入下一层
35,057-left,57,left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先按PDFOCR候选逐条人工确认原页,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=1；双人复核完成=0；字段事实写回复查通过后才可进入下一层
36,081-left,81,left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先按PDFOCR候选逐条人工确认原页,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=1；双人复核完成=0；字段事实写回复查通过后才可进入下一层
37,096-right,96,right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,先按PDFOCR候选逐条人工确认原页,待核：PDF原页、湖北官方侧、高校辅证和字段写回均未闭环,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；字段事实写回仍阻断,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=1；双人复核完成=0；字段事实写回复查通过后才可进入下一层
