核验任务序号,页码版面键,执行泳道,院校代码,院校名称,院校专业组代码,专业代号,专业名称短摘,字段范围,任务来源类型,公开冲突桶,候选提示桶,PDFOCR提示,机器坐标提示,高校辅证线索,是否需要双人复核,PDF原页记录状态,湖北官方记录状态,高校辅证记录状态,字段写回状态,人工动作,完成条件,专业行ID,第一闭环任务ID
2,199-left,E0-冲突异常双人优先核验,H945,南宁学院,H94505,22,物联网工程,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-c0e205bf9e212204,FIRSTDETAIL-393dba8354b77b5e
2,199-left,E0-冲突异常双人优先核验,H945,南宁学院,H94505,23,数据科学与大数据技术,学费,P0人工字段任务,R5-无候选需人工看图,H1-原缺PDFOCR但有机器坐标候选,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M0-机器坐标单一候选可作为人工核页提示,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按机器坐标提示回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-68b3c87f68237d40,FIRSTDETAIL-f035ffd6c61f373e
2,199-left,E0-冲突异常双人优先核验,H945,南宁学院,H94505,24,数字媒体技术,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-428c631bc321e966,FIRSTDETAIL-93e1c6f08abff549
2,199-left,E0-冲突异常双人优先核验,H945,南宁学院,H94505,25,计算机科学与技术（不招单色不能识别考生）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-dc718284a7b7340c,FIRSTDETAIL-a54f685382d6b1c6
2,199-left,E0-冲突异常双人优先核验,H945,南宁学院,H94505,26,智能科学与技术H948柳州工学院（民办）（广西）,专业计划数,自动官网辅证任务,R3-仅PDFOCR候选待人工核页,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,false,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-0e8881b7e05a4ea3,FIRSTDETAIL-b0445279f2648fcb
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,13,大气科学（办学地点：航空港校区）,专业计划数；学费；再选科目,自动官网辅证任务,R1-PDFOCR与高校辅证存在一致字段,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-eb78e1c31fae9e22,FIRSTDETAIL-91f329b50cb442b2
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,13,大气科学（办学地点：航空港校区）,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-eb78e1c31fae9e22,FIRSTDETAIL-a76e59cf1cf0d059
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,14,应用气象学（办学地点：航空港校区）,专业计划数；学费；再选科目,自动官网辅证任务,R1-PDFOCR与高校辅证存在一致字段,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-4d07d36dc438349c,FIRSTDETAIL-efa0717525e49d43
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,14,应用气象学（办学地点：航空港校区）,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-4d07d36dc438349c,FIRSTDETAIL-d82fb416df4cb6df
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,15,电子信息工程（办学地点：航空港校,专业计划数；学费；再选科目,自动官网辅证任务,R1-PDFOCR与高校辅证存在一致字段,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-8281eec06d651680,FIRSTDETAIL-db3c8109cbb01ac9
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,15,电子信息工程（办学地点：航空港校,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-8281eec06d651680,FIRSTDETAIL-80f6e32678d47edc
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,19,逻感科学与技术（办学地点：航空港校,专业计划数；学费,自动官网辅证任务,R3-仅PDFOCR候选待人工核页,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,false,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-912162e2ec586cf5,FIRSTDETAIL-321c7d17dc30653c
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,21,包象技术与工程（办学地点：航空港校,专业计划数；学费,自动官网辅证任务,R3-仅PDFOCR候选待人工核页,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,false,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-946c01fc445f6eb2,FIRSTDETAIL-ff3b9d7ceecbddf8
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,24,机器人工程（办学地点：航空港校区）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-0aea883663b5fb39,FIRSTDETAIL-1c3252c859c2d2ea
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,29,信息安全（办学地点：航空港校区）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-e2879b097d059aee,FIRSTDETAIL-ac9be6f84b5cb492
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,30,婆产与应用数学（办学地点：航空港校,学费,自动官网辅证任务,R3-仅PDFOCR候选待人工核页,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,false,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-026664ca0517a54d,FIRSTDETAIL-b23680d0e33b54fd
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,31,信息与计算科学（办学地点：航空港校区）,专业计划数；学费；再选科目,自动官网辅证任务,R1-PDFOCR与高校辅证存在一致字段,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-8aed30091b7482da,FIRSTDETAIL-7c1d30e2021684d3
3,209-right,E0-冲突异常双人优先核验,K153,成都信息工程大学,K15306,31,信息与计算科学（办学地点：航空港校区）,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-8aed30091b7482da,FIRSTDETAIL-d130070db0608685
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,39,统计学,专业计划数；学费；再选科目,自动官网辅证任务,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-8ba195c86a925e83,FIRSTDETAIL-4a3b29ecc48bcddc
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,39,统计学,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-8ba195c86a925e83,FIRSTDETAIL-352f0e7f8e92d653
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,40,人工智能,专业计划数；学费,自动官网辅证任务,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-90b2fc54c5bc2e5c,FIRSTDETAIL-1e13c2dc5bcd6811
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,40,人工智能,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-90b2fc54c5bc2e5c,FIRSTDETAIL-04f5273e386af8c6
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,41,数学与应用数学,专业计划数；学费,自动官网辅证任务,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-9710c4b647b66507,FIRSTDETAIL-32bdf82346802bf7
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,41,数学与应用数学,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-9710c4b647b66507,FIRSTDETAIL-9085a434404761c6
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,46,通信工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-a8b31c9114605c03,FIRSTDETAIL-8991edc6731114ee
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,47,计算机科学与技术,专业计划数；学费,自动官网辅证任务,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-cdfe659d6ddbb7d7,FIRSTDETAIL-2805b5347b8e40ae
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,47,计算机科学与技术,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-cdfe659d6ddbb7d7,FIRSTDETAIL-e796394270d8dbd9
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,48,数字媒体技术,专业计划数；学费,自动官网辅证任务,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-13b19a3991c8159a,FIRSTDETAIL-2f3d5f6bcb8b8c58
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,48,数字媒体技术,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-13b19a3991c8159a,FIRSTDETAIL-26a4a2d46176a22b
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,49,安全工程,专业计划数；学费,自动官网辅证任务,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-b4b8560bd289f9b5,FIRSTDETAIL-55c641ecf7db1022
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,49,安全工程,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-b4b8560bd289f9b5,FIRSTDETAIL-80ab74779f516adb
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,50,应急技术与管理,专业计划数；学费,自动官网辅证任务,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,按PDFOCR候选回看PDF原页，再核湖北官方侧,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-4a71a2765412ac2a,FIRSTDETAIL-2fc55fcaedc06c57
4,169-right,E0-冲突异常双人优先核验,H450,山东工商学院,H45004,50,应急技术与管理,专业计划数,P0人工字段任务,R5-无候选需人工看图,H4-无候选需人工看图,private_pdf_ocr_candidate_unavailable_needs_manual_image_review,M1-机器坐标仍无候选需人工看图,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,blocked_until_required_private_readings_complete,直接回看PDF原页和页列上下文,完成PDF原页、湖北官方侧和必要高校辅证记录；冲突任务需双人复核；仍需人工判断是否写回。,M-4a71a2765412ac2a,FIRSTDETAIL-51b2b8463ec925df
