家庭专业决策组ID,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,家庭讨论排序,院校代码,院校名称,院校专业组代码,专业组号,院校专业组,城市,冲稳保,历史稳定性等级,与515关系,同代码命中年份数,完整组内专业数,机器可接受专业数,机器勉强接受专业数,机器待核后判断专业数,机器不能接受提示专业数,建议放入6专业讨论数,特殊限制待核专业数,体检色觉风险专业数,语种或单科限制专业数,必须100%人工核验专业数,高校官网证据已匹配专业数,高校官网证据未匹配专业数,字段缺口专业数,调剂接受风险等级,调剂风险说明,家庭本轮要回答的问题,家庭整组态度待填,家庭整组态度可填值,是否愿意服从调剂待填,服从调剂可填值,家庭整组备注待填,核验最小动作,公开填写边界,关联专业集合SHA16,公开安全策略
P55-FAM-GROUP-6a1ec9fb98c8174e,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,11,F204,北华航天工业学院,F20403,03,F204 北华航天工业学院 F20403 03,廊坊市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；521-497=+24；520-494=+26；历史最高等位分差=26。,2,8,2,6,0,0,2,0,0,0,1,0,0,7,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,0538af072026b063,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-6cadb0175c8b11cd,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,12,C128,湖北经济学院,C12811,11,C128 湖北经济学院 C12811 11,武汉市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；498-481=+17；515-497=+18；505-494=+11；历史最高等位分差=18。,3,5,1,4,0,0,1,0,0,0,0,0,0,5,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,cfba3a9fae27b301,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-2a25b72e8fceb00b,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,13,F687,佳木斯大学,F68704,04,F687 佳木斯大学 F68704 04,佳木斯市,冲刺观察,H4-冲刺历史线索,515对应等位分：2025=494、2024=497、2023=481；504-481=+23；516-497=+19；508-494=+14；历史最高等位分差=23。,3,4,1,3,0,0,1,0,0,0,0,0,0,3,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,a7b7590e5e2af751,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-2f48746975cdd723,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,14,H135,淮南师范学院,H13502,02,H135 淮南师范学院 H13502 02,淮南市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；482-481=+1；502-497=+5；485-494=-9；历史最高等位分差=5。,3,18,9,7,2,0,9,18,0,2,1,0,0,15,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,先核限制/字段后，再判断是否愿意服从调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,ba51bae995ffa5c7,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-249fb6cedb649fcd,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,15,A207,北方民族大学,A20711,11,A207 北方民族大学 A20711 11,银川市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；478-481=-3；500-497=+3；499-494=+5；历史最高等位分差=5。,3,12,4,8,0,0,4,0,0,0,0,0,0,11,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,d45ba3da6ef0dd3b,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-0095c15697f1dbec,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,16,H450,山东工商学院,H45004,04,H450 山东工商学院 H45004 04,烟台市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；487-481=+6；502-497=+5；504-494=+10；历史最高等位分差=10。,3,16,4,12,0,0,4,0,0,0,2,15,1,16,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先处理已排入第一闭环的页列和字段，再核湖北官方侧。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,a007a2d845b452b8,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-33f8aae0f1784a20,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,17,F311,太原工业学院,F31102,02,F311 太原工业学院 F31102 02,太原市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；491-481=+10；488-497=-9；495-494=+1；历史最高等位分差=10。,3,10,3,7,0,0,3,0,0,0,9,0,0,10,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,8d419b8a21b39697,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-5b51e0cfb143e6a3,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,18,C138,湖北理工学院,C13810,10,C138 湖北理工学院 C13810 10,黄石市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；483-481=+2；497-497=+0；484-494=-10；历史最高等位分差=2。,3,5,4,1,0,0,4,0,0,0,0,0,0,4,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,f7ea59db225594f4,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-29c9aecd30e8e559,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,19,H907,广西科技师范学院,H90703,03,H907 广西科技师范学院 H90703 03,来宾市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；484-481=+3；497-497=+0；489-494=-5；历史最高等位分差=3。,3,9,4,5,0,0,4,0,0,0,8,0,0,9,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,3851607e887d1fdc,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-ff1c8fca08f83234,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,20,H330,新余学院,H33005,05,H330 新余学院 H33005 05,新余市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；502-497=+5；493-494=-1；历史最高等位分差=5。,2,8,3,5,0,0,3,0,0,0,3,0,0,7,T2-结构异常，先核完整组内专业,组内结构或专业归属未闭环，先核完整组内专业。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核PDF原页中的专业组边界、专业归属和完整组内专业。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,ec97e154b28f15c9,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-e8ff6227259a14c0,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,21,C129,湖北民族大学,C12903,03,C129 湖北民族大学 C12903 03,恩施土家族苗族自治州,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；495-494=+1；历史最高等位分差=1。,1,9,2,7,0,0,2,0,0,0,0,0,0,8,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,738498f9e0da5cb5,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-c3cd85aa535911b7,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,22,C138,湖北理工学院,C13813,13,C138 湖北理工学院 C13813 13,黄石市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；488-481=+7；493-497=-4；486-494=-8；历史最高等位分差=7。,3,4,3,0,1,0,3,4,1,0,0,0,0,3,T1-特殊限制待核，先核章程/原页,有体检、语种、单科、专项或章程限制待核，先看限制再谈调剂。,先核限制/字段后，再判断是否愿意服从调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,先核章程、体检、语种、单科、校区和调剂限制。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,80cdd34ee151205b,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-GROUP-6cfde961edeac619,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策组汇总,院校专业组×完整组内专业,false,false,false,false,false,false,false,false,23,C127,湖北工程学院,C12706,06,C127 湖北工程学院 C12706 06,孝感市,稳冲观察,H3-稳冲历史线索,515对应等位分：2025=494、2024=497、2023=481；487-481=+6；505-497=+8；473-494=-21；历史最高等位分差=8。,3,5,3,2,0,0,3,0,0,0,0,0,0,4,T4-暂未见硬阻断，仍需人工接受度判断,暂未见硬阻断，但仍需家里逐专业确认接受度。,逐条确认勉强接受专业是否真的能接受调剂。,,保留重点核验 / 暂缓 / 排除 / 待家里讨论,,可以 / 勉强可以 / 不可以 / 待核后判断,,进入下一轮候选后，按完整组内专业做100%原页和湖北官方侧核验。,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,005e08f17e50e19a,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
