第二轮候选ID,第二轮池,第二轮层级,建议梯度,专业角色判断,第二轮方向标签,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,主线偏好-工科信息制造,机械自动化机器人,false,H315,景德镇陶瓷大学,H31502,8,09,机械设计制造及其自动化（办学地点：湘湖校区）,,待了解-未命中当前偏好方向,,,2,4940,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-d6c91e9235b8bcea,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,主线偏好-计算机/数字媒体,电子信息网络；计算机AI软件；计算机类相关,false,H315,景德镇陶瓷大学,H31502,9,10,电子科学与技术（办学地点：湘湖校计算机科学与技术（除患有《普通高等学校招生体检工作指导意见〉中第部分所列严重疾病（严重心脏病、重症恶性肿瘤、黑重精神病支气管扩张示器上识别红、一颜色数码/字母者不予录取；办学地点：湘湖校区）,计算机类相关,暂缓判断-特殊限制待核,体检或色觉限制,,1,5220,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-affa333b6ee166d5,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,字段缺口待核,,false,H315,景德镇陶瓷大学,H31502,10,12,信息与计算科学（办学地点：湘湖校,,待了解-未命中当前偏好方向,,,,5220,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-4217a77c4b4d180d,G-95b37b0322d929ba
R2GROUP-08acc906a164a2af,专项,S2-农业/环境专项了解,冲刺观察,可了解-农业相关,农业动医兽医；计算机AI软件；计算机类相关,false,H315,景德镇陶瓷大学,H31502,11,13,人工智能（办学地点：湘湖校区）H316江西农业大学（公办）（江西）,计算机类相关,优先了解-命中当前偏好方向,,,97,5220,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,26,22,155,right,M-821a212944c32d0a,G-95b37b0322d929ba
R2GROUP-0c6405c0d5fd3927,专项,S1-医技/康复专项了解,稳妥观察,调剂接受度待判断,,false,F298,长治医学院,F29803,1,03,生物医学工程,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,化学,2,5370,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,left,M-f5e12cafb813171e,G-4050cae60c3808cc
R2GROUP-0c6405c0d5fd3927,专项,S1-医技/康复专项了解,稳妥观察,专项了解-医技护理康复,医技护理康复,false,F298,长治医学院,F29803,2,04,康复工程,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,5370,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,left,M-683d80dd9d365acb,G-4050cae60c3808cc
R2GROUP-0c6405c0d5fd3927,专项,S1-医技/康复专项了解,稳妥观察,字段缺口待核,,false,F298,长治医学院,F29803,3,05,食品营养与健康,,待了解-未命中当前偏好方向,,,2,5370,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,left,M-de34c33a105ead6b,G-4050cae60c3808cc
R2GROUP-0c6405c0d5fd3927,专项,S1-医技/康复专项了解,稳妥观察,字段缺口待核,,false,F298,长治医学院,F29803,4,06,药学貨高院校专业组及专业代号,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,5480,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,left,M-e4fe70048750fbd3,G-4050cae60c3808cc
R2GROUP-0c6405c0d5fd3927,专项,S1-医技/康复专项了解,稳妥观察,字段缺口待核,,false,F298,长治医学院,F29803,5,07,中药学,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,要求,,5480,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,right,M-fb4f12d9b9b92905,G-4050cae60c3808cc
R2GROUP-0c6405c0d5fd3927,专项,S1-医技/康复专项了解,稳妥观察,专项了解-医技护理康复,医技护理康复,false,F298,长治医学院,F29803,6,08,康复治疗学,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,,5480,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,right,M-9ada6e4ad73d2ac0,G-4050cae60c3808cc
R2GROUP-0db252078dd6c814,专项,S1-医技/康复专项了解,历史待补,专项了解-医技护理康复,医技护理康复,false,K471,延安大学,K47105,1,16,医学影像学（办学地点：杨家岭校区；学制：五年）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,,2,再选科目；学费,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,225,left,M-64db5523a400463d,G-5694ccfb8b0aa526
R2GROUP-0db252078dd6c814,专项,S1-医技/康复专项了解,历史待补,专项了解-医技护理康复,医技护理康复,false,K471,延安大学,K47105,2,17,医学检验技术（办学地点：杨家岭校K472 陕西理工大学（公办）（陕西）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,,2,再选科目；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,225,left,M-5be3e06437e1b42d,G-5694ccfb8b0aa526
R2GROUP-0ea701a2149dd0d8,专项,S1-医技/康复专项了解,历史待补,专项了解-医技护理康复,医技护理康复,false,H124,安徽中医药大学,H12408,1,17,医学检验技术（不招色觉异常（含色頂、色弱）考生；办学地点：少荃湖校,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,化学,,5500,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,145,left,M-37c92f02b89422b6,G-1ffbcb293469d779
R2GROUP-0ea701a2149dd0d8,专项,S1-医技/康复专项了解,历史待补,专项了解-医技护理康复,医技护理康复,false,H124,安徽中医药大学,H12408,2,18,医学影像技术（不招色觉异常（含色頂、色弱）考生；办学地点：少荃湖校,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,,5500,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,145,left,M-91e95ec1a202685b,G-1ffbcb293469d779
R2GROUP-0ea701a2149dd0d8,专项,S1-医技/康复专项了解,历史待补,字段缺口待核,,false,H124,安徽中医药大学,H12408,3,19,健康与医疗保障（不招色觉异常（含魚盲、色弱）考生：办学地点：少荃湖校,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,,5500,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,145,left,M-0c7059c4d275262c,G-1ffbcb293469d779
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,1,05,治金工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-808535c1c4be4fae,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,2,06,材料科学与工程（办学地点：秀山校,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-206f7ae5f468e47c,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,3,07,测控技术与仪器（办学地点：佳山校,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-8c1b03694cf4f04b,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,4,08,车辆工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-7d8d87ad79aeffd1,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-工科信息制造,机械自动化机器人,false,F117,安徽工业大学,F11702,5,09,电气工程及其自动化（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-ac84d3b10b3802ad,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-工科信息制造,电子信息网络,false,F117,安徽工业大学,F11702,6,10,电子信息工程（办学地点：佳山校区）二高分子材料与工程（办学地点：佳山校,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-57d566d166e1e8d1,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,7,12,给排水科学与工程（办学地点：秀山校,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-b5b923c242dab445,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,8,13,焊接技术与工程（办学地点：秀山校区）,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-b9c4a2b50a089ac2,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,9,14,化学工程与工艺（办学地点：佳山校,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-886677663c056a65,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,可了解-环境,环境工程科学,false,F117,安徽工业大学,F11702,10,15,环境工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5720,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-9e9c4a191a415c39,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-工科信息制造,机械自动化机器人,false,F117,安徽工业大学,F11702,11,16,机器人工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-64498ad36c5c276b,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-工科信息制造,机械自动化机器人,false,F117,安徽工业大学,F11702,12,17,机械设计制造及其自动化（办学地点：KA◎ZG院校专业组及专业代号佳山校区）,,待了解-未命中当前偏好方向,,,2,5720,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,143,right,M-43f4c7f8e5b6b366,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,F117,安徽工业大学,F11702,13,18,计算机科学与技术（办学地点：佳山校,计算机类相关,优先了解-命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-7b6561d6f719e168,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,14,19,建筑环境与能源应用工程（办学地点：秀山校区）,,待了解-未命中当前偏好方向,,,3,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-1ee7d230291518f5,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,15,20,金属材料工程（办学地点：秀山校区）,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-9d208329840691da,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,16,21,熊源与动力工程（办学地点：佳山校,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-4f90eafc82d5543f,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,F117,安徽工业大学,F11702,17,22,人工智能（办学地点：佳山校区）,计算机类相关,优先了解-命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-48c809ef4adb8ff5,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,F117,安徽工业大学,F11702,18,23,软件工程（办学地点：佳山校区）,计算机类相关,优先了解-命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-cb5548f786c5c869,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-工科信息制造,电子信息网络,false,F117,安徽工业大学,F11702,19,24,通信工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-5527be2f5a0c02c1,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,20,25,士木工程（办学地点：秀山校区）,,待了解-未命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-a0f2c582d687acd9,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-工科信息制造,电子信息网络,false,F117,安徽工业大学,F11702,21,26,徹电子科学与工程（办学地点：秀山校,,待了解-未命中当前偏好方向,,,,5200,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-69fb06fd682c0a16,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-计算机/数字媒体,电子信息网络；计算机AI软件；计算机类相关,false,F117,安徽工业大学,F11702,22,27,物联网工程（办学地点：佳山校区）,计算机类相关,优先了解-命中当前偏好方向,,,,5720,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-9de12f7ab602f259,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,23,28,应用化学（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-560bb57b57b8d24f,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,字段缺口待核,,false,F117,安徽工业大学,F11702,24,29,资源循环科学与工程（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5200,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-850d74e78ba9d154,G-c5ce24d41d1f9e63
R2GROUP-10b522d8db8bc7db,专项,S2-农业/环境专项了解,历史待补,主线偏好-工科信息制造,机械自动化机器人,false,F117,安徽工业大学,F11702,25,30,自动化（办学地点：佳山校区）,,待了解-未命中当前偏好方向,,,2,5720,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,144,left,M-ecddf33bb13f8b7c,G-c5ce24d41d1f9e63
