家庭专业决策明细ID,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,家庭讨论排序,院校代码,院校名称,院校专业组代码,城市,冲稳保,专业组内专业序号,专业代号,专业名称及备注,机器家庭接受度建议,家庭最终接受度待填,家庭最终接受度可填值,是否建议放入6专业讨论,建议6专业理由,调剂风险提示,服从调剂影响,组内调剂判断状态,家庭要回答的问题,专业偏好方向,专业角色判断,专业风险类型,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,来源页码,版面列,专业行ID,第四轮候选ID,家庭备注待填,公开填写边界,公开安全策略
P55-FAM-MAJOR-f8e2262599556223,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,2,C128,湖北经济学院,C12815,武汉市,冲刺观察,3,A2,电子信息工程,勉强接受,,可接受 / 勉强接受 / 不能接受 / 待了解,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,主线偏好-工科信息制造,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-23980bd85457c053,R4GROUP-45168577dad22593,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-c4a3fa375a56a993,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,2,C128,湖北经济学院,C12815,武汉市,冲刺观察,4,A3,软件工程,可接受,,可接受 / 勉强接受 / 不能接受 / 待了解,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-1efaea54a448afe9,R4GROUP-45168577dad22593,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-c80f427bcfeadd1b,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,2,C128,湖北经济学院,C12815,武汉市,冲刺观察,5,A4,物联网工程,可接受,,可接受 / 勉强接受 / 不能接受 / 待了解,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-9650b0c5e148971f,R4GROUP-45168577dad22593,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-b868f067d8d66d13,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,2,C128,湖北经济学院,C12815,武汉市,冲刺观察,6,A5,计算机科学与技术,可接受,,可接受 / 勉强接受 / 不能接受 / 待了解,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-49578478eb5bd746,R4GROUP-45168577dad22593,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-e97d8625ef1c71ba,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,2,C128,湖北经济学院,C12815,武汉市,冲刺观察,7,AG,人工智能,可接受,,可接受 / 勉强接受 / 不能接受 / 待了解,true,命中当前偏好方向：计算机类相关。,暂未见硬排除项，但仍需原页/章程闭环,可作为6专业或调剂可接受项，仍需原页、湖北官方侧和章程闭环。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,是否愿意把该专业作为组内优先专业,计算机类相关,主线偏好-计算机/数字媒体,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-31b4a981d33cd17a,R4GROUP-45168577dad22593,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-d3675d47474efc19,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,2,C128,湖北经济学院,C12815,武汉市,冲刺观察,8,A7,统计学,勉强接受,,可接受 / 勉强接受 / 不能接受 / 待了解,false,可作为调剂容忍项，暂不优先放入6专业。,暂未见硬排除项，但仍需原页/章程闭环,可作为调剂容忍项，但必须由家庭确认是否真的能接受。,可进入调剂讨论，但需确认勉强接受专业是否真能接受,如果被调剂到该专业是否能接受,,调剂接受度待判断,,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,75,right,M-49bf19206098beca,R4GROUP-45168577dad22593,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-3f3a5eee9eab1b97,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,3,K752,新疆师范大学,K75205,乌鲁木齐市,冲刺观察,1,31,数学与应用数学（师范类：高考数学单科成绩不低于80分；办学地点：温泉校区）,待核后判断,,可接受 / 勉强接受 / 不能接受 / 待了解,false,限制、字段或费用核清前不放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,限制、费用或字段未闭环前，不能判断是否可接受调剂。,存在待核后判断专业，需先核限制/字段再判断调剂,先核限制后再判断是否接受；确认语种或单科要求是否满足,师范类相关,可了解-师范,语种或单科限制,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,234,right,M-a77a872aa3f113ab,R4GROUP-1df0d2da06affe66,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-dfb60a067759606f,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,3,K752,新疆师范大学,K75205,乌鲁木齐市,冲刺观察,2,32,信息与计算科学（高考数学单科成绩不低于80分：办学地点：温泉校区）,待核后判断,,可接受 / 勉强接受 / 不能接受 / 待了解,false,限制、字段或费用核清前不放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,限制、费用或字段未闭环前，不能判断是否可接受调剂。,存在待核后判断专业，需先核限制/字段再判断调剂,先核限制后再判断是否接受；确认语种或单科要求是否满足,,字段缺口待核,语种或单科限制,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,234,right,M-f3fbdaf76954f832,R4GROUP-1df0d2da06affe66,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-5ba6f7a392227c76,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,3,K752,新疆师范大学,K75205,乌鲁木齐市,冲刺观察,3,33,应用统计学（高考数学单科成绩不低于80分；办学地点：温泉校区）,待核后判断,,可接受 / 勉强接受 / 不能接受 / 待了解,false,限制、字段或费用核清前不放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,限制、费用或字段未闭环前，不能判断是否可接受调剂。,存在待核后判断专业，需先核限制/字段再判断调剂,先核限制后再判断是否接受；确认语种或单科要求是否满足,,字段缺口待核,语种或单科限制,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,234,right,M-aefa52d546c63817,R4GROUP-1df0d2da06affe66,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-4b7ad82b3cdbed46,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,3,K752,新疆师范大学,K75205,乌鲁木齐市,冲刺观察,4,34,物理学（师范类；高考数学单科成绩不低芋60分；办学地点：昆仑校区）,待核后判断,,可接受 / 勉强接受 / 不能接受 / 待了解,false,限制、字段或费用核清前不放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,限制、费用或字段未闭环前，不能判断是否可接受调剂。,存在待核后判断专业，需先核限制/字段再判断调剂,先核限制后再判断是否接受；确认语种或单科要求是否满足,师范类相关,可了解-师范,语种或单科限制,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,234,right,M-119c6e6692273409,R4GROUP-1df0d2da06affe66,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-0be487c7981627b1,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,3,K752,新疆师范大学,K75205,乌鲁木齐市,冲刺观察,5,35,电子信息科学与技术（高考数学单科感绩不低于60分；办学地点：昆仑校,待核后判断,,可接受 / 勉强接受 / 不能接受 / 待了解,false,限制、字段或费用核清前不放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,限制、费用或字段未闭环前，不能判断是否可接受调剂。,存在待核后判断专业，需先核限制/字段再判断调剂,先核限制后再判断是否接受；确认语种或单科要求是否满足,,主线偏好-工科信息制造,语种或单科限制,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,234,right,M-6d74f6ea94a2887c,R4GROUP-1df0d2da06affe66,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
P55-FAM-MAJOR-b67b881403aaa598,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_priority55_family_major_decision_workbook,Priority55家庭逐专业决策明细,院校专业组×专业明细,false,false,false,false,false,false,false,false,3,K752,新疆师范大学,K75205,乌鲁木齐市,冲刺观察,6,36,光电信息科学与工程（高考数学单科成绩不低子60分；办学地点：昆仑校,待核后判断,,可接受 / 勉强接受 / 不能接受 / 待了解,false,限制、字段或费用核清前不放入6专业。,组内有特殊限制待核，服从调剂前需核完整专业组,限制、费用或字段未闭环前，不能判断是否可接受调剂。,存在待核后判断专业，需先核限制/字段再判断调剂,先核限制后再判断是否接受；确认语种或单科要求是否满足,,主线偏好-工科信息制造,语种或单科限制,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,234,right,M-8d1b82b5f676fa00,R4GROUP-1df0d2da06affe66,,本表只填家庭接受度和备注；不要填写计划数、学费、选科读数、截图路径或任何私人信息。,not_final；family_discussion_only；no_field_values；no_private_paths；no_ocr_values；no_recommendation
