第一闭环人工核验任务ID,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,人工核验包序号,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,核验动作层级,任务结果桶,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校辅证证据状态,湖北官方侧状态,冲突状态,三方闭环状态,字段写回门禁,是否需要双人复核,是否需要人工直接看图,完成证据要求,当前阻断原因,下一步核验动作,公开人工记录栏,公开填写边界,公开安全策略
FCMV-TASK-01bb69fb37a90cc6,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,12,FIRSTDETAIL-765f09947ed9a2d8,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,M-928c8c7935f8e9d2,G-399026bbf2fbbc18,A195,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,R1-高校补缺线索回PDF原页,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,回看PDF原页补专业计划数/学费/选科，再用高校辅证作差异解释，最后核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-568c1803fe4fd3ae,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,12,FIRSTDETAIL-7b0367a699848980,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,M-24f76d15351fc6e7,G-399026bbf2fbbc18,A195,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-8b699b4f8c9ffe8d,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,12,FIRSTDETAIL-94e95b76bf217529,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,M-6f60d88ce3a3687e,G-399026bbf2fbbc18,A195,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,R1-高校补缺线索回PDF原页,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,回看PDF原页补专业计划数/学费/选科，再用高校辅证作差异解释，最后核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-81cda6bf322b0b60,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,12,FIRSTDETAIL-9b82a945c23a2501,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,M-0331ffd1db7621d2,G-399026bbf2fbbc18,A195,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,R1-高校补缺线索回PDF原页,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,回看PDF原页补专业计划数/学费/选科，再用高校辅证作差异解释，最后核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-128a8dae5cf5d62c,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,12,FIRSTDETAIL-e5c797c090e5d43d,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,M-ece9de1329c27d10,G-399026bbf2fbbc18,A195,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,R1-高校补缺线索回PDF原页,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,回看PDF原页补专业计划数/学费/选科，再用高校辅证作差异解释，最后核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-18639da554d8aea0,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,12,FIRSTDETAIL-f7da998b19762486,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,M-f7d6787fb6918e72,G-399026bbf2fbbc18,A195,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,R1-高校补缺线索回PDF原页,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,回看PDF原页补专业计划数/学费/选科，再用高校辅证作差异解释，最后核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-ac40affdfd52406a,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,12,FIRSTDETAIL-10021805233b3fcd,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,M-ece9de1329c27d10,G-399026bbf2fbbc18,A195,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-7d540c2f599229fb,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,12,FIRSTDETAIL-e6fbb1e8eb1cf347,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,M-3ef576112ee9a076,G-399026bbf2fbbc18,A195,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,true,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-8cf57554b6a6274a,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,12,FIRSTDETAIL-ff27b52817e165bb,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,M-f7d6787fb6918e72,G-399026bbf2fbbc18,A195,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,true,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-6be1fb82b254aea8,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,13,FIRSTDETAIL-5d809871adac9548,FIRSTPAGE-45d30b827811919c,57,left,057-left,M-89b74b497cad2e7f,G-3e1e79ed3becc5d0,A197,自动官网辅证任务,专业计划数；学费,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-56d7bc7b4dad654f,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,14,FIRSTDETAIL-9eac4f6af5d6cae4,FIRSTPAGE-65f75a1a3c92b9b3,70,left,070-left,M-33fd60126319d2e3,G-ac06627d5c6676be,C108,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N2-机器坐标辅助核PDF原页,R2-机器坐标辅助核PDF原页,P1-有机器坐标提示，仍待PDF原页人工核验,O4-无PDFOCR但有机器坐标提示,M1-有机器坐标提示可辅助定位,S0-无高校字段线索，本任务高校辅证不适用,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；无可比候选，需人工看图,按机器坐标提示定位原页字段，完成人工记录后再核湖北官方侧。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-2f416fd9230c8238,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,14,FIRSTDETAIL-29fccc884dede6ea,FIRSTPAGE-65f75a1a3c92b9b3,70,left,070-left,M-6f45e0358062a335,G-06d6761ecafe9d62,C108,自动官网辅证任务,再选科目,E0-冲突异常双人优先核验,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-5537f327df1e0d54,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,15,FIRSTDETAIL-0179bfd42b7b1ca7,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-ec0d83fb4e950a93,G-facec610841ca140,C108,自动官网辅证任务,学费,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-0955cc2378da7045,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,15,FIRSTDETAIL-41a7cf56d34c7bb6,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-6e01e1645d19ebfd,G-facec610841ca140,C108,自动官网辅证任务,专业计划数；学费,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-e47c23dd171df75c,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,15,FIRSTDETAIL-4643d67c0c0e950d,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-f9c56d652fbb33cd,G-facec610841ca140,C108,自动官网辅证任务,专业计划数；学费,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-9756111446bd15a8,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,15,FIRSTDETAIL-71febc53a57d7ba0,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-d5bfdfacbf80256f,G-facec610841ca140,C108,自动官网辅证任务,专业计划数；学费,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-19ac69689f93a96f,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,15,FIRSTDETAIL-8b5219caa414373a,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-916f5239ec5a0593,G-facec610841ca140,C108,自动官网辅证任务,专业计划数；学费,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCMV-TASK-57cda08ba099d8b8,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_manual_verification_workbook,第一闭环明细任务人工核验项,逐专业招生明细×第一闭环任务,false,false,false,false,false,false,false,false,15,FIRSTDETAIL-9ccbf3429e4a8193,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-0892ad4e5c518719,G-facec610841ca140,C108,自动官网辅证任务,学费,E2-官网未匹配专业名归属核验,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,留空；具体核验内容只允许写入私有复核表，不写入公开仓库。,公开表只保留状态、计数、ID和SHA；具体核验内容、字段内容、OCR原文和截图路径不得填入公开仓库。,not_final；for_manual_execution_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
