W0B0高校源桥接ID,来源W0B0执行预填公开审计,来源高校源进度看板,来源高校源最新对齐账本,来源高校源结构化接入候选账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,桥接序号,W0B0执行预填明细公开审计ID,W0B0最小人工复核明细ID,第一闭环事实范围缺口公开账本ID,稳定基座第一闭环明细任务ID,页码版面键,来源页码,版面列,院校代码,事实域,事实类型,事实粒度,字段名,最小复核类型,复核优先级,核验动作层级,候选提示综合桶,PDFOCR与高校辅证关系桶,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,高校源桥接桶,高校源可作double_check提示,高校源仍需补源或解析,高校源进度任务数,高校源最新对齐任务数,结构化接入候选数,最新高校侧证据层级集合,最新证据来源族集合,来源类型桶集合,建议来源形态集合,来源留存状态集合,下一批推进优先级集合,下一批推进动作集合,仍需补源或解析原因集合,next20结构化湖北物理行数合计,live结构化输出记录数合计,C4C6综合结构化官网证据行数合计,C4C6可生成候选diff明细数合计,C4C6计划数一致候选数合计,C4C6官网可补OCR计划数候选数合计,C4C6计划数冲突候选数合计,结构化接入候选来源类型集合,结构化适配器状态集合,候选diff优先级集合,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,下一步桥接动作,公开安全策略
W0B0SCHOOL-a4ee3c19a92df28e,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,11,W0B0EXEITEM-155f0ff7721e6a2d,W0B0MANITEM-f9af4e53fbc7f11c,FIRSTSCOPE-60cb4958ec90cb93,FIRSTDETAIL-d3b4542d9cf04623,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-da7c4ac92cf33fed,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,12,W0B0EXEITEM-95beffbecb008e68,W0B0MANITEM-fed004c077097a8d,FIRSTSCOPE-d0d93c06a3d045c2,FIRSTDETAIL-9008da4b792e2d9c,135-left,135,left,F902,字段事实,字段事实-再选科目,第一闭环任务×字段,再选科目,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-bcb91c2d059b5ff4,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,13,W0B0EXEITEM-0d197417b9df307c,W0B0MANITEM-f03c69aa81a4fef3,FIRSTSCOPE-18753b9ad3a0efe8,FIRSTDETAIL-0dada9bf9ecaa6e1,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-21dd175e3200b0b6,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,14,W0B0EXEITEM-be4ddd7fbe05918b,W0B0MANITEM-13d7da81a8c305d1,FIRSTSCOPE-cdf2408a919e944a,FIRSTDETAIL-0e930ca33ab1b3b9,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-15022612abd755c2,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,15,W0B0EXEITEM-18e0f7b1a1396990,W0B0MANITEM-60c3fafc072ebea9,FIRSTSCOPE-b54035da4c9cb0c3,FIRSTDETAIL-202127380ebfe86a,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-ed3d0d8abb7fa2c5,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,16,W0B0EXEITEM-af6160170729988e,W0B0MANITEM-37c6e20f27491acb,FIRSTSCOPE-e421b5e74982f10d,FIRSTDETAIL-28da3744d1bbd3b1,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-ee87e26c90c25c5d,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,17,W0B0EXEITEM-7efba0b9c5000ba9,W0B0MANITEM-d5f54a8d31b5df63,FIRSTSCOPE-19bf840a793e0d77,FIRSTDETAIL-726fddd63013332a,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-f231b5ed7ea86008,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,18,W0B0EXEITEM-36add524ac788635,W0B0MANITEM-90efbb807cbefe18,FIRSTSCOPE-6131c40aa17e5a22,FIRSTDETAIL-9008da4b792e2d9c,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-00339b7dfb374498,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,19,W0B0EXEITEM-6c942559619fb409,W0B0MANITEM-1261f84e49d3b88f,FIRSTSCOPE-f269f651675afee5,FIRSTDETAIL-98835066fcfb9b8c,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-cec77a95b3b24214,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,20,W0B0EXEITEM-71648df9dd83f92f,W0B0MANITEM-a18610c6474a5c9b,FIRSTSCOPE-9f48862bd32fdb9e,FIRSTDETAIL-9d2efbd617a42fa2,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-2af968cebe54cd3b,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,21,W0B0EXEITEM-98a37d8e815aed8d,W0B0MANITEM-8af57269bf8cddc4,FIRSTSCOPE-6377ffd91f525824,FIRSTDETAIL-c38ee9bcbc39ce19,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-ed1ed9f224eb5eaf,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,22,W0B0EXEITEM-b5194eded268a94c,W0B0MANITEM-007659279ad95516,FIRSTSCOPE-2f98d06dc6ca0cbb,FIRSTDETAIL-d3b4542d9cf04623,135-left,135,left,F902,字段事实,字段事实-学费,第一闭环任务×字段,学费,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-1487f54572abed60,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,23,W0B0EXEITEM-f1bf33b82fff4e64,W0B0MANITEM-0b0911d4e415a833,FIRSTSCOPE-3befb66f5f6a788c,,018-left,18,left,,专业组边界,专业组边界事实,PDF页码×版面列×专业组边界,,M0-先核专业组边界,P0,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,,,true,true,true,false,true,true,B4-专业组边界或页列事实无单校高校源桥接,false,false,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先核PDF页列边界或字段记录，再核湖北官方侧；高校源仅作后续补充。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-58fd0aff7eaade83,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,24,W0B0EXEITEM-65e850c672f43e85,W0B0MANITEM-5d03094be3f24703,FIRSTSCOPE-d1fa53a49e6555c6,FIRSTDETAIL-0a008f059b306a64,018-left,18,left,A033,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,false,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,3,3,0,L3-已有湖北物理结构化或候选diff线索,next20；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧；P1-官网补缺线索回页,把高校补缺线索作为定位提示，回PDF原页补候选，再核湖北官方侧。；整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,42,0,42,15,9,6,0,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
