第一闭环事实核验包明细ID,第一闭环事实核验包ID,来源第一闭环事实范围缺口账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,包内事实序号,核验包序号,核验波次,核验泳道,第一闭环事实范围缺口公开账本ID,事实域,事实类型,事实粒度,事实闭环状态,稳定基座第一闭环明细任务ID,第一闭环字段事实公开账本ID,第一闭环下一步动作ID,第一闭环证据状态公开账本ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,核验动作层级,页列主阻断,事实缺口桶,是否需要人工看图,是否需要双人复核,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,事实对象集合SHA256,公开安全策略
FIRSTFACTITEM-209a6ebce53156c1,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,23,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-d7a38c00f47d4afb,字段事实,字段事实-学费,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-32bdf82346802bf7,FIRSTFACT-a68b0d733f000b3d,FIRSTNEXT-1dbac561bc565422,FIRSTEVID-eb7f1878b22fa2d9,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-9710c4b647b66507,G-69a8112ee16cf2ba,H450,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,false,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,1c1ddfd48f141a1414e48617b1f14154f1832b4c846d9f99e95b8ff2884a7083,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-cc7c40cbcc30b69a,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,24,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-db7d908496501a4a,字段事实,字段事实-学费,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-d865ed334f79ac8b,FIRSTFACT-5521e21664de3856,FIRSTNEXT-81b8f4a970ac59f0,FIRSTEVID-bbe4f58fe2d396db,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-d7ad035436e7d0f7,G-69a8112ee16cf2ba,H450,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,false,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,00ea689c3148f254b6eb5cfe312d4ae2d34e3c823f7b625aac0f649fb975508e,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-d0d5593b0bacca08,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,25,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-ef97c6470bc794c0,字段事实,字段事实-学费,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-2f3d5f6bcb8b8c58,FIRSTFACT-8b1ba89d49c7e6cb,FIRSTNEXT-aae1bb317c8a1449,FIRSTEVID-ddce8448fedbfe36,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-13b19a3991c8159a,G-69a8112ee16cf2ba,H450,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N1-高校补缺线索回PDF原页,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,false,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b31d9beb82c86cd827e738d5c1c6e55e67879ffc594503a706f9224651f3a95f,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-4a6dd7a855af6380,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,26,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-0f4bc0bad2c9c60f,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-04f5273e386af8c6,FIRSTFACT-9c65c5bd20f5200b,FIRSTNEXT-fe4a1a0671e539e4,FIRSTEVID-a47d493e05989c17,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-90b2fc54c5bc2e5c,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,7039f896640feb2691a5247b611013a27c2a61835eda33eed9b36489bb5b7344,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-a53c786f5812af79,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,27,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-361d804274f42c02,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-80ab74779f516adb,FIRSTFACT-9285ef284a038f1e,FIRSTNEXT-8ef9652b563b3cf6,FIRSTEVID-a7e743e1228444e1,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-b4b8560bd289f9b5,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b6a551d781dc33ddc6e65e309f64317beec91d5ee12abc9cc44d55e6bf1dc256,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-6ff48c9e670ce9ef,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,28,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-436f8b131cab6403,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-2bedee7b9c7f7990,FIRSTFACT-78beeb936a60dbec,FIRSTNEXT-456f37072074e9c2,FIRSTEVID-f60e7c078862cd82,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-7489ddca4dfd3dd8,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,25f4771575680b3068b5d7e4fd1af016a31ad59a7ab4d7a8d1437171da6f4882,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-3ea6d4a182ff17dc,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,29,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-45db0744d31c4038,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-9085a434404761c6,FIRSTFACT-6f2aea287e10ddf8,FIRSTNEXT-c1216327491b5a0a,FIRSTEVID-90f8c0f5cf486ef7,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-9710c4b647b66507,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b271d49b066b80116be5e7ad4c1118f3fbcc032720bb6a9462e52afb1641f6d2,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-7bb979d3a424b41c,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,30,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-6b601ab2e2c4960e,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-26a4a2d46176a22b,FIRSTFACT-c66fe66dc706c06d,FIRSTNEXT-75aff2e172f23f79,FIRSTEVID-bcf42a1aafb1d18f,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-13b19a3991c8159a,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,4d663750abfd0d453cdd49ea2e57b48f67db0bb135309aa8d340aa4c8b9dc5dc,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-ddfff1936aa2076f,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,31,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-8d5d5c807f2bf8be,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-655cc4d71fe13207,FIRSTFACT-6e4e5ebe3f71fa50,FIRSTNEXT-ab9b331d138b25fc,FIRSTEVID-96e0d460d030b412,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-d7ad035436e7d0f7,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,1f35d4bd9a58d83dd9c3b2e289beddc20d462dadcb6bfab0d65781125341ab2c,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-7b9d7886bdf3bb7d,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,32,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-984b6567421e1bf3,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-46750a08eb17e822,FIRSTFACT-7153ccb9130d592e,FIRSTNEXT-58c38d694d3cbc30,FIRSTEVID-aaf058c80412e6b5,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-7a3695c82b5953d6,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,33f0d4d3a7f7fd8177e1cc064798fb4b97e47b6e4b1c94160ab160b285df9981,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-15e6a06695c0a5a1,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,33,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-9c6df31366d0e82b,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-e796394270d8dbd9,FIRSTFACT-7b3695b452dab85f,FIRSTNEXT-5b0c3a651f715f57,FIRSTEVID-5301e9a4cf05c939,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-cdfe659d6ddbb7d7,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,7d065dce3d4dde691533d12c02991bd17ada3b60d18a3f8aa9410b9394511cfe,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-1e79d1f84845c83c,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,34,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-b2ab08bf4fdeadda,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-51b2b8463ec925df,FIRSTFACT-9ef3794b486dfc56,FIRSTNEXT-38692a676ec0bf84,FIRSTEVID-b4e73c17588a7d00,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-4a71a2765412ac2a,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,1f4e16e1e43e528c5f2866110abfde173076b748efef6f7d9bd79f78c7ad5e06,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-7c04b393b90d7fb3,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,35,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-e4b21935e39760e4,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-352f0e7f8e92d653,FIRSTFACT-e5a9885e064a3d55,FIRSTNEXT-844a9c4de5c0f628,FIRSTEVID-ea8ea80a242a2e1b,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-8ba195c86a925e83,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,7c2a4854586b21545aa243da44e8351d971795ae6d0801a8bfb2859c03afbe3b,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-de6723b273e06009,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,36,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-a2685f0b0006acbe,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-391717603ff99852,FIRSTFACT-8265f785076d8af7,FIRSTNEXT-f12585142025080e,FIRSTEVID-963140d0eac430c0,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-b0e700912fffe743,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N4-PDFOCR候选人工确认,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,false,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,71611afe78fdc0ca1fd55bff75e3efddab321119376bdbce27eb613c21e97d4d,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-0f8e211adfbfcfbd,FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,37,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-ed8a49a50c29faee,字段事实,字段事实-学费,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-391717603ff99852,FIRSTFACT-e508da510856602f,FIRSTNEXT-f12585142025080e,FIRSTEVID-963140d0eac430c0,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-b0e700912fffe743,G-69a8112ee16cf2ba,H450,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N4-PDFOCR候选人工确认,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,false,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,7b80cd88444e75e425d6ccc36cd945abc6be5a1185951f410c516c5d2611b956,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-5336d9797434a64d,FIRSTFACTPKT-a8595b3479f39c4a,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,1,3,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-98915f6bb403cb70,专业名归属,专业名归属事实,第一闭环任务×专业名归属,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-b0445279f2648fcb,,FIRSTNEXT-cd2cba66533498fd,FIRSTEVID-1db647a4439196ec,FIRSTPAGE-97ab0abc16a6bf85,199,left,199-left,M-0e8881b7e05a4ea3,G-37268c0379be16ef,H945,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N4-PDFOCR候选人工确认,B0-PDFOCR与高校辅证冲突,G1-专业名归属待闭环,false,false,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,26176586b0fdf7e0fccfcef175479f4713d2968657bca7d6ebc30f5819c2ae7d,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-001066b4e2e8fa3c,FIRSTFACTPKT-a8595b3479f39c4a,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,2,3,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-e876ee72f3ceb83d,专业组边界,专业组边界事实,PDF页码×版面列×专业组边界,F0-待原页与湖北官方侧闭环,,,,,FIRSTPAGE-97ab0abc16a6bf85,199,left,199-left,,,,,,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突×3；N2-机器坐标辅助核PDF原页×1；N4-PDFOCR候选人工确认×1,B0-PDFOCR与高校辅证冲突,G2-专业组边界待闭环,false,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,83463faaaf72a59bc16b9b4133c55521ec844414543d8db439570721419ff9ec,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-735761cbf2994df1,FIRSTFACTPKT-a8595b3479f39c4a,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,3,3,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-09d6b2c4d1dfbdec,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-393dba8354b77b5e,FIRSTFACT-c80477584fc0afdd,FIRSTNEXT-043a03c5c6a87544,FIRSTEVID-4edb65f15e1010da,FIRSTPAGE-97ab0abc16a6bf85,199,left,199-left,M-c0e205bf9e212204,G-37268c0379be16ef,H945,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,2580d8544e0c522c462bb169826c36852443681d009b398964e4a59713154083,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
