来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,专业核验任务ID,候选V3入口ID,复核批次,入口类型,院校代码,院校名称OCR,2026院校专业组代码,专业组出现ID,来源页码,私有页图证据编号,专业明细来源,专业行来源,专业行ID,专业组内专业序号,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,专业计划数是否纯数字,学费OCR候选,学费OCR数字候选,学费是否纯数字,专业偏好方向,专业风险类型,专业字段完整性标记,专业行结构异常数,专业行高严重结构异常数,逐专业复核优先级,机器专业接受度初判,机器阻断或待核原因,调剂影响初判,PDF专业代号确认值,PDF专业名称确认值,PDF计划数确认值,PDF学费确认值,PDF选科确认值,湖北官方系统确认值,高校官网章程确认值,家庭接受度人工结论,调剂影响人工结论,私有证据编号,字段核验状态,是否阻断组升级,可进入最终专业列表,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-151db590a32e5ea6,V3-88feeb8045df4f8a,B0-历史候选和组号问题优先核页,历史候选,K488,西安医学院,K48804,G-d93dfb85c8cb1c20,226,page-226,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,04,英语（外语语种：英语：办学地点：未央校区）,不限,,否,5000,5000,是,,语种或单科限制,missing_plan_count_candidate,0,0,P0-逐专业必须核页,暂缓判断-特殊限制待核,体检/语种/专项等特殊限制待核；字段待核:missing_plan_count_candidate,调剂影响待核,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-16529ddf5d47aa42,V3-4b5172b7d55161f8,B0-历史候选和组号问题优先核页,历史候选,K488,西安医学院,K48805,G-95aa0580598e9983,226,page-226,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,05,预防医学（办学地点：未央校区；学制：五年）,［化学,,否,6500,6500,是,,医学/护理等排除方向,missing_plan_count_candidate,0,0,P0-逐专业必须核页,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向；字段待核:missing_plan_count_candidate,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-024085d8f87ad427,V3-a444f274289a293e,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10702,,69,page-069,candidate_v2_review_seed,zero_detail_group_placeholder,,,,,,,,,,,,0明细组,missing_major_detail,,,P0-先补齐组内专业明细,暂不可判断-无专业明细,0明细组，必须先核第19期原页或确认2026组号变化/旧组号,不可判断-无专业明细,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-2225575f26aa74eb,V3-1c440347b3330d32,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,05,运动康复,不限,10,是,5200,5200,是,,医学/护理等排除方向,,0,0,P0-逐专业必须核页,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-d63be3474bf78c70,V3-1c440347b3330d32,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,2,06,应用心理学,不限,6,是,4000,4000,是,,,,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-cad6758d23727899,V3-1c440347b3330d32,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,3,07,智能体育工程,不限,8,是,4000,4000,是,,,,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-e14891a851e19393,V3-1c440347b3330d32,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,4,08,教育技术学,不限,2,是,4000,4000,是,师范类相关,,,0,0,P0-逐专业必须核页,优先了解-命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,主动填报优先专业候选,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-b0e88e861eb8ea27,V3-1c440347b3330d32,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,5,09,信息管理与信息系统,不限,12,是,4000,4000,是,,,,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-b7ce3d15cbc303b8,V3-1c440347b3330d32,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,6,10,体育经济与管理,不限,9,是,4000,4000,是,,,,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-c5f36a42d26860f6,V3-1c440347b3330d32,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,7,11,新闻学,不限,6,是,5200,5200,是,,,,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-56b7035fee18e503,V3-7b8d832f9e7bf0a2,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10704,,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,12,中医骨伤科学（学制：五年）,化学,6,是,5200,5200,是,,医学/护理等排除方向,,0,0,P0-逐专业必须核页,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-873d71998393c96b,V3-7b8d832f9e7bf0a2,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10704,,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,2,13,康复治疗学,化学,7,是,5200,5200,是,,医学/护理等排除方向,,0,0,P0-逐专业必须核页,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-dc046ce1d6bb781c,V3-7b8d832f9e7bf0a2,B0-历史候选和组号问题优先核页,历史候选,C107,武汉体育学院,C10704,,69,page-069,candidate_v2_review_seed,candidate_v2_major_review_seed,,3,14,数据科学与大数据技术,化学,7,是,4000,4000,是,计算机类相关,,,0,0,P0-逐专业必须核页,优先了解-命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,主动填报优先专业候选,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-64c28c505b9ade6b,V3-fb6949a17903b9d0,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,G-c0a59815d1448be1,74,page-074,candidate_v2_review_seed,candidate_v2_major_review_seed,,1,46,化学工程与工艺,,77,是,4000,4000,是,,,missing_subject_candidate,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,字段待核:missing_subject_candidate,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-96dda936146d5d83,V3-fb6949a17903b9d0,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,G-c0a59815d1448be1,74,page-074,candidate_v2_review_seed,candidate_v2_major_review_seed,,2,47,功能材料,,43,是,4000,4000,是,,,missing_subject_candidate,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,字段待核:missing_subject_candidate,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-70acfc1be827818e,V3-fb6949a17903b9d0,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,G-c0a59815d1448be1,74,page-074,candidate_v2_review_seed,candidate_v2_major_review_seed,,3,48,机械类（含机械设计制造及其自动化、智能制造工程专业）,,312,是,5200,5200,是,,,missing_subject_candidate,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,字段待核:missing_subject_candidate,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-aa0e59e61ef7848d,V3-fb6949a17903b9d0,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,G-c0a59815d1448be1,74,page-074,candidate_v2_review_seed,candidate_v2_major_review_seed,,4,49,食品科学与工程类（含食品科学与工得、食品质量与安全、粮食工程、食品营养与健康专业）,,343,是,5200,5200,是,,,missing_subject_candidate,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,字段待核:missing_subject_candidate,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-8915f6c0a09e38d2,V3-fb6949a17903b9d0,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,G-c0a59815d1448be1,74,page-074,candidate_v2_review_seed,candidate_v2_major_review_seed,,5,50,康复治疗学,,37,是,4000,4000,是,,医学/护理等排除方向,missing_subject_candidate;low_ocr_confidence,1,1,P0-逐专业必须核页,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向；字段待核:missing_subject_candidate;low_ocr_confidence；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-c8947c66ce351bf7,V3-fb6949a17903b9d0,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,G-c0a59815d1448be1,74,page-074,candidate_v2_review_seed,candidate_v2_major_review_seed,,6,51,药学,,70,是,4000,4000,是,,医学/护理等排除方向,missing_subject_candidate;low_ocr_confidence,1,1,P0-逐专业必须核页,默认不能接受-医学护理等排除方向,医学/护理等明确排除方向；字段待核:missing_subject_candidate;low_ocr_confidence；专业行存在高严重结构异常,若服从调剂可能形成不能接受风险,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-fbf5a0dd1bc8d6e2,V3-fb6949a17903b9d0,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,G-c0a59815d1448be1,74,page-074,candidate_v2_review_seed,candidate_v2_major_review_seed,,7,52,生物技术,,75,是,4000,4000,是,,,missing_subject_candidate,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,字段待核:missing_subject_candidate,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_major_review,MPK-2d333ca5f7b10011,V3-fb6949a17903b9d0,B0-历史候选和组号问题优先核页,历史候选,C125,武汉轻工大学,C12508,G-c0a59815d1448be1,74,page-074,candidate_v2_review_seed,candidate_v2_major_review_seed,,8,53,生物工程类（含生物工程、合成生物学专业）,,74,是,4000,4000,是,,,missing_subject_candidate,0,0,P0-逐专业必须核页,待了解-未命中当前偏好方向,字段待核:missing_subject_candidate,可作为调剂接受度待家庭判断专业,,,,,,,,,,,pending,是,false,逐专业回看第19期原PDF，并与湖北官方系统、省招办计划、高校章程交叉核验；再由家庭确认接受度。
