来源期号,来源PDF_SHA256,数据阶段,最终可用,证据矩阵ID,关联类型,关联原候选,院校代码,院校名称,2026院校专业组代码,来源页码,页图文件名,专业明细行数,字段复核任务数,字段P0任务数,原PDF页证据状态,湖北官方系统证据状态,高校官网/章程证据状态,家庭接受度证据状态,调剂结论状态,三年历史线证据状态,第19期PDF底座状态,页级审计摘要,组内调剂机器初判,历史投档线可沿用,当前复核优先级,候选闸门状态,可进入最终候选,升级缺口,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-4221f77288f407cd,历史候选,成都医学院 K17802 第02组,K178,成都医学院,K17802,212,page-212.png,1,16,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页212：专业组27；专业明细52；结构异常20；候选命中3；P0-优先核页,默认不可服从：组内含当前明确不能接受专业,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-071696818a2e417b,历史候选,成都师范学院 K17903 第03组,K179,成都师范学院,K17903,212,page-212.png,1,16,5,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页212：专业组27；专业明细52；结构异常20；候选命中3；P0-优先核页,待家庭逐专业确认：当前未触发默认排除，但仍未完成调剂判断,pending,P3-常规复核,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-386cda69d6eb8e02,历史候选,西安建筑科技大学 K46505 第05组,K465,西安建筑科技大学,K46505,223,page-223.png,1,16,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页223：专业组14；专业明细67；结构异常13；候选命中1；P0-优先核页,默认不可服从：组内含高收费/中外合作/超预算风险,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-ed34e6040f2cba2f,历史候选,西安财经大学 K48504 第04组,K485,西安财经大学,K48504,226,page-226.png,1,16,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页226：专业组22；专业明细58；结构异常26；候选命中6；P0-优先核页,默认不可服从：组内含高收费/中外合作/超预算风险,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-332546f0b98918aa,历史候选,西安航空学院 K48703 第03组,K487,西安航空学院,K48703,226,page-226.png,1,16,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页226：专业组22；专业明细58；结构异常26；候选命中6；P0-优先核页,默认不可服从：组内含高收费/中外合作/超预算风险,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-099900f6517adee9,历史候选,西安航空学院 K48704 第04组,K487,西安航空学院,K48704,226,page-226.png,2,24,16,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页226：专业组22；专业明细58；结构异常26；候选命中6；P0-优先核页,默认不可服从：组内含当前明确不能接受专业,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-2244f894eb0f0d9b,历史候选,西安医学院 K48804 第04组,K488,西安医学院,K48804,226,page-226.png,1,16,5,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页226：专业组22；专业明细58；结构异常26；候选命中6；P0-优先核页,暂不可判断：组内含体检、色觉、语种、单科或特殊类型限制,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-7677b85fca2ff5d7,历史候选,西安医学院 K48805 第05组,K488,西安医学院,K48805,226,page-226.png,1,16,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,historical_candidate_pending_2026_confirmation,issue19_foundation_machine_checks_passed_need_pdf_official_review,页226：专业组22；专业明细58；结构异常26；候选命中6；P0-优先核页,默认不可服从：组内含当前明确不能接受专业,pending,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-25846f826d620ffe,同校偏好专业补充组,成都理工大学 K15123 第23组,K151,成都理工大学,K15114,208,page-208.png,3,32,15,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_new_group_evidence,issue19_foundation_machine_checks_passed_need_pdf_official_review,页208：专业组11；专业明细83；结构异常19；候选命中0；P0-优先核页,暂不可判断：组内含体检、色觉、语种、单科或特殊类型限制,false,P1-限制条件核验,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-e4d2bea279d10618,同校偏好专业补充组,成都师范学院 K17903 第03组,K179,成都师范学院,K17905,212,page-212.png,1,16,5,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_new_group_evidence,issue19_foundation_machine_checks_passed_need_pdf_official_review,页212：专业组27；专业明细52；结构异常20；候选命中3；P0-优先核页,暂不可判断：组内存在 OCR 字段或结构异常,false,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,TM-9ecc888fe541af7e,同页相邻风险组,武汉体育学院 C10703/C10704 同页边界复核,C107,武汉体育学院,C10705,69,page-069.png,1,16,8,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_new_group_evidence,issue19_foundation_machine_checks_passed_need_pdf_official_review,页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,默认不可服从：组内含当前明确不能接受专业,false,P1-风险或字段异常,pending_verification,false,原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；逐字段复核总账待回填；官方系统/官网/家庭调剂结论待补证据,先按字段复核总账回填 PDF 原页值；再补官方系统、官网章程、家庭接受度和调剂证据。
