高校源E0人工回页队列ID,来源高校源缺口优先级清单,来源第一闭环下一步动作矩阵,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,人工回页队列序号,高校源缺口优先级ID,高校源最新对齐ID,高校官网辅证状态快照ID,高校官网辅证自动执行批次ID,院校代码,任务学校键SHA16,缺口主类,缺口子类,原自动执行泳道,人工回页风险桶,人工回页优先级分,最小人工动作,完成条件,涉及招生明细数,涉及专业组数,C4C6计划数冲突候选数,C4C6官网可补OCR计划数候选数,同校第一闭环页列提示状态,同校第一闭环任务数,同校第一闭环页列数,同校第一闭环PDF页数,同校N0冲突双人核页任务数,同校N1高校补缺回页任务数,同校N2机器坐标辅助核页任务数,同校N3人工看图任务数,同校N4PDFOCR确认任务数,同校N5待湖北官方侧任务数,同校E0冲突异常页列任务数,同校E1计划数补缺页列任务数,同校E2专业名归属页列任务数,同校自动官网辅证任务数,同校P0人工字段任务数,同校专业计划数字段任务数,同校学费字段任务数,同校再选科目字段任务数,同校需要双人复核任务数,同校需要人工直接看图任务数,同校PDFOCR与高校冲突任务数,同校高校辅证线索任务数,同校第一闭环任务集合SHA16,同校页列集合SHA16,同校核验动作层级分布,同校执行泳道分布,队列使用边界,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
SCHOOLSRCMANUAL-e4aa97426c8a812e,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,11,SCHOOLGAP-c4b92d15b9536632,SOURCESYNC-b067259cf4055507,SCHOOLSRCSTATUS-7b7a9f60ee0864fd,SCHOOLSRCEXEC-b9ecf78b5852339f,H945,731cb30b7cd53664,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,3,1,7,8,H1-有同校第一闭环页列提示,5,1,1,3,0,1,0,1,0,5,0,0,4,1,4,4,3,4,3,3,3,f8e582967105ab86,a311f4f0bea1ed62,N0-先双人核PDF原页冲突=3；N2-机器坐标辅助核PDF原页=1；N4-PDFOCR候选人工确认=1,E0-冲突异常双人优先核验=5,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-7862f79067c7bc16,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,12,SCHOOLGAP-216992521bc5f5ad,SOURCESYNC-fa6fda8982e53327,SCHOOLSRCSTATUS-d59b7cd4bdc243c1,SCHOOLSRCEXEC-44124773028f488c,F902,251a8f106ca3efe4,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,2,1,1,1,H1-有同校第一闭环页列提示,13,2,1,10,0,0,2,1,0,10,0,3,13,0,11,11,1,10,12,10,10,07189673f995c1ff,386a80d04edf688f,N0-先双人核PDF原页冲突=10；N3-无稳定候选人工看图=2；N4-PDFOCR候选人工确认=1,E0-冲突异常双人优先核验=10；E2-官网未匹配专业名归属核验=3,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-b5661bb944e67a15,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,13,SCHOOLGAP-0668ef9a2282164d,SOURCESYNC-64d12456bb49c1df,SCHOOLSRCSTATUS-845a923e97a614c2,SCHOOLSRCEXEC-0eacc6fe15c31514,K153,4eccb92dc1120f80,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,2,1,0,4,H1-有同校第一闭环页列提示,13,1,1,2,0,0,4,3,4,13,0,0,9,4,12,9,6,4,6,2,6,086dfd5ce684164c,68a587f7a80580a0,N0-先双人核PDF原页冲突=2；N3-无稳定候选人工看图=4；N4-PDFOCR候选人工确认=3；N5-多源一致仍待湖北官方侧=4,E0-冲突异常双人优先核验=13,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-4cfc1d0912f8de65,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,14,SCHOOLGAP-24a110d1fb0fe74b,SOURCESYNC-ba20e8f374377ce9,SCHOOLSRCSTATUS-2703578c4b738fb6,SCHOOLSRCEXEC-0ba4001dc5dd238d,A033,2f91bd63ea42cc09,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,1,1,0,2,H1-有同校第一闭环页列提示,17,1,1,4,0,5,3,0,5,17,0,0,9,8,17,9,9,4,7,4,9,5bc6270421d65cdb,7f06466f9e641c21,N0-先双人核PDF原页冲突=4；N2-机器坐标辅助核PDF原页=5；N3-无稳定候选人工看图=3；N5-多源一致仍待湖北官方侧=5,E0-冲突异常双人优先核验=17,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-6ebd45af55a33b09,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,15,SCHOOLGAP-02ead669a3e46809,SOURCESYNC-93cc81f9669a64d7,SCHOOLSRCSTATUS-01ee7f24cc31e9d3,SCHOOLSRCEXEC-fdf9e0ae74a29559,A135,563b5cfc9d512c65,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,1,1,0,7,H1-有同校第一闭环页列提示,6,2,2,1,0,0,2,3,0,5,0,1,4,2,3,3,4,3,3,1,1,39c7c48e7e6094fc,e7dd2a362ae4210e,N0-先双人核PDF原页冲突=1；N3-无稳定候选人工看图=2；N4-PDFOCR候选人工确认=3,E0-冲突异常双人优先核验=5；E2-官网未匹配专业名归属核验=1,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-80584315f73ee565,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,16,SCHOOLGAP-20ad48fc13adef53,SOURCESYNC-d6edfc0999dfd645,SCHOOLSRCSTATUS-b13d6615f966cafb,SCHOOLSRCEXEC-042c2c4bd322ce21,H002,4fce314c0c012065,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,1,1,1,0,H1-有同校第一闭环页列提示,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,588116c77d461d87,149a7191f2678cb3,N0-先双人核PDF原页冲突=1,E0-冲突异常双人优先核验=1,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-fb3efae75de6def9,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,17,SCHOOLGAP-c453ab1a167ee604,SOURCESYNC-2d5515f598bad2fa,SCHOOLSRCSTATUS-04d367f213ff53d3,SCHOOLSRCEXEC-450efd8308777476,H450,e1a80ecfe1e054d0,G0-冲突差异回页核验,D0-计划数冲突或高校侧差异线索,A0-冲突回页和官方侧核验,M0-计划数冲突或高校侧差异先核,1300,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,1,1,2,1,H1-有同校第一闭环页列提示,22,1,1,1,10,0,10,1,0,22,0,0,12,10,22,12,1,10,11,1,11,547df87eb78e04b3,f9a45a6256c240c9,N0-先双人核PDF原页冲突=1；N1-高校补缺线索回PDF原页=10；N3-无稳定候选人工看图=10；N4-PDFOCR候选人工确认=1,E0-冲突异常双人优先核验=22,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-922f07791a1e9776,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,18,SCHOOLGAP-00a84511e7d90daf,SOURCESYNC-feabdcbeadcbc18d,SCHOOLSRCSTATUS-1e8535a9a1d485bf,SCHOOLSRCEXEC-c88d1469a849990d,K486,aeb6a69c24c6cb25,G1-OCR补缺线索回页核验,D1-高校侧可补OCR缺口线索,A1-官网补缺线索回页核验,M1-OCR补缺线索先核,1100,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,19,1,0,5,H1-有同校第一闭环页列提示,38,1,1,1,18,13,6,0,0,0,38,0,19,19,38,19,19,5,7,1,19,3e7adda665cba765,bd6c25f55ad8cfae,N0-先双人核PDF原页冲突=1；N1-高校补缺线索回PDF原页=18；N2-机器坐标辅助核PDF原页=13；N3-无稳定候选人工看图=6,E1-计划数补缺或偏大优先核验=38,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-447523fa084f1ec1,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,19,SCHOOLGAP-75d3408190cd4750,SOURCESYNC-7fcf41bab656b591,SCHOOLSRCSTATUS-50de0fcaa0352d5f,SCHOOLSRCEXEC-9ece90ee7f6910b4,H450,c29c5ab2df850ceb,G1-OCR补缺线索回页核验,D1-高校侧可补OCR缺口线索,A1-官网补缺线索回页核验,M1-OCR补缺线索先核,1100,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,10,1,2,1,H1-有同校第一闭环页列提示,22,1,1,1,10,0,10,1,0,22,0,0,12,10,22,12,1,10,11,1,11,547df87eb78e04b3,f9a45a6256c240c9,N0-先双人核PDF原页冲突=1；N1-高校补缺线索回PDF原页=10；N3-无稳定候选人工看图=10；N4-PDFOCR候选人工确认=1,E0-冲突异常双人优先核验=22,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-fc0b5df96ef57aaa,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,20,SCHOOLGAP-209cb1479eb77823,SOURCESYNC-c0aa0f15265b5815,SCHOOLSRCSTATUS-35ff2fd853b7d16d,SCHOOLSRCEXEC-91b15bf4b9b7bcd4,A033,c1c29ceaa1705c94,G1-OCR补缺线索回页核验,D1-高校侧可补OCR缺口线索,A1-官网补缺线索回页核验,M1-OCR补缺线索先核,1100,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,8,2,0,2,H1-有同校第一闭环页列提示,17,1,1,4,0,5,3,0,5,17,0,0,9,8,17,9,9,4,7,4,9,5bc6270421d65cdb,7f06466f9e641c21,N0-先双人核PDF原页冲突=4；N2-机器坐标辅助核PDF原页=5；N3-无稳定候选人工看图=3；N5-多源一致仍待湖北官方侧=5,E0-冲突异常双人优先核验=17,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-b0f4b5b6b9ce2623,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,21,SCHOOLGAP-ec1198b6dd06232a,SOURCESYNC-690d6b57b148f392,SCHOOLSRCSTATUS-fcd92caf5ce8b68a,SCHOOLSRCEXEC-3854fd9e116fc4f7,A195,57184e84d261dafa,G1-OCR补缺线索回页核验,D1-高校侧可补OCR缺口线索,A1-官网补缺线索回页核验,M1-OCR补缺线索先核,1100,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,7,1,0,42,H1-有同校第一闭环页列提示,15,1,1,1,6,4,3,1,0,15,0,0,8,7,14,8,7,2,4,1,7,b18389dd680fc39d,527518002cd91cf0,N0-先双人核PDF原页冲突=1；N1-高校补缺线索回PDF原页=6；N2-机器坐标辅助核PDF原页=4；N3-无稳定候选人工看图=3；N4-PDFOCR候选人工确认=1,E0-冲突异常双人优先核验=15,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-6499e55bf05b022d,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,22,SCHOOLGAP-b8717e140aaf5978,SOURCESYNC-b9aa1bc541ff54ba,SCHOOLSRCSTATUS-9b1347b7b6c3fc44,SCHOOLSRCEXEC-1e2931668ea34426,F305,8c4e7b5d4957d125,G1-OCR补缺线索回页核验,D1-高校侧可补OCR缺口线索,A1-官网补缺线索回页核验,M1-OCR补缺线索先核,1100,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,4,1,0,7,H1-有同校第一闭环页列提示,8,1,1,0,0,0,4,0,4,0,8,0,4,4,8,4,2,2,4,0,4,5220d2a9b5aa929f,b075af7ca56793b1,N3-无稳定候选人工看图=4；N5-多源一致仍待湖北官方侧=4,E1-计划数补缺或偏大优先核验=8,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-54bd63d96ff6cc3e,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,23,SCHOOLGAP-1d61ae6070fa39ad,SOURCESYNC-331f7b078fb5f167,SCHOOLSRCSTATUS-2ce011159cf7d5a9,SCHOOLSRCEXEC-b4497f4a74fa5a68,K153,af2db404b786bae5,G1-OCR补缺线索回页核验,D1-高校侧可补OCR缺口线索,A1-官网补缺线索回页核验,M1-OCR补缺线索先核,1100,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,4,1,0,4,H1-有同校第一闭环页列提示,13,1,1,2,0,0,4,3,4,13,0,0,9,4,12,9,6,4,6,2,6,086dfd5ce684164c,68a587f7a80580a0,N0-先双人核PDF原页冲突=2；N3-无稳定候选人工看图=4；N4-PDFOCR候选人工确认=3；N5-多源一致仍待湖北官方侧=4,E0-冲突异常双人优先核验=13,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-3ed314118a6ad2e2,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,24,SCHOOLGAP-258b274833393eb8,SOURCESYNC-dea4eaf6999a71f0,SCHOOLSRCSTATUS-50b2f05188988e64,SCHOOLSRCEXEC-eb1136dfa39bae19,K488,773390237a2b1ab8,G1-OCR补缺线索回页核验,D1-高校侧可补OCR缺口线索,A1-官网补缺线索回页核验,M1-OCR补缺线索先核,1100,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,2,2,0,3,H1-有同校第一闭环页列提示,4,1,1,2,0,0,2,0,0,0,4,0,2,2,4,2,2,2,4,2,2,ad85edea276acb79,2b597d3300e789b1,N0-先双人核PDF原页冲突=2；N3-无稳定候选人工看图=2,E1-计划数补缺或偏大优先核验=4,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
SCHOOLSRCMANUAL-b37d4e795e9496c1,data/working/issue19-school-source-gap-priority-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_e0_manual_page_review_queue,高校侧E0人工回页任务,公开任务级队列；不保存学校文本、专业文本、页图、OCR正文或字段读数,false,false,false,false,false,false,false,false,25,SCHOOLGAP-a0b7c8ae2be73ee4,SOURCESYNC-be770ae628d518cf,SCHOOLSRCSTATUS-a44a76571aaaeb29,SCHOOLSRCEXEC-398e15dc17be549c,H001,de08b24c7c469a71,G1-OCR补缺线索回页核验,D1-高校侧可补OCR缺口线索,A1-官网补缺线索回页核验,M1-OCR补缺线索先核,1100,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,PDF原页、湖北官方侧和高校侧差异线索三方闭环一致后，仍需人工决定是否写回。,1,1,1,1,H1-有同校第一闭环页列提示,2,1,1,0,1,0,1,0,0,0,2,0,1,1,2,1,1,1,1,0,1,2a32f93c47353315,f8ebd11729668b38,N1-高校补缺线索回PDF原页=1；N3-无稳定候选人工看图=1,E1-计划数补缺或偏大优先核验=2,该队列只把E0任务接到同校页列提示；不能据此确认计划数、学费、选科、专业归属或专业组边界。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存任务ID、院校代码、状态桶、计数和SHA；不保存学校文本、专业文本、页图、OCR正文、字段读数、URL、截图或私有路径。
