来源期号,来源PDF_SHA256,数据阶段,最终可用,候选池学校专业组,候选专业组代码,第19期全量OCR命中,全量专业组表是否出现,全量专业行数,候选复核页码,页面OCR是否出现候选组号,页面OCR命中页码,页面OCR证据,同校第19期OCR专业组,同校第19期OCR页码,异常规则ID,异常类型,严重程度,核验状态,下一步
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,西安航空学院 K48704 第04组,K48704,是,是,2,226,是,226,第226页第177行含K48704,K48701；K48702；K48703；K48704,226,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,西安医学院 K48805 第05组,K48805,是,是,1,226,是,226,第226页第188行含K48805,K48804；K48805；K48806；K48807,226,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,西安医学院 K48804 第04组,K48804,是,是,1,226,是,226,第226页第184行含K48804,K48804；K48805；K48806；K48807,226,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,成都医学院 K17802 第02组,K17802,是,是,1,212,是,212,第212页第203行含K17802,K17801；K17802,212,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,成都医学院 K17801 第01组,K17801,是,是,1,212,是,212,第212页第200行含K17801,K17801；K17802,212,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,成都师范学院 K17903 第03组,K17903,是,是,1,212,是,212,第212页第207行含K17903,K17903；K17904；K17905；K17906；K17907；K17908,212；213,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,成都理工大学 K15123 第23组,K15123,否,否,0,208；209,否,,,K15107；K15108；K15109；K15110；K15111；K15112；K15113；K15114；K15115；K15116；K15117；K15118,208；209,candidate_group_missing_in_page_and_structured,复核页未见候选组号且结构化未命中,中,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,西安建筑科技大学 K46505 第05组,K46505,是,是,1,223,是,223,第223页第165行含K46505,K46504；K46505；K46506；K46507,223,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,西安财经大学 K48504 第04组,K48504,是,是,1,226,是,226,第226页第35行含K48504,K48502；K48503；K48504,226,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_page_code_audit,false,北京语言大学 A03208 第08组,A03208,是,是,1,17,是,17,第17页第191行含A03208,A03206；A03207；A03208；A03209,17,page_and_structured_match,页面与结构化均命中,低,needs_manual_pdf_review,回看候选页图，逐字段确认该组是否存在、是否被自动切组漏拆、是否为历史组号变化
