来源期号,来源PDF_SHA256,数据阶段,最终可用,复核状态,复核任务ID,复核对象类型,字段类别,字段名称,关联类型,关联原候选,院校代码,院校名称,2026院校专业组代码,专业组出现ID,专业行ID,组内序号,专业代号,专业名称及备注,来源页码,页图文件名,证据来源,OCR原值,OCR风险提示,原PDF人工确认值,湖北官方系统确认值,高校官网/章程确认值,家庭确认值,私有证据编号,核验责任阶段,字段核验状态,是否阻断候选升级,复核优先级,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-135d7e448d985b92,专业组字段,专业组,专业组边界,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,,,,,,17,page-017.png,full_ocr_draft,1,中外合作或高收费；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,核该专业组下全部专业是否完整，尤其是跨页、同校相邻组和0明细组,pending,是,P1-字段高优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-36f5af40ebac8bd2,专业组字段,专业组,历史投档线,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,,,,,,17,page-017.png,full_ocr_draft,pending,中外合作或高收费；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,确认2026专业组是否能沿用2023-2025历史投档线参照,pending,是,P1-字段高优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-a6d61eba4e53b4fd,专业组字段,专业组,家庭接受度,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,,,,,,17,page-017.png,full_ocr_draft,pending_family_acceptance_review,中外合作或高收费；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,确认组内全部专业是否能接受,pending,是,P1-字段高优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-63d18e27c5ced82c,专业组字段,专业组,湖北官方系统/省招办计划,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,,,,,,17,page-017.png,full_ocr_draft,pending_hubei_official_plan_review,中外合作或高收费；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,登录湖北官方系统或使用省招办计划核对专业组和计划,pending,是,P1-字段高优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-e9afe933e6286512,专业组字段,专业组,调剂结论,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,,,,,,17,page-017.png,full_ocr_draft,pending_transfer_decision,中外合作或高收费；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,确认是否可以服从该院校专业组内调剂,pending,是,P1-字段高优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-4f2deabf6b81557e,专业组字段,专业组,高校官网/招生章程,历史候选,北京语言大学 A03208 第08组,A032,北京语言大学,A03208,,,,,,17,page-017.png,full_ocr_draft,pending_school_charter_review,中外合作或高收费；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；OCR结构异常修正；异常学费原页/章程核验；页17：专业组11；专业明细52；结构异常14；候选命中1；P0-优先核页,,,,,,核高校官网或招生章程是否支持专业、学费、校区、限制条件,pending,是,P1-字段高优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-51bdfb564658b85d,专业组字段,专业组,PDF原页,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,,,,,,69,,page_code_audit_only,69,group_not_found_or_code_changed；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,回看第19期原PDF页，确认页码、栏位、组号和组内范围,pending,是,P0-字段必须优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-9d35e38628778589,专业组字段,专业组,专业组代码,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,,,,,,69,,page_code_audit_only,C10702,group_not_found_or_code_changed；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,核院校专业组代码是否与第19期和官方系统一致,pending,是,P0-字段必须优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-effb173b298f4edb,专业组字段,专业组,专业组边界,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,,,,,,69,,page_code_audit_only,0,group_not_found_or_code_changed；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,核该专业组下全部专业是否完整，尤其是跨页、同校相邻组和0明细组,pending,是,P0-字段必须优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-c2d5b6b4d6d2f5b7,专业组字段,专业组,历史投档线,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,,,,,,69,,page_code_audit_only,false,group_not_found_or_code_changed；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,确认2026专业组是否能沿用2023-2025历史投档线参照,pending,是,P0-字段必须优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-71ae93ca701af4dd,专业组字段,专业组,家庭接受度,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,,,,,,69,,page_code_audit_only,pending_family_acceptance_review,group_not_found_or_code_changed；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,确认组内全部专业是否能接受,pending,是,P0-字段必须优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-3f03039b9fe63742,专业组字段,专业组,湖北官方系统/省招办计划,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,,,,,,69,,page_code_audit_only,pending_hubei_official_plan_review,group_not_found_or_code_changed；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,登录湖北官方系统或使用省招办计划核对专业组和计划,pending,是,P0-字段必须优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-343423ba1bec455f,专业组字段,专业组,调剂结论,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,,,,,,69,,page_code_audit_only,pending_transfer_decision,group_not_found_or_code_changed；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,确认是否可以服从该院校专业组内调剂,pending,是,P0-字段必须优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_group_evidence_review,FR-4ae29877aa4a1ca9,专业组字段,专业组,高校官网/招生章程,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,,,,,,69,,page_code_audit_only,pending_school_charter_review,group_not_found_or_code_changed；原PDF页人工核验；湖北官方系统/省招办计划核验；高校官网/招生章程核验；家庭逐专业接受度核验；组内调剂结论；三年投档稳定性复核；2026组号定位或补齐专业明细；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,核高校官网或招生章程是否支持专业、学费、校区、限制条件,pending,是,P0-字段必须优先核,回看第19期原PDF页；再用湖北官方系统、省招办计划和高校章程交叉核验。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-df5e8e0004b1a20d,专业字段,专业明细,专业代号,历史候选,武汉体育学院 C10703 第03组,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,M-540f83eda499babc,1,05,运动康复,69,page-069.png,page_visual_review_seed;exact_full_major_match,05,风险类型:医学/护理等排除方向；阻断原因:命中医学/护理等当前明确排除方向；风险说明:医学/护理等排除方向；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,核专业代号是否准确,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-db9e14efe37f6dea,专业字段,专业明细,专业名称,历史候选,武汉体育学院 C10703 第03组,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,M-540f83eda499babc,1,05,运动康复,69,page-069.png,page_visual_review_seed;exact_full_major_match,运动康复,风险类型:医学/护理等排除方向；阻断原因:命中医学/护理等当前明确排除方向；风险说明:医学/护理等排除方向；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,核专业名称和方向备注是否准确,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-62e0a2839fa681a7,专业字段,专业明细,专业接受度,历史候选,武汉体育学院 C10703 第03组,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,M-540f83eda499babc,1,05,运动康复,69,page-069.png,page_visual_review_seed;exact_full_major_match,默认不能接受,风险类型:医学/护理等排除方向；阻断原因:命中医学/护理等当前明确排除方向；风险说明:医学/护理等排除方向；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,由家庭确认可接受、勉强接受或不能接受,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-72b78ada3d2d367e,专业字段,专业明细,再选科目,历史候选,武汉体育学院 C10703 第03组,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,M-540f83eda499babc,1,05,运动康复,69,page-069.png,page_visual_review_seed;exact_full_major_match,不限,风险类型:医学/护理等排除方向；阻断原因:命中医学/护理等当前明确排除方向；风险说明:医学/护理等排除方向；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,核再选科目是否匹配化学、地理组合,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-1e61341b3ce66f38,专业字段,专业明细,备注/限制,历史候选,武汉体育学院 C10703 第03组,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,M-540f83eda499babc,1,05,运动康复,69,page-069.png,page_visual_review_seed;exact_full_major_match,运动康复,风险类型:医学/护理等排除方向；阻断原因:命中医学/护理等当前明确排除方向；风险说明:医学/护理等排除方向；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,核校区、语种、单科、体检、合作办学、专项等备注,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-de433a45c4a71ce8,专业字段,专业明细,学费,历史候选,武汉体育学院 C10703 第03组,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,M-540f83eda499babc,1,05,运动康复,69,page-069.png,page_visual_review_seed;exact_full_major_match,5200,风险类型:医学/护理等排除方向；阻断原因:命中医学/护理等当前明确排除方向；风险说明:医学/护理等排除方向；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,核学费是否为正常学费且不超过家庭上限,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_evidence_ledger,false,pending_manual_field_review,FR-d1bf166a18e70f62,专业字段,专业明细,计划数,历史候选,武汉体育学院 C10703 第03组,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,M-540f83eda499babc,1,05,运动康复,69,page-069.png,page_visual_review_seed;exact_full_major_match,10,风险类型:医学/护理等排除方向；阻断原因:命中医学/护理等当前明确排除方向；风险说明:医学/护理等排除方向；页69：专业组12；专业明细84；结构异常18；候选命中10；P0-优先核页,,,,,,核招生计划数是否准确,pending,是,P0-字段必须优先核,逐字段核 PDF 原页；补湖北官方系统和高校章程值；再由家庭确认专业接受度。
