第一闭环页列证据状态汇总ID,来源第一闭环证据状态公开账本,来源第一闭环字段状态看板,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,执行泳道,第一闭环页列优先级,稳定基座第一闭环页列包ID,第一闭环字段状态看板ID,来源页码,版面列,页码版面键,页列任务数,涉及专业行数,涉及院校代码数,第一闭环任务ID集合SHA256,专业行ID集合SHA256,院校代码集合SHA256,自动官网辅证任务数,P0人工字段任务数,专业计划数字段任务数,学费字段任务数,再选科目字段任务数,待人工判定字段任务数,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证待核任务数,PDFOCR提示任务数,机器坐标提示任务数,高校辅证线索任务数,PDFOCR与高校辅证冲突任务数,高校有线索但PDFOCR缺候选任务数,仅PDFOCR候选待人工核页任务数,PDFOCR与高校辅证一致仍需官方闭环任务数,PDFOCR无候选任务数,无候选需人工看图任务数,需要人工直接看图任务数,需要双人复核任务数,字段事实写回可进入任务数,字段事实写回阻断任务数,任务来源类型分布,OCR提示状态分布,冲突状态分布,人工核验泳道分布,页列主阻断,页列建议下一步动作,完成条件,公开安全策略
FIRSTEVIDPAGE-b1715d7e0fecab9a,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,14,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-b1715d7e0fecab9a,FIRSTFSTATUS-b1715d7e0fecab9a,53,right,053-right,1,1,1,d50f1d6657cd1231118b8b50c39084ba7662d81c5ca7ca4561d544dd808cf492,7d8e09ba1e0d5a65add813a058fbd1aa7230cd51c125b8dbd98327094cbadacb,1b9997d0d2b2ce313af37a45116ebd09c4821a06e225484aa682a6b1bb0d03ad,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-4c0f16a37d308b85,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,9,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-4c0f16a37d308b85,FIRSTFSTATUS-4c0f16a37d308b85,56,left,056-left,16,9,2,ba8efc01022de607e76d9f31c36a45bf931aa2b68e730f610422eb6fcba1f59c,a167e8a939199069e5d821392394ad05c8c3eb25ae99e8d4486ba5489889a021,e171c52ec8cc8e006c362f106376a31be57a403267d33762c9e611d67bd70fa6,8,8,15,8,7,0,16,16,15,8,5,7,1,6,1,0,8,3,4,3,0,16,P0人工字段任务=8；自动官网辅证任务=8,O0-PDFOCR与高校辅证冲突=1；O2-高校有线索但PDFOCR缺候选=6；O3-仅PDFOCR候选待人工核页=1；O4-无PDFOCR但有机器坐标提示=5；O5-无公开OCR候选提示=3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=1；C1-高校补缺线索，PDF原页缺候选需人工看图=6；C3-仅PDFOCR候选，需人工核页=1；C4-无可比候选，需人工看图或随页列闭环=8,F0-PDFOCR与高校辅证冲突双人核页=1；F1-机器坐标候选辅助核页=5；F2-PDFOCR候选人工确认=7；F4-无候选人工看图=3,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-45d30b827811919c,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,35,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,FIRSTPAGE-45d30b827811919c,FIRSTFSTATUS-45d30b827811919c,57,left,057-left,1,1,1,caa6b829247f35e8b22e21b4aeb2021d0e045c0e32690bd92f8ecc441081a698,ead8ad89af4a89202f6a3e49af8a77a8ab544ce272823ded458375db870ed283,8f84db9a9b75369c510acd9141a2e09e112c162eb7cd7b0f09c2fe6979754a2f,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,自动官网辅证任务=1,O3-仅PDFOCR候选待人工核页=1,C3-仅PDFOCR候选，需人工核页=1,F2-PDFOCR候选人工确认=1,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-65f75a1a3c92b9b3,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,10,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-65f75a1a3c92b9b3,FIRSTFSTATUS-65f75a1a3c92b9b3,70,left,070-left,2,2,1,4d3edfee1e74ceda05e0486accdef6ba0d92996d96727bba46146139e6f77535,33e0352746154fab6aa40579435cdc8f8ead86a42809cc55a0de88748439ef5c,9fd3efd1c6e4aa5c82c747354bfb07a3881316e296fa575535ef53faf586d1e9,1,1,1,0,1,0,2,2,1,1,1,0,0,0,1,0,1,0,0,1,0,2,P0人工字段任务=1；自动官网辅证任务=1,O3-仅PDFOCR候选待人工核页=1；O4-无PDFOCR但有机器坐标提示=1,C3-仅PDFOCR候选，需人工核页=1；C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1；F2-PDFOCR候选人工确认=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-4c8c5f6279a32c04,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,31,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,FIRSTPAGE-4c8c5f6279a32c04,FIRSTFSTATUS-4c8c5f6279a32c04,70,right,070-right,11,11,1,361dcd0eb0b9fc64704c2d780a825a4aba93be9dd4e0fbc62b78a125e3f87532,9653fb20d443d3dc5850f68be12e4c28255e05f9a047aa015f7be43d95393641,9fd3efd1c6e4aa5c82c747354bfb07a3881316e296fa575535ef53faf586d1e9,11,0,7,11,1,0,11,11,11,11,0,0,0,0,11,0,0,0,0,0,0,11,自动官网辅证任务=11,O3-仅PDFOCR候选待人工核页=11,C3-仅PDFOCR候选，需人工核页=11,F2-PDFOCR候选人工确认=11,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-6bd94b5fb0abfec4,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,30,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,FIRSTPAGE-6bd94b5fb0abfec4,FIRSTFSTATUS-6bd94b5fb0abfec4,80,right,080-right,18,18,1,b88cbc7c0a8041651b2c71ecf0b990d6ceb80c02fba7fc3493d51bedfbcef6e6,7054f44d7a0171e604377e7c5d0960aa4d2f9756d0d94d6db6b01bc6a4f59174,f0d53abbf1e2b5c36b121aa62c77df50c17b517fac52f5ece98d6f497d46ef4e,1,17,1,1,17,0,18,18,18,1,0,0,0,0,1,0,17,17,17,17,0,18,P0人工字段任务=17；自动官网辅证任务=1,O3-仅PDFOCR候选待人工核页=1；O5-无公开OCR候选提示=17,C3-仅PDFOCR候选，需人工核页=1；C4-无可比候选，需人工看图或随页列闭环=17,F2-PDFOCR候选人工确认=1；F4-无候选人工看图=17,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-93ec45e4e888f97d,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,36,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,FIRSTPAGE-93ec45e4e888f97d,FIRSTFSTATUS-93ec45e4e888f97d,81,left,081-left,1,1,1,e98fe92f2fbf49dfce55d1fdd713ccd596a69869608689de03e27870efafce86,a860b790ee02b99b37c4ec2fe39543fa788a4556f4bbd448d2caaba02b1f6e50,f0d53abbf1e2b5c36b121aa62c77df50c17b517fac52f5ece98d6f497d46ef4e,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,自动官网辅证任务=1,O3-仅PDFOCR候选待人工核页=1,C3-仅PDFOCR候选，需人工核页=1,F2-PDFOCR候选人工确认=1,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-cfa201a8f79e7d0e,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,23,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-cfa201a8f79e7d0e,FIRSTFSTATUS-cfa201a8f79e7d0e,82,right,082-right,2,2,1,e3ac0d0fd3ef2f0f4015fe15f0c39f98acfc4d36ed9e1cabc08adc5af92898c7,7a7e4536324e6f7f33c49aab6f717b59af80969926a1c509d84a1c12eeb5ce8f,1ce846951063accf86661258ae807ccd31b0a5fa003be1ffb23151f7efc4bdf8,0,2,2,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,2,0,2,P0人工字段任务=2,O4-无PDFOCR但有机器坐标提示=2,C4-无可比候选，需人工看图或随页列闭环=2,F1-机器坐标候选辅助核页=2,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-b07fea137a292b98,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,15,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-b07fea137a292b98,FIRSTFSTATUS-b07fea137a292b98,93,left,093-left,1,1,1,ae2df87d63bcf9d18a1466312ae8d71cadc92cad4e35cefa4731ac490055b51e,e0b7b2daef7ffbd57a82881bcaa3364f2f02b548099273816afa6ec4e673a432,f4e5570aeafff0fae1bc4763aae5ab60687f38c9070c926c91a231d8db3123c7,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-4a89eabd9dcaa967,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,37,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,FIRSTPAGE-4a89eabd9dcaa967,FIRSTFSTATUS-4a89eabd9dcaa967,96,right,096-right,1,1,1,952f2610c4fdd1ef9ac5d7250c9065727b3d64fc3f2d57bae08eff7253e22bf5,d1a6045fb010ccb0ae289a926ca2529c52e04312873a7c3098823b458ef8151c,4a75d61ffc9471532951aa82e812b8aa65916846cc35a91f10ef59f6fbb7d00c,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,自动官网辅证任务=1,O3-仅PDFOCR候选待人工核页=1,C3-仅PDFOCR候选，需人工核页=1,F2-PDFOCR候选人工确认=1,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-26bbbf78aa76ddbe,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,28,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-26bbbf78aa76ddbe,FIRSTFSTATUS-26bbbf78aa76ddbe,102,left,102-left,1,1,1,8ae05f0f2e1cac11e96f4b9f5df0c6ec8ba7769292bcd107955e970d89a258bc,2d153a8b3c86c42419aa4cbe12adac68edae3b656b0ce4ede1ff3427edcc9dfd,761de3869be98128a8135f84ddf1721cdbb6d2e73a24f55e8681a05a68ea4a3a,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,P0人工字段任务=1,O4-无PDFOCR但有机器坐标提示=1,C4-无可比候选，需人工看图或随页列闭环=1,F1-机器坐标候选辅助核页=1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-551d0b213dbd2529,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,20,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-551d0b213dbd2529,FIRSTFSTATUS-551d0b213dbd2529,109,left,109-left,8,4,1,3bb933eefdfbe31d668dfff35068a54f0f057ad822aed269b5bba121899df2e8,08dc9f70ba4d15bde35ca343821b5fd6f4a15679e9bb024e127f25b396667754,53ebdedba422190c1c998a7fdcfdece0535cdf2c06979ba65312ee54a0fbef8a,4,4,8,4,2,0,8,8,8,4,0,4,0,0,0,4,4,4,4,2,0,8,P0人工字段任务=4；自动官网辅证任务=4,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环=4；O5-无公开OCR候选提示=4,C2-多源有一致线索，仍待湖北官方侧闭环=4；C4-无可比候选，需人工看图或随页列闭环=4,F2-PDFOCR候选人工确认=4；F4-无候选人工看图=4,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-49426baa76375e44,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-49426baa76375e44,FIRSTFSTATUS-49426baa76375e44,135,left,135-left,10,10,1,4b5c932e832ca2fe7f73f9584f762a069815335ffa3b16cfb598198371835a2e,eeafb1981fa3e20da36bdc4a5f252863da325cf884688931e35c820c2d2b0a2c,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,10,0,10,10,1,0,10,10,10,10,0,10,10,0,0,0,0,0,10,10,0,10,自动官网辅证任务=10,O0-PDFOCR与高校辅证冲突=10,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=10,F0-PDFOCR与高校辅证冲突双人核页=10,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-6f905e62249f58a5,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,32,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,FIRSTPAGE-6f905e62249f58a5,FIRSTFSTATUS-6f905e62249f58a5,135,right,135-right,3,3,1,d5b1dfe8be2afe4dc8b78d987a1a28945b970665aef181a4de8b8097fcfa1d08,803142ec4b7aef2795c52b6b9bb2fe56fd5902907f707e36b4a8844d44c405e5,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,3,0,1,1,0,2,3,3,3,1,0,0,0,0,1,0,2,2,2,0,0,3,自动官网辅证任务=3,O3-仅PDFOCR候选待人工核页=1；O5-无公开OCR候选提示=2,C3-仅PDFOCR候选，需人工核页=1；C4-无可比候选，需人工看图或随页列闭环=2,F2-PDFOCR候选人工确认=1；F4-无候选人工看图=2,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-7826a50352856b5d,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,7,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-7826a50352856b5d,FIRSTFSTATUS-7826a50352856b5d,137,right,137-right,1,1,1,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,a896beb783dce6a04c04b50a782e5a9b16b801c772eca0afb836726963d31b04,67c655f4d9411562d337ba21d09744cc61ba35531af164f1d55457d94b6e7926,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,自动官网辅证任务=1,O0-PDFOCR与高校辅证冲突=1,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧=1,F0-PDFOCR与高校辅证冲突双人核页=1,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
FIRSTEVIDPAGE-15ba87f70c7f53a2,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report_page_side_summary,PDF页码×版面列,页列×第一闭环证据状态汇总,false,false,false,false,false,false,false,false,24,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,FIRSTPAGE-15ba87f70c7f53a2,FIRSTFSTATUS-15ba87f70c7f53a2,137,left,137-left,2,1,1,af4d5f2b44d413793a06cf8fa7fc6bbe4cfbad931ed9f6b0e8ac0f6f48d39ebe,eabcde9f6c6e9cfda08f40902956921c78e4bda24fa696b8e02ca17d279c8966,573261a7e560eca866a3ed99128884257132d585765657ffd7232d5f32f683b7,1,1,2,1,1,0,2,2,2,1,0,1,0,1,0,0,1,1,1,1,0,2,P0人工字段任务=1；自动官网辅证任务=1,O2-高校有线索但PDFOCR缺候选=1；O5-无公开OCR候选提示=1,C1-高校补缺线索，PDF原页缺候选需人工看图=1；C4-无可比候选，需人工看图或随页列闭环=1,F2-PDFOCR候选人工确认=1；F4-无候选人工看图=1,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁，不公开字段值、OCR原文、学校专业明细、人工记录或私有路径
