来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,组核验包ID,候选V3入口ID,复核批次,入口类型,入口来源说明,院校代码,院校名称OCR,2026院校专业组代码,专业组出现ID,来源页码,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,专业明细来源,专业明细行数,逐专业核验任务数,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,机器家庭匹配初判,调剂初判,组质量层级,组复核优先级,组结构异常数,组高严重结构异常数,历史候选匹配,候选池原始项,候选城市,候选年份覆盖,2023同组投档线,2024同组投档线,2025同组投档线,三年同组命中数,等位分差摘要,历史线使用口径,组内招生明细,核页重点,PDF原页核验状态,湖北官方系统核验状态,高校官网章程核验状态,家庭接受度核验状态,调剂结论状态,历史线核验状态,升级判定状态,可进入下一阶段,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-5ddbc5cac7928595,V3-4b5172b7d55161f8,B0-历史候选和组号问题优先核页,历史候选,西安医学院 K48805 第05组,K488,西安医学院,K48805,G-95aa0580598e9983,226,page-226,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226,candidate_v2_review_seed,1,1,0,0,0,0,1,0,0,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,Q2-重点候选字段待核,P0-必须优先核页,0,0,是,西安医学院 K48805 第05组,西安,2023/2024/2025,539(化或生),534(生，护理类),496(化),3,2023:+58；2024:+37；2025:+2,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 05 预防医学（办学地点：未央校区；学制：五年）｜计划:｜学费:6500｜选科:［化学｜偏好:无｜风险:医学/护理等排除方向,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含医学护理等家庭明确排除方向，先判断是否阻断调剂,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-503a1ee393f079e7,V3-a444f274289a293e,B0-历史候选和组号问题优先核页,历史候选,武汉体育学院 C10702 第02组,C107,武汉体育学院,C10702,,69,page-069,6ff6e44cf7b51f54a0ccbfffdfbf1abad11b038412355c1cb50eb1d305f246da,069_page-069,candidate_v2_review_seed,0,1,0,0,0,0,0,0,0,候选V2补充线索-需先核页,不可判断-需先确认2026专业组和明细,,,0,,是,武汉体育学院 C10702 第02组,武汉,2023/2025,511(不限),,507(不限),2,2023:+30；2025:+13,2026组号或结构化存在变化/补种问题，历史线不得直接沿用。,,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；0明细组必须先补齐或确认2026组号变化/旧组号；历史投档线不得直接沿用，必须重新找2026组证据和可比历史组,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-6a4488d7769fddc2,V3-1c440347b3330d32,B0-历史候选和组号问题优先核页,历史候选,武汉体育学院 C10703 第03组,C107,武汉体育学院,C10703,G-afbb7a450a726ecb,69,page-069,6ff6e44cf7b51f54a0ccbfffdfbf1abad11b038412355c1cb50eb1d305f246da,069_page-069,candidate_v2_review_seed,7,7,2,0,1,1,3,0,0,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,Q2-重点候选字段待核,P0-必须优先核页,3,0,是,武汉体育学院 C10703 第03组,武汉,2023/2024/2025,506(不限),521(不限),500(不限),3,2023:+25；2024:+24；2025:+6,2026组号或结构化存在变化/补种问题，历史线不得直接沿用。,1. 05 运动康复｜计划:10｜学费:5200｜选科:不限｜偏好:无｜风险:医学/护理等排除方向；2. 06 应用心理学｜计划:6｜学费:4000｜选科:不限｜偏好:无｜风险:无；3. 07 智能体育工程｜计划:8｜学费:4000｜选科:不限｜偏好:无｜风险:无；4. 08 教育技术学｜计划:2｜学费:4000｜选科:不限｜偏好:师范类相关｜风险:无；5. 09 信息管理与信息系统｜计划:12｜学费:4000｜选科:不限｜偏好:无｜风险:无；6. 10 体育经济与管理｜计划:9｜学费:4000｜选科:不限｜偏好:无｜风险:无；7. 11 新闻学｜计划:6｜学费:5200｜选科:不限｜偏好:无｜风险:无,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含医学护理等家庭明确排除方向，先判断是否阻断调剂；历史投档线不得直接沿用，必须重新找2026组证据和可比历史组,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-516244211fbbc9d5,V3-7b8d832f9e7bf0a2,B0-历史候选和组号问题优先核页,历史候选,武汉体育学院 C10704 第04组,C107,武汉体育学院,C10704,,69,page-069,6ff6e44cf7b51f54a0ccbfffdfbf1abad11b038412355c1cb50eb1d305f246da,069_page-069,candidate_v2_review_seed,3,3,0,0,0,0,0,0,0,候选V2补充线索-需先核页,不可判断-需先确认2026专业组和明细,,,0,,是,武汉体育学院 C10704 第04组,武汉,2023/2025,509(化),,510(化),2,2023:+28；2025:+16,2026组号或结构化存在变化/补种问题，历史线不得直接沿用。,1. 12 中医骨伤科学（学制：五年）｜计划:6｜学费:5200｜选科:化学｜偏好:无｜风险:医学/护理等排除方向；2. 13 康复治疗学｜计划:7｜学费:5200｜选科:化学｜偏好:无｜风险:医学/护理等排除方向；3. 14 数据科学与大数据技术｜计划:7｜学费:4000｜选科:化学｜偏好:计算机类相关｜风险:无,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；历史投档线不得直接沿用，必须重新找2026组证据和可比历史组,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-d13191f11ce9c413,V3-fb6949a17903b9d0,B0-历史候选和组号问题优先核页,历史候选,武汉轻工大学 C12508 第08组,C125,武汉轻工大学,C12508,G-c0a59815d1448be1,74,page-074,ff491a3da8d096f7f2a73410dbeee588792575e1b274b9924143e4742aa3ee40,074_page-074,candidate_v2_review_seed,21,21,0,0,0,0,5,0,0,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,Q2-重点候选字段待核,P0-必须优先核页,5,0,是,武汉轻工大学 C12508 第08组,武汉,2023/2024/2025,506(不限),529(化),498(个限),3,2023:+25；2024:+32；2025:+4,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 46 化学工程与工艺｜计划:77｜学费:4000｜选科:｜偏好:无｜风险:无；2. 47 功能材料｜计划:43｜学费:4000｜选科:｜偏好:无｜风险:无；3. 48 机械类（含机械设计制造及其自动化、智能制造工程专业）｜计划:312｜学费:5200｜选科:｜偏好:无｜风险:无；4. 49 食品科学与工程类（含食品科学与工得、食品质量与安全、粮食工程、食品营养与健康专业）｜计划:343｜学费:5200｜选科:｜偏好:无｜风险:无；5. 50 康复治疗学｜计划:37｜学费:4000｜选科:｜偏好:无｜风险:医学/护理等排除方向；6. 51 药学｜计划:70｜学费:4000｜选科:｜偏好:无｜风险:医学/护理等排除方向；7. 52 生物技术｜计划:75｜学费:4000｜选科:｜偏好:无｜风险:无；8. 53 生物工程类（含生物工程、合成生物学专业）｜计划:74｜学费:4000｜选科:｜偏好:无｜风险:无；9. 54 制药工程｜计划:80｜学费:4000｜选科:｜偏好:无｜风险:医学/护理等排除方向；10. 55 生物信息学｜计划:80｜学费:4000｜选科:｜偏好:无｜风险:无；11. 56 动物科学｜计划:51｜学费:3000｜选科:｜偏好:无｜风险:无；12. 57 动物药学｜计划:24｜学费:3000｜选科:｜偏好:无｜风险:医学/护理等排除方向；13. 58 水产养殖学｜计划:31｜学费:3000｜选科:｜偏好:无｜风险:无；14. 59 应用生物科学｜计划:35｜学费:4000｜选科:｜偏好:无｜风险:无；15. 60 护理学｜计划:50｜学费:4000｜选科:｜偏好:无｜风险:医学/护理等排除方向；16. 61 环境工程｜计划:49｜学费:4000｜选科:｜偏好:无｜风险:无；17. 62 包装工程｜计划:40｜学费:4000｜选科:｜偏好:无｜风险:无；18. 63 士木类（含土木工程、智能建造专业）｜计划:80｜学费:4000｜选科:｜偏好:无｜风险:无；19. 64 机器人工程｜计划:55｜学费:4000｜选科:｜偏好:无｜风险:无；20. 65 动物科学（伴侣动物方向）｜计划:26｜学费:3000｜选科:｜偏好:无｜风险:无；21. 66 饲料工程｜计划:22｜学费:4000｜选科:｜偏好:无｜风险:无,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含医学护理等家庭明确排除方向，先判断是否阻断调剂,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-de47dee5eb83c755,V3-b4bd097ae1e5398b,B0-历史候选和组号问题优先核页,历史候选,武汉商学院 C15003 第03组,C150,武汉商学院,C15003,G-43eaec6deac85123,80,page-080,19aa99b47345c817b0477ca2ec84bbf4d25ea260340fd9d33b96c4132d579389,080_page-080,candidate_v2_review_seed,22,22,1,0,1,0,0,0,2,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,Q2-重点候选字段待核,P0-必须优先核页,5,0,是,武汉商学院 C15003 第03组,武汉,2023/2024/2025,501(不限),512(不限),500(不限),3,2023:+20；2024:+15；2025:+6,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 21 零售业管理（智慧运营方向；大一在马影河校区就读，大二起在后官湖校区就读）｜计划:9｜学费:5200｜选科:不限｜偏好:无｜风险:无；2. 22 零售业管理（数智营销方向：大一在马影河校区就读，大二起在后官湖校区就读）｜计划:8｜学费:5200｜选科:｜偏好:无｜风险:无；3. 23 大数据管理与应用（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:66｜学费:4000｜选科:｜偏好:计算机类相关｜风险:无；4. 24 数字经济（大一在马影河校区就读，大資高謝亭院校专业组及专业代号二起在后官湖校区就读）｜计划:63｜学费:4000｜选科:｜偏好:无｜风险:无；5. 25 经济与金融（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:10｜学费:4000｜选科:｜偏好:无｜风险:无；6. 26 南务经济学（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:19｜学费:5200｜选科:｜偏好:无｜风险:无；7. 27 经济统计学（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:61｜学费:4000｜选科:｜偏好:无｜风险:无；8. 28 税收学（大一在马影河校区就读，大三起在后官湖校区就读）｜计划:18｜学费:4000｜选科:｜偏好:无｜风险:无；9. 29 酒店管理（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:20｜学费:5200｜选科:｜偏好:无｜风险:无；10. 30 会展经济与管理（大一在马影河校E就读，大二起在后官湖校区就读｜计划:12｜学费:4000｜选科:｜偏好:无｜风险:无；11. 31 旅游管理与服务教育（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:14｜学费:4000｜选科:｜偏好:无｜风险:无；12. 32 商务英语（要求高考英语成绩不低于｜计划:21｜学费:5200｜选科:｜偏好:无｜风险:无；13. 90 分（满分以150分计）：大一在马漿河校区就读，大二起在后官湖校区房读：外语语种：英语）｜计划:21｜学费:5200｜选科:｜偏好:无｜风险:语种或单科限制；14. 33 國译（国际传損方向：要求高考英语成绩不低于90分（满分以150分计）：大在当影河校区就读，大二起在后官湖校区就读：外语语种：英语）｜计划:｜学费:4000｜选科:｜偏好:无｜风险:语种或单科限制；15. 34 财务管理（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:12｜学费:5200｜选科:｜偏好:无｜风险:无；16. 35 审计学（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:25｜学费:5200｜选科:｜偏好:无｜风险:无；17. 36 会计学（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:24｜学费:5200｜选科:｜偏好:无｜风险:无；18. 37 物流管理（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:18｜学费:4000｜选科:｜偏好:无｜风险:无；19. 38 日语（商务方向：大一在马影河校区就读，大二起在后官湖校区就读）｜计划:7｜学费:4000｜选科:｜偏好:无｜风险:无；20. 39 人力资源管理（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:18｜学费:4000｜选科:｜偏好:无｜风险:无；21. 40 电子商务（大一在马影河校区就读，大三起在后官湖校区就读）｜计划:9｜学费:5200｜选科:｜偏好:无｜风险:无；22. 41 供应链管理（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:17｜学费:4000｜选科:｜偏好:无｜风险:无,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-bcc3d582bb2f421a,V3-88b34060565de38e,B0-历史候选和组号问题优先核页,历史候选,武汉商学院 C15004 第04组,C150,武汉商学院,C15004,G-887faa839014956a,80,page-080,19aa99b47345c817b0477ca2ec84bbf4d25ea260340fd9d33b96c4132d579389,080_page-080,candidate_v2_review_seed,4,4,4,0,4,0,0,0,0,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,Q2-重点候选字段待核,P0-必须优先核页,1,0,是,武汉商学院 C15004 第04组,武汉,2023/2024/2025,517(不限),494(招不限),513(化),3,2023:+36；2024:-3；2025:+19,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 42 软件工程（大一在马影河校区就读，大起在后官湖校区就读）｜计划:58｜学费:5200｜选科:化学｜偏好:计算机类相关｜风险:无；2. 13 物联网工程（智能系统方向：大一在三影河校区就读，大二起在后官湖校区｜计划:60｜学费:5200｜选科:｜偏好:计算机类相关｜风险:无；3. 44 数据科学与大数据技术（大一在马影河校区就读，大二起在后官湖校区就｜计划:67｜学费:5200｜选科:｜偏好:计算机类相关｜风险:无；4. 45 人工智能（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:57｜学费:4000｜选科:｜偏好:计算机类相关｜风险:无,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-600204d9556f127c,V3-c56f937a0ff902cb,B0-历史候选和组号问题优先核页,历史候选,武汉商学院 C15005 第05组,C150,武汉商学院,C15005,G-7d8f349bcbb71f76,80,page-080,19aa99b47345c817b0477ca2ec84bbf4d25ea260340fd9d33b96c4132d579389,080_page-080,candidate_v2_review_seed,4,4,0,0,0,0,0,0,0,普通备选待了解-未命中当前偏好且未触发自动阻断,可进入人工调剂接受度判断,Q2-重点候选字段待核,P0-必须优先核页,0,0,是,武汉商学院 C15005 第05组,武汉,2023/2024/2025,509(不限),517(厅化),507(化),3,2023:+28；2024:+20；2025:+13,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 46 机器人工程（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:98｜学费:5200｜选科:化学257｜偏好:无｜风险:无；2. 47 建筑环境与能源应用工程（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:45｜学费:4000｜选科:｜偏好:无｜风险:无；3. 48 车辆工程（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:36｜学费:4000｜选科:｜偏好:无｜风险:无；4. 49 新能源汽车工程（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:78｜学费:4000｜选科:｜偏好:无｜风险:无,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-6865decf6ce45312,V3-98af05c3bb0e0b27,B0-历史候选和组号问题优先核页,历史候选,武汉商学院 C15006 第06组,C150,武汉商学院,C15006,G-f240080cc7acc676,80,page-080,19aa99b47345c817b0477ca2ec84bbf4d25ea260340fd9d33b96c4132d579389,080_page-080,candidate_v2_review_seed,3,3,0,0,0,0,0,0,0,普通备选待了解-未命中当前偏好且未触发自动阻断,可进入人工调剂接受度判断,Q2-重点候选字段待核,P0-必须优先核页,1,0,是,武汉商学院 C15006 第06组,武汉,2023/2025,485(不限),,498(化),2,2023:+4；2025:+4,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 50 烹饪与营养教育（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:70｜学费:4000｜选科:化学｜偏好:无｜风险:无；2. 51 食品质量与安全（大一在马影河校区就读，大二起在后官湖校区就读）｜计划:77｜学费:4000｜选科:｜偏好:无｜风险:无；3. 52 食品科学与工程（大一在马影河校区就读，大二起在后官湖校区就读）院校专业组及专业代号｜计划:73｜学费:4000｜选科:｜偏好:无｜风险:无,先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-8eb95a44367297d4,V3-b06feb8b3e530857,B0-历史候选和组号问题优先核页,历史候选,武汉商学院 C15007 第07组,C150,武汉商学院,C15007,G-c17bbc8198fca6e9,81,page-081,88e8264c3f18f63a1343fd197fa808d7d42897f73b041c25b2729650a6ed4d8a,081_page-081,candidate_v2_review_seed,2,2,1,0,0,1,0,2,0,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,Q1-高风险结构异常,P0-必须优先核页,3,1,是,武汉商学院 C15007 第07组,武汉,2023/2025,490(化),,482(不限),2,2023:+9；2025:-12,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,"1. 53 经济与金融（中外合作办学）（“3+“双证培养模式；大一在马影河校区就读，大二起在后官湖校区就读）｜计划:35｜学费:35000｜选科:不限｜偏好:无｜风险:中外合作或高收费；2. 54 物流管理（中外合作办学〉（“4+0""双证培养模式；大一在马影河校区就读，大起在后官湖校区就读）C151汉江师范学院（公办）（湖北）｜计划:35｜学费:40000｜选科:｜偏好:师范类相关｜风险:中外合作或高收费",先核历史候选对应的2026专业组是否真实存在、组号是否变化、组内专业是否完整；组内含高收费/超预算线索，先核学费和办学性质,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-eb5ed06dd24e9c09,V3-1c0540347bf84b39,B1-数字媒体技术优先核页,家庭筛选扩展,R1-偏好专业且未自动阻断,F305,忻州师范学院,F30508,G-3ed22abc87c8dac2,109,page-109,533edd540e60b82207ab620eebfe0228378dafe8f0faa4eb9d8e9a32c656f5ed,109_page-109,family_fit_full_ocr,4,4,3,1,2,1,0,0,0,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,Q2-重点候选字段待核,P0-必须优先核页,1,0,否,,,,474(政或地),487(化),,2,2023:-7；2024:-10,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 15 应用化学｜计划:｜学费:4950｜选科:化学｜偏好:无｜风险:无｜接受度:待了解-未命中当前偏好方向｜专业行ID:M-51215ebfd6e9c1fb；2. 16 数字媒体技术｜计划:｜学费:4800｜选科:｜偏好:数字媒体技术｜风险:无｜接受度:优先了解-命中当前偏好方向｜专业行ID:M-6eb339aae881b3aa；3. 17 数据科学与大数据技术｜计划:｜学费:4800｜选科:｜偏好:计算机类相关｜风险:无｜接受度:优先了解-命中当前偏好方向｜专业行ID:M-68e8615d3ab753b9；4. 18 计算机科学与技术（师范类）｜计划:｜学费:5280｜选科:【化学｜偏好:计算机类相关；师范类相关｜风险:无｜接受度:优先了解-命中当前偏好方向｜专业行ID:M-b11b9f49fcb51333,先核数字媒体技术专业是否真实属于该组，并核完整调剂范围,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_review_pack,false,pending_b0_b1_original_page_review,GPK-2cfe29a05cc2298a,V3-6798455c18fd3a25,B1-数字媒体技术优先核页,家庭筛选扩展,R1-偏好专业且未自动阻断,F582,长春工业大学,F58204,G-2518db829eecd796,119,page-119,1176df2fbe89e1d8593c5794e94884b799675f23848c0551482f4a9e234f0156,119_page-119,family_fit_full_ocr,11,11,5,1,4,0,0,0,1,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,Q2-重点候选字段待核,P0-必须优先核页,0,0,否,,,,,528(不限),527(化),2,2024:+31；2025:+33,仅作同组代码历史线索，不能直接证明2026组内专业和投档位次可沿用。,1. 17 电气工程及其自动化（不招色盲色弱不招单色识别不全者：办学地点：南湖校区）｜计划:｜学费:5940｜选科:｜偏好:无｜风险:体检或色觉限制｜接受度:暂缓判断-特殊限制待核｜专业行ID:M-8a02f61518c73f24；2. 18 自动化（办学地点：南湖校区）｜计划:2｜学费:5940｜选科:｜偏好:无｜风险:无｜接受度:待了解-未命中当前偏好方向｜专业行ID:M-657c782e75dc12f3；3. 19 测控技术与仪器（办学地点：南湖校｜计划:2｜学费:5940｜选科:｜偏好:无｜风险:无｜接受度:待了解-未命中当前偏好方向｜专业行ID:M-82b0eea8a5c9301d；4. 20 机器人工程（办学地点：南湖校区）｜计划:2｜学费:5400｜选科:｜偏好:无｜风险:无｜接受度:待了解-未命中当前偏好方向｜专业行ID:M-ccc777e642eb4b83；5. 21 算机科学与技术（办学地点：北湖校｜计划:2｜学费:5940｜选科:｜偏好:无｜风险:无｜接受度:待了解-未命中当前偏好方向｜专业行ID:M-14b3df922e187cc5；6. 22 软件工程（办学地点：北湖校区）｜计划:｜学费:5940｜选科:｜偏好:计算机类相关｜风险:无｜接受度:优先了解-命中当前偏好方向｜专业行ID:M-c405e6a618b19ac7；7. 23 人工智能（办学地点：北湖校区）｜计划:｜学费:5400｜选科:｜偏好:计算机类相关｜风险:无｜接受度:优先了解-命中当前偏好方向｜专业行ID:M-480f7a7c9bfdf3af；8. 24 电子信息工程（办学地点：北湖校区）｜计划:｜学费:5940｜选科:｜偏好:无｜风险:无｜接受度:待了解-未命中当前偏好方向｜专业行ID:M-e3241e819311fe44；9. 25 信息安全（办学地点：北湖校区）｜计划:2｜学费:5400｜选科:｜偏好:计算机类相关｜风险:无｜接受度:优先了解-命中当前偏好方向｜专业行ID:M-950c2e2088092141；10. 26 数字媒体技术（办学地点：北湖校区）｜计划:2｜学费:5400｜选科:｜偏好:数字媒体技术｜风险:无｜接受度:优先了解-命中当前偏好方向｜专业行ID:M-42afb95cc4899dd4；11. 27 数据科学与大数据技术（办学地点：北湖校区）｜计划:2｜学费:5400｜选科:｜偏好:计算机类相关｜风险:无｜接受度:优先了解-命中当前偏好方向｜专业行ID:M-2fc5be25b14e0a00,先核数字媒体技术专业是否真实属于该组，并核完整调剂范围,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending_history_line_review,pending_upgrade_decision,false,按页码回看第19期原PDF；逐专业核对后，再补湖北官方系统、省招办计划、高校章程、家庭接受度和调剂结论。
