稳定基座第一闭环页列包ID,来源第一闭环明细包,来源稳定基座自动官网辅证交叉核验工作台,来源稳定基座最小人工闭环工作台,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,第一闭环批次,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,来源页码,版面列,页码版面键,页列总任务数,自动官网辅证任务数,P0人工字段任务数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,涉及专业行数,涉及字段任务数,涉及院校代码数,院校代码集合,院校名称集合短摘,专业行ID集合SHA256,第一闭环明细任务ID集合SHA256,自动交叉核验任务ID集合SHA256,最小人工闭环任务ID集合SHA256,P0字段即时复核任务ID集合SHA256,是否含计划数冲突或补缺,是否含P0人工字段任务,是否需要双人复核,第一闭环页列优先级,页列执行状态,人工必做步骤,工作量压缩说明,字段事实写回状态,公开安全策略,下一步
FIRSTPAGE-6877343afbe11307,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,40,right,040-right,1,0,1,0,0,0,1,0,0,1,1,1,A145,中国地质大学（武汉）,689361afb565f744f81daa60fc803f12f0440349021ffbfc9491a7e8d3df99f6,f64746a5c4cf0a5c56e4f36317127b5326a6488e525ebe098189208b10e7dcf6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8d93df4aee63d8f5790caa8b0ac6711006b5e108d38a195e630e7780c4d9f1ed,f114813827ed8288415216640efa16f1d8f0fcfd7da05d78952fea3008ba7041,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-cc413d4ed28b64a8,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,43,left,043-left,1,0,1,0,0,0,1,0,0,1,1,1,A151,华中师范大学,acbf20b43e5a217654b3170e923c8f01e6b918f8161c31069c612ba66a567a67,eb2d08e51be33bc330fc5e094c1d4d85fa8bba8f5f78db4f835a5924cbf248b3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,edd49d51432a44bff3e40ad81471ec12d66b29e51a883314e9349563c9727672,e1c5b804d4a758fd61ccf9e1ce5a1fc2c7411a10e7ab49850959995efd8cd4b1,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-b1715d7e0fecab9a,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,53,right,053-right,1,0,1,0,0,0,1,0,0,1,1,1,A185,西北工业大学,7d8e09ba1e0d5a65add813a058fbd1aa7230cd51c125b8dbd98327094cbadacb,d50f1d6657cd1231118b8b50c39084ba7662d81c5ca7ca4561d544dd808cf492,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,719e79030c424ef8b94a8cc31581d3deaa39fc5250bc6e0656c479f2d4f66e9b,b3db8c4107c1debbddce65ee3c538f9d88e1339456f69faa2bf620ac8766f869,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-b07fea137a292b98,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,93,left,093-left,1,0,1,0,0,0,1,0,0,1,1,1,F008,北京农学院,e0b7b2daef7ffbd57a82881bcaa3364f2f02b548099273816afa6ec4e673a432,ae2df87d63bcf9d18a1466312ae8d71cadc92cad4e35cefa4731ac490055b51e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0dd99fc23c4427cf67d51904db84dafc0f2f356efe9d1af51d897477c61943e5,9b99c5fd8e0ad5a592a1cf7288912d545901ba0f8bbaec81c0d87d3e65e5528c,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-a766473a37caa4de,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,141,left,141-left,1,0,1,0,0,0,1,0,0,1,1,1,H023,浙江财经大学,6e49fd4e722d316494f4e0a06a1d94a2d6eb438f664d94a45df63bfab398effa,8456ebe59668b16dfb89916d0c589ae1c24069d54f6f36010608242fd7406fc0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2f513c23dd15a9f12266af07c5d400d0052a58d690d20bd4c88f0ee6a72d00be,40eb8ab3e510ec6ee041eae37842a154c53d5bcda1f551f2922ed0b5c6c05f09,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-44afa6d6e4d84e5a,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,205,left,205-left,1,0,1,0,0,0,1,0,0,1,1,1,K073,长江师范学院,6314091b189ae6be30d396d291a037247940323dbb589028fa780781c9607f1d,eed634392a7f10ceadfd1c19cd5773d924ca6c5b54c3c0735e4a783e72e4fee1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a1e5e59d1096e46438f8930a57bdfc672533099b7fd6b1e8c085b5b3439cf262,1243bff19dc71f01f7e585a566c7e2d6daa11b2fec25778fcf513b5eeacfb331,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-878b34b3141f5010,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,235,right,235-right,1,0,1,0,0,0,1,0,0,1,1,1,K753,喀什大学,ffc747191af9e32b7587a84996171823b7573332cc6d4effb100d3f080c3746d,9bd3bff993132c7d4068dc2217249f6810997d69f4651a8ac3981887df981ff3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7dfe626b5c2d0cfa93c4dbefaef013d72719de2f14af786a420686fe10a9d1f5,0d5143d79e7d25118572e11b338d632a02eeec1a2df10c7bc33108ddec29a49f,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-b55961124bc8610b,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,226,left,226-left,39,20,19,0,19,1,0,0,19,20,19,2,K485；K486,西安财经大学；西安邮电大学,ec62546216f80a47b4390eb06de35e301453fd07ed9e5cb41da1c5e463b5f8b2,dc4842b2622e8d61564e408c01a73bf7139475a946c7730b18f284dd491001b7,13312a86986fd2cdcf5c23679366e1378dc10c872a481f25c2c21c228a370df8,13bc4e94abf083e9a200d4cf42117ab1117c1a869d555becd7c40024cbd64670,e878db305d8de557c1c35b107e8b48f9a42d4d35dacda2a1834fd201980ddad0,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-551d0b213dbd2529,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,109,left,109-left,8,4,4,0,4,0,0,0,4,4,4,1,F305,忻州师范学院,882e8c9a53bf0398a3187b4a8e0f4f90f2a5d9219c2a7c022a45bfdde1bdf8b8,87efc039e3ea15ae5fedc3bb6b22113c91a34b0e1a318c62c186f6229b9e57df,d70ba2f66a5511c5864119839bb75e8d2eab66bac0bc0915be668fec2bd81053,b2bf0005027707e5859304194065969cf4fa9fca91b90f6245cd209edab7976f,50f93e37bef78a33815b41aca308c5e405b6c739e42ce2edd6ff4fdd157b47fb,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-ed94df7696953cc5,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,226,right,226-right,4,2,2,0,2,0,0,0,2,2,2,1,K488,西安医学院,74430ffb3d78c1abd886dfde6ebdd3fe5f1783a6990ddf275ef74101a2b3622d,589bb5170585ba8ed52df8674169fb7289241e1c4c9124295910f0e27dfc578a,00e0494961c443819b11063a30b8c72f7f2d2c7a351ae575740f47f4b43d2bc4,7f3fdbce78534642c2ea32de44f47208953e77560e934b06a820972acf9ef19c,e7b970e2713cf8fb8610c63abb986f3de456b4519cffb16a58c862ca03537564,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-38a317f5bf72d0ce,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,38,right,038-right,2,0,2,0,0,0,0,2,0,2,2,1,A141,武汉大学,08e9615f808c9be33bf83c42f855dfa1bb621dd803b78a06e91af103a7e3b8fd,72bec36874f5eeea0899ba94f28b54e978a7c8d29dbb4408d2793d0809f54ef2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3d491337848b739cc7653d77491552b516420b4d8b795be514eeb6567fed3135,d755887550a7e9689a0343b58a5be1f22687aad2f991401f0e80d4c87dc8a33e,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-cfa201a8f79e7d0e,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,82,right,082-right,2,0,2,0,0,0,0,2,0,2,2,1,C202,武汉晴川学院,a1bb8515f86096f6518c13b5a45c236be18dd7db1564ca984c4d041d45e352bf,d7e9f966af2a15ce6528bc7ad85823bce6ed436188f6d162a847b54cfeeda9be,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5edb388e0be07b2c34e3af32aaac7a6a8147038a519dd20c68a9d61dd555f443,ed35cc0519281a725949f506a804f00320c59365d67f4d9627a9be8743117846,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-15ba87f70c7f53a2,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,137,left,137-left,2,1,1,0,1,0,0,0,1,1,1,1,H001,杭州电子科技大学,eabcde9f6c6e9cfda08f40902956921c78e4bda24fa696b8e02ca17d279c8966,ed818c79baa30d9954df1861e54153352a4cd15ecda9a3212251ed9869ab0003,188f2ac77e9e2cf0ba2436874021b9d924881057190500c95a33d04e106817f0,8965bb85851fd0bc0c00e703fa4e12c2b20cf81d6faca0c58292142207157e12,40932f6a5a81e0536c78f4b48a542e545e7ddd46e9ae03c065ca5d39ea6a168e,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-1d715f85ac144ecb,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,14,left,014-left,1,0,1,0,0,0,0,1,0,1,1,1,A010,北京化工大学,8c71bee2692e470d95ff239c9554e9351b6ba792f0113db5021fc8d3c474b85c,7e850f28b678a87881484377ba045780e975fef1bbd1528ce5c2ac3a46896c29,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6afb90e3be9620bd4130babf0c505e45abe358e8b0376065305dfa5c6e6755d7,26005069491bf9abb0c07a6127b38abfbc651eb2aed7708e7d6bdef7722bc148,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-807f1d9e99948b29,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,32,right,032-right,1,0,1,0,0,0,0,1,0,1,1,1,A117,河海大学,66ebdc7c588f65328b2bff6748b6fca669a34b09ed767518747b145bb90343c8,9e605a53a1548ab0639dbd7dd0afb9f45f176370c03c1c397031ed2c3a68e288,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,49017b81cfeeebd3b4c09b16b78979599205b183f84d49154fa1799c25fab984,e206338505a518b708a0b71aa46392c46b05e1165893961db18718e432053eed,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-9e2f12395b6c066b,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,33,right,033-right,1,0,1,0,0,0,0,1,0,1,1,1,A119,江南大学,ddd3a6764beab16004643778f86ce752efeaca946c594bae04c1191cb57326bf,6495b02e5c41ed42069d0301b1caa693994598ab97dc224394cf593e1d1f9555,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,391e4114069aa1148fe770482159b3da7bbbd11b1ecbb31692adb17c204ca3a6,c7346655a3a5f38817ac484c8c544823e2af45bdad46f1e03c0c8ae1d02ff23b,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-26bbbf78aa76ddbe,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,102,left,102-left,1,0,1,0,0,0,0,1,0,1,1,1,F197,沧州师范学院,2d153a8b3c86c42419aa4cbe12adac68edae3b656b0ce4ede1ff3427edcc9dfd,8ae05f0f2e1cac11e96f4b9f5df0c6ec8ba7769292bcd107955e970d89a258bc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b3af9677ad82b0f5d1a1c6099dcbe6182bd0049f4cb771aa69b42107c5daaaf1,3c86c04df1826916a61ac9c6e39dec0c8bcc4378ce8ac2590c9eec31b54b2c66,true,true,true,Q1-补缺或计划数偏大页列先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
