G0字段W0W1页列通道汇总ID,来源G0字段W0W1可执行通道项,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列通道汇总序号,页码版面键,来源页码,版面列,证据通道序号,证据通道,当前执行波次,当前证据动作组,执行项数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,候选分层桶分布,闭环准出阶段分布,当前通道状态分布,当前阻断桶分布,通道回填状态分布,需要双人复核字段数,高校源可DoubleCheck字段数,结构化接入候选字段数,页列通道解除阻断条件,页列通道下一步动作,字段事实集合SHA256,缺口任务集合SHA256,公开安全策略
G0-W0W1-ACTION-PAGE-CHANNEL-9c4af5cec5ec4149,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,11,056-left,56,left,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,F0-先补PDF原页并处理冲突:1；F1-高校线索回PDF原页:1；F2-PDFOCR候选需补辅证并核原页:1,school_source_pending:1；school_source_seed_present_pending_manual_review:2,G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:2,pending_private_evidence_record:3,0,3,3,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,ccc68dec5bf1524a8756c951425127a28c342c77268cbfd73f47e0a73e644af7,2df2deb58fb69221b4efcda186088082eb72383201c65a35a53aa47fb6c3eefe,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-d21265599dbcb231,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,12,135-left,135,left,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,C0-双侧候选冲突优先核:10；C1-双侧候选一致但仍待核:4；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:6,F0-先补PDF原页并处理冲突:10；F1-高校线索回PDF原页:6；F2-PDFOCR候选需补辅证并核原页:1；F3-补PDF原页基础记录:4,pending_pdf_page_review:21,G0-缺PDF原页记录:21,pending_private_evidence_record:21,21,21,0,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,5316f9e19fd9bf3ec3ddfb23613027bc014f58c69265d5b0a3c0576aa94b8934,1e7f896ae15a2261c5ffbfbadb2b05a434c873cd9cdad86f8b6cda28b11a6a7b,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-f81bc432876a2c63,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,13,135-left,135,left,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,C0-双侧候选冲突优先核:10；C1-双侧候选一致但仍待核:4；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:6,F0-先补PDF原页并处理冲突:10；F1-高校线索回PDF原页:6；F2-PDFOCR候选需补辅证并核原页:1；F3-补PDF原页基础记录:4,pending_hubei_official_plan_review:21,G1-缺湖北官方记录:21,pending_private_evidence_record:21,21,21,0,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,5316f9e19fd9bf3ec3ddfb23613027bc014f58c69265d5b0a3c0576aa94b8934,681ce69fc728936b515ec7c51270f00e9610ffa9e653043831f5cd3f991a044d,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-4389c0820925a4f4,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,14,135-left,135,left,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,C0-双侧候选冲突优先核:10；C1-双侧候选一致但仍待核:4；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:6,F0-先补PDF原页并处理冲突:10；F1-高校线索回PDF原页:6；F2-PDFOCR候选需补辅证并核原页:1；F3-补PDF原页基础记录:4,school_source_pending:1；school_source_seed_present_pending_manual_review:20,G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:20,pending_private_evidence_record:21,21,21,0,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,5316f9e19fd9bf3ec3ddfb23613027bc014f58c69265d5b0a3c0576aa94b8934,b4a6613aa2e50c2b8b658d6241dd1ece6101385b3890449f5f8de51b6533ab96,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-3e0ceaa3ef50e678,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,15,135-left,135,left,05,双人复核,W1-双人复核,A3-冲突字段双人复核,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,C0-双侧候选冲突优先核:10；C1-双侧候选一致但仍待核:4；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:6,F0-先补PDF原页并处理冲突:10；F1-高校线索回PDF原页:6；F2-PDFOCR候选需补辅证并核原页:1；F3-补PDF原页基础记录:4,pending_double_review:21,G4-双人复核未完成:21,pending_private_evidence_record:21,21,21,0,完成双人复核记录，冲突字段才能进入三方闭环。,对冲突字段做第二人复核，复核后再三方闭环。,5316f9e19fd9bf3ec3ddfb23613027bc014f58c69265d5b0a3c0576aa94b8934,6f26af18d5c065fe4ff54dedd906f3467250018b7b267b03ff52d322281ffb87,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-d9607d910fd7e60f,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,16,137-right,137,right,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:2,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:2,pending_pdf_page_review:3,G0-缺PDF原页记录:3,pending_private_evidence_record:3,3,3,0,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,f71db0fc5fc9c84fb293d14d3ea16244ecf08e4f0a9ecb9a29ccaf96e2f00937,1cd684e79014e656c07cd8fcccf5aafd8763f94ccf2d9fc9da5c209c3f8fcdf9,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-81893f16f8271676,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,17,137-right,137,right,02,湖北官方侧记录,W0-一手证据与辅证采集,A1-补湖北官方侧记录,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:2,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:2,pending_hubei_official_plan_review:3,G1-缺湖北官方记录:3,pending_private_evidence_record:3,3,3,0,补齐湖北官方系统或省招办计划记录并保留证据编号。,按字段事实回查湖北官方侧记录，保留证据编号。,f71db0fc5fc9c84fb293d14d3ea16244ecf08e4f0a9ecb9a29ccaf96e2f00937,954b9e999107cf4f491b38702506265c409db8ef795f3426a3fa043e96fd5b00,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-f7f1a88de9ed7e40,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,18,137-right,137,right,03,高校辅证人工核验,W0-一手证据与辅证采集,A2-核高校辅证线索,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:2,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:2,school_source_pending:2；school_source_seed_present_pending_manual_review:1,G2a-缺高校辅证线索:2；G2b-高校辅证种子待人工核验:1,pending_private_evidence_record:3,3,3,0,核高校辅证线索，仅作为double check，不替代湖北官方计划。,回接高校源线索并标注是否支持或冲突。,f71db0fc5fc9c84fb293d14d3ea16244ecf08e4f0a9ecb9a29ccaf96e2f00937,d5b2bc0bb025640b37c7f02798554de09f9e69f0835df796021afaad1e01195b,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-3e4e848c90dabed3,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,19,137-right,137,right,05,双人复核,W1-双人复核,A3-冲突字段双人复核,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:2,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:2,pending_double_review:3,G4-双人复核未完成:3,pending_private_evidence_record:3,3,3,0,完成双人复核记录，冲突字段才能进入三方闭环。,对冲突字段做第二人复核，复核后再三方闭环。,f71db0fc5fc9c84fb293d14d3ea16244ecf08e4f0a9ecb9a29ccaf96e2f00937,13aca4c963804999fca56726e03b9e61d0279b38618ac5d3142f3576f598a394,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
G0-W0W1-ACTION-PAGE-CHANNEL-51e884a9478e5662,data/working/issue19-first-closure-g0-field-w0-w1-action-items-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_field_w0_w1_action_items_v1,PDF页码×版面列×证据通道,G0字段事实W0W1可执行证据通道汇总,false,false,false,false,false,false,false,false,false,20,169-right,169,right,01,PDF原页记录,W0-一手证据与辅证采集,A0-补PDF原页记录,2,2,1,1,1,专业计划数:1；学费:1,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1,F0-先补PDF原页并处理冲突:1；F2-PDFOCR候选需补辅证并核原页:1,pending_pdf_page_review:2,G0-缺PDF原页记录:2,pending_private_evidence_record:2,2,2,2,补齐PDF原页记录并保留证据编号和SHA。,打开对应页列私有核页材料，逐字段补PDF原页记录。,e9156bdef5372b541f10c10fb1c3ba832706ab312049f5d13b1c51bea221aea0,894f6009c29d7e2afa7e6a941b80b0855a8cb782b68780b189b752f8ee059501,页列通道汇总只公开计数、分布、ID集合SHA和下一步动作；不公开敏感明细。
