第一闭环核验结果ID,来源第一闭环下一步动作矩阵,来源第一闭环页列下一步汇总,来源第一闭环证据状态账本,来源字段事实核验任务,来源高校源E0人工回页队列,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,结果序号,第一闭环下一步动作ID,第一闭环证据状态公开账本ID,第一闭环页列下一步动作ID,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,第一闭环页列优先级,核验动作层级,任务结果桶,核验结果状态,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校辅证证据状态,湖北官方侧状态,冲突状态,三方闭环状态,字段写回门禁,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,专业行字段任务数,专业行P0字段任务数,专业行P1字段任务数,专业行P3字段任务数,专业行字段状态分布,专业行字段缺口类型分布,页列任务数,页列双人复核任务数,页列人工看图任务数,页列高校辅证线索任务数,页列核验动作层级分布,同校E0人工回页提示状态,同校E0人工回页任务数,同校E0人工回页风险桶分布,同校E0人工回页队列集合SHA16,完成证据要求,当前阻断原因,下一步核验动作,公开安全策略
FIRSTRESULT-eb58f05b501c7005,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,56,FIRSTNEXT-e52240e7e0e45e7c,FIRSTEVID-85b72b8d74982be7,FIRSTNEXTPAGE-35bdc41c13c6ef1f,FIRSTDETAIL-8b5219caa414373a,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-916f5239ec5a0593,G-facec610841ca140,C108,自动官网辅证任务,专业计划数；学费,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,pending_pdf_hubei_school_closure,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,false,false,false,false,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,再选科目×3,11,0,0,0,N4-PDFOCR候选人工确认×11,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M2-专业名归属或匹配规则先核×1,8aaeb779f9d54d72,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-ccba75c931386a0b,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,57,FIRSTNEXT-d8ac6cb273cbded5,FIRSTEVID-eb1a30cf3247205a,FIRSTNEXTPAGE-35bdc41c13c6ef1f,FIRSTDETAIL-9ccbf3429e4a8193,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-0892ad4e5c518719,G-facec610841ca140,C108,自动官网辅证任务,学费,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,pending_pdf_hubei_school_closure,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,false,false,false,false,3,2,0,1,K0-字段缺口无候选需原页重读×2；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,11,0,0,0,N4-PDFOCR候选人工确认×11,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M2-专业名归属或匹配规则先核×1,8aaeb779f9d54d72,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-36791b1b3d6a237b,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,58,FIRSTNEXT-e5221dad24d97b62,FIRSTEVID-37931fc62a67a528,FIRSTNEXTPAGE-35bdc41c13c6ef1f,FIRSTDETAIL-a0265b0156170fad,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-97356b83d76caabd,G-facec610841ca140,C108,自动官网辅证任务,专业计划数；学费,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,pending_pdf_hubei_school_closure,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,false,false,false,false,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,再选科目×3,11,0,0,0,N4-PDFOCR候选人工确认×11,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M2-专业名归属或匹配规则先核×1,8aaeb779f9d54d72,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-1e748180cc56eab7,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,59,FIRSTNEXT-d1504a2ec6732c3c,FIRSTEVID-98fb714771ec59d8,FIRSTNEXTPAGE-35bdc41c13c6ef1f,FIRSTDETAIL-a86cefb127d2a1a9,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-b1b11d1758e31fc0,G-facec610841ca140,C108,自动官网辅证任务,专业计划数；学费；再选科目,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,pending_pdf_hubei_school_closure,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,false,false,false,false,3,0,0,3,K2-OCR候选存在但三方核验未闭环×3,无机器字段缺口×3,11,0,0,0,N4-PDFOCR候选人工确认×11,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M2-专业名归属或匹配规则先核×1,8aaeb779f9d54d72,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-6e7a8ccc02e3d414,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,60,FIRSTNEXT-1294a0081ce524f6,FIRSTEVID-128fbac5fa929762,FIRSTNEXTPAGE-35bdc41c13c6ef1f,FIRSTDETAIL-b8a51920839b21c2,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-cc636083a3433325,G-facec610841ca140,C108,自动官网辅证任务,学费,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,pending_pdf_hubei_school_closure,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,false,false,false,false,3,2,0,1,K0-字段缺口无候选需原页重读×2；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,11,0,0,0,N4-PDFOCR候选人工确认×11,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M2-专业名归属或匹配规则先核×1,8aaeb779f9d54d72,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-d51e34c0aea00dd2,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,61,FIRSTNEXT-c41777067a13f70e,FIRSTEVID-0f021e3781bbf55a,FIRSTNEXTPAGE-35bdc41c13c6ef1f,FIRSTDETAIL-bdeb50f8fadf7f32,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-30ddedf35876cad1,G-facec610841ca140,C108,自动官网辅证任务,专业计划数；学费,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,pending_pdf_hubei_school_closure,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,false,false,false,false,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,再选科目×3,11,0,0,0,N4-PDFOCR候选人工确认×11,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M2-专业名归属或匹配规则先核×1,8aaeb779f9d54d72,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-8a53a7ba08c18c82,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,62,FIRSTNEXT-e0ad74855542ed6a,FIRSTEVID-9ec2fd99004ee008,FIRSTNEXTPAGE-35bdc41c13c6ef1f,FIRSTDETAIL-c39ada606914bc7a,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,M-e99202b2e2728622,G-facec610841ca140,C108,自动官网辅证任务,学费,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,pending_pdf_hubei_school_closure,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,false,false,false,false,3,2,0,1,K0-字段缺口无候选需原页重读×2；K2-OCR候选存在但三方核验未闭环×1,再选科目；专业计划数×3,11,0,0,0,N4-PDFOCR候选人工确认×11,H1-同校存在E0人工回页队列,2,M0-计划数冲突或高校侧差异先核×1；M2-专业名归属或匹配规则先核×1,8aaeb779f9d54d72,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-3f730b27ee678ea4,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,63,FIRSTNEXT-765850b3c2142b29,FIRSTEVID-e23834236351988d,FIRSTNEXTPAGE-95d8e5466933ec5d,FIRSTDETAIL-d6b8d280a7b804f7,FIRSTPAGE-6bd94b5fb0abfec4,80,right,080-right,M-0e83de1e95002dfd,G-43eaec6deac85123,C150,自动官网辅证任务,专业计划数；学费,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,R4-PDFOCR候选人工确认,pending_pdf_hubei_school_closure,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,false,false,false,false,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,再选科目×3,18,0,17,0,N3-无稳定候选人工看图×17；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,1,M2-专业名归属或匹配规则先核×1,12caa15ef4af8ba6,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验,按PDFOCR候选逐项人工确认，不能自动写回。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-e85b0ce695cc1354,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,64,FIRSTNEXT-478c602788617e9a,FIRSTEVID-0f5aa2f3ac6b51cd,FIRSTNEXTPAGE-95d8e5466933ec5d,FIRSTDETAIL-20a379c5af2a6ec2,FIRSTPAGE-6bd94b5fb0abfec4,80,right,080-right,M-1501281b42200eee,G-43eaec6deac85123,C150,P0人工字段任务,再选科目,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,再选科目×3,18,0,17,0,N3-无稳定候选人工看图×17；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,1,M2-专业名归属或匹配规则先核×1,12caa15ef4af8ba6,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-539374c5ff129cba,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,65,FIRSTNEXT-b9fdc87fbb86c989,FIRSTEVID-e42fed266ec29a3e,FIRSTNEXTPAGE-95d8e5466933ec5d,FIRSTDETAIL-2c7676b40df67140,FIRSTPAGE-6bd94b5fb0abfec4,80,right,080-right,M-d917e2bfc77e9dac,G-43eaec6deac85123,C150,P0人工字段任务,再选科目,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,再选科目×3,18,0,17,0,N3-无稳定候选人工看图×17；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,1,M2-专业名归属或匹配规则先核×1,12caa15ef4af8ba6,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-24a5dcff38507485,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,66,FIRSTNEXT-5118a784e962c490,FIRSTEVID-1c241926627b99ed,FIRSTNEXTPAGE-95d8e5466933ec5d,FIRSTDETAIL-5c49755070b48e70,FIRSTPAGE-6bd94b5fb0abfec4,80,right,080-right,M-f68c394eeefc5273,G-43eaec6deac85123,C150,P0人工字段任务,再选科目,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,再选科目×3,18,0,17,0,N3-无稳定候选人工看图×17；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,1,M2-专业名归属或匹配规则先核×1,12caa15ef4af8ba6,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
FIRSTRESULT-105c84807a5f38e3,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-school-source-e0-manual-page-review-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board,第一闭环高风险明细任务,逐任务×PDF/OCR/高校官网/湖北官方/冲突状态,false,false,false,false,false,false,false,false,67,FIRSTNEXT-9f5fbe521dc391ee,FIRSTEVID-a6967fa8a284fcc9,FIRSTNEXTPAGE-95d8e5466933ec5d,FIRSTDETAIL-5f1ac3cc2efb71c4,FIRSTPAGE-6bd94b5fb0abfec4,80,right,080-right,M-2ce4650e19004f47,G-43eaec6deac85123,C150,P0人工字段任务,再选科目,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N3-无稳定候选人工看图,R3-无稳定候选需人工看图,pending_pdf_hubei_school_closure,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,3,1,0,2,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,再选科目×3,18,0,17,0,N3-无稳定候选人工看图×17；N4-PDFOCR候选人工确认×1,H1-同校存在E0人工回页队列,1,M2-专业名归属或匹配规则先核×1,12caa15ef4af8ba6,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,PDF原页未完成逐项核页；湖北官方系统或省招办计划未闭环；高校官网辅证仍待私有记录或回页核验；无可比候选，需人工看图,直接打开PDF原页所在页列人工看图，必要时同页列连带复核。,公开结果表只保存状态、计数、ID和SHA；不保存学校专业文本、字段读数、OCR正文、截图路径、人工记录、登录态或个人身份信息。
