第一闭环页列下一步动作ID,来源第一闭环下一步动作矩阵,来源第一闭环页列证据汇总,来源第一闭环64小包,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列动作序号,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,执行泳道,第一闭环页列优先级,页列任务数,涉及专业行数,涉及院校代码数,动作矩阵任务数,N0冲突双人核页任务数,N1高校补缺回页任务数,N2机器坐标辅助核页任务数,N3无候选人工看图任务数,N4PDFOCR候选确认任务数,N5多源一致待官核任务数,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,同校L3结构化或diff任务数,同校L1入口探针任务数,同校L0无源任务数,关联64小包数量,关联64小包类型分布,核验动作层级分布,高校源可用性分布,页列主阻断,页列建议下一步动作,完成条件,PDF原页核页状态,湖北官方系统或省招办计划核验状态,字段事实写回状态,公开安全策略
FIRSTNEXTPAGE-1ed8c3e6b96ccca7,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,12,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,16,9,2,16,1,6,5,3,1,0,16,16,7,45,0,0,4,P0候选冲突×1；P1缺候选或需看图×2；P3候选需人工确认×1,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×6；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×15；SNA-同校不在80条高校源任务内×1,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-4100003d7eb20f07,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,13,FIRSTPAGE-45d30b827811919c,57,left,057-left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,1,0,0,0,0,1,0,1,1,0,3,0,0,1,P3候选需人工确认×1,N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×1,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-959fc838f7e4e17f,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,14,FIRSTPAGE-65f75a1a3c92b9b3,70,left,070-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,2,2,1,2,0,0,1,0,1,0,2,2,0,6,0,0,2,P1缺候选或需看图×1；P3候选需人工确认×1,N2-机器坐标辅助核PDF原页×1；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×2,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-35bdc41c13c6ef1f,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,15,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,11,11,1,11,0,0,0,0,11,0,11,11,0,33,0,0,2,P3候选需人工确认×2,N4-PDFOCR候选人工确认×11,S3-同校已有结构化或diff线索可作核页提示×11,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-95d8e5466933ec5d,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,16,FIRSTPAGE-6bd94b5fb0abfec4,80,right,080-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,18,18,1,18,0,0,0,17,1,0,18,18,0,0,0,54,3,P1缺候选或需看图×2；P3候选需人工确认×1,N3-无稳定候选人工看图×17；N4-PDFOCR候选人工确认×1,S0-同校暂无可复用高校侧计划源×18,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-67b71b11fd8f60e1,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,17,FIRSTPAGE-93ec45e4e888f97d,81,left,081-left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,3,1,P3候选需人工确认×1,N4-PDFOCR候选人工确认×1,S0-同校暂无可复用高校侧计划源×1,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-38374463ab89554f,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,18,FIRSTPAGE-cfa201a8f79e7d0e,82,right,082-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,2,1,2,0,0,2,0,0,0,2,2,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×2,SNA-同校不在80条高校源任务内×2,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-3d7a8f88b4a41269,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,19,FIRSTPAGE-b07fea137a292b98,93,left,093-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-ef3b230fc430bc8e,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,20,FIRSTPAGE-4a89eabd9dcaa967,96,right,096-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,1,0,0,0,0,1,0,1,1,0,2,0,0,1,P3候选需人工确认×1,N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×1,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-1ec70c9ae26e5153,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,21,FIRSTPAGE-26bbbf78aa76ddbe,102,left,102-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-45fcddffc83b0015,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,22,FIRSTPAGE-551d0b213dbd2529,109,left,109-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,8,4,1,8,0,0,0,4,0,4,8,8,4,16,0,0,2,P1缺候选或需看图×1；P2候选一致但未闭环×1,N3-无稳定候选人工看图×4；N5-多源一致仍待湖北官方侧×4,S3-同校已有结构化或diff线索可作核页提示×8,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-0294cce673918d4e,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,23,FIRSTPAGE-49426baa76375e44,135,left,135-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,10,1,10,10,0,0,0,0,0,10,10,10,40,0,0,1,P0候选冲突×1,N0-先双人核PDF原页冲突×10,S3-同校已有结构化或diff线索可作核页提示×10,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-71735b208e1f49e5,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,24,FIRSTPAGE-6f905e62249f58a5,135,right,135-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,3,3,1,3,0,0,0,2,1,0,3,3,0,12,0,0,2,P1缺候选或需看图×1；P3候选需人工确认×1,N3-无稳定候选人工看图×2；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×3,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-32ccaa96b503af88,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,25,FIRSTPAGE-7826a50352856b5d,137,right,137-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,1,0,0,0,0,0,1,1,1,3,0,0,1,P0候选冲突×1,N0-先双人核PDF原页冲突×1,S3-同校已有结构化或diff线索可作核页提示×1,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-44801f7d8c79abb4,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,26,FIRSTPAGE-15ba87f70c7f53a2,137,left,137-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,1,1,2,0,1,0,1,0,0,2,2,1,6,0,0,1,P1缺候选或需看图×1,N1-高校补缺线索回PDF原页×1；N3-无稳定候选人工看图×1,S3-同校已有结构化或diff线索可作核页提示×2,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-63f297ad3b2ea6df,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,27,FIRSTPAGE-a766473a37caa4de,141,left,141-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-ac4e3431d8bb3dbc,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,28,FIRSTPAGE-815b76bed7962001,169,right,169-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,22,12,1,22,1,10,0,10,1,0,22,22,11,110,0,0,4,P0候选冲突×1；P1缺候选或需看图×2；P3候选需人工确认×1,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×22,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-d6b12444b1eeaf95,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,29,FIRSTPAGE-0f2775b71610686e,194,left,194-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,7,7,1,7,0,0,7,0,0,0,7,7,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×7,SNA-同校不在80条高校源任务内×7,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-00984a4831054c53,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,30,FIRSTPAGE-97ab0abc16a6bf85,199,left,199-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,5,5,1,5,3,0,1,0,1,0,5,5,3,20,0,0,3,P0候选冲突×1；P1缺候选或需看图×1；P3候选需人工确认×1,N0-先双人核PDF原页冲突×3；N2-机器坐标辅助核PDF原页×1；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×5,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-b304603c6ea17809,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,31,FIRSTPAGE-44afa6d6e4d84e5a,205,left,205-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
