高校源进度看板ID,来源高校官网辅证自动执行批次,来源高校源最新对齐账本,来源C4C6高校源刷新执行包,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,看板序号,高校官网辅证自动执行批次ID,高校源最新对齐ID,高校官网辅证状态快照ID,院校代码,院校名称公开,自动执行泳道,原官网来源状态,原结构化输出状态桶,原候选diff状态桶,原补源状态桶,最新高校侧证据层级,相对原自动账本推进状态,最新证据来源族,最新公开证据集合SHA16,来源类型桶,建议来源形态,来源留存状态,涉及招生明细数,涉及专业组数,原涉及PDF页数,next20结构化湖北物理行数合计,next20结构化计划数合计,live补源记录数,live结构化输出记录数,C4C6复用包数,C4C6结构化diff包数,C4C6补源尝试记录数,C4C6综合结构化官网证据行数,C4C6可生成候选diff明细数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,需补结构化明细数,需继续补源明细数,计划数冲突行数,官网补缺候选行数,官网未匹配行数,下一批推进优先级,下一批推进动作,所需源类型,人工最小核验动作,仍需补源或解析原因,完成条件,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
SOURCESPROGRESS-49c87c54d852869f,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,11,SCHOOLSRCEXEC-893271231b2b65b2,SOURCESYNC-001d395492b53e82,SCHOOLSRCSTATUS-ecbe37c48666e2d1,H001,杭州电子科技大学,A5-章程规则核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；c4c6_reuse；c4c6_diff,3b6ffcff8682db0f,F0-已有结构化或候选diff线索,XLSX,R0-已有公开来源文件或URL留存,9,1,1,21,57,0,0,1,1,0,21,8,6,1,1,9,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,XLSX,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-296d9267e742717e,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,12,SCHOOLSRCEXEC-fd72fa13a271f168,SOURCESYNC-a7355989d165966a,SCHOOLSRCSTATUS-9b247ba355bb13ba,H001,杭州电子科技大学,A0-冲突回页和官方侧核验,has_partial_source_needs_followup,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；c4c6_reuse；c4c6_diff,3b6ffcff8682db0f,F0-已有结构化或候选diff线索,XLSX,R0-已有公开来源文件或URL留存,9,4,1,21,57,0,0,1,1,0,21,8,6,1,1,9,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,XLSX,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-a40cd9d96b3d797d,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,13,SCHOOLSRCEXEC-ccf21a0e32797e67,SOURCESYNC-74e35d994c898d67,SCHOOLSRCSTATUS-f3adf702904bd0fc,C108,江汉大学,A5-章程规则核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；c4c6_reuse；c4c6_diff,238a189c24c4f26a,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,7,1,1,102,2990,0,0,1,1,0,51,41,40,0,1,53,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,API/JSON,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-98bc64798bdf0362,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,14,SCHOOLSRCEXEC-e38acf3514f49875,SOURCESYNC-b008bb836cff47f7,SCHOOLSRCSTATUS-1785bc4137affc53,K753,喀什大学,A5-章程规则核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；c4c6_reuse；c4c6_diff,d4647ba2e86db6e0,F0-已有结构化或候选diff线索,XLSX,R0-已有公开来源文件或URL留存,6,1,1,0,90,0,0,1,1,0,31,13,8,3,2,17,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,XLSX,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-b5b392e9fd0da9a7,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,15,SCHOOLSRCEXEC-fb49df1cf778ca73,SOURCESYNC-e0c6a9379f395281,SCHOOLSRCSTATUS-4f4a2b1add32aa2e,H002,浙江工业大学,A5-章程规则核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,c4c6_reuse；c4c6_diff,025b255bdc06dab8,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,5,1,1,0,0,0,0,1,1,0,12,3,2,0,1,0,4,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,公开来源待判定,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-0f329be768c383e1,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,16,SCHOOLSRCEXEC-2d10616fcea55d9a,SOURCESYNC-e9ac026e8c8db35d,SCHOOLSRCSTATUS-860857dc1ad9850c,H002,浙江工业大学,A0-冲突回页和官方侧核验,needs_official_plan_source_search,T1-已有结构化源可生成diff,D0-可生成diff且有计划数冲突线索,S0-继续补高校官网计划网源,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,c4c6_reuse；c4c6_diff,025b255bdc06dab8,F0-已有结构化或候选diff线索,公开来源待判定,R2-已有账本线索但需补结构化留存,4,3,1,0,0,0,0,1,1,0,12,3,2,0,1,0,4,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,公开来源待判定,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-1ba59786e7dd485c,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,17,SCHOOLSRCEXEC-bd2e0ee2f8a8e674,SOURCESYNC-ee678b311d6a829e,SCHOOLSRCSTATUS-56bfcb26fd328eb7,H450,山东工商学院,A5-章程规则核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；c4c6_reuse；c4c6_diff,880daf4540a572fb,F0-已有结构化或候选diff线索,PDF,R0-已有公开来源文件或URL留存,4,1,1,48,122,0,0,1,1,0,24,8,5,1,2,19,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,PDF,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-1ae634ba8a1baefb,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,18,SCHOOLSRCEXEC-60d696f22f156c55,SOURCESYNC-5cb262c82929a178,SCHOOLSRCSTATUS-2c38b5c5a3436c3a,A197,西北民族大学,A5-章程规则核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；c4c6_reuse；c4c6_diff,2a20103ebd03463d,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,3,1,1,30,95,0,0,1,1,0,30,26,19,3,4,27,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,API/JSON,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-bba992e707989e18,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,19,SCHOOLSRCEXEC-7ece5db9c76198f4,SOURCESYNC-46cdb70de9338b49,SCHOOLSRCSTATUS-15cce653e57ed35c,F902,江苏理工学院,A2-专业名匹配规则或人工确认,has_partial_source_needs_followup,T2-有公开来源待解析,D5-不适用,S4-部分来源待跟进,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；live；c4c6_reuse；c4c6_diff,0ea58c7176b523bf,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,3,1,1,15,0,1,0,1,1,0,15,2,0,1,1,2,0,0,0,3,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,公开来源待判定,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-b88848dcc3a06ef8,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,20,SCHOOLSRCEXEC-b9ecf78b5852339f,SOURCESYNC-b067259cf4055507,SCHOOLSRCSTATUS-7b7a9f60ee0864fd,H945,南宁学院,A0-冲突回页和官方侧核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；c4c6_reuse；c4c6_diff,b35ee20eafbd4930,F0-已有结构化或候选diff线索,HTML/招生系统入口,R0-已有公开来源文件或URL留存,3,1,1,20,0,0,0,1,1,0,20,15,0,8,7,15,0,3,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,HTML/招生系统入口,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-1ecbc38bc327f91e,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,21,SCHOOLSRCEXEC-413c1b27adb1c355,SOURCESYNC-7bf5f6ce3d4df85d,SCHOOLSRCSTATUS-56c7356dffbcb6a8,F902,江苏理工学院,A5-章程规则核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,next20；live；c4c6_reuse；c4c6_diff,0ea58c7176b523bf,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,2,1,1,15,0,1,0,1,1,0,15,2,0,1,1,2,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,公开来源待判定,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-ff442752e6522233,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,22,SCHOOLSRCEXEC-44124773028f488c,SOURCESYNC-fa6fda8982e53327,SCHOOLSRCSTATUS-d59b7cd4bdc243c1,F902,江苏理工学院,A0-冲突回页和官方侧核验,has_partial_source_needs_followup,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；live；c4c6_reuse；c4c6_diff,0ea58c7176b523bf,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,2,1,1,15,0,1,0,1,1,0,15,2,0,1,1,2,0,0,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,公开来源待判定,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-3d68b51af54df4fa,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,23,SCHOOLSRCEXEC-0eacc6fe15c31514,SOURCESYNC-64d12456bb49c1df,SCHOOLSRCSTATUS-845a923e97a614c2,K153,成都信息工程大学,A0-冲突回页和官方侧核验,has_reusable_2026_hubei_plan_source,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,c4c6_reuse；c4c6_diff,b83a3fb30ad54207,F0-已有结构化或候选diff线索,HTML/招生系统入口,R0-已有公开来源文件或URL留存,2,1,1,0,0,0,0,1,1,0,38,6,2,4,0,9,0,2,0,0,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,HTML/招生系统入口,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
SOURCESPROGRESS-c8ae9018eacd6a7a,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_progress_board,高校×高校侧辅证自动执行任务,80个高校侧辅证任务×最新证据层级×下一批动作,false,false,false,false,false,false,false,false,24,SCHOOLSRCEXEC-a242c3c80a4b3152,SOURCESYNC-3db5ceb5e0cc2244,SCHOOLSRCSTATUS-f0d836e0618213a7,K753,喀什大学,A2-专业名匹配规则或人工确认,has_partial_source_needs_followup,T2-有公开来源待解析,D5-不适用,S4-部分来源待跟进,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,next20；c4c6_reuse；c4c6_diff,d4647ba2e86db6e0,F0-已有结构化或候选diff线索,XLSX,R0-已有公开来源文件或URL留存,2,1,1,0,90,0,0,1,1,0,31,13,8,3,2,17,0,0,0,2,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,XLSX,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开看板只保存任务状态、计数、来源类型、ID和SHA；高校官网仅作辅证，不替代湖北官方计划，不保存字段读数、OCR正文、私有路径或登录态。
