高校官网辅证状态快照ID,来源高校官网辅证机会队列,来源高校侧辅证刷新公开账本,来源C4C6高校源刷新执行包,来源C4C6已留存官网源复用审计,来源C4C6结构化候选diff公开账本,来源C4C6高校官网补源尝试账本,来源高校官网live补源账本,来源湖北官方公开入口活体复查,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行建议序号,机会队列ID,高校侧辅证刷新公开账本ID,院校代码,院校名称公开,机会优先级,机会类型,自动收益分,官网辅证自动动作,高校侧刷新批次,高校侧刷新任务类型,闭环优先级,官网证据强度,官网来源状态,来源质量判断,来源文件类型集合,公开来源文件数量,公开来源URL数量,候选官网URL数量,候选官网URL集合SHA256,种子官网URL数量,种子官网URL集合SHA256,本地公开来源文件集合SHA256,涉及招生明细数,涉及专业组数,涉及PDF页数,计划数冲突行数,官网补缺候选行数,强辅证抽检行数,部分来源待结构化行数,继续补源行数,仅章程规则行数,官网未匹配行数,字段辅证行数,C4C6执行包数量,C4C6需补结构化明细数,C4C6需继续补源明细数,C4C6综合结构化官网证据行数,C4C6专业名匹配明细数,C4C6未匹配明细数,C4C6无结构化官网源明细数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,C4C6可生成候选diff明细数,最新自动探针状态,是否已有live补源记录,live补源记录数,live结构化线索记录数,live补源状态桶,学校任务总数,学校P0任务数,学校P1任务数,学校P2任务数,学校P3任务数,学校可复用官网源任务数,学校部分来源待跟进任务数,学校仍需搜索计划网源任务数,学校仅章程规则任务数,自动化下一步桶,人工最小核验动作桶,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源刷新状态,字段事实写回状态,快照结论桶,建议下一步动作,完成条件,公开安全策略
SCHOOLSRCSTATUS-fcd92caf5ce8b68a,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,21,SCHOOLOPP-eed5cf40ab07da6c,SCHOOLREFRESH-095fc3d9660e95b3,A195,兰州大学,P0-立即处理,O1-官网补缺候选回页核验,203,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,Q6-来源质量待补充,API/JSON,1,1,0,,1,496f2d279b3532bf62b47b5aa2dba9ac62260ca92420c2da9586411471ba1ca8,217edd02e38d1e43dcd042db48e67eed70877cb6ceac79f655fc7d48353c46fd,7,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,3,2,1,0,0,3,0,0,0,A1-官网补缺线索回页核验,M5-人工按高校线索回页,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-9b1347b7b6c3fc44,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,22,SCHOOLOPP-6051806cdd8b222b,SCHOOLREFRESH-523e73514867c6ce,F305,忻州师范学院,P0-立即处理,O1-官网补缺候选回页核验,116,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,Q6-来源质量待补充,结构化CSV,1,1,0,,1,18a09ad624a3066e4d4218fbcfc2ad38d274cba515d4d4ed7db11b8946cb6239,c0fcdb9fb67a94f47737a7ca80f8236fa3b82d8aed1da3800e8fac3bdf2a6600,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,2,1,1,0,0,1,1,0,0,A1-官网补缺线索回页核验,M5-人工按高校线索回页,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-2ce011159cf7d5a9,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,23,SCHOOLOPP-3d997dc4e7ce175c,SCHOOLREFRESH-63250545b0d32b54,K153,成都信息工程大学,P0-立即处理,O1-官网补缺候选回页核验,116,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,Q6-来源质量待补充,HTML,1,1,0,,1,c9aef6168133f7deb5c8a911eb763ec8a55ae6599e81da1d130fa831bfca8e8b,7a1d17a34323bb81dc6e7016fe5a411e41cd0c2f197c8f08288902b45d979530,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,5,3,1,1,0,3,2,0,0,A1-官网补缺线索回页核验,M5-人工按高校线索回页,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-860857dc1ad9850c,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,24,SCHOOLOPP-a0e98019e0e71322,SCHOOLREFRESH-ad45b937fc49398e,H002,浙江工业大学,P0-立即处理,O0-冲突优先回页核验,108,C6-继续搜索高校官网2026湖北计划源,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,07-P2补源,needs_source,needs_official_plan_source_search,Q0-有结构化源但存在计划数冲突,待补官网2026湖北计划源,0,0,0,,0,,54f616a140ec903aaf569548e23122220743f3a6f65b5749c597c7ae6dfa946a,4,3,1,0,0,0,0,4,0,0,0,1,0,4,12,3,1,0,2,0,1,3,no_live_probe_record,false,0,0,L0-暂无live补源记录,3,2,0,1,0,2,0,1,0,A0-冲突回页和官方侧核验,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S3-仍需继续找2026湖北物理类计划网源,继续查高校招生网、公开API、XLSX、PDF或图片计划；不可使用外省计划迁移。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-7b7a9f60ee0864fd,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,25,SCHOOLOPP-de0a60bade95412d,SCHOOLREFRESH-4de837fe670c4679,H945,南宁学院,P0-立即处理,O0-冲突优先回页核验,108,C0-冲突先核PDF原页和湖北官方系统,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,00-P0冲突立即核,conflict_review,has_reusable_2026_hubei_plan_source,Q6-来源质量待补充,HTML,1,1,0,,1,13fa381f1f1201b99245ee03f2e9e7a784aa307ee4dac4b0f41553f4bbbfc39d,dd1c6d7f5513d3e75df5dffa179e3a67d215214f9809f7c3bcb55eb982e98ec7,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,4,3,0,1,0,2,2,0,0,A0-冲突回页和官方侧核验,M0-人工核冲突来源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-d59b7cd4bdc243c1,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,26,SCHOOLOPP-ed2a735840dae396,SCHOOLREFRESH-c89a684a379363ca,F902,江苏理工学院,P0-立即处理,O0-冲突优先回页核验,74,C4-已有部分来源需补结构化或补湖北行,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,05-P1补结构化,partial_source,has_partial_source_needs_followup,Q0-有结构化源但存在计划数冲突,部分来源待结构化,0,1,0,,1,945ec322c9f2e61190c95082372cb3f25c6464926d139072c9ece6c7c423c1a0,dae088990a59464923240d1b0b23828ac4b09b0f0c55e3e068c1ba53fac25ae6,2,1,1,0,0,0,2,0,0,0,0,1,2,0,15,2,0,0,0,1,1,2,no_live_probe_record,true,1,0,L1-live已有入口或来源记录仍待结构化,4,3,0,1,0,2,2,0,0,A0-冲突回页和官方侧核验,M4-人工补计划网源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-845a923e97a614c2,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,27,SCHOOLOPP-c55af4b89c47aae1,SCHOOLREFRESH-3e7cb02caf3aeb70,K153,成都信息工程大学,P0-立即处理,O0-冲突优先回页核验,72,C0-冲突先核PDF原页和湖北官方系统,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,00-P0冲突立即核,conflict_review,has_reusable_2026_hubei_plan_source,Q6-来源质量待补充,HTML,1,1,0,,1,c9aef6168133f7deb5c8a911eb763ec8a55ae6599e81da1d130fa831bfca8e8b,7a1d17a34323bb81dc6e7016fe5a411e41cd0c2f197c8f08288902b45d979530,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,5,3,1,1,0,3,2,0,0,A0-冲突回页和官方侧核验,M0-人工核冲突来源,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-50b2f05188988e64,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,28,SCHOOLOPP-3fe83dcb22b2fb0c,SCHOOLREFRESH-ae0991ae2662b9eb,K488,西安医学院,P0-立即处理,O1-官网补缺候选回页核验,58,C1-官网补缺候选但禁止自动写回,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,Q6-来源质量待补充,API/JSON,1,1,0,,1,2945da9c6713567b1523fa25f39ddcf95ff50475ead8bbb66ea7e9734a440e15,000e5f103dda425ecfae7065623fa4a35c1dc38366d2ac944322a3ead6c6bbde,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,2,1,1,0,0,1,1,0,0,A1-官网补缺线索回页核验,M5-人工按高校线索回页,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-7c25c0cc84c894a6,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,29,SCHOOLOPP-20c83ff89585ef72,SCHOOLREFRESH-e099a484ca5810ee,A135,山东大学,P0-立即处理,O2-官网专业名未匹配先补规则,57,C7-官网源未匹配专业需人工确认专业名,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配先核,unmatched,has_reusable_2026_hubei_plan_source,Q6-来源质量待补充,未留存来源文件,0,1,0,,1,ec446d1e25e8d11a1ea4068de59ecfbf0cf104218f7dafbb3d6fe63f1461890c,cd372fb85148700fa88095e3492d3f9f5beb43e555e5ff26d95f5a6adc36f8e6,3,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,4,2,1,1,0,4,0,0,0,A2-专业名匹配规则或人工确认,M1-人工核专业名和同页上下文,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-15cce653e57ed35c,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,30,SCHOOLOPP-2b13b5e028ae09c6,SCHOOLREFRESH-7984849787596a4e,F902,江苏理工学院,P0-立即处理,O2-官网专业名未匹配先补规则,57,C7-官网源未匹配专业需人工确认专业名,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,Q6-来源质量待补充,部分来源待结构化,0,1,0,,1,945ec322c9f2e61190c95082372cb3f25c6464926d139072c9ece6c7c423c1a0,cd372fb85148700fa88095e3492d3f9f5beb43e555e5ff26d95f5a6adc36f8e6,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,true,1,0,L1-live已有入口或来源记录仍待结构化,4,3,0,1,0,2,2,0,0,A2-专业名匹配规则或人工确认,M1-人工核专业名和同页上下文,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
SCHOOLSRCSTATUS-f4b3137ff1340149,data/working/issue19-school-source-opportunity-queue.csv,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-c4-c6-school-source-refresh-execution-packets.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_status_snapshot_public_ledger,高校×高校侧辅证机会任务,公开任务级状态快照；逐专业字段仍留在原工作台和私有核验材料,false,false,false,false,false,false,false,false,31,SCHOOLOPP-c05ae764c8a7e922,SCHOOLREFRESH-c30414a74151d2bd,K153,成都信息工程大学,P0-立即处理,O2-官网专业名未匹配先补规则,57,C7-官网源未匹配专业需人工确认专业名,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,Q6-来源质量待补充,部分来源待结构化,0,1,0,,1,c9aef6168133f7deb5c8a911eb763ec8a55ae6599e81da1d130fa831bfca8e8b,cd372fb85148700fa88095e3492d3f9f5beb43e555e5ff26d95f5a6adc36f8e6,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,no_live_probe_record,false,0,0,L0-暂无live补源记录,5,3,1,1,0,3,2,0,0,A2-专业名匹配规则或人工确认,M1-人工核专业名和同页上下文,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,blocked_until_pdf_hubei_official_review,S0-高风险冲突或补缺，先核PDF原页和湖北官方侧,先核第19期PDF原页和湖北官方侧；高校官网只作冲突解释和差异提示。,高校官网侧线索完成结构化或补源后，仍必须回到第19期PDF原页和湖北官方系统或省招办计划核验；需要章程限制的学校还需核录取规则、体检、语种、单科、收费、校区和调剂范围。,公开层只保存学校、任务桶、来源数量、集合SHA、状态桶和门禁；不保存逐专业字段内容、OCR原文、人工核验内容、私有路径、URL正文或登录信息。
