来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,官方逐专业校验任务ID,官方交叉校验任务ID,专业核验任务ID,候选V3入口ID,复核批次,入口类型,院校代码,院校名称OCR,2026院校专业组代码,来源页码,专业明细来源,专业行来源,专业行ID,专业组内专业序号,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,专业偏好方向,专业风险类型,专业字段完整性标记,机器专业接受度初判,机器阻断或待核原因,调剂影响初判,官网来源状态,官网URL,本地留存路径,可核字段,官网来源局限,官方源缺口,PDF字段核验状态,湖北官方系统字段核验状态,高校官网/章程字段核验状态,家庭接受度人工结论状态,调剂影响人工结论状态,字段核验状态,是否阻断组升级,可进入最终专业列表,可进入下一阶段,高校官网计划检索式,招生章程检索式,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-1d7b256dea97f6ce,OCQ-becf7ac9a4f4ebca,MPK-f39c963177b338f6,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-78343e2534bdcb7c,4,06,电气工程及其自动化,,5800,5800,,,missing_subject_candidate,待了解-未命中当前偏好方向,专业行存在高严重结构异常,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-b88c534b1f625967,OCQ-becf7ac9a4f4ebca,MPK-f3d327f11d79f0f3,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-e169ec05a319416b,5,07,自动化,,5800,5800,,,missing_subject_candidate;low_ocr_confidence,待了解-未命中当前偏好方向,专业行存在高严重结构异常,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-3a67383dbcfbb998,OCQ-becf7ac9a4f4ebca,MPK-54914044c59fdba0,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-7af5985c525e29ba,6,08,软件工程,,5800,,计算机类相关,,missing_subject_candidate;missing_tuition_candidate,优先了解-命中当前偏好方向,学费字段非纯数字或缺失；专业行存在高严重结构异常,主动填报优先专业候选,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-74a41fab34220efa,OCQ-becf7ac9a4f4ebca,MPK-cb0deff42e080577,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-e61c577465bca697,7,09,数据科学与大数据技术,,5800,,计算机类相关,,missing_subject_candidate;missing_tuition_candidate,优先了解-命中当前偏好方向,学费字段非纯数字或缺失；专业行存在高严重结构异常,主动填报优先专业候选,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-6f9830a78dd664d3,OCQ-becf7ac9a4f4ebca,MPK-514ad453e5c1f420,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-bf093921a5df7b57,8,10,数字媒体技术,,5800,,数字媒体技术,,missing_subject_candidate;missing_tuition_candidate,优先了解-命中当前偏好方向,学费字段非纯数字或缺失；专业行存在高严重结构异常,主动填报优先专业候选,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-ab8d1c3f3e83bc14,OCQ-becf7ac9a4f4ebca,MPK-dd0bb515f6e0f60b,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-cf6e2346e326fb75,9,11,储能科学与工程,,5800,,,,missing_subject_candidate;missing_tuition_candidate,待了解-未命中当前偏好方向,学费字段非纯数字或缺失；专业行存在高严重结构异常,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-6e7b9045ae912486,OCQ-becf7ac9a4f4ebca,MPK-f2b2fcfe7cdf6bb9,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-4c1c9015c9d9aef3,10,12,功能材料,,5800,,,,missing_subject_candidate;missing_tuition_candidate,待了解-未命中当前偏好方向,学费字段非纯数字或缺失；专业行存在高严重结构异常,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-2d83b29ab6d6081a,OCQ-becf7ac9a4f4ebca,MPK-9c84ceebea4804b0,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-2a039956ee3b5d43,11,GA,。,,,,,,missing_subject_candidate;missing_plan_count_candidate;missing_tuition_candidate;low_ocr_confidence,待了解-未命中当前偏好方向,学费字段非纯数字或缺失；计划数字段非纯数字或缺失,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-0385bca1f3958b95,OCQ-becf7ac9a4f4ebca,MPK-42f8d3f05fd5be80,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-2d83c1ada1a7794e,12,KA,。院校代号,,,,,,missing_subject_candidate;missing_plan_count_candidate;missing_tuition_candidate;low_ocr_confidence,待了解-未命中当前偏好方向,学费字段非纯数字或缺失；计划数字段非纯数字或缺失,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-c7b57fcd09b000ca,OCQ-becf7ac9a4f4ebca,MPK-b0fffa9d61b8110c,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-17f719aa9334991c,13,13,资源循环科学与工程,要求,2,5800,,,,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-1bad58f7fe79ab1a,OCQ-becf7ac9a4f4ebca,MPK-ecd52ba388b16aa9,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-9e27f51eb2cc6645,14,14,浓车服务工程,,1,5800,,,missing_subject_candidate,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-caeaa426fe0c88ac,OCQ-becf7ac9a4f4ebca,MPK-6eed8bfc97c756df,V3-63237b6b04881bbb,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,135,family_fit_full_ocr,family_fit_major_detail,M-333b9b0165c63dc9,15,15,车辆工程F903 江苏海洋大学（公办）（江苏）,,2,5800,,,missing_subject_candidate,待了解-未命中当前偏好方向,专业行存在高严重结构异常,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,,,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,江苏理工学院 2026 湖北 招生计划 本科 专业组 招生网,江苏理工学院 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-908a5d7c97c2febb,OCQ-d7ca2e1a8ab4965a,MPK-0e3f781291480010,V3-99f1a65dd613b31c,B1-数字媒体技术优先核页,家庭筛选扩展,H001,杭州电子科技大学,H00104,137,family_fit_full_ocr,family_fit_major_detail,M-cc48b3c608e0c178,1,13,电子信息类（电子信息学院：电子信息工程、电子科学与技术；办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,化学,2,6000,,,,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,https://zhaosheng.hdu.edu.cn/art.php?aid=2471,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,湖北2026逐专业计划；科类；批次；选考科目；计划数；学制；就学地点,官网附件未直接给出湖北院校专业组代码和专业代号，组内边界需回到第19期原页及湖北官方系统确认,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,杭州电子科技大学 2026 湖北 招生计划 本科 专业组 招生网,杭州电子科技大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-4fd59d746556617c,OCQ-d7ca2e1a8ab4965a,MPK-ce6e19618885b5ad,V3-99f1a65dd613b31c,B1-数字媒体技术优先核页,家庭筛选扩展,H001,杭州电子科技大学,H00104,137,family_fit_full_ocr,family_fit_major_detail,M-b68a6418a68cfb85,2,14,数字媒体技术（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,,2,6000,数字媒体技术,,missing_subject_candidate,优先了解-命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,主动填报优先专业候选,has_partial_source_needs_followup,https://zhaosheng.hdu.edu.cn/art.php?aid=2471,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,湖北2026逐专业计划；科类；批次；选考科目；计划数；学制；就学地点,官网附件未直接给出湖北院校专业组代码和专业代号，组内边界需回到第19期原页及湖北官方系统确认,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,杭州电子科技大学 2026 湖北 招生计划 本科 专业组 招生网,杭州电子科技大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-f9aeb54037e4487b,OCQ-d7ca2e1a8ab4965a,MPK-b9d9905852438a2d,V3-99f1a65dd613b31c,B1-数字媒体技术优先核页,家庭筛选扩展,H001,杭州电子科技大学,H00104,137,family_fit_full_ocr,family_fit_major_detail,M-31ee2ca09acc48c4,3,15,直动化（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,,2,6900,,,missing_subject_candidate,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,https://zhaosheng.hdu.edu.cn/art.php?aid=2471,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,湖北2026逐专业计划；科类；批次；选考科目；计划数；学制；就学地点,官网附件未直接给出湖北院校专业组代码和专业代号，组内边界需回到第19期原页及湖北官方系统确认,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,杭州电子科技大学 2026 湖北 招生计划 本科 专业组 招生网,杭州电子科技大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-d2f37ee15eeb6b31,OCQ-d7ca2e1a8ab4965a,MPK-ae42de63880da389,V3-99f1a65dd613b31c,B1-数字媒体技术优先核页,家庭筛选扩展,H001,杭州电子科技大学,H00104,137,family_fit_full_ocr,family_fit_major_detail,M-f29a255bb6281c25,4,16,机械设计制造及其自动化（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,,2,6900,,,missing_subject_candidate,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,https://zhaosheng.hdu.edu.cn/art.php?aid=2471,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,湖北2026逐专业计划；科类；批次；选考科目；计划数；学制；就学地点,官网附件未直接给出湖北院校专业组代码和专业代号，组内边界需回到第19期原页及湖北官方系统确认,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,杭州电子科技大学 2026 湖北 招生计划 本科 专业组 招生网,杭州电子科技大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-beffe6ecfca9e3f5,OCQ-d7ca2e1a8ab4965a,MPK-5bd8e1e734471f20,V3-99f1a65dd613b31c,B1-数字媒体技术优先核页,家庭筛选扩展,H001,杭州电子科技大学,H00104,137,family_fit_full_ocr,family_fit_major_detail,M-5f6e3b49d6187d94,5,17,智能车辆工程（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,,3,6000,,,missing_subject_candidate,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,https://zhaosheng.hdu.edu.cn/art.php?aid=2471,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,湖北2026逐专业计划；科类；批次；选考科目；计划数；学制；就学地点,官网附件未直接给出湖北院校专业组代码和专业代号，组内边界需回到第19期原页及湖北官方系统确认,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,杭州电子科技大学 2026 湖北 招生计划 本科 专业组 招生网,杭州电子科技大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-e883f2648cafba97,OCQ-d7ca2e1a8ab4965a,MPK-70050da0072c34fa,V3-99f1a65dd613b31c,B1-数字媒体技术优先核页,家庭筛选扩展,H001,杭州电子科技大学,H00104,137,family_fit_full_ocr,family_fit_major_detail,M-07561f2ddca7868c,6,18,数学类（数学与应用数学、信息与计算科学：办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,,,5300,,,missing_subject_candidate;missing_plan_count_candidate,待了解-未命中当前偏好方向,计划数字段非纯数字或缺失,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,https://zhaosheng.hdu.edu.cn/art.php?aid=2471,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,湖北2026逐专业计划；科类；批次；选考科目；计划数；学制；就学地点,官网附件未直接给出湖北院校专业组代码和专业代号，组内边界需回到第19期原页及湖北官方系统确认,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,杭州电子科技大学 2026 湖北 招生计划 本科 专业组 招生网,杭州电子科技大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-140607d3c60e5888,OCQ-d7ca2e1a8ab4965a,MPK-c186fce713fd2116,V3-99f1a65dd613b31c,B1-数字媒体技术优先核页,家庭筛选扩展,H001,杭州电子科技大学,H00104,137,family_fit_full_ocr,family_fit_major_detail,M-11e1f50543f8c02d,7,19,光电信息科学与工程（办学地点：第学年在绍兴校区，第二学年起在下沙校区）,,2,6000,,,missing_subject_candidate,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,https://zhaosheng.hdu.edu.cn/art.php?aid=2471,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,湖北2026逐专业计划；科类；批次；选考科目；计划数；学制；就学地点,官网附件未直接给出湖北院校专业组代码和专业代号，组内边界需回到第19期原页及湖北官方系统确认,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,杭州电子科技大学 2026 湖北 招生计划 本科 专业组 招生网,杭州电子科技大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_major_official_crosscheck,OMQ-6c38b5038626db3e,OCQ-d7ca2e1a8ab4965a,MPK-8541c12d4743a524,V3-99f1a65dd613b31c,B1-数字媒体技术优先核页,家庭筛选扩展,H001,杭州电子科技大学,H00104,137,family_fit_full_ocr,family_fit_major_detail,M-bee7f31a873d58fe,8,20,统计学（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,,4,5300,,,missing_subject_candidate,待了解-未命中当前偏好方向,未触发自动阻断；仍需原PDF和官方来源核验,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,https://zhaosheng.hdu.edu.cn/art.php?aid=2471,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,湖北2026逐专业计划；科类；批次；选考科目；计划数；学制；就学地点,官网附件未直接给出湖北院校专业组代码和专业代号，组内边界需回到第19期原页及湖北官方系统确认,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,pending_original_pdf_page_review,pending_hubei_official_plan_review,pending_school_plan_or_charter_review,pending_family_acceptance_review,pending_transfer_decision,pending,是,false,false,杭州电子科技大学 2026 湖北 招生计划 本科 专业组 招生网,杭州电子科技大学 2026 普通本科 招生章程,逐专业比对PDF原页、湖北官方系统或省招办计划、高校官网/章程和家庭接受度；专业字段未全部确认前不得进入最终专业列表。
