高校源最新对齐ID,来源高校官网辅证自动执行批次,来源高校官网辅证状态快照,来源next20官网源探测账本,来源live补源账本,来源C4C6复用审计账本,来源C4C6结构化候选diff账本,来源C4C6补源尝试账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,原自动执行批次ID,高校官网辅证状态快照ID,执行批次序号,院校代码,院校名称公开,原自动执行泳道,原官网辅证自动动作,原官网来源状态,原最新自动探针状态,原结构化输出状态桶,原候选diff状态桶,原补源状态桶,原涉及招生明细数,原涉及专业组数,next20任务数,next20结构化湖北物理行数合计,next20结构化计划数合计,next20官网源类型集合,next20当前自动判断集合,live补源记录数,live结构化输出记录数,live湖北物理计划状态桶,C4C6复用包数,C4C6已有标准化官网证据行数,C4C6复用可生成候选diff明细数,C4C6结构化diff包数,C4C6综合结构化官网证据行数,C4C6可生成候选diff明细数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,C4C6补源尝试记录数,C4C6最新自动探针状态集合,最新证据来源族,最新公开证据集合SHA16,最新高校侧证据层级,相对原自动账本推进状态,最新自动建议动作,人工最小核验动作,仍需补源或解析原因,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
SOURCESYNC-fffd3118e8c02676,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-7c38438ccaa39bf8,SCHOOLSRCSTATUS-1c610bda7759be32,11,H450,山东工商学院,A0-冲突回页和官方侧核验,C4-已有部分来源需补结构化或补湖北行,has_partial_source_needs_followup,no_live_probe_record,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,19,2,2,48,122,official_pdf_extracted,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,1,24,8,1,24,8,5,1,2,0,,next20；c4c6_reuse；c4c6_diff,880daf4540a572fb,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-34f12f91d2b21697,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-03edbb5de67f6f7f,SCHOOLSRCSTATUS-28ab74e82a3d9f30,12,A032,北京语言大学,A0-冲突回页和官方侧核验,C4-已有部分来源需补结构化或补湖北行,has_partial_source_needs_followup,structured_source_retained_parser_or_match_rule_needed,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,11,3,1,14,34,official_ajax_json,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,2,0,0,2,28,10,3,2,5,1,structured_source_retained_parser_or_match_rule_needed,next20；c4c6_reuse；c4c6_diff；c4c6_attempt,f1d68c84c5ef0de8,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-97fe46084f5c560a,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-4835ec44e85e41d5,SCHOOLSRCSTATUS-cd4ff35ca47ecf2f,13,F902,江苏理工学院,A0-冲突回页和官方侧核验,C0-冲突先核PDF原页和湖北官方系统,has_reusable_2026_hubei_plan_source,no_live_probe_record,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,10,1,1,15,0,official_image_extracted,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,1,0,live有边界记录待人工判定,1,15,2,1,15,2,0,1,1,0,,next20；live；c4c6_reuse；c4c6_diff,0ea58c7176b523bf,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-33ff62813cc4d15f,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-f6a8b668baa9ce82,SCHOOLSRCSTATUS-644484a5ae727fe7,14,K179,成都师范学院,A4-继续搜索高校计划网源,C6-继续搜索高校官网2026湖北计划源,needs_official_plan_source_search,no_seed_need_official_source_search,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,6,6,1,0,0,official_entry_only,仍需继续找2026湖北物理类分省分专业计划源,1,0,live未取得湖北物理计划,1,0,0,1,0,0,0,0,0,1,no_seed_need_official_source_search,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt,f763426dd542f2bf,L1-有入口或探针记录但未取得湖北物理结构化明细,P0-A4仍需继续补源,继续查学校招生网、公开API、XLSX、PDF或图片计划源；不能迁移外省计划。,人工必要时补找学校招生网计划入口或附件。,live未取得湖北物理计划；no_seed_need_official_source_search,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-b69de4bfe33c74a9,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-01dfaeb50b52f303,SCHOOLSRCSTATUS-49b3b1e22b0f35a1,15,K487,西安航空学院,A4-继续搜索高校计划网源,C6-继续搜索高校官网2026湖北计划源,needs_official_plan_source_search,no_seed_need_official_source_search,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,6,4,1,6,15,official_pdf_extracted,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,1,1,live已取得湖北物理结构化线索,1,0,0,1,0,0,0,0,0,1,no_seed_need_official_source_search,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt,bb7171cf8ddaaab2,L3-已有湖北物理结构化或候选diff线索,P3-A4已推进到结构化或diff线索,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-7fcf41bab656b591,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-9ece90ee7f6910b4,SCHOOLSRCSTATUS-50de0fcaa0352d5f,16,H450,山东工商学院,A1-官网补缺线索回页核验,C1-官网补缺候选但禁止自动写回,has_reusable_2026_hubei_plan_source,no_live_probe_record,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,10,1,2,48,122,official_pdf_extracted,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,1,24,8,1,24,8,5,1,2,0,,next20；c4c6_reuse；c4c6_diff,880daf4540a572fb,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-8687c4d18c1a844c,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-74d47c9a087ac7ef,SCHOOLSRCSTATUS-900d27b658de979c,17,H775,韶关学院,A4-继续搜索高校计划网源,C6-继续搜索高校官网2026湖北计划源,needs_official_plan_source_search,no_seed_need_official_source_search,T3-暂无结构化源,D4-无结构化官网源,S0-继续补高校官网计划网源,5,5,1,0,0,official_site_unreachable,仍需继续找2026湖北物理类分省分专业计划源,1,0,live未取得湖北物理计划,1,0,0,1,0,0,0,0,0,1,no_seed_need_official_source_search,next20；live；c4c6_reuse；c4c6_diff；c4c6_attempt,08b0bcb099b7e781,L1-有入口或探针记录但未取得湖北物理结构化明细,P0-A4仍需继续补源,继续查学校招生网、公开API、XLSX、PDF或图片计划源；不能迁移外省计划。,人工必要时补找学校招生网计划入口或附件。,live未取得湖北物理计划；no_seed_need_official_source_search,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-c0aa0f15265b5815,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-91b15bf4b9b7bcd4,SCHOOLSRCSTATUS-35ff2fd853b7d16d,18,A033,中国传媒大学,A1-官网补缺线索回页核验,C1-官网补缺候选但禁止自动写回,has_reusable_2026_hubei_plan_source,no_live_probe_record,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,8,2,1,14,34,official_ajax_json,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,1,14,5,1,14,5,3,2,0,0,,next20；c4c6_reuse；c4c6_diff,b0830e7ae227d08b,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-cb41c0bf8d0de1fc,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-172098773241c841,SCHOOLSRCSTATUS-c9cd16381554e0d4,19,C108,江汉大学,A2-专业名匹配规则或人工确认,C7-官网源未匹配专业需人工确认专业名,has_partial_source_needs_followup,no_live_probe_record,T2-有公开来源待解析,D5-不适用,S4-部分来源待跟进,12,2,2,102,2990,official_zsdata_json,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,1,51,38,1,51,41,40,0,1,0,,next20；c4c6_reuse；c4c6_diff,238a189c24c4f26a,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-a7355989d165966a,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-fd72fa13a271f168,SCHOOLSRCSTATUS-9b247ba355bb13ba,20,H001,杭州电子科技大学,A0-冲突回页和官方侧核验,C4-已有部分来源需补结构化或补湖北行,has_partial_source_needs_followup,no_live_probe_record,T0-需补结构化或补湖北行,D0-可生成diff且有计划数冲突线索,S1-已有来源待结构化,9,4,1,21,57,official_xlsx_physics_rows,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,0,0,,1,21,8,1,21,8,6,1,1,0,,next20；c4c6_reuse；c4c6_diff,3b6ffcff8682db0f,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-690d6b57b148f392,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-3854fd9e116fc4f7,SCHOOLSRCSTATUS-fcd92caf5ce8b68a,21,A195,兰州大学,A1-官网补缺线索回页核验,C1-官网补缺候选但禁止自动写回,has_reusable_2026_hubei_plan_source,no_live_probe_record,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,7,1,0,0,0,,,0,0,,1,56,42,1,56,42,0,42,0,0,,c4c6_reuse；c4c6_diff,a6f868f919d65205,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-b9aa1bc541ff54ba,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-1e2931668ea34426,SCHOOLSRCSTATUS-9b1347b7b6c3fc44,22,F305,忻州师范学院,A1-官网补缺线索回页核验,C1-官网补缺候选但禁止自动写回,has_reusable_2026_hubei_plan_source,no_live_probe_record,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,4,1,0,0,0,,,0,0,,1,15,7,1,15,7,0,7,0,0,,c4c6_reuse；c4c6_diff,5850f74ee5007c42,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
SOURCESYNC-331f7b078fb5f167,data/working/issue19-school-source-auto-execution-batches-public-ledger.csv,data/working/issue19-school-source-status-snapshot-public-ledger.csv,data/working/issue19-school-source-next20-official-probe-public-ledger.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,data/working/issue19-c4-c6-structured-candidate-diff-public-ledger.csv,data/working/issue19-c4-c6-school-source-acquisition-attempts-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_latest_reconciliation_public_ledger,高校×高校侧辅证自动执行任务×最新公开证据对齐,公开任务级状态；不保存逐专业字段记录、人工字段记录或私有材料,false,false,false,false,false,false,false,false,SCHOOLSRCEXEC-b4497f4a74fa5a68,SCHOOLSRCSTATUS-2ce011159cf7d5a9,23,K153,成都信息工程大学,A1-官网补缺线索回页核验,C1-官网补缺候选但禁止自动写回,has_reusable_2026_hubei_plan_source,no_live_probe_record,T2-有公开来源待解析,D5-不适用,S2-已有可复用高校官网源,4,1,0,0,0,,,0,0,,1,38,6,1,38,6,2,4,0,0,,c4c6_reuse；c4c6_diff,b83a3fb30ad54207,L3-已有湖北物理结构化或候选diff线索,P2-原任务已有高校侧来源继续回页,把已有高校侧结构化或diff线索用于核页提示；仍必须回第19期PDF原页和湖北官方侧。,人工最小核验集中在计划数冲突、OCR补缺、专业组边界和湖北官方侧。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开任务状态、计数和证据层级，不保存逐专业官网字段记录、人工字段记录、识别正文、登录态、截图或私有路径。
