第一闭环公开证据地图ID,来源页列证据状态汇总,来源任务复核公开账本,来源私有预填公开审计,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,来源页码,版面列,页码版面键,执行泳道,第一闭环页列优先级,页列任务数,自动官网辅证任务数,P0人工字段任务数,专业计划数字段任务数,学费字段任务数,再选科目字段任务数,PDF原页待核任务数,PDFOCR提示任务数,PDFOCR无候选任务数,机器坐标提示任务数,高校辅证线索任务数,高校辅证待核任务数,公共高校来源文件任务数,公共高校来源文件数,湖北官方侧待核任务数,PDFOCR与高校辅证冲突任务数,高校有线索但PDFOCR缺候选任务数,仅PDFOCR候选待人工核页任务数,需要人工直接看图任务数,需要双人复核任务数,页列主阻断,页列建议下一步动作,字段事实写回阻断任务数,字段事实写回可进入任务数,官方公开计划页可定稿,数智平台可定稿,完成条件,公开安全策略
FIRSTEVIDMAP-b045cefabcbf4ff4,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,11,23,left,023-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-be010f864823117c,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,12,40,right,040-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-ee94c6b77aadc77e,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,13,43,left,043-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-dd513710dd144bce,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,14,53,right,053-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-0add806f39da4cf2,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,15,93,left,093-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-0a59ed26b2bf19e6,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,16,141,left,141-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-a3cc3f4ad1839b0c,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,17,205,left,205-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-a2881af6fb0f22b2,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,18,235,right,235-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-215ed14459b7fc41,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,19,226,left,226-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,39,20,19,38,20,20,39,20,19,13,19,39,19,1,39,1,18,1,7,5,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,39,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-107bab29f483ee91,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,20,109,left,109-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,8,4,4,8,4,2,8,4,4,0,4,8,4,1,8,0,0,0,4,2,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,8,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-1d63519c6f7a6140,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,21,226,right,226-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,4,2,2,4,2,2,4,2,2,0,2,4,2,1,4,2,0,0,4,2,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,4,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-c96bf0fbe8375124,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,22,38,right,038-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,0,2,2,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,2,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,2,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-202724831200f4dd,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,23,82,right,082-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,0,2,2,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,2,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,2,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-97271a7e746e843a,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,24,137,left,137-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,1,1,2,1,1,2,1,1,0,1,2,1,1,2,0,1,0,1,1,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,2,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
