高校侧辅证刷新公开账本ID,来源稳定基座自动交叉核验工作台,来源高校官网补源种子表,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,高校侧刷新批次,高校侧刷新任务类型,高校侧刷新优先级,院校代码,院校名称OCR,官网辅证自动动作,闭环优先级,官网证据强度,官网来源状态,官网证据匹配状态集合,计划数核验状态集合,差异字段集合,来源文件类型集合,公开来源文件数量,公开来源文件集合SHA256,公开来源URL数量,公开来源URL集合SHA256,涉及招生明细数,涉及专业组数,涉及PDF页数,涉及页列数,专业行ID集合SHA256,专业组ID集合SHA256,页列集合SHA256,计划数冲突行数,官网补缺候选行数,强辅证抽检行数,部分来源待结构化行数,继续补源行数,仅章程规则行数,官网未匹配行数,字段辅证行数,疑似学费读作计划数行数,需要PDF原页100%核验行数,建议抽检行数,建议补结构化行数,建议继续补源行数,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源刷新状态,高校官网或招生章程辅证状态,字段事实写回状态,公开安全策略,下一步
SCHOOLREFRESH-a153e5d6faa68f4e,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,11,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺,H450,山东工商学院,C1-官网补缺候选但禁止自动写回,01-P0补缺先核,fill_candidate,has_partial_source_needs_followup,matched,ocr_plan_missing_official_available,,结构化CSV,1,70cbe8126ed5235cf1705105f47975e4aba8c6d70930694b9ce12815aa0f45d9,1,55cf82bd0d9890ceccd4634f950b25ea6c07f0ceaab55da717f22ebc68f5d4e2,10,1,1,1,74c0ed920d9bd2e1a7ac011ab86195456f0655d0965e9ea49091ffd48d7e7ca7,994cb1e224fd08460d99033cbfbcc52b97241c359231fec94b256392af079c32,5171189c2419c78ac300c9443db947b08eedd65209c30b72ba811d194e7d1e1a,0,10,0,0,0,0,0,0,0,10,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SCHOOLREFRESH-63250545b0d32b54,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,12,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺,K153,成都信息工程大学,C1-官网补缺候选但禁止自动写回,01-P0补缺先核,fill_candidate,has_partial_source_needs_followup,matched,ocr_plan_missing_official_available,,HTML,1,cefbdb9f2a6114393d1bc19e5cde97f4c1458123cb45e4266ab4a468c29293ba,1,c9aef6168133f7deb5c8a911eb763ec8a55ae6599e81da1d130fa831bfca8e8b,4,1,1,1,c9843ac05b5885a9a96eb54c9e283423786d46f0724792098228d536d298e680,d04f58f44470df0f58d3e9735bc982bdf79f24c9405e58df8f3a2b08cff48306,b9342d6daf8972381964186b256a3e566ded9bdbcb655d781e7cd6cd134a3258,0,4,0,0,0,0,0,0,0,4,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SCHOOLREFRESH-5879cbfa20e60c30,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,13,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺,K486,西安邮电大学,C1-官网补缺候选但禁止自动写回,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,API/JSON,1,f84537e57826dfa845909a67b770448d6ded04bb86313534b60c4353df2a0553,1,b0c968b677052aa6f78f79bcd0b0d05bf0b4499def836218420ece4ecf2c50e7,19,1,1,1,935f32cdcdc4670577817bda7d11a22d7bf51d6a27b2e6a324d3f9e085a07572,df170726fd23363d115c19438ea016d64f2226155d2e70495a51c37976ed07e6,c94403f774fa6a232d83b08791c2c52e74d288ea7075f67c94f009886294eb9e,0,19,0,0,0,0,0,0,0,19,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SCHOOLREFRESH-ae0991ae2662b9eb,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,14,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺,K488,西安医学院,C1-官网补缺候选但禁止自动写回,01-P0补缺先核,fill_candidate,has_partial_source_needs_followup,matched,ocr_plan_missing_official_available,,API/JSON,1,a48cf0c18b0319ef57f5b80481ae3f5e2f6d619e3dc68a30ea9f019115908d02,1,2945da9c6713567b1523fa25f39ddcf95ff50475ead8bbb66ea7e9734a440e15,2,2,1,1,32b2095c6859d7c91375c78850d761f2e1efcb85848649166e54811be1470e6b,c309a4b7b4d2b5d8a9dbebcfb8bab380c4e57d5ae1d62b764e773df08cd07d30,b66aa8e599a5a9987827dd3652b2cdf7faa6f041376884c64e2b4c74c6c75925,0,2,0,0,0,0,0,0,0,2,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SCHOOLREFRESH-e099a484ca5810ee,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,15,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,A135,山东大学,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_reusable_2026_hubei_plan_source,unmatched,not_covered,官网专业未匹配,未留存来源文件,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,ec446d1e25e8d11a1ea4068de59ecfbf0cf104218f7dafbb3d6fe63f1461890c,3,1,2,2,fd830337d2a748f91eb25061025b233ebff934787bd4b40c2f28f2958d5afbab,36888bacee037d662a8afb97ff04f18a8d1bd4365861d6e85baec2bc2a646b3e,ec9bcd9ee65b7edcd92d6f08dddc81ec26fe69de7aae71543f306cd2795a0bcb,0,0,0,0,0,0,3,0,0,3,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-16eca37c2d138b08,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,16,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,A195,兰州大学,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_reusable_2026_hubei_plan_source,unmatched,not_covered,官网专业未匹配,未留存来源文件,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,496f2d279b3532bf62b47b5aa2dba9ac62260ca92420c2da9586411471ba1ca8,1,1,1,1,b5282cc21149e1d734174c3fad7b62105a323ae7c516dbb2d7c10ef13ce43f42,70f1e26aca2effe1d7dc358857e8c02d5cc936b95e4a7a0d0fee9c543c47229d,00c64120483d1e186171698b0b0efbc22b6f475e905e494dc24a8f73a0f813a3,0,0,0,0,0,0,1,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-4cab42f44ea28b36,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,17,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,A197,西北民族大学,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_reusable_2026_hubei_plan_source,unmatched,not_covered,官网专业未匹配,未留存来源文件,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,868d347a6c0793850ae8665451557b9c013a200c34b9ed84867fa5d2f7900f69,1,1,1,1,ead8ad89af4a89202f6a3e49af8a77a8ab544ce272823ded458375db870ed283,7b2adf32bf8a1f4d02df358104322c9052394df752a3dd3e05fb4a2822eb89e2,c58319e0edfd9c9f39336fd382d01bc4efd22c61389957372bf108ec841b12c4,0,0,0,0,0,0,1,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-6a8b2dd80efd2d64,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,18,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,C108,江汉大学,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,部分来源待结构化,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,64007f21740966e877fb893e51748445f79e9d88ce56f97bc6479134346dbd49,12,2,1,2,ec78e2607519694e1bbd06a04f274bf0e9c44531c69cbde18bd1d87fda027f2d,22739f7857fdfa4bab3394bbc46ea991303b57bddc263cc06106e73c186252a4,4e014d83e2d254d514e4a6250f73ed7ef15fa067826135507f501de5bd508a87,0,0,0,0,0,0,12,0,0,12,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-effd332bcddcc283,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,19,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,C150,武汉商学院,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_reusable_2026_hubei_plan_source,unmatched,not_covered,,未留存来源文件,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2,2,2,2,c7f9278fc7b83a6810af49ae6768bdda608be5a94e3a147a861ede562363c8be,6e92a66d18ffa9305fc9ca516a32aaf45feabfb42148feb948349546ef6901a6,77a0eb83cdc8053efafc4494b89d838b57b165e9b8bac108c2741e1aeba21975,0,0,0,0,0,0,2,0,0,2,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-fa6e44112263e1df,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,20,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,F099,天津外国语大学,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_reusable_2026_hubei_plan_source,unmatched,not_covered,官网专业未匹配,未留存来源文件,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,31bd6aa343f0679c426bcca7a22cfd0d8db4a23adc2ba870d4f5a88ee759682a,1,1,1,1,d1a6045fb010ccb0ae289a926ca2529c52e04312873a7c3098823b458ef8151c,d4e0dea57a0c195eaf648e9530d25b4bbd504bbe9e245cec581c6c47317b69de,8475cbd7ee755e2bc67fa7858f134e4146a1c89b375c58ae69d6704d58332a40,0,0,0,0,0,0,1,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-7984849787596a4e,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,21,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,F902,江苏理工学院,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,部分来源待结构化,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,945ec322c9f2e61190c95082372cb3f25c6464926d139072c9ece6c7c423c1a0,3,1,1,1,803142ec4b7aef2795c52b6b9bb2fe56fd5902907f707e36b4a8844d44c405e5,b3936094e49ae8211844a5e77c5d7654c723fdeca0b31122a5e2f998b064fe71,2c0ef58e5ced1bec17c1977e125044d8d3ef1dd29c9398cd0da19600a9202cb7,0,0,0,0,0,0,3,0,0,3,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-835c5a20c560dd7d,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,22,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,H450,山东工商学院,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,部分来源待结构化,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,55cf82bd0d9890ceccd4634f950b25ea6c07f0ceaab55da717f22ebc68f5d4e2,1,1,1,1,3e5d193d4e4acbd86f724c5a567361878b383b9c228a4b83ba591f4184005b4c,994cb1e224fd08460d99033cbfbcc52b97241c359231fec94b256392af079c32,5171189c2419c78ac300c9443db947b08eedd65209c30b72ba811d194e7d1e1a,0,0,0,0,0,0,1,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-2529d359a7f2d288,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,23,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,H945,南宁学院,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,部分来源待结构化,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,13fa381f1f1201b99245ee03f2e9e7a784aa307ee4dac4b0f41553f4bbbfc39d,1,1,1,1,b473de4d7d5b0b6dc92115b533d0b73810e43dc8ff75e28feb5d447c45197f00,7451989ead73becb1cd051cf51edf8272c6c63c52daed8b7f76f87a3a707d859,5c5d15c2ce656a21ea66e70ac4d155fba494753ffe1605c57f06a49a734c0e31,0,0,0,0,0,0,1,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-c30414a74151d2bd,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,24,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,K153,成都信息工程大学,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,部分来源待结构化,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,c9aef6168133f7deb5c8a911eb763ec8a55ae6599e81da1d130fa831bfca8e8b,3,1,1,1,774fc84a9e8e665eb0da7b436e55fbc8f659aca4bf0fe4003087777f8d7d9644,d04f58f44470df0f58d3e9735bc982bdf79f24c9405e58df8f3a2b08cff48306,b9342d6daf8972381964186b256a3e566ded9bdbcb655d781e7cd6cd134a3258,0,0,0,0,0,0,3,0,0,3,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-bf91fc200e0f7e70,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,25,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,K485,西安财经大学,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网计划源待补强,部分来源待结构化,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,a0276e995a56ebd1644c80a9a8e0c0704cd5736a86ec560081d4884d7f0fc39b,1,1,1,1,1e32d835056d962692a696f514ac9f06f7e80d8ce9139930c3c227c026796a02,29e78430c3ac9060dd579ed3ae80e9d67abe8eb865cb7acc7a1e5acfafcf3702,c94403f774fa6a232d83b08791c2c52e74d288ea7075f67c94f009886294eb9e,0,0,0,0,0,0,1,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SCHOOLREFRESH-f66d60e16d8b21a9,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,26,S1-专业名匹配人工确认,官网专业名未匹配人工确认,02-P1未匹配,K753,喀什大学,C7-官网源未匹配专业需人工确认专业名,02-P1未匹配先核,unmatched,has_partial_source_needs_followup,unmatched,not_covered,官网专业未匹配；官网计划源待补强,部分来源待结构化,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,562d34e39aeff1826d0657cf1c58baf959cb985c78eb98b7e6c93a9b73c65c8a,2,1,1,1,fc8e06f9473620e57d30e4bea9e21b9d2a714e64a1eebe3f9de7313a7fdd7c5f,5ef34618f5d3341cd199f6d3c7e987ebcc67cd81ca42d37ed7a7c1c9c830c953,f2aba0dda2c1cc448d228f2b8c2f33f937c260ad539a089d0ca83801466ab3b5,0,0,0,0,0,0,2,0,0,2,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
