来源期号,来源PDF_SHA256,数据阶段,优先方向,综合风险等级,本专业OCR风险等级,本专业风险类型,专业组风险类型,院校代码,院校名称OCR,院校专业组代码,专业组号,来源页码,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,学费OCR数字候选,偏好和风险标签,字段完整性标记,候选池V1命中,样本学校命中,核验状态,最终可用,下一步
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C103,湖北大学,C10320,20,66,92,化学（师范类：化生复合创新师范实验班；第一学年在武昌校区）,,40,4500,4500,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C103,湖北大学,C10325,25,67,AF,地理科学（师范类；办学地点：长江新区校区）,,21,4500,4500,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C105,长江大学,C10523,23,68,AC,思想政治教育《师范类：办学地点：荆,政治,10,4500,4500,priority_3_teacher,,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C116,湖北科技学院,C11613,13,72,65,物理学（师范类）,,25,4000,4000,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C116,湖北科技学院,C11613,13,72,66,化学（师范类）,,22,4000,4000,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C116,湖北科技学院,C11613,13,72,67,生物科学（师范炎）,,80,25,25,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C116,湖北科技学院,C11613,13,72,68,数学与应用数学（师范类）,,80,4000,4000,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C116,湖北科技学院,C11615,15,72,7,地理科学（师范类）,地理,161,4000,4000,priority_3_teacher,,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C118,黄冈师范学院,C11810,10,73,48,数学与应用数学（师范类）,,157,4000,4000,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C118,黄冈师范学院,C11811,11,73,55,物理学（师范类）,,60,4000,4000,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C118,黄冈师范学院,C11813,13,73,72,思想政治教育（师范类）,,10,4000,4000,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C118,黄冈师范学院,C11814,14,73,74,地理科学（师范类）C125 武汉轻工大学（公办）（湖北）,,47,4000,4000,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C130,湖北工业大学,C13009,09,76,83,教育学（智能装备制造教育实验班）,,35,4500,4500,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C133,湖北师范大学,C13309,09,78,37,数学与应用数学（师范类）,化学,124,4000,4000,priority_3_teacher,,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C133,湖北师范大学,C13309,09,78,38,物理学（师范类）,,42,4000,4000,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C133,湖北师范大学,C13309,09,78,39,化学（师范类）,,11,4000,4000,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C133,湖北师范大学,C13309,09,78,40,生物科学（师范类）,,16,4000,4000,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C133,湖北师范大学,C13310,10,78,44,化学（非师范）,,31,4000,4000,priority_3_teacher,missing_subject_candidate;low_ocr_confidence,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C133,湖北师范大学,C13311,11,78,56,地理科学（师范类）,地理,34,4000,4000,priority_3_teacher,,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C136,湖北美术学院,C13603,03,78,12,智能交互设计（办学地点：县华林校C137 湖北第二师范学院（公办）（湖北）,,22,10350,10350,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C137,湖北,C13709,09,78,31,汉语言文学（师范类）,不限,41,4000,4000,priority_3_teacher,,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C137,湖北,C13709,09,78,32,汉语国际教育（师范类）,,13,4000,4000,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C137,湖北,C13712,12,78,48,物理学（师范类）院校专业组及专业代号,化学,26,4000,4000,priority_3_teacher,,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C137,湖北,C13712,12,79,49,数学与应用数学（师范类）,,102,4000,4000,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C137,湖北,C13712,12,79,50,生物科学（师范类）,,22,4000,4000,priority_3_teacher,missing_subject_candidate,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C137,湖北,C13712,12,79,51,化学（师范类）,,21,4000,4000,priority_3_teacher,missing_subject_candidate;low_ocr_confidence,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C137,湖北,C13712,12,79,52,化学（师范类：科创班）,化学,50,4000,4000,priority_3_teacher,,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C137,湖北,C13718,18,79,68,思想政治教育（师范类）,化学,37,4000,4000,priority_3_teacher,,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,C139,荆楚理工学院,C13908,08,80,40,数学与应用数学（师范类）,化学,41,4000,4000,priority_3_teacher,,否,是,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F097,天津师范大学,F09702,02,96,10,教育技术学（师范类）,不限,,4400,4400,priority_3_teacher,missing_plan_count_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F098,天津职业技术师范大学,F09801,01,96,01,自动化（师范类）,,,5400,5400,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate;low_ocr_confidence,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F098,天津职业技术师范大学,F09801,01,96,03,无人驾驶航空器系统工程（师范类）,,,5400,5400,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F098,天津职业技术师范大学,F09801,01,96,04,新能源汽车工程（师范炎）,,,5400,5400,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate;low_ocr_confidence,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F098,天津职业技术师范大学,F09801,01,96,05,交通运输（师范类）,,,5400,5400,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F098,天津职业技术师范大学,F09801,01,96,06,数学与应用数学（师范类）,,,5400,5400,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F099,天津外国语大学,F09909,09,96,26,教育技术学（“教育技术学+英语“复合培养项目：滨海校区）,,,1,1,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate;low_ocr_confidence,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F112,4淮北师范大学,F11280,80,145,13,物理学（师范类；办学地点：相山校区）,,,5200,5200,priority_3_teacher,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F112,4淮北师范大学,F11280,80,145,14,化学（师范类；办学地点：相山校区）,,1,5200,5200,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F112,4淮北师范大学,F11280,80,145,15,物科学（师范类；办学地点：相山校H130 皖西学院（公办）（安徽）,,1,5200,5200,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,F127,安庆师范大学,F12702,02,145,05,环境工程（办学地点：龙山校区）H128 淮北师范大学（公办）（安徽）,,10,5200,5200,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,H008,浙江师范大学,H00804,04,139,04,应用心理学（师范类）,化学,5,5300,5300,priority_3_teacher,low_ocr_confidence,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,H008,浙江师范大学,H00805,05,139,06,光电信息科学与工程H0080G浙江师范大学第 O6组,化学,2,6000,6000,priority_3_teacher,,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,H009,杭州师范大学,H00901,01,139,06,教育技术学（师范类：第一、下沙校区，第三学年起在仓前校区）H010湖州师范大学（公办）（浙江）,,2,5300,5300,priority_3_teacher,missing_subject_candidate;low_ocr_confidence,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,H010,湖州师范大学,H01003,03,139,05,科学教育（师范类）,不限,17,5500,5500,priority_3_teacher,,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,H024,衢州学院,H02401,01,141,04,数学与应用数学（师范）H025 宁波大学（公办）（浙江）,,2,4800,4800,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,H125,安徽师范大学,H12503,03,145,05,心理学（师范炎；办学地点：赭山校区）,化学,2,5200,5200,priority_3_teacher,low_ocr_confidence,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,H125,安徽师范大学,H12505,05,145,10,地理科学（师范类：办学地点：花津校H127 安庆师范大学（公办）（安徽）,,2,5720,5720,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,H128,淮北师范大学,H12803,03,145,08,教育技术学（师范类；办学地点：滨湖校区）,不限,1,5200,5200,priority_3_teacher,,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,H133,宿州学院,H13301,01,146,05,食品科学与工程H135 淮南师范学院（公办）（安徽）,,57,4900,4900,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,K003,海南师范大学,K00311,11,201,23,教育技术学（师范类；办学地点：桂林洋校区）,不限,6,4620,4620,priority_3_teacher,,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,priority_review_queue_ocr_draft,师范类相关,未触发硬风险,未触发硬风险,,,K003,海南师范大学,K00311,11,201,26,金融学（师范类；办学地点：桂林洋校,,2,4620,4620,priority_3_teacher,missing_subject_candidate,否,否,needs_manual_pdf_review,false,回看第19期原PDF页；核专业组内全部专业；再判断是否可服从调剂
