来源期号,来源PDF_SHA256,来源页码,页面专业组数,页面专业明细数,页面院校数,页面结构异常数,页面高严重结构异常数,页面偏好专业明细数,页面风险专业明细数,页面候选池V1专业明细数,页面复核优先级,页面审计状态,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,56,13,55,3,26,19,7,8,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,57,25,66,5,12,4,8,7,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,58,11,84,3,20,3,9,14,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,59,14,55,3,12,6,11,25,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,60,15,41,7,20,13,7,16,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,61,9,37,3,12,7,11,19,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,62,13,35,5,17,10,8,24,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,63,10,45,4,19,13,9,17,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,64,10,35,5,14,11,9,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,65,7,45,1,5,1,5,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,66,11,56,1,3,0,21,1,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,67,11,47,2,9,3,8,13,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,68,15,61,2,17,9,10,16,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,69,12,84,3,18,3,12,27,10,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,70,11,67,2,21,15,9,14,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,71,11,72,3,14,2,12,19,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,72,19,70,3,12,5,16,26,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,73,10,80,2,15,2,24,7,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,74,17,81,3,26,7,9,10,21,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,75,18,88,3,27,3,14,13,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,76,14,89,2,15,1,11,21,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,77,10,81,2,8,3,9,32,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,78,18,81,4,17,4,24,28,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,79,21,78,3,13,2,20,18,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,80,11,77,2,17,1,16,11,33,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,81,17,64,7,14,6,20,16,2,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,82,12,92,3,48,37,19,9,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,83,5,60,2,17,12,11,3,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,84,10,67,4,32,17,17,3,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,85,7,60,3,20,9,13,5,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,86,13,84,3,56,41,13,16,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,87,12,93,4,19,6,18,11,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,88,10,94,4,67,50,13,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,89,9,99,4,39,18,22,19,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,90,15,95,5,55,38,18,14,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,91,7,82,3,32,15,26,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,92,15,74,8,29,21,13,7,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,93,15,46,10,27,16,9,17,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,94,17,70,9,27,22,11,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,95,17,68,5,50,34,8,29,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,96,18,63,8,29,18,16,13,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,97,21,64,10,46,39,11,16,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,98,13,78,5,36,27,12,16,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,99,17,55,2,14,7,4,32,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,100,28,39,3,15,8,5,19,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,101,26,46,12,19,10,17,22,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,102,17,55,7,20,17,10,12,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,103,14,58,7,16,6,10,8,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,104,25,68,11,30,20,8,17,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,105,11,48,5,17,6,6,7,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,106,14,92,4,24,9,5,2,0,P0-优先核页,有结构化记录待核页,按页回看第19期原PDF，核对该页专业组边界、专业代号、计划数、学费和选科。
