复核优先级,来源期号,来源PDF_SHA256,数据阶段,候选池学校专业组,候选专业组代码,机器初判,初判原因,硬风险类型,第19期全量OCR命中,第19期OCR页码,OCR专业行数,下一步
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安航空学院 K48703 第03组,K48703,默认排除,含中外合作/高收费或学费超过当前家庭上限,中外合作或高收费；学费超过当前上限,是,226,1,先复核
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安航空学院 K48704 第04组,K48704,默认排除,含中外合作/高收费或学费超过当前家庭上限,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,是,226,2,先复核
90,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,西安财经大学 K48504 第04组,K48504,默认排除,含中外合作/高收费或学费超过当前家庭上限,中外合作或高收费,是,226,1,先复核
80,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉体育学院 C10703 第03组,C10703,高风险暂缓,组内含需优先复核风险：医学/护理等排除方向,医学/护理等排除方向,是,69,10,先复核
80,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15003 第03组,C15003,高风险暂缓,组内含需优先复核风险：语种或单科限制,语种或单科限制,是,80,22,先复核
80,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉轻工大学 C12508 第08组,C12508,高风险暂缓,组内含需优先复核风险：医学/护理等排除方向,医学/护理等排除方向,是,74,21,先复核
60,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15004 第04组,C15004,可复核但字段不完整,OCR 字段存在缺失或非纯数字，需先回看原 PDF 页,,是,80,4,排队复核
60,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15005 第05组,C15005,可复核但字段不完整,OCR 字段存在缺失或非纯数字，需先回看原 PDF 页,,是,80,4,排队复核
60,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,武汉商学院 C15006 第06组,C15006,可复核但字段不完整,OCR 字段存在缺失或非纯数字，需先回看原 PDF 页,,是,80,3,排队复核
50,《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_workbench_ocr_draft,成都师范学院 K17903 第03组,K17903,可人工复核,未触发硬排除，但需确认组内全部专业接受度,,是,212,1,排队复核
