P0即时页列执行进度公开账本ID,来源P0即时页列核页执行队列,来源P0即时字段确认公开账本,来源私有字段确认工作台,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动回填候选,是否允许写回字段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,页列执行总序,来源页码,版面列,页码版面键,P0即时页列核页执行队列ID,P0即时按页核页包ID,页列核页优先级桶,页列核页优先级数值,包内字段任务数,包内专业行数,包内裁图证据数,包内需要双人复核任务数,包内高校辅证核验任务数,PDF原页私有记录已录数,PDF原页私有记录未录数,湖北官方私有记录已录数,湖北官方私有记录未录数,高校辅证应录数,高校辅证已录数,高校辅证未录数,字段确认私有记录已录数,字段确认私有记录未录数,双人复核应完成数,双人复核已完成数,双人复核未完成数,冲突阻断任务数,三方字段一致性可评估数,可进入字段写回复查数,PDF原页私有记录状态分布,湖北官方私有记录状态分布,高校辅证私有记录状态分布,双人复核公开状态分布,字段事实写回评估状态分布,页列执行进度桶,页列执行进度状态,私有字段确认工作台SHA256,字段确认公开账本ID集合SHA256,P0字段即时复核任务ID集合SHA256,PDF原页核页状态,湖北官方系统或省招办计划核验状态,字段事实写回状态,公开安全策略,下一步
P0PAGEPROG-14e27093db941676,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,33,64,right,064-right,P0PAGEEXEC-a9817cd2c4471975,P0PAGEPACK-6388da9159246517,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,49ad14cf7cf695340212c3831d03fe64b964ce1e853299b8130aa197e8fe6a20,b1ea837405a01dbe01a6a626ae101e5c01fae3f98243a2cbb7bd18d4ced55f23,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-561965398b6d2a78,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,34,68,right,068-right,P0PAGEEXEC-41f2a074a01afaee,P0PAGEPACK-4455fe0f414aa179,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,0d586048580675639c3abdd6b467a65aa77a31a651f8d2b9935f33a5edea0ae4,dc1312cd8b816fc586ed67642a64bc0350a39d3fd76b48065f65954b6a242f23,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-0a32265a4efa7541,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,35,92,left,092-left,P0PAGEEXEC-fcf56c6551eae5fd,P0PAGEPACK-26a5cd558a580adb,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,eb1e97fec748abfe279d1b53b8e82b8a61c267c026434005118ecd646516ef24,dc8fbabf6b8166b6c08654813972d2902862600866b7428df1970713d3f3195f,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-0e4415fa75569845,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,36,124,left,124-left,P0PAGEEXEC-6513e8b1fc2b4e5c,P0PAGEPACK-44e0f4b803dc7b3b,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,31ee0b212d461db0ca36d64c0d36783c26464f1747d4260e410d0c8e60d9ca6b,dd7487222caec514e887088dfbaa2b3e24951e619bb902dd10d2f0e5b741904d,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-d1c297e552fa39a4,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,37,139,left,139-left,P0PAGEEXEC-01032c0fc5b9620a,P0PAGEPACK-763162eb09350be8,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,eeb9e182c1bd3c490958124585f5324e8cabde1d079c443995683984b047f410,befcd11b812857700c29a2a5600c6123cfd0db76ce721ce49113d140608a2fb1,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-97b24839866acc6a,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,38,141,left,141-left,P0PAGEEXEC-c72e6d4ef5cb64a9,P0PAGEPACK-04f4656e48c4a57f,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,bc8d94ee7c6ff577b99b225d7d375633ec7867f7d7f9c29f30d5e4716fd87f1b,40eb8ab3e510ec6ee041eae37842a154c53d5bcda1f551f2922ed0b5c6c05f09,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-e47b8b083d434e07,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,39,165,left,165-left,P0PAGEEXEC-12d65a7e08533114,P0PAGEPACK-9602620a304566fa,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,1d354d523e9f504d9f7d2f2b8780caed909339f07ab865b4bd302cfa5a708cfc,82853a92bffa793680d172a1a930c64af6c951dd9c8411a75060b6e8bc8284bf,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-7994c07c5142ad8a,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,40,171,left,171-left,P0PAGEEXEC-dac1ce18af645eac,P0PAGEPACK-56831ba4e0d9ca82,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,8166b4f1d9dacdef13ef63616f59f1ca26566aefba7c6ee318ca226a13b82155,a2d425285579e9fcc84ac3737da8f1b19f8fed8142c682eba5a13a776817aa87,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-4844ab7431b9e641,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,41,190,right,190-right,P0PAGEEXEC-912216f81e43316a,P0PAGEPACK-2e7f2513e7418673,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,99f130895c36d2fa629fd70484b91490f705602b9cbd10092ee33718ab695563,e9876a7587014a3f540e973df6e3615bdbaed3324421294df64a73d573525917,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-3f472801a6b92913,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,42,198,right,198-right,P0PAGEEXEC-b13dbcbd1b3392b9,P0PAGEPACK-35fe3d15f48f59f9,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,23728e39c288999b67849071c742ec747515409980ce220706a27e7b426ce832,8472e528202582b3e1179e7cc46416aebcfdc833773b68c5871ac6c7198d0371,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-d423ec845d849a66,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,43,205,left,205-left,P0PAGEEXEC-510f092fe5853471,P0PAGEPACK-4bd062afa1c55fb7,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,06a8e0f1c21f3cca786240afbde22ae36c639e17b1e7bfd37351fab0c44fb501,1243bff19dc71f01f7e585a566c7e2d6daa11b2fec25778fcf513b5eeacfb331,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-d574b0101c435ef6,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,44,218,right,218-right,P0PAGEEXEC-c9cf7715392e147c,P0PAGEPACK-68e6f76d6068061c,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,2ab179b8b3d8d8b497b19549c6b4e9a3b0bd27d11f19268f12d971ecb01d5f11,dceb9137f6be6926cf6cc8972dd02d8febb441d02461657c0f7131445405299a,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-d63864491da03340,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,45,229,left,229-left,P0PAGEEXEC-3548bfc1065e6d83,P0PAGEPACK-3cc0bc6566d8da29,Q1-无稳定候选页列先核,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,pending_private_pdf_reading:1,pending_private_hubei_reading:1,not_applicable_no_school_field_clue:1,pending_double_review:1,blocked_until_required_private_readings_complete:1,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,846ccdb0f71a8c3c353a467e25b577a93e4d810a688fbc5a6b3f6f3758333398,95c42e4daa43e0bf78f352876c23d23491dd29c1bb648fca832c1a112655e54d,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-65e154874b1c5217,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,46,40,right,040-right,P0PAGEEXEC-ffcab6cc3e3998b2,P0PAGEPACK-469850ccb35a69e0,Q2-候选一致仍需官方闭环,2,4,4,4,4,0,0,4,0,4,0,0,0,0,4,4,0,4,0,0,0,pending_private_pdf_reading:4,pending_private_hubei_reading:4,not_applicable_no_school_field_clue:4,pending_double_review:4,blocked_until_required_private_readings_complete:4,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,182a7e827c3c0516cda3c2a353ccec4e9a9490a9761a1a9f172de4fd84c20555,4173fdd3839e0464379ac3f7ef938f5dba8e9485a9b2a19567b2e37a397e3c22,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-504ba12d6229deda,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,47,228,left,228-left,P0PAGEEXEC-ced0bd3c85aff4df,P0PAGEPACK-e71664187a496c51,Q2-候选一致仍需官方闭环,2,3,3,3,3,0,0,3,0,3,0,0,0,0,3,3,0,3,0,0,0,pending_private_pdf_reading:3,pending_private_hubei_reading:3,not_applicable_no_school_field_clue:3,pending_double_review:3,blocked_until_required_private_readings_complete:3,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,7b49b41f33b08cc27a701fa86fa44ba4f34d770d807aca62b26f4ad5e86ab5aa,f1e67072ecaad42d6fafe13d102287fda02e16c9906fd6b0c8dcdf085eb63927,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-6841d78cfaa87d16,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,48,38,right,038-right,P0PAGEEXEC-83b3117ceec3af8d,P0PAGEPACK-6421fa2e667802fa,Q2-候选一致仍需官方闭环,2,2,2,2,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,pending_private_pdf_reading:2,pending_private_hubei_reading:2,not_applicable_no_school_field_clue:2,pending_double_review:2,blocked_until_required_private_readings_complete:2,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,422c40d0fc8c668b9f443bf58ba67d17ec7b2765a05d8465bc755f6624c7cdad,d755887550a7e9689a0343b58a5be1f22687aad2f991401f0e80d4c87dc8a33e,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
P0PAGEPROG-2e24aa84f58ce0e7,data/working/issue19-p0-immediate-page-execution-queue.csv,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,private_field_confirmation_workbench_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_page_execution_progress_public_ledger,PDF页码×版面列,PDF页码×版面列×P0即时页列执行进度状态,false,false,false,false,false,false,false,49,82,right,082-right,P0PAGEEXEC-b1110d63b90e790a,P0PAGEPACK-965bf01174ef6df0,Q2-候选一致仍需官方闭环,2,2,2,2,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,0,0,pending_private_pdf_reading:2,pending_private_hubei_reading:2,not_applicable_no_school_field_clue:2,pending_double_review:2,blocked_until_required_private_readings_complete:2,R0-未开始PDF和湖北官方核验,pending_pdf_and_hubei_official_review,8e5eb1856051e7ec4a77e0535cacf8ff451efed93c43486d339c5789f1f4f3a6,f57c73a177eb98cb33b59867a38c12fc0f3b3e0d80b5852100226a19975e6d4a,ed35cc0519281a725949f506a804f00320c59365d67f4d9627a9be8743117846,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_required_private_readings_complete,只公开页列进度计数、状态、任务集合哈希和证据SHA；不公开候选内容、人工填写内容、OCR行文本、图片路径、院校名、专业名、专业代号或专业组代码。,先补 PDF 原页记录和湖北官方侧记录；如有高校辅证线索再补高校侧记录，完成双人复核后才允许进入字段写回复查。
