0明细占位ID,来源全量专业组OCR初稿,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,专业组标题行号,专业组标题OCR原文,OCR专业行数,是否缺失专业明细,是否真实招生明细,是否0明细占位,占位风险类型,缺失明细风险说明,是否可作为招生明细行,必须人工核PDF原页,必须湖北官方系统或省招办计划核验,机器能否自动补齐专业明细,下一步
ZERODETAIL-010700c78c3217f5,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-c30547149c4abdf7,F181,河北科技大学,F18122,100,right,193,F18122/河北科技大学第22组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-4387232b8ec8658f,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-a2165d7f171a81e9,F182,河北建筑工程学院,F18202,101,left,23,F18202河北建筑工程学院第 02组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-7edd5702c330a6fb,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-a01b098f10c9a00f,F189,保定学院,F18904,101,right,172,F18904/保定学院第 04组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-148ec53ef40f0f16,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-a568fd413bbc580a,F305,忻州师范学院,F30507,109,left,38,F30507 忻州师范学院第07组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-747761d0b19696f9,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-cde46bef349263d5,F308,吕梁学院,F30806,109,right,184,F30806 吕梁学院第 06组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-8c881f3fe3133930,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-f7e8aef55def133e,F471,大连工业大学,F47109,114,right,169,F47109 大连工业大学第 09组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-5736eb923e9b4eb7,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-3d92739f42b152d0,F472,沈阳建筑大学,F47202,114,right,194,F47202/沈阳建筑大学第 02组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-bb70e06867935a62,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-9c5dfb5e814d42de,F481,沈阳医学院,F48103,116,left,59,F48103/沈阳医学院第 03组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-c4e480d6d2cb210a,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-b63a82bac63044ee,F690,哈尔滨医科大学,F69007,126,left,23,F69007 哈尔滨医科大学第 07组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-58a4a20e0f6cbaec,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-efc0dd5598911b7a,H143,安徽艺术学院,H14302,147,left,22,H14302安徽艺术学院第02组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-161c3852a8f15f6f,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-612a0ae5b0f976f5,H173,安徽新华学院,H17301,147,left,25,H17301 安徽新华学院第01组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-d558c575e5157dff,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-e27f328c807da24e,H334,南昌师范学院,H33406,160,right,185,H33406 南昌师范学院第06组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-bbf9bbd4a6651e15,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-a231fd625382a782,H425,山东,H42511,166,left,45,H42511 山东第一医科大学第11组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-5ab14dd5ed00d3ef,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-3b8e6e592bbb25ed,H431,聊城大学,H43104,167,right,161,H43104 聊城大学第04组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-11ae4055ed48f949,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-62d83178f507b348,H486,齐鲁医药学院,H48604,170,left,66,H48604/齐鲁医药学院第04组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-f9598114b5b8554f,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-65d95fd96b3ef52e,H492,青岛黄海学院,H49201,170,right,196,H49201|青岛黄海学院第 01组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-162955ff5bbea934,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-01d03c00b802b0f3,H509,聊城大学东昌学院,H50902,171,left,56,H50902/聊城大学东昌学院第 02组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-35ec607c2bbc1997,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-916d833abbf68350,H577,河南城建学院,H57703,177,right,169,H57703 河南城建学院第03组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-c5dc7638ca306794,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-fa7d0fbc0c7487f9,H663,湖南中医药大学,H66304,180,right,196,H66304 湖南中医药大学第 04组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-96d87f2f5a03ec74,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-dbd7f61adb37fe62,H783,广州美术学院,H78302,188,left,65,H78302广州美术学院第02组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-f11f48dd4d5555c5,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-f443179a85816fbe,K118,重庆财经学院,K11803,207,right,134,K11803/ 重庆财经学院第03组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-6d2158f784de3ab2,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-fdffa18667bb1347,K224,绵阳城市学院,K22405,214,left,59,K22405 绵阳城市学院第05组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-3b7f33d0d3404d72,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-6abac0f46457f982,K257,贵州医科大学,K25706,215,left,71,K25706 贵州医科大学第06组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-b8a8f1d14ab7c9b5,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-9e9673a0ff9c69de,K270,贵州民族大学,K27003,216,left,58,K27003 贵州民族大学第03组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-9faee0a03957bb0a,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-609adb4ce95a4aba,K272,六盘水师范学院,K27202,216,left,81,K27202/六盘水师范学院第 02组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-a8c92a3080e6277c,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-71d70ba09b3e64a7,K274,贵州警察学院,K27402,216,right,185,【K27402 贵州警察学院第 02组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-1396a242fe904d17,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-f40dc73313b497be,K274,贵州警察学院,K27403,216,right,186,K27403 贵州警察学院第03组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-fc76d1fa70048206,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-7cfd1157fd3fc37a,K274,贵州警察学院,K27404,216,right,187,【K27404 贵州警察学院第 04组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-103aa4d197e59a69,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-47044d2f40d39868,K468,陕西科技大学,K46806,224,left,65,K46806 陕西科技大学第06组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-f467db32392325f9,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-242201e9d1bc0a48,K577,陇东学院,K57704,229,right,182,K57704 陇东学院第 04 组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
