事实准出页列汇总ID,来源事实准出门禁账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列汇总序号,页码版面键,来源页码,版面列,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,涉及任务数,涉及院校代码数,事实准出状态分布,事实准出阻断等级分布,事实类型分布,PDF待补事实数,湖北官方待补事实数,高校辅证待补事实数,冲突待处理事实数,双人复核待完成事实数,三方闭环待完成事实数,专业名归属待闭环事实数,专业组边界待闭环事实数,可进入私有写回评审事实数,事实集合SHA16,任务集合SHA16,院校代码集合SHA16,页列准出动作,公开安全策略
FCFACTRESPAGE-7a49e3a90213d8a4,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,21,102-left,102,left,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-专业计划数×1,2,2,0,0,1,2,0,1,0,e1c929bd28889199,8ae05f0f2e1cac11,761de3869be98128,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-22d38f2cb9b80476,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,22,109-left,109,left,15,14,0,1,8,1,blocked_double_review_pdf_hubei×2；blocked_manual_image_pdf_hubei×2；blocked_regular_pdf_hubei×10；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×2；G4-人工看图待完成×2；G6-常规PDF湖北官方闭环待完成×10,专业组边界事实×1；字段事实-专业计划数×8；字段事实-再选科目×2；字段事实-学费×4,15,15,10,0,2,15,0,1,0,ca9ee928e43a2526,3bb933eefdfbe31d,53ebdedba422190c,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-2fe31f8f7c0833de,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,23,135-left,135,left,22,21,0,1,10,1,blocked_w0_b0_core_pdf_hubei×22,G0-W0B0核心事实优先阻断×22,专业组边界事实×1；字段事实-专业计划数×10；字段事实-再选科目×1；字段事实-学费×10,22,22,21,22,22,22,0,1,0,b9997a61561ca9b5,4b5c932e832ca2fe,8920ff86c3af081e,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-4a81791738da8a88,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,24,135-right,135,right,8,4,3,1,3,1,blocked_manual_image_pdf_hubei×2；blocked_regular_pdf_hubei×2；blocked_structure_pdf_hubei×4,G2-结构事实PDF湖北官方先行×4；G4-人工看图待完成×2；G6-常规PDF湖北官方闭环待完成×2,专业名归属事实×3；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1；字段事实-待人工判定字段×2,8,8,0,0,0,8,3,1,0,da97f41ae748a1ab,d5b1dfe8be2afe4d,8920ff86c3af081e,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-870959cd38210971,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,25,137-left,137,left,5,4,0,1,2,1,blocked_double_review_pdf_hubei×1；blocked_regular_pdf_hubei×3；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1；G6-常规PDF湖北官方闭环待完成×3,专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×1；字段事实-学费×1,5,5,3,0,1,5,0,1,0,27622eab2374d378,af4d5f2b44d41379,573261a7e560eca8,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-14b8d8af7e604892,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,26,137-right,137,right,4,3,0,1,1,1,blocked_w0_b0_core_pdf_hubei×4,G0-W0B0核心事实优先阻断×4,专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,4,4,3,4,4,4,0,1,0,cef159c36a36333b,5ca8c98107449f25,67c655f4d9411562,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-eadd6c09a4933f3e,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,27,141-left,141,left,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-学费×1,2,2,0,0,1,2,0,1,0,6d000962804a7b23,8456ebe59668b16d,81d0516c6aeec304,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-670dd8fd3630cdb9,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,28,169-right,169,right,37,35,1,1,22,1,blocked_b0_companion_pdf_hubei×33；blocked_w0_b0_core_pdf_hubei×4,G0-W0B0核心事实优先阻断×4；G1-B0同页伴生事实阻断×33,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×22；字段事实-再选科目×1；字段事实-学费×12,37,37,23,37,12,37,1,1,0,5aa1793e9d49dbe9,f450896d976d918f,e33aa8070796cc4b,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-802cdb191c00122c,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,29,194-left,194,left,8,7,0,1,7,1,blocked_double_review_pdf_hubei×7；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×7,专业组边界事实×1；字段事实-专业计划数×7,8,8,0,0,7,8,0,1,0,f669578709ffaf75,d863a28d6b83c275,9404a186764f4c68,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-f236d4d82a7316c1,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,30,199-left,199,left,13,11,1,1,5,1,blocked_b0_companion_pdf_hubei×2；blocked_w0_b0_core_pdf_hubei×11,G0-W0B0核心事实优先阻断×11；G1-B0同页伴生事实阻断×2,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×4；字段事实-再选科目×3；字段事实-学费×4,13,13,9,13,11,13,1,1,0,abdbddc44f6fe8b0,35d5e9e75dc9c4b6,fb61c7c1175189cf,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-36e4a9241ca624bf,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,31,205-left,205,left,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-学费×1,2,2,0,0,1,2,0,1,0,8f9a26ce251bcf1e,eed634392a7f10ce,ffbb1621e8910f25,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-5b77311f3134fdd6,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,32,209-right,209,right,31,27,3,1,13,1,blocked_b0_companion_pdf_hubei×21；blocked_w0_b0_core_pdf_hubei×10,G0-W0B0核心事实优先阻断×10；G1-B0同页伴生事实阻断×21,专业名归属事实×3；专业组边界事实×1；字段事实-专业计划数×12；字段事实-再选科目×6；字段事实-学费×9,31,31,18,31,9,31,3,1,0,1980f09f4e49e694,2b6dac3f008ab633,a764f5f65a608731,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-73b0a25fb79c3ba0,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,33,226-left,226,left,80,78,1,1,39,2,blocked_b0_companion_pdf_hubei×75；blocked_w0_b0_core_pdf_hubei×5,G0-W0B0核心事实优先阻断×5；G1-B0同页伴生事实阻断×75,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×38；字段事实-再选科目×20；字段事实-学费×20,80,80,57,80,6,80,1,1,0,23a8c690fb8f2c1b,00ee5b0b21524c73,d1c755ba46cca36f,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-9458745b1415558a,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,34,226-right,226,right,9,8,0,1,4,1,blocked_b0_companion_pdf_hubei×2；blocked_w0_b0_core_pdf_hubei×7,G0-W0B0核心事实优先阻断×7；G1-B0同页伴生事实阻断×2,专业组边界事实×1；字段事实-专业计划数×4；字段事实-再选科目×2；字段事实-学费×2,9,9,6,9,3,9,0,1,0,8eb66ea92673a2ee,03906792757ef5d9,640082c04be96da9,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-8d18898b6158ec1d,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,35,228-left,228,left,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-专业计划数×1,2,2,0,0,1,2,0,1,0,70cd6ca4eca9acdb,f77477d05abdd5e2,bc2b80485378e010,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-b37cd355a198cdbc,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,36,235-left,235,left,8,5,2,1,2,1,blocked_regular_pdf_hubei×5；blocked_structure_pdf_hubei×3,G2-结构事实PDF湖北官方先行×3；G6-常规PDF湖北官方闭环待完成×5,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×1；字段事实-学费×2,8,8,0,0,0,8,2,1,0,237b315883ef5815,27a4c57ddf32279b,e266f95730db6cb1,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTRESPAGE-a12ffa466fd37c93,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_resolution_gate_v1,第一闭环事实准出页列汇总,PDF页码×版面列×事实准出门禁,false,false,false,false,false,false,false,false,false,37,235-right,235,right,2,1,0,1,1,1,blocked_double_review_pdf_hubei×1；blocked_structure_pdf_hubei×1,G2-结构事实PDF湖北官方先行×1；G3-双人复核待完成×1,专业组边界事实×1；字段事实-专业计划数×1,2,2,0,0,1,2,0,1,0,1c6ad2db39cdd1c3,9bd3bff993132c7d,e266f95730db6cb1,页列内事实仍缺PDF原页和湖北官方侧闭环；不得写回字段事实或生成推荐。,not_final；resolution_gate_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
