P0即时复核裁图证据索引ID,来源P0字段即时复核包,来源P0字段即时复核任务ID,来源P0字段三方核验任务ID,来源P0字段三方核验执行包ID,来源专业行原页证据锚点表,来源页级manifest,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动回填候选,是否允许写回字段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,即时复核总序,执行总序,执行批次,即时复核阶段,字段名,专业行ID,专业组出现ID,院校代码,来源页码,版面列,专业行原页证据锚点ID,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,私有OCR文本SHA256,私有窗口证据编号,窗口文本SHA256,窗口坐标摘要,机器候选状态,机器候选置信等级,高校官网辅证覆盖状态,机器候选与高校辅证关系,语义多源优先桶,是否需要双人复核,裁图证据编号,裁图文件SHA256,裁图规格SHA256,裁图字节数,裁图宽度px,裁图高度px,源页图宽度px,源页图高度px,裁图bbox归一化,裁图bbox像素,裁图坐标来源,裁图生成参数摘要,裁图生成状态,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,证据索引用途,下一步
P0CROPINDEX-fe8eb41d10380c55,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-3d66e5a2176f6c48,P0TRIAGE-106f97f8c8381992,P0TRIAGEPACK-497e4f0224309816,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,27,27,EXEC-02-计划数偏大重点核页,IR-01-冲突异常和偏大先核,专业计划数,M-cede91c23834594c,G-eb361e46dcd7452e,K541,228,left,PDFANCHOR-2f401d4effa1f20d,page-228,8354b79db115b694cb25cfbd96dc6dac5f6b3a5277bd01910847f93d75aa3e6e,228_page-228,6f8e8f438a72e152fcb77d62df54ad61def90c32c415ac2a7a542639b9807ab8,PDFANCHOR-2f401d4effa1f20d,684ec095d529d883986395c7edc12ba661c8c1ad2dcf0237137a8566577fc966,x=0.104478-0.466951;y=0.781977-0.742648,P0C1-单一坐标候选待人工核验,medium,no_b0b1_school_sidecar,R0-无高校官网辅证行,S5-机器候选偏大重点核页,true,P0CROP-0abc905bd2ee9c3b,8920efcebc4b9203ebd81620119ddcd5a393040db30706a431d81a1cfd714306,87dfb12ea51548eb5118bf4ef8a2a2e19e6f215fae469d450248d0dea95b7abc,288275,848,268,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.707648-0.816977,x=72-920;y=448-716,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,pending_school_official_or_charter_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-74f5ca280635f169,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-23089992e82cf764,P0TRIAGE-6072c8323ef4fdcc,P0TRIAGEPACK-c2508b008a573bb1,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,28,28,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-93d6111287b31e95,G-2432826275c85956,A033,18,left,PDFANCHOR-1b8f8e93f080c1b3,page-018,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,018_page-018,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,PDFANCHOR-1b8f8e93f080c1b3,d1b6dd41b405bbf9660228be6ff35177bf57165d7b8120c48c02094f12c4b2a8,x=0.098081-0.513860;y=0.710612-0.681539,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-584ae82a14e2cf24,149a507d9799c1ce461aadf4bfa6cef8cb57ba7557ab678f092cc6dfdc3f3f86,2410d6c8b00b7841fd89de3f9ee3eb3e96ffa8521aac6f6ff6ef400fc5760a07,256891,848,243,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.646539-0.745612,x=72-920;y=623-866,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-675149b5fe781860,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-38e3c8e517ab55b2,P0TRIAGE-cffe47ada1dd63ed,P0TRIAGEPACK-c2508b008a573bb1,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,29,29,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-d52b9b951aa3b3b1,G-2432826275c85956,A033,18,left,PDFANCHOR-809d80a2559fc34e,page-018,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,018_page-018,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,PDFANCHOR-809d80a2559fc34e,396eb5fd80ed6a887bb2ddbdb2398199b1a5ff14596363a228cb17121400a9f3,x=0.098081-0.513860;y=0.710612-0.642416,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-ce5891fa4122fa59,39a59f96aaa4938747bb626f87a0f5e58062ab6b537c1a438899a6b879be4841,e089e70dde50f3ad8574e950e89d27fea2ce07436ae3f8bea532823c7d3ee9a6,343009,848,338,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.607416-0.745612,x=72-920;y=623-961,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-2947cbdf8d9523bd,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-c1618a3444a364cc,P0TRIAGE-4619f6d9a1cdae1c,P0TRIAGEPACK-c2508b008a573bb1,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,30,30,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-f588b8040b4edb64,G-2432826275c85956,A033,18,left,PDFANCHOR-38e5089d24f69cd1,page-018,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,018_page-018,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,PDFANCHOR-38e5089d24f69cd1,b6e3d9a496b86ac92fc86e7dc04ad9ea316bc1f465cdbb6dfdd0905ac44c6e2f,x=0.098081-0.513859;y=0.710612-0.655456,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-9e6b6b07f375727c,eec40e1de90125b20b3698da1e88d28688afb5a2e6f4d9785be0e9d718cbe17c,c00b394381eecc2a03d1ffe01f2a48907184a9a3269fb94374fbe9abea08fdd1,310494,848,307,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.620456-0.745612,x=72-920;y=623-930,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-411de65e279d2e9d,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-e77ef30b155d9894,P0TRIAGE-163e1a3111ef358e,P0TRIAGEPACK-c2508b008a573bb1,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,31,31,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-fddc2e8a1a4582a1,G-2432826275c85956,A033,18,left,PDFANCHOR-6988ef7f50a555e2,page-018,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,018_page-018,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,PDFANCHOR-6988ef7f50a555e2,bcee758f2b78a14ab62f0f8806eae2178def5e51458c669fce2e7bed2bc7c172,x=0.098081-0.513860;y=0.710612-0.629361,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-682f8b86be0c0394,0c20c8fce94a53e0de36e433a19863f054f1aa7231d2fd30ea2a87f552483eab,4fdd3a66a3da303b67c0797981b925877b788291d5e6ead7a18756595a605fc7,390189,848,382,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.589640-0.745612,x=72-920;y=623-1005,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-8a32a480a19a3f27,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-5adfbf54130f3f04,P0TRIAGE-48ec865e55afa1b3,P0TRIAGEPACK-c2508b008a573bb1,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,32,32,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,18,left,PDFANCHOR-2a8b613f2fd5c5e5,page-018,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,018_page-018,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,PDFANCHOR-2a8b613f2fd5c5e5,3c9add63a1d7fc07c570f7073dbf11bf3c54e5957ec9cd03ae0b03405623cf42,x=0.098081-0.511750;y=0.774694-0.745605,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-2f291ef3451fc71b,48bdccf63e4a43c266844c4d191fd64fa3a4a0efa8ca30f9bdb352db69574c10,5f90301018f92eb6820b4264fee43adc129a7ca65bbe9130bf5cc116bbd1e227,247990,848,243,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.710605-0.809694,x=72-920;y=466-709,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-a5869fa65eb13b1d,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-0d1745c876ed0bac,P0TRIAGE-dff35cd9a658e33b,P0TRIAGEPACK-84ed7d745f8a0745,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,33,33,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-0331ffd1db7621d2,G-399026bbf2fbbc18,A195,56,left,PDFANCHOR-b032226c87ec251c,page-056,7e678674f04d3caffbdb708e4f1d763c325bcd9497a03cd60b650e1d31cf32b5,056_page-056,9b0eb1f04a449850b963b9e54618c81f8381a7741cf36c9060205a21b50310cc,PDFANCHOR-b032226c87ec251c,b452e3c06b6bdde4594dbfe7016ece57339b39eb01e25e604a5db9c9b6097153,x=0.102345-0.511727;y=0.222384-0.101481,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-b2977d4112f2d3db,d81eab6627f0f328709cb1a500d282641c6e6fdd047549ed1a826f3c9c477c08,0d1188c1a42ff1b3d28f206cd47d7186942882e7b72e411526baf68229341d0d,481956,848,467,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.066481-0.257384,x=72-920;y=1819-2286,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-10513d4996984d2a,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-5176fde32d540be6,P0TRIAGE-683e794139565301,P0TRIAGEPACK-84ed7d745f8a0745,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,34,34,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-294c46ae6cb755d6,G-399026bbf2fbbc18,A195,56,left,PDFANCHOR-7b86237f067177fb,page-056,7e678674f04d3caffbdb708e4f1d763c325bcd9497a03cd60b650e1d31cf32b5,056_page-056,9b0eb1f04a449850b963b9e54618c81f8381a7741cf36c9060205a21b50310cc,PDFANCHOR-7b86237f067177fb,c5c2a3dd43071ca149712b4fd32ec5c8ea4a88cba71b24634dc535bff70f882f,x=0.102345-0.509595;y=0.222384-0.193199,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-828b246e49627ba8,39aea89da7ab45d8cae82d236009b16e07c00580dde4873135d8e6f9c2691144,1072aece65c732de59fff1fc682f2d65ba4619dde2043a358d9b9046acc37c77,250551,848,257,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.152140-0.257384,x=72-920;y=1819-2076,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-5598818d6c4e5bee,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-30a31a952f6483d3,P0TRIAGE-c15ec2b3dd396105,P0TRIAGEPACK-84ed7d745f8a0745,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,35,35,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-928c8c7935f8e9d2,G-399026bbf2fbbc18,A195,56,left,PDFANCHOR-763feb549b9ac96d,page-056,7e678674f04d3caffbdb708e4f1d763c325bcd9497a03cd60b650e1d31cf32b5,056_page-056,9b0eb1f04a449850b963b9e54618c81f8381a7741cf36c9060205a21b50310cc,PDFANCHOR-763feb549b9ac96d,73c5859ca4017f18084fbede1a263515f718f69080af4824a5f102dd6e7ccb6f,x=0.102345-0.509595;y=0.222384-0.159808,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-e8f181e8e8e02eac,5374dd284885757d4c214398dab1061027da072678a5878754f39c65821c2d1e,8af7d51e1091ce324d900dd2aff428c838477fda01d9e832ce3edf3bddce3082,316559,848,324,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.124808-0.257384,x=72-920;y=1819-2143,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-2dff25c9319204b6,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-1f87ada540a33dac,P0TRIAGE-643ddb7bdd1440ba,P0TRIAGEPACK-7be7217f05417e03,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,36,36,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,学费,M-68b3c87f68237d40,G-37268c0379be16ef,H945,199,left,PDFANCHOR-9d7afc622e08947c,page-199,04a13d07b958a2165704e51511b21dd8118c1335395644eb673a1f635a140903,199_page-199,2ae6fc4cdede1ac2acb60fa71836d17c1e43d420f4e29bff25a05f11f53a114c,PDFANCHOR-9d7afc622e08947c,022a9fa1484d18a2f1d216b3597c5be9916ee8489c27c582b045a7f2a0ddaf67,x=0.066381-0.477516;y=0.719477-0.676829,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-c4cc1f1b7b1e80d6,01a206123fdf82b71e7a799d34cf4dd3c71a3d4ddc0606051d976a2345301594,ca52321c12d97764ac03ec8fb0d3c166cae64b38e5326b62f817ec38e64c0212,305499,848,277,1667,2459,x=0.043000-0.552000;y_bottom_origin=0.641829-0.754477,x=72-920;y=604-881,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-28b2de4708e16333,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-bbf579a7c6fbf33b,P0TRIAGE-97d8f9430e9524fc,P0TRIAGEPACK-20f3d9ce2c1fe02d,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,37,37,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-3875a60b6b22b3fa,G-01338c1d774310d5,K486,226,left,PDFANCHOR-f7188dd0f0460bad,page-226,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226,45fefb3ba866c44d30fb0a050453d4a27945f5cff66e1a3f0bb336155eb42a97,PDFANCHOR-f7188dd0f0460bad,d87542fa449eab48ef3508c84dd320f102daf59ec6d7ab45c5ffa11847bcb7a8,x=0.100213-0.509595;y=0.523256-0.222359,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-5922367fb7127a9b,cc0923591dee9fd6dcc1e5edef02ab9d9fd8d8b6457fe733d0e335149d09bf5d,a72df65e134169dbba018faaaa53905f50f507c7a2f8de4b1bf6655b189f24a3,941569,848,923,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.181209-0.558256,x=72-920;y=1082-2005,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
P0CROPINDEX-210176e9431118d6,data/working/issue19-field-fact-p0-immediate-review-packet.csv,P0IMMEDIATE-793e24352f2bb2f6,P0TRIAGE-536beffb2b897ff3,P0TRIAGEPACK-20f3d9ce2c1fe02d,data/working/issue19-major-line-pdf-evidence-anchors.csv,data/working/issue19-page-manifest.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_p0_immediate_pdf_crop_evidence_index,逐专业招生明细,逐专业招生明细×P0字段×即时复核裁图证据,false,false,false,false,false,false,false,38,38,EXEC-03-高校辅证线索三方核验,IR-02-高校辅证线索先核,专业计划数,M-59f2fe4937c929af,G-01338c1d774310d5,K486,226,left,PDFANCHOR-de5d0bf3cef6e3b5,page-226,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226,45fefb3ba866c44d30fb0a050453d4a27945f5cff66e1a3f0bb336155eb42a97,PDFANCHOR-de5d0bf3cef6e3b5,64e04a043715c5eb3fff56dcccb2adb213d2e6929ff8dc22737b7f124652a554,x=0.100213-0.507463;y=0.523256-0.460735,P0C1-单一坐标候选待人工核验,medium,has_b0b1_school_sidecar,R4-机器候选与高校辅证字段一致,S3-机器与高校辅证一致优先核PDF和湖北官方,false,P0CROP-3fb0819c4c38e775,0c41d0133a5a5c7788f4d28c312200aacf4dacf8020c82ffabf85c7f9b7cd8d7,6d17aa0f6b1aeb585d0fc0ddf84a094b2880a983b34cba43b241d937288a11f0,350010,848,336,1667,2449,x=0.043000-0.552000;y_bottom_origin=0.420837-0.558256,x=72-920;y=1082-1418,window_and_candidate_coordinates,render_dpi=120;mode=side_context;coord_y_origin=bottom;vertical_margin=0.035;x_margin=0.012,local_crop_generated_hash_recorded,pending_pdf_manual_review,pending_hubei_official_plan_review,school_sidecar_field_value_available_pending_pdf_and_hubei_review,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,仅用于定位和复验PDF原页裁图；不提供字段读数，不代表字段事实完成核验。,人工回看裁图和PDF原页，再与湖北官方系统或省招办计划、高校官网或章程做三方闭环。
