来源期号,来源PDF_SHA256,数据阶段,候选池学校专业组,候选专业组代码,第19期全量OCR命中,候选复核页码,同校第19期OCR专业组,同校第19期OCR页码,OCR专业行数,机器初判,硬风险类型,核验状态,下一步
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,西安航空学院 K48704 第04组,K48704,是,226,K48701；K48702；K48703；K48704,226,2,默认排除,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,西安医学院 K48805 第05组,K48805,是,226,K48804；K48805；K48806；K48807,226,1,默认排除,医学/护理等排除方向,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,西安医学院 K48804 第04组,K48804,是,226,K48804；K48805；K48806；K48807,226,1,默认排除,语种或单科限制,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,成都医学院 K17802 第02组,K17802,是,212,K17801；K17802,212,1,默认排除,体检或色觉限制；医学/护理等排除方向,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,成都医学院 K17801 第01组,K17801,是,212,K17801；K17802,212,1,默认排除,体检或色觉限制；医学/护理等排除方向,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,成都师范学院 K17903 第03组,K17903,是,212,K17903；K17904；K17905；K17906；K17907；K17908,212；213,1,可人工复核,,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,成都理工大学 K15123 第23组,K15123,否,208；209,K15107；K15108；K15109；K15110；K15111；K15112；K15113；K15114；K15115；K15116；K15117；K15118,208；209,0,待定位,,needs_original_page_or_code_change_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,西安建筑科技大学 K46505 第05组,K46505,是,223,K46504；K46505；K46506；K46507,223,1,默认排除,中外合作或高收费；学费超过当前上限,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,西安财经大学 K48504 第04组,K48504,是,226,K48502；K48503；K48504,226,1,默认排除,中外合作或高收费,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_review_page_packet,北京语言大学 A03208 第08组,A03208,是,17,A03206；A03207；A03208；A03209,17,1,默认排除,中外合作或高收费,needs_manual_pdf_review,打开私有页图和页面OCR文本，逐字段核对候选专业组及同校相邻专业组
