第一闭环证据仲裁页列汇总ID,来源第一闭环证据仲裁表,来源第一闭环核验结果页列汇总,来源G0字段W0W1候选分层页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,页码版面键,来源页码,版面列,第一闭环任务数,G0命中任务数,G0字段事实数,G0缺口任务数,G0当前可并行通道数,G0前置阻断通道数,G0待PDF原页记录数,G0待湖北官方记录数,G0待高校辅证核验数,G0待冲突处理数,G0待双人复核数,G0待三方一致性数,G0待字段确认数,G0待写回评审数,任务结果桶分布,PDF原页状态分布,OCR提示状态分布,高校官网辅证状态分布,冲突状态分布,证据准出阶段分布,G0候选分层分布,页列最小核验动作,页列任务集合SHA256,页列G0事实集合SHA256,页列G0缺口任务集合SHA256,公开安全策略
FIRST-ADJ-PAGE-45c8c696bfbe1677,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,11,053-right,53,right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,d50f1d6657cd1231118b8b50c39084ba7662d81c5ca7ca4561d544dd808cf492,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-fe7f94adab196fee,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,12,056-left,56,left,16,1,3,21,9,12,3,3,3,3,0,3,3,3,R0-冲突优先双人核PDF原页和湖北官方侧:1；R1-高校补缺线索回PDF原页:6；R2-机器坐标辅助核PDF原页:5；R3-无稳定候选需人工看图:3；R4-PDFOCR候选人工确认:1,P0-有冲突线索，PDF原页优先人工核验:1；P1-有机器坐标提示，仍待PDF原页人工核验:5；P2-有PDFOCR提示，仍待PDF原页人工确认:7；P3-无稳定OCR提示，需人工看PDF原页:3,O0-PDFOCR与高校辅证冲突:1；O2-高校有线索但PDFOCR缺候选:6；O3-仅PDFOCR候选待人工核页:1；O4-无PDFOCR但有机器坐标提示:5；O5-无公开OCR候选提示:3,S0-无高校字段线索，本任务高校辅证不适用:1；S1-有高校辅证线索或自动官网任务，待私有辅证记录:15,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧:1；C1-高校补缺线索，PDF原页缺候选需人工看图:6；C3-仅PDFOCR候选，需人工核页:1；C4-无可比候选，需人工看图或随页列闭环:8,A0-G0候选冲突阻断准出:1；A3-非G0本轮子集但仍待第一闭环:15,C0-双侧候选冲突优先核:1；C2-仅PDFOCR候选需补辅证:1；C3-仅高校辅证候选需核原页:1,优先处理G0 W0/W1冲突字段。,ac13f973e8d2688d720e1084d53693724f90cbcf731326d7bc59f45753886a03,ccc68dec5bf1524a8756c951425127a28c342c77268cbfd73f47e0a73e644af7,691ec6316111b9db54843df8bba2e49746f6043fc2fd0cad53b8e1ae0f6f145e,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-e26bf5bbcb320073,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,13,057-left,57,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R4-PDFOCR候选人工确认:1,P2-有PDFOCR提示，仍待PDF原页人工确认:1,O3-仅PDFOCR候选待人工核页:1,S1-有高校辅证线索或自动官网任务，待私有辅证记录:1,C3-仅PDFOCR候选，需人工核页:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,caa6b829247f35e8b22e21b4aeb2021d0e045c0e32690bd92f8ecc441081a698,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-96111f066e66037c,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,14,070-left,70,left,2,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1；R4-PDFOCR候选人工确认:1,P1-有机器坐标提示，仍待PDF原页人工核验:1；P2-有PDFOCR提示，仍待PDF原页人工确认:1,O3-仅PDFOCR候选待人工核页:1；O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1；S1-有高校辅证线索或自动官网任务，待私有辅证记录:1,C3-仅PDFOCR候选，需人工核页:1；C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:2,,按第一闭环总看板继续核页。,61a3066d1bd9c08c19d332fd5db3a7790ad4b51b7e13f0280fd039561fcc2681,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-443102201fe59d81,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,15,070-right,70,right,11,0,0,0,0,0,0,0,0,0,0,0,0,0,R4-PDFOCR候选人工确认:11,P2-有PDFOCR提示，仍待PDF原页人工确认:11,O3-仅PDFOCR候选待人工核页:11,S1-有高校辅证线索或自动官网任务，待私有辅证记录:11,C3-仅PDFOCR候选，需人工核页:11,A3-非G0本轮子集但仍待第一闭环:11,,按第一闭环总看板继续核页。,66906d8e06e1c43874bda7baf868cb2170fb3c4d69784832dc2757ff1a7fa5f1,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-361a07adde944e6b,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,16,080-right,80,right,18,0,0,0,0,0,0,0,0,0,0,0,0,0,R3-无稳定候选需人工看图:17；R4-PDFOCR候选人工确认:1,P2-有PDFOCR提示，仍待PDF原页人工确认:1；P3-无稳定OCR提示，需人工看PDF原页:17,O3-仅PDFOCR候选待人工核页:1；O5-无公开OCR候选提示:17,S1-有高校辅证线索或自动官网任务，待私有辅证记录:18,C3-仅PDFOCR候选，需人工核页:1；C4-无可比候选，需人工看图或随页列闭环:17,A3-非G0本轮子集但仍待第一闭环:18,,按第一闭环总看板继续核页。,96336b4476f5d65653381cca93615880845493f2cecb9f320ab069dbbb1e145a,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-230ae1dd4373b496,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,17,081-left,81,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R4-PDFOCR候选人工确认:1,P2-有PDFOCR提示，仍待PDF原页人工确认:1,O3-仅PDFOCR候选待人工核页:1,S1-有高校辅证线索或自动官网任务，待私有辅证记录:1,C3-仅PDFOCR候选，需人工核页:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,e98fe92f2fbf49dfce55d1fdd713ccd596a69869608689de03e27870efafce86,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-45195899933a9fdd,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,18,082-right,82,right,2,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:2,P1-有机器坐标提示，仍待PDF原页人工核验:2,O4-无PDFOCR但有机器坐标提示:2,S0-无高校字段线索，本任务高校辅证不适用:2,C4-无可比候选，需人工看图或随页列闭环:2,A3-非G0本轮子集但仍待第一闭环:2,,按第一闭环总看板继续核页。,d59198ef8552d94b37c0b0d88ce12240858ba7c3d2d999c991a6b5b9bd556ebf,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-f33cd5db586e011d,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,19,093-left,93,left,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R2-机器坐标辅助核PDF原页:1,P1-有机器坐标提示，仍待PDF原页人工核验:1,O4-无PDFOCR但有机器坐标提示:1,S0-无高校字段线索，本任务高校辅证不适用:1,C4-无可比候选，需人工看图或随页列闭环:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,ae2df87d63bcf9d18a1466312ae8d71cadc92cad4e35cefa4731ac490055b51e,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
FIRST-ADJ-PAGE-3078cca0bdc1d1d9,data/working/issue19-first-closure-evidence-adjudication-board-v1-public-ledger.csv,data/working/issue19-first-closure-verification-result-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-w0-w1-candidate-triage-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_evidence_adjudication_board_v1,PDF页码×版面列,37页列叠加G0 W0/W1字段事实准出状态,false,false,false,false,false,false,false,false,20,096-right,96,right,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R4-PDFOCR候选人工确认:1,P2-有PDFOCR提示，仍待PDF原页人工确认:1,O3-仅PDFOCR候选待人工核页:1,S1-有高校辅证线索或自动官网任务，待私有辅证记录:1,C3-仅PDFOCR候选，需人工核页:1,A3-非G0本轮子集但仍待第一闭环:1,,按第一闭环总看板继续核页。,952f2610c4fdd1ef9ac5d7250c9065727b3d64fc3f2d57bae08eff7253e22bf5,,,页列汇总只公开状态分布、数量和SHA；不公开敏感明细或学校专业文本。
