G0冲突字段补证缺口任务公开账本ID,来源G0冲突字段补证闭环结果公开账本,来源G0冲突字段补证闭环结果页列汇总,来源G0冲突字段补证闭环结果摘要,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,缺口任务序号,证据通道序号,证据通道,证据通道类型,证据通道执行层级,证据缺口任务状态,是否当前可并行执行,当前通道状态,当前阻断桶,G0冲突字段补证闭环结果公开账本ID,G0冲突字段补证执行项公开账本ID,G0冲突字段补证执行包公开账本ID,G0冲突字段准出门禁公开账本ID,G0冲突字段复核Overlay公开账本ID,G0冲突动作包闭环工作台ID,高校源字段回接队列ID,W0B0执行预填明细公开审计ID,第一闭环事实范围缺口公开账本ID,第一闭环字段事实公开账本ID,第一闭环字段核验状态ID,稳定基座第一闭环明细任务ID,页码版面键,来源页码,版面列,专业行ID,专业组出现ID,院校代码,事实域,事实类型,字段名,补证执行优先级,补证执行泳道,回接泳道,回接批次,字段事实状态,字段核验优先级,PDFOCR与高校辅证关系桶,是否有PDFOCR提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,PDF原页记录缺口,湖北官方记录缺口,高校辅证记录缺口,冲突处理缺口,双人复核缺口,三方一致性缺口,字段确认缺口,写回评审缺口,必要证据缺口数,私有字段复核记录证据编号,私有字段复核记录SHA256,私有页列CSV证据编号,私有页列CSV_SHA256,私有核页HTML证据编号,私有核页HTML_SHA256,当前私有页列CSV记录SHA256,下一步缺口处理动作,公开安全策略
G0FIELDGAPTASK-8fc66b182f271002,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,143,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,pending_primary_evidence_collection,true,school_source_seed_present_pending_manual_review,G2b-高校辅证种子待人工核验,G0FIELDCLOSURE-b6b8e8e37fa63e1b,G0FIELDEXECITEM-f72dd8f660b1c58a,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-ebdf21e880c80c0a,G0FIELDPUB-ea34098e9b1d2107,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-50fcbd1cde7943e7,W0B0EXEITEM-94574eb0d886c87e,FIRSTSCOPE-e4964e5da2943b52,FIRSTFACT-bf41213f26357d30,FIRSTFIELDSTATUS-57de7c8b566ea8f1,FIRSTDETAIL-0e930ca33ab1b3b9,135-left,135,left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-9f8d0ce4096b3ffd,8b329bd98b113975466c6bb06140cca0863226a087427c8a43a7828a21eae8b2,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,00860f4184e34b05eb7a622f6314e78a771739fefde9e458ea792afbfa7cd35e,把高校侧线索人工核验为证据记录；仅作double check，不替代湖北官方计划。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-6d22db58097e8245,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,144,04,冲突处理,冲突解释和处理,E3-冲突处理,blocked_until_primary_evidence_present,false,pending_conflict_resolution,G3-冲突未处理,G0FIELDCLOSURE-b6b8e8e37fa63e1b,G0FIELDEXECITEM-f72dd8f660b1c58a,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-ebdf21e880c80c0a,G0FIELDPUB-ea34098e9b1d2107,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-50fcbd1cde7943e7,W0B0EXEITEM-94574eb0d886c87e,FIRSTSCOPE-e4964e5da2943b52,FIRSTFACT-bf41213f26357d30,FIRSTFIELDSTATUS-57de7c8b566ea8f1,FIRSTDETAIL-0e930ca33ab1b3b9,135-left,135,left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-9f8d0ce4096b3ffd,8b329bd98b113975466c6bb06140cca0863226a087427c8a43a7828a21eae8b2,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,00860f4184e34b05eb7a622f6314e78a771739fefde9e458ea792afbfa7cd35e,在PDF原页、湖北官方侧和高校辅证记录齐备后处理冲突方向。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-b2106c14ccac82e4,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,145,05,双人复核,双人复核,E3-双人复核,pending_double_review,true,pending_double_review,G4-双人复核未完成,G0FIELDCLOSURE-b6b8e8e37fa63e1b,G0FIELDEXECITEM-f72dd8f660b1c58a,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-ebdf21e880c80c0a,G0FIELDPUB-ea34098e9b1d2107,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-50fcbd1cde7943e7,W0B0EXEITEM-94574eb0d886c87e,FIRSTSCOPE-e4964e5da2943b52,FIRSTFACT-bf41213f26357d30,FIRSTFIELDSTATUS-57de7c8b566ea8f1,FIRSTDETAIL-0e930ca33ab1b3b9,135-left,135,left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-9f8d0ce4096b3ffd,8b329bd98b113975466c6bb06140cca0863226a087427c8a43a7828a21eae8b2,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,00860f4184e34b05eb7a622f6314e78a771739fefde9e458ea792afbfa7cd35e,需要双人复核的字段先完成A/B复核和一致性结论；未完成前不得写回。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-775b98e90dc3693b,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,146,06,三方一致性闭环,PDF/湖北官方/高校辅证三方闭环,E4-三方一致性闭环,blocked_until_primary_evidence_present,false,blocked_missing_pdf,G5-三方一致性未闭环,G0FIELDCLOSURE-b6b8e8e37fa63e1b,G0FIELDEXECITEM-f72dd8f660b1c58a,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-ebdf21e880c80c0a,G0FIELDPUB-ea34098e9b1d2107,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-50fcbd1cde7943e7,W0B0EXEITEM-94574eb0d886c87e,FIRSTSCOPE-e4964e5da2943b52,FIRSTFACT-bf41213f26357d30,FIRSTFIELDSTATUS-57de7c8b566ea8f1,FIRSTDETAIL-0e930ca33ab1b3b9,135-left,135,left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-9f8d0ce4096b3ffd,8b329bd98b113975466c6bb06140cca0863226a087427c8a43a7828a21eae8b2,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,00860f4184e34b05eb7a622f6314e78a771739fefde9e458ea792afbfa7cd35e,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后再做三方一致性闭环。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-a433b92ecb704b64,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,147,07,字段确认,字段确认,E5-字段确认,blocked_until_three_way_closure,false,blocked,G6-字段确认未填写,G0FIELDCLOSURE-b6b8e8e37fa63e1b,G0FIELDEXECITEM-f72dd8f660b1c58a,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-ebdf21e880c80c0a,G0FIELDPUB-ea34098e9b1d2107,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-50fcbd1cde7943e7,W0B0EXEITEM-94574eb0d886c87e,FIRSTSCOPE-e4964e5da2943b52,FIRSTFACT-bf41213f26357d30,FIRSTFIELDSTATUS-57de7c8b566ea8f1,FIRSTDETAIL-0e930ca33ab1b3b9,135-left,135,left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-9f8d0ce4096b3ffd,8b329bd98b113975466c6bb06140cca0863226a087427c8a43a7828a21eae8b2,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,00860f4184e34b05eb7a622f6314e78a771739fefde9e458ea792afbfa7cd35e,三方闭环后在私有材料中填写字段确认；公开层仍不保存字段记录。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-6fd7d63fc02b8526,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,148,08,写回评审,字段写回评审,E6-写回评审,blocked_until_field_confirmation,false,blocked_until_required_evidence_closed,G7-写回评审建议未填写,G0FIELDCLOSURE-b6b8e8e37fa63e1b,G0FIELDEXECITEM-f72dd8f660b1c58a,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-ebdf21e880c80c0a,G0FIELDPUB-ea34098e9b1d2107,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-50fcbd1cde7943e7,W0B0EXEITEM-94574eb0d886c87e,FIRSTSCOPE-e4964e5da2943b52,FIRSTFACT-bf41213f26357d30,FIRSTFIELDSTATUS-57de7c8b566ea8f1,FIRSTDETAIL-0e930ca33ab1b3b9,135-left,135,left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-9f8d0ce4096b3ffd,8b329bd98b113975466c6bb06140cca0863226a087427c8a43a7828a21eae8b2,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,00860f4184e34b05eb7a622f6314e78a771739fefde9e458ea792afbfa7cd35e,字段确认完成后进入私有写回评审；通过评审前仍不得写回或推荐。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-ff3c905babe11e61,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,149,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,pending_primary_evidence_collection,true,pending_pdf_page_review,G0-缺PDF原页记录,G0FIELDCLOSURE-4df8350cd32b1d12,G0FIELDEXECITEM-90a65d0574f84689,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-2befca8e43a43b0e,G0FIELDPUB-eeb424bcb926e702,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-db5e19de0de489b8,W0B0EXEITEM-288daf9fd713b4e1,FIRSTSCOPE-8f0a5623d7488bf8,FIRSTFACT-ad0e20aac0166fee,FIRSTFIELDSTATUS-14407717a7491af2,FIRSTDETAIL-202127380ebfe86a,135-left,135,left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-385e5a3d4bb53430,16d210cd759d9e3ff46f0994c752a9a4bbb5f7b179546a594eade3e1712be869,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,c3d63a6604f2fd6ba92874c8fa620249b2f4721322210a7e22eb2c828cc80efc,在本地未公开页列材料中补齐PDF原页记录；未补齐前不得写回字段事实。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-59e0dfa18438783d,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,150,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,pending_primary_evidence_collection,true,pending_hubei_official_plan_review,G1-缺湖北官方记录,G0FIELDCLOSURE-4df8350cd32b1d12,G0FIELDEXECITEM-90a65d0574f84689,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-2befca8e43a43b0e,G0FIELDPUB-eeb424bcb926e702,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-db5e19de0de489b8,W0B0EXEITEM-288daf9fd713b4e1,FIRSTSCOPE-8f0a5623d7488bf8,FIRSTFACT-ad0e20aac0166fee,FIRSTFIELDSTATUS-14407717a7491af2,FIRSTDETAIL-202127380ebfe86a,135-left,135,left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-385e5a3d4bb53430,16d210cd759d9e3ff46f0994c752a9a4bbb5f7b179546a594eade3e1712be869,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,c3d63a6604f2fd6ba92874c8fa620249b2f4721322210a7e22eb2c828cc80efc,补齐湖北官方系统或省招办计划侧记录；高校官网不得替代湖北官方计划。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-38020993eae0dd53,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,151,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,pending_primary_evidence_collection,true,school_source_seed_present_pending_manual_review,G2b-高校辅证种子待人工核验,G0FIELDCLOSURE-4df8350cd32b1d12,G0FIELDEXECITEM-90a65d0574f84689,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-2befca8e43a43b0e,G0FIELDPUB-eeb424bcb926e702,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-db5e19de0de489b8,W0B0EXEITEM-288daf9fd713b4e1,FIRSTSCOPE-8f0a5623d7488bf8,FIRSTFACT-ad0e20aac0166fee,FIRSTFIELDSTATUS-14407717a7491af2,FIRSTDETAIL-202127380ebfe86a,135-left,135,left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-385e5a3d4bb53430,16d210cd759d9e3ff46f0994c752a9a4bbb5f7b179546a594eade3e1712be869,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,c3d63a6604f2fd6ba92874c8fa620249b2f4721322210a7e22eb2c828cc80efc,把高校侧线索人工核验为证据记录；仅作double check，不替代湖北官方计划。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPTASK-dea70fa9ba2ad1d9,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-summary.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口任务,字段事实×证据缺口通道,false,false,false,false,false,false,false,false,false,152,04,冲突处理,冲突解释和处理,E3-冲突处理,blocked_until_primary_evidence_present,false,pending_conflict_resolution,G3-冲突未处理,G0FIELDCLOSURE-4df8350cd32b1d12,G0FIELDEXECITEM-90a65d0574f84689,G0FIELDEXECPACKET-4697a3731544bca9,G0FIELDGATE-2befca8e43a43b0e,G0FIELDPUB-eeb424bcb926e702,FCG0PKGCLOSE-b037afca4c680852,W0B0FIELDLINK-db5e19de0de489b8,W0B0EXEITEM-288daf9fd713b4e1,FIRSTSCOPE-8f0a5623d7488bf8,FIRSTFACT-ad0e20aac0166fee,FIRSTFIELDSTATUS-14407717a7491af2,FIRSTDETAIL-202127380ebfe86a,135-left,135,left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,专业计划数,P0-含双人复核缺口页列,R0-冲突字段双人核页优先,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,R0-PDFOCR与高校辅证存在冲突,true,true,true,true,true,true,true,true,true,true,true,true,true,8,G0FIELD-PRIVATE-G0FIELDPRIV-385e5a3d4bb53430,16d210cd759d9e3ff46f0994c752a9a4bbb5f7b179546a594eade3e1712be869,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,c3d63a6604f2fd6ba92874c8fa620249b2f4721322210a7e22eb2c828cc80efc,在PDF原页、湖北官方侧和高校辅证记录齐备后处理冲突方向。,公开层只保存ID、状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
