next20官网源探测ID,来源next20执行表,来源live补源账本,来源C4C6复用审计账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,最终可用,可进入下一阶段,是否可作为定稿依据,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行建议序号,院校代码,院校名称,机会优先级,机会类型,官网辅证自动动作,涉及招生明细数,涉及专业组数,官网源探测层级,官网源类型,官方URL,本地公开来源文件,本地公开来源文件集合SHA256,结构化湖北相关行数,结构化湖北物理行数,结构化计划数合计,可核字段公开摘要,字段局限公开摘要,已有C4C6计划数一致候选数,已有C4C6官网可补OCR计划数候选数,已有C4C6计划数冲突候选数,已有live补源结论,已有live湖北物理计划状态,当前自动判断,下一步自动动作,人工最小核验动作,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源刷新状态,字段事实写回状态,公开安全策略
NEXT20PROBE-11-H450,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,11,H450,山东工商学院,P0-立即处理,O0-冲突优先回页核验,C4-已有部分来源需补结构化或补湖北行,19,2,S0-已有官网PDF抽取湖北物理结构化源,official_pdf_extracted,https://zs.sdtbu.edu.cn/info/2018/6284.htm,data/external/issue19-b0-b1-official-sources/sdtbu-2026-plan-page.html；data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf；data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,cf095b1456f4cc7fa4c39d75848ef0fc3d9997d0ab6dd2679edb7e58bb8e3468,24,24,61,专业名；科类；湖北计划数；总计划数,由PDF网格和OCR联合抽取；未给湖北院校专业组代码、专业代号和校区。,5,1,2,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-12-A032,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,12,A032,北京语言大学,P0-立即处理,O0-冲突优先回页核验,C4-已有部分来源需补结构化或补湖北行,11,3,S0-已有官方API湖北物理结构化源,official_ajax_json,http://lqcx.blcu.edu.cn/f/ajax_zsjh,data/external/issue19-c4-c6-official-sources/blcu-2026-hubei-physics-normal.json,177801249849c9c9cf724874ce44372740011443747101b05f41c23eb5badf9f,14,14,34,年份；省份；科类；批次；专业代号；专业名；计划数；学制；学费；校区；选科,高校API未给湖北院校专业组代码；仍需对齐省招办组边界。,0,0,0,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-13-F902,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,13,F902,江苏理工学院,P0-立即处理,O0-冲突优先回页核验,C0-冲突先核PDF原页和湖北官方系统,10,1,S0-已有官方图片转录湖北物理结构化源,official_image_extracted,http://zs.jstu.edu.cn/5639/list.htm；https://mp.weixin.qq.com/s/-GH34DZnqSgWapAiTmokfg,data/external/issue19-b0-b1-official-sources/jsut-zs-home-2026-plan-links.html；data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv；图片类证据文件已留存但公开账本隐藏路径×1,f6bce8e4ab4c81c009a2933398932c881ff265b995c440c32987c69df5318b7d,15,15,0,专业名；科类；学制；学费；计划数,图片转录未给湖北院校专业组代码和专业代号；冲突包需双人核页。,0,1,1,招生网招生动态页可见官方发布的2026省外本科招生计划微信文章入口；当前环境未能读取微信正文明细,招生网可证2026省外计划入口存在，但未自动取得湖北物理专业+人数明细,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-14-K179,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,14,K179,成都师范学院,P0-立即处理,O3-高收益缺源学校优先补源,C6-继续搜索高校官网2026湖北计划源,6,6,S3-仅招生工作入口，未取得结构化计划,official_entry_only,https://www.cdnu.edu.cn/zjc/zsgz.htm；https://www.cdnu.edu.cn/,data/external/issue19-school-source-live-20260629/cdnu-zsgz-entry-20260629.html,a59e28d491358f26280bedeb78a4b2d291979001d33efe77c7f453556876b537,0,0,0,仅有招生工作入口,未取得2026湖北物理专业和人数明细。,0,0,0,已留存主站招生工作入口；未找到2026湖北物理专业+人数明细,未取得2026湖北物理本科普通批计划,仍需继续找2026湖北物理类分省分专业计划源,继续解析官方入口、XLSX/PDF/API或图片；不能迁移外省计划。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-15-K487,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,15,K487,西安航空学院,P0-立即处理,O3-高收益缺源学校优先补源,C6-继续搜索高校官网2026湖北计划源,6,4,S0-已有官网PDF抽取湖北物理结构化源,official_pdf_extracted,https://zb.xaau.edu.cn/info/1039/2831.htm,data/external/issue19-school-source-live-20260629/xaau-2026-undergraduate-plan-page.html；data/external/issue19-school-source-live-20260629/xaau-2026-province-major-plan.pdf；data/external/issue19-school-source-live-20260629/xaau-2026-hubei-physics-plan-extracted.csv,ca282150c17c642e86c58fbf2038e729ebfb9476d59f7bb805a86d6fb5713f65,6,6,15,专业代号；专业名；科类；湖北计划数；官网总计划数,第19期K487存在OCR串读线索；必须回原页和湖北官方侧。,0,0,0,已取得高校官网2026本科招生计划页和高清PDF,官网PDF抽取湖北物理/理工类6条合计15人；第19期K487计划数字段均待原页核验,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-16-H450,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,16,H450,山东工商学院,P0-立即处理,O1-官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,10,1,S0-已有官网PDF抽取湖北物理结构化源,official_pdf_extracted,https://zs.sdtbu.edu.cn/info/2018/6284.htm,data/external/issue19-b0-b1-official-sources/sdtbu-2026-plan-page.html；data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf；data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,cf095b1456f4cc7fa4c39d75848ef0fc3d9997d0ab6dd2679edb7e58bb8e3468,24,24,61,专业名；科类；湖北计划数；总计划数,由PDF网格和OCR联合抽取；未给湖北院校专业组代码、专业代号和校区。,5,1,2,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-17-H775,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,17,H775,韶关学院,P0-立即处理,O3-高收益缺源学校优先补源,C6-继续搜索高校官网2026湖北计划源,5,5,S4-官网访问失败，未取得结构化计划,official_site_unreachable,https://zs.sgu.edu.cn/,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,无,招生域名HTTPS访问失败；需换网络、人工打开或回第19期原页和湖北官方侧。,0,0,0,招生域名HTTPS访问失败；未找到可读的2026湖北计划官网页,未取得2026湖北物理本科普通批计划,仍需继续找2026湖北物理类分省分专业计划源,继续解析官方入口、XLSX/PDF/API或图片；不能迁移外省计划。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-18-A033,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,18,A033,中国传媒大学,P0-立即处理,O1-官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,8,2,S0-已有官方API湖北物理结构化源,official_ajax_json,https://zszx.cuc.edu.cn/f/ajax_zsjh,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,620766e230b5cde2d89fe86447f6cfd7391c2dc562430349938c3623be27e584,14,14,34,年份；省份；科类；批次；专业组线索；专业代号；专业名；计划数；学制；学费；校区；选科,高校API给校内组名线索，但仍需湖北院校专业组代码和第19期原页闭环。,3,2,0,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-19-C108,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,19,C108,江汉大学,P0-立即处理,O2-官网专业名未匹配先补规则,C7-官网源未匹配专业需人工确认专业名,12,2,S0-已有官方API湖北物理结构化源,official_zsdata_json,https://zsdata.jhun.edu.cn/zsdata/lqxx/#/,data/external/issue19-b0-b1-official-sources/jhun-2026-hubei-physics-normal-lqxx2.json；data/external/issue19-b0-b1-official-sources/jhun-zsdata-index.html,1b0419d23e718aa8c4fc7bf83770464ba0cf153d6a9934a1abeaa35532d513c0,51,51,1495,年份；省份；科类；批次；专业名；计划数；学制；校区；备注,高校API未给湖北院校专业组代码边界；仍需第19期原页和湖北官方侧对齐。,37,0,1,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
NEXT20PROBE-20-H001,data/exports/issue19-data-foundation-next-execution-v1-school-source-next20.csv,data/working/issue19-school-source-live-20260629-ledger.csv,data/working/issue19-c4-c6-retained-source-reuse-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_school_source_next20_official_probe_public_ledger,next20高校侧辅证任务×官方源探测状态,false,false,false,false,false,false,false,false,20,H001,杭州电子科技大学,P0-立即处理,O0-冲突优先回页核验,C4-已有部分来源需补结构化或补湖北行,9,4,S0-已有官方XLSX湖北物理结构化源,official_xlsx_physics_rows,杭州电子科技大学官网2026湖北计划页留存,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan-page.html；data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,ff2ca7a6332afa660a52bcce13b46709384f4e8037a56688868c13a0be6fe1ea,21,21,57,省份；专业名；学制；科类；批次；选科；计划数；就学地点,XLSX未给湖北院校专业组代码；仍需第19期原页和湖北官方侧。,6,1,1,,,已有结构化高校侧辅证，可进入候选diff和核页优先级判断,把高校侧结构化源接入候选diff；冲突和补缺只作为核页提示。,若进入候选组，逐组核第19期原页、湖北官方侧、招生章程、完整调剂范围。,pending_manual_pdf_review,pending_hubei_official_review,school_source_probe_not_verified,blocked_until_pdf_hubei_official_review,公开层只保存学校级URL、公开来源相对路径、计数、状态和门禁；不保存逐专业字段值、截图、OCR原文、登录态或复核正文。
