第一闭环事实核验包ID,来源第一闭环事实范围缺口账本,来源第一闭环下一步动作矩阵,来源第一闭环页列下一步动作汇总,来源第一闭环公开证据地图,来源第一闭环页列证据汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,核验包序号,核验波次,核验泳道,稳定基座第一闭环页列包ID,第一闭环页列下一步动作ID,第一闭环公开证据地图ID,第一闭环页列证据状态汇总ID,来源页码,版面列,页码版面键,页列主阻断,执行泳道,页列优先级,事实范围总数,字段事实数,专业名归属事实数,专业组边界事实数,专业计划数字段事实数,学费字段事实数,再选科目字段事实数,待人工判定字段事实数,第一闭环任务数,涉及专业行数,涉及院校代码数,N0冲突双人核页任务数,N1高校补缺回页任务数,N2机器坐标辅助核页任务数,N3无候选人工看图任务数,N4PDFOCR候选确认任务数,N5多源一致待官核任务数,PDFOCR提示任务数,PDFOCR无候选任务数,机器坐标提示任务数,高校辅证线索任务数,PDFOCR与高校辅证冲突任务数,需要人工直接看图任务数,需要双人复核任务数,事实需人工看图数,事实需双人复核数,事实缺口桶分布,事实类型分布,核验动作层级分布,高校源可用性分布,页列建议下一步动作,人工最小核验动作,包完成条件,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,事实范围集合SHA256,任务ID集合SHA256,专业行ID集合SHA256,院校代码集合SHA256,公开安全策略
FIRSTFACTPKT-c1c96d86254873cc,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,11,W1-专业名归属优先,先核专业行归属和专业组边界，再进入字段事实判断。,FIRSTPAGE-6bd94b5fb0abfec4,FIRSTNEXTPAGE-95d8e5466933ec5d,FIRSTEVIDMAP-e715e4c059a05a0e,FIRSTEVIDPAGE-6bd94b5fb0abfec4,80,right,080-right,B1-缺PDFOCR候选需人工看图,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,38,19,18,1,1,1,17,0,18,18,1,0,0,0,17,1,0,1,17,0,0,0,17,17,35,34,G0-关键字段待闭环×19；G1-专业名归属待闭环×18；G2-专业组边界待闭环×1,专业名归属事实×18；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×17；字段事实-学费×1,N3-无稳定候选人工看图×17；N4-PDFOCR候选人工确认×1,S0-同校暂无可复用高校侧计划源×18,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,先核专业行归属和专业组边界，再进入字段事实判断。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,2ee32baa3bebf6bb708023cee8b0601e09cc6f0b546be38b8b30d546595a0ed3,b88cbc7c0a8041651b2c71ecf0b990d6ceb80c02fba7fc3493d51bedfbcef6e6,7054f44d7a0171e604377e7c5d0960aa4d2f9756d0d94d6db6b01bc6a4f59174,f0d53abbf1e2b5c36b121aa62c77df50c17b517fac52f5ece98d6f497d46ef4e,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-d16dd44223f0c3c3,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,12,W1-专业名归属优先,先核专业行归属和专业组边界，再进入字段事实判断。,FIRSTPAGE-65f75a1a3c92b9b3,FIRSTNEXTPAGE-959fc838f7e4e17f,FIRSTEVIDMAP-46ed05594f9dbd2a,FIRSTEVIDPAGE-65f75a1a3c92b9b3,70,left,070-left,B2-机器坐标候选辅助核页,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,4,2,1,1,1,0,1,0,2,2,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,G0-关键字段待闭环×2；G1-专业名归属待闭环×1；G2-专业组边界待闭环×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1,N2-机器坐标辅助核PDF原页×1；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×2,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,先核专业行归属和专业组边界，再进入字段事实判断。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,725d359a251d2193443dce751efda19aa217a4619654355c98acb48efa4cc09e,4d3edfee1e74ceda05e0486accdef6ba0d92996d96727bba46146139e6f77535,33e0352746154fab6aa40579435cdc8f8ead86a42809cc55a0de88748439ef5c,9fd3efd1c6e4aa5c82c747354bfb07a3881316e296fa575535ef53faf586d1e9,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-1b0a57f6f91c7e56,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,13,W1-专业名归属优先,先核专业行归属和专业组边界，再进入字段事实判断。,FIRSTPAGE-4c8c5f6279a32c04,FIRSTNEXTPAGE-35bdc41c13c6ef1f,FIRSTEVIDMAP-1789a3ec2276271f,FIRSTEVIDPAGE-4c8c5f6279a32c04,70,right,070-right,B3-仅PDFOCR候选待人工确认,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,31,19,11,1,7,11,1,0,11,11,1,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,G0-关键字段待闭环×19；G1-专业名归属待闭环×11；G2-专业组边界待闭环×1,专业名归属事实×11；专业组边界事实×1；字段事实-专业计划数×7；字段事实-再选科目×1；字段事实-学费×11,N4-PDFOCR候选人工确认×11,S3-同校已有结构化或diff线索可作核页提示×11,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,先核专业行归属和专业组边界，再进入字段事实判断。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,94e2c5a6d9047e6ba54ca94172c4aa808be97a7f7f5fec696298ec99d5f65779,361dcd0eb0b9fc64704c2d780a825a4aba93be9dd4e0fbc62b78a125e3f87532,9653fb20d443d3dc5850f68be12e4c28255e05f9a047aa015f7be43d95393641,9fd3efd1c6e4aa5c82c747354bfb07a3881316e296fa575535ef53faf586d1e9,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-a7ae9436ed0571b0,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,14,W1-专业名归属优先,先核专业行归属和专业组边界，再进入字段事实判断。,FIRSTPAGE-6f905e62249f58a5,FIRSTNEXTPAGE-71735b208e1f49e5,FIRSTEVIDMAP-40f1e0636a4a6bce,FIRSTEVIDPAGE-6f905e62249f58a5,135,right,135-right,B1-缺PDFOCR候选需人工看图,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,8,4,3,1,1,1,0,2,3,3,1,0,0,0,2,1,0,1,2,0,0,0,2,0,5,0,G0-关键字段待闭环×4；G1-专业名归属待闭环×3；G2-专业组边界待闭环×1,专业名归属事实×3；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1；字段事实-待人工判定字段×2,N3-无稳定候选人工看图×2；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×3,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,先核专业行归属和专业组边界，再进入字段事实判断。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b36946cda7d97450aa962975db2c305a24edce8889feaf7ad883342a20fcaef1,d5b1dfe8be2afe4dc8b78d987a1a28945b970665aef181a4de8b8097fcfa1d08,803142ec4b7aef2795c52b6b9bb2fe56fd5902907f707e36b4a8844d44c405e5,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-0d067d3da73b948b,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,15,W1-专业名归属优先,先核专业行归属和专业组边界，再进入字段事实判断。,FIRSTPAGE-9a59e69a09baeb3c,FIRSTNEXTPAGE-2e750acd6f62ee5c,FIRSTEVIDMAP-b6219f290da98450,FIRSTEVIDPAGE-9a59e69a09baeb3c,235,left,235-left,B3-仅PDFOCR候选待人工确认,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,8,5,2,1,2,2,1,0,2,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,G0-关键字段待闭环×5；G1-专业名归属待闭环×2；G2-专业组边界待闭环×1,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×1；字段事实-学费×2,N4-PDFOCR候选人工确认×2,S3-同校已有结构化或diff线索可作核页提示×2,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,先核专业行归属和专业组边界，再进入字段事实判断。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,4502b09b9f9124bb1398c21cbad8fc50a7be38326c9513f7139dabbd698c9dc4,27a4c57ddf32279beedc8e907d62500afecdf46c0ee411f59776b052237aad7b,fc8e06f9473620e57d30e4bea9e21b9d2a714e64a1eebe3f9de7313a7fdd7c5f,e266f95730db6cb1d9364b0cdec6079c205d1229ca0a541eec5312e38981d5a7,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-3e4fa67af4108dd6,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,16,W1-专业名归属优先,先核专业行归属和专业组边界，再进入字段事实判断。,FIRSTPAGE-71c8a1c59d84716c,FIRSTNEXTPAGE-cd8b57889081d67e,FIRSTEVIDMAP-d26d5121c9e218ad,FIRSTEVIDPAGE-71c8a1c59d84716c,36,right,036-right,B3-仅PDFOCR候选待人工确认,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,4,2,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,G0-关键字段待闭环×2；G1-专业名归属待闭环×1；G2-专业组边界待闭环×1,专业名归属事实×1；专业组边界事实×1；字段事实-再选科目×1；字段事实-学费×1,N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×1,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,先核专业行归属和专业组边界，再进入字段事实判断。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,5ad10f2d2cfdfab0d02905dec004d717a2e62e93f647882f1f2dda68b18e0be7,8fdede619281e7cec7924bc0d60188ef0306f6779900ee34a74f2382618dcf7e,ac036c02f48f7d5b3662893807c0b30d2d2a0a73abcadd55952e09ed29830dd6,acbf576b6b2a67d79cd21bd54556e64a32e9d6281b673929b0d3c1bc08ff8b8f,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-60bd8ba7aaacbcda,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,17,W1-专业名归属优先,先核专业行归属和专业组边界，再进入字段事实判断。,FIRSTPAGE-45d30b827811919c,FIRSTNEXTPAGE-4100003d7eb20f07,FIRSTEVIDMAP-75d229ba3338d933,FIRSTEVIDPAGE-45d30b827811919c,57,left,057-left,B3-仅PDFOCR候选待人工确认,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,4,2,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,G0-关键字段待闭环×2；G1-专业名归属待闭环×1；G2-专业组边界待闭环×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×1,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,先核专业行归属和专业组边界，再进入字段事实判断。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,3796bd1d4b74fe57e9550bb67da27d1fd72ccc94b9fbc552be98eee1b34010dc,caa6b829247f35e8b22e21b4aeb2021d0e045c0e32690bd92f8ecc441081a698,ead8ad89af4a89202f6a3e49af8a77a8ab544ce272823ded458375db870ed283,8f84db9a9b75369c510acd9141a2e09e112c162eb7cd7b0f09c2fe6979754a2f,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-44324c032496fc3e,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,18,W1-专业名归属优先,先核专业行归属和专业组边界，再进入字段事实判断。,FIRSTPAGE-93ec45e4e888f97d,FIRSTNEXTPAGE-67b71b11fd8f60e1,FIRSTEVIDMAP-6b24a36e859ae0eb,FIRSTEVIDPAGE-93ec45e4e888f97d,81,left,081-left,B3-仅PDFOCR候选待人工确认,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,4,2,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,G0-关键字段待闭环×2；G1-专业名归属待闭环×1；G2-专业组边界待闭环×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,N4-PDFOCR候选人工确认×1,S0-同校暂无可复用高校侧计划源×1,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,先核专业行归属和专业组边界，再进入字段事实判断。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,d7269a30b457dba2f168148b30f0e0e05ccd36e90293ddc4e57bc7fd81fadd5d,e98fe92f2fbf49dfce55d1fdd713ccd596a69869608689de03e27870efafce86,a860b790ee02b99b37c4ec2fe39543fa788a4556f4bbd448d2caaba02b1f6e50,f0d53abbf1e2b5c36b121aa62c77df50c17b517fac52f5ece98d6f497d46ef4e,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-6acb65e105327ca2,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,19,W1-专业名归属优先,先核专业行归属和专业组边界，再进入字段事实判断。,FIRSTPAGE-4a89eabd9dcaa967,FIRSTNEXTPAGE-ef3b230fc430bc8e,FIRSTEVIDMAP-659cb65cc46b72b9,FIRSTEVIDPAGE-4a89eabd9dcaa967,96,right,096-right,B3-仅PDFOCR候选待人工确认,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,3,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,G0-关键字段待闭环×1；G1-专业名归属待闭环×1；G2-专业组边界待闭环×1,专业名归属事实×1；专业组边界事实×1；字段事实-学费×1,N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×1,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,先核专业行归属和专业组边界，再进入字段事实判断。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,945d70d21c80f9f90202da064e56f6db86db0ad58f6bd3a66785e49a88b11596,952f2610c4fdd1ef9ac5d7250c9065727b3d64fc3f2d57bae08eff7253e22bf5,d1a6045fb010ccb0ae289a926ca2529c52e04312873a7c3098823b458ef8151c,4a75d61ffc9471532951aa82e812b8aa65916846cc35a91f10ef59f6fbb7d00c,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-3d2f396206477def,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,20,W2-缺候选人工看图,先人工看PDF原页补定位，再决定字段事实是否可进入三方闭环。,FIRSTPAGE-551d0b213dbd2529,FIRSTNEXTPAGE-45fcddffc83b0015,FIRSTEVIDMAP-107bab29f483ee91,FIRSTEVIDPAGE-551d0b213dbd2529,109,left,109-left,B1-缺PDFOCR候选需人工看图,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,15,14,0,1,8,4,2,0,8,4,1,0,0,0,4,0,4,4,4,0,4,0,4,2,5,2,G0-关键字段待闭环×14；G2-专业组边界待闭环×1,专业组边界事实×1；字段事实-专业计划数×8；字段事实-再选科目×2；字段事实-学费×4,N3-无稳定候选人工看图×4；N5-多源一致仍待湖北官方侧×4,S3-同校已有结构化或diff线索可作核页提示×8,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,先人工看PDF原页补定位，再决定字段事实是否可进入三方闭环。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,bdcd557558a56d9aad874c8e17080fab8ce2323f87327e92ea8e74e52e7d822f,3bb933eefdfbe31d668dfff35068a54f0f057ad822aed269b5bba121899df2e8,08dc9f70ba4d15bde35ca343821b5fd6f4a15679e9bb024e127f25b396667754,53ebdedba422190c1c998a7fdcfdece0535cdf2c06979ba65312ee54a0fbef8a,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-ce798af0c93c92ad,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,21,W2-缺候选人工看图,先人工看PDF原页补定位，再决定字段事实是否可进入三方闭环。,FIRSTPAGE-15ba87f70c7f53a2,FIRSTNEXTPAGE-44801f7d8c79abb4,FIRSTEVIDMAP-97271a7e746e843a,FIRSTEVIDPAGE-15ba87f70c7f53a2,137,left,137-left,B1-缺PDFOCR候选需人工看图,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,5,4,0,1,2,1,1,0,2,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,2,1,G0-关键字段待闭环×4；G2-专业组边界待闭环×1,专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×1；字段事实-学费×1,N1-高校补缺线索回PDF原页×1；N3-无稳定候选人工看图×1,S3-同校已有结构化或diff线索可作核页提示×2,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,先人工看PDF原页补定位，再决定字段事实是否可进入三方闭环。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b45b79a3205c7ffe0d291c11c752abae2b158a509e464c4b56fcd3b02809b724,af4d5f2b44d413793a06cf8fa7fc6bbe4cfbad931ed9f6b0e8ac0f6f48d39ebe,eabcde9f6c6e9cfda08f40902956921c78e4bda24fa696b8e02ca17d279c8966,573261a7e560eca866a3ed99128884257132d585765657ffd7232d5f32f683b7,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
