稳定基座第一闭环复核公开账本ID,来源第一闭环明细包,来源第一闭环页列包,来源页列底座公开核页进度账本,来源页列底座字段线索公开审计,来源页列底座人工复核Overlay公开账本,来源湖北官方公开入口状态快照,来源第一闭环私有复核材料,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,稳定基座第一闭环页列包ID,页列底座核验批次行ID,页列底座核页进度公开账本ID,页列底座字段线索公开审计ID,页列底座Overlay公开账本ID,来源页码,版面列,页码版面键,第一闭环页列优先级,第一闭环页列执行状态,第一闭环明细任务数,自动官网辅证任务数,P0人工字段任务数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,涉及专业行数,涉及字段任务数,是否含计划数冲突或补缺,是否需要双人复核,批次总序,批次ID,批次名称,批内页列序号,页列全局风险总序,综合风险优先级桶,页列首要核验动作,全量底座包内专业行数,全量底座包内字段任务数,OCR行数,OCR低置信度行数,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,私有OCR文本SHA256,私有第一闭环页列CSV证据编号,私有第一闭环页列CSV_SHA256,私有第一闭环页列HTML证据编号,私有第一闭环页列HTML_SHA256,私有第一闭环材料状态,Overlay进度桶,PDF原页记录已填字段数,湖北官方记录已填字段数,高校辅证记录已填字段数,字段最终记录已填字段数,三方一致性可评估字段数,首轮复核已填字段数,次轮复核已填字段数,复查结论已填字段数,第一闭环PDF原页完成任务数,第一闭环湖北官方完成任务数,第一闭环高校辅证完成任务数,第一闭环字段事实写回可进入任务数,官方公开计划页可定稿,数智平台可定稿,字段事实写回状态,公开安全策略,下一步
FIRSTREVIEW-6877343afbe11307,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-6877343afbe11307,PSFOUNDATIONBATCHROW-cf2ec39ddb720c04,PSFOUNDATIONPROG-7ebba63d1983fc0a,PSFIELDCLUE-7ebba63d1983fc0a,PSOVERLAYPROG-7ebba63d1983fc0a,40,right,040-right,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,1,0,1,0,0,0,1,0,0,1,1,true,true,17,PSFOUNDATIONBATCH-223da4493222f13e,第17批-页列底座核验,15,415,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,34,102,151,74,page-040,27fd7f973876c95cf16623bbf2c84b18765c51396d5ee89cb552d54b2f9907f9,040_page-040,8d2844b1e7e3ca7923bdfa4db72c7d9b081ca8279d822c8653ade4787d69e33e,first-closure-040-right-csv,b13ec5f26d30602dbd5292ea331822813ec393dd2eaddf10c028c249e88b8bbf,first-closure-040-right-html,ab2e0003f208a79112417c197965713ec8f98a0dd14f319e8f8fc0c9ce4616ae,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-cc413d4ed28b64a8,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-cc413d4ed28b64a8,PSFOUNDATIONBATCHROW-ee78686dde1faaa4,PSFOUNDATIONPROG-01f29e9ec96b5645,PSFIELDCLUE-01f29e9ec96b5645,PSOVERLAYPROG-01f29e9ec96b5645,43,left,043-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,1,0,1,0,0,0,1,0,0,1,1,true,true,13,PSFOUNDATIONBATCH-f981a0286f35f826,第13批-页列底座核验,22,322,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,31,93,138,75,page-043,6cf910bcb2079114eac92f46e510fc9d46751bde2773992136869d89a9848216,043_page-043,45f13e3e0f91a701309b5e778164c6cfd0165ccfd7a8b51f9388e094dc67b29c,first-closure-043-left-csv,bb896cb0de82a29d3199039d87a6ab89e66f7a3fb5b234e059a83c3f86d1d62f,first-closure-043-left-html,5509e94281347ba9fd4782f77f6caf4e342abc188730ab4400726919adc74ede,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-b1715d7e0fecab9a,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-b1715d7e0fecab9a,PSFOUNDATIONBATCHROW-b08ffec0e8e07308,PSFOUNDATIONPROG-857651960cf5687f,PSFIELDCLUE-857651960cf5687f,PSOVERLAYPROG-857651960cf5687f,53,right,053-right,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,1,0,1,0,0,0,1,0,0,1,1,true,true,12,PSFOUNDATIONBATCH-22ad499f1d05fe67,第12批-页列底座核验,4,279,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,21,63,127,73,page-053,456f4a85c05162755dbb1ae8671fe9f91cf9bf578f5ba7721a8e3c057604284b,053_page-053,04fc62dd68730ba7e918b57c9a7d2931afab76e766459e1dca014fd41df77a67,first-closure-053-right-csv,f70b8d8c12a4e16ee3101bacb65e1d8679dcf331bbc21d560bacc6937cb62f34,first-closure-053-right-html,1ad7232f60919840df40ed73c1341308f263d8355a1b9f6e0b9a78cd5f59ea50,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-b07fea137a292b98,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-b07fea137a292b98,PSFOUNDATIONBATCHROW-e4239e496d4506f3,PSFOUNDATIONPROG-bcd5c52b96a546bc,PSFIELDCLUE-bcd5c52b96a546bc,PSOVERLAYPROG-bcd5c52b96a546bc,93,left,093-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,1,0,1,0,0,0,1,0,0,1,1,true,true,14,PSFOUNDATIONBATCH-cc2acd639d1e2946,第14批-页列底座核验,20,345,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,21,63,129,77,page-093,93bffc68e348f752482eda714dd886e982d0a3935b749d6607c333b0c18f14a0,093_page-093,261c15e10e62ca9443e62fce9cc36aca7f83830a085d631778e0b11cb370edfb,first-closure-093-left-csv,7cb54a1a4f5b8f95638be97026e645bd265dccb4961200367ccf222bb137decf,first-closure-093-left-html,ffa617e7ea4b20e16bc2475df033099504639a67708e128e4e84cdad596bba31,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-a766473a37caa4de,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-a766473a37caa4de,PSFOUNDATIONBATCHROW-9478fe4d09bfc679,PSFOUNDATIONPROG-4de1a2243eb4d415,PSFIELDCLUE-4de1a2243eb4d415,PSOVERLAYPROG-4de1a2243eb4d415,141,left,141-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,1,0,1,0,0,0,1,0,0,1,1,true,true,13,PSFOUNDATIONBATCH-f981a0286f35f826,第13批-页列底座核验,11,311,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,28,84,139,77,page-141,22182c55e2db4678755153c2a0ed3cb41cee018fa8c82047daecdfb5b8dddf1c,141_page-141,94f874410d026387cecd147b47d4e6f0549193af2988136a9a02cb6018c18ab0,first-closure-141-left-csv,6a02e5d4aad83cbf33eb0bb41eed5c934ae6135e87d2e678c25063e78409239d,first-closure-141-left-html,45820c8f8ba3399f4016a10cc434d0ce350e89a4ef185b963f220a321501a102,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-44afa6d6e4d84e5a,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-44afa6d6e4d84e5a,PSFOUNDATIONBATCHROW-736ebf4b3c23720c,PSFOUNDATIONPROG-912fa0a319c7e79b,PSFIELDCLUE-912fa0a319c7e79b,PSOVERLAYPROG-912fa0a319c7e79b,205,left,205-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,1,0,1,0,0,0,1,0,0,1,1,true,true,6,PSFOUNDATIONBATCH-7d5be7027274369a,第06批-页列底座核验,4,129,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,32,96,151,91,page-205,b89e9405dbd6efc5b626a92bd1110b77f8195e746d404c9168660d2296be3481,205_page-205,7fe4f48f35c55a64d1999d37f6328acdc90b400b660b6fabeef66680ad6153ed,first-closure-205-left-csv,9eb6d939c8286f6bd270991ef25eb46247ebf527dc690519dc8d204a2ee650d0,first-closure-205-left-html,6d5e6874917a821081f60eccf685f3db7ba2e320c1f3dd04945f660523dff738,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-878b34b3141f5010,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-878b34b3141f5010,PSFOUNDATIONBATCHROW-bd978b7143af53c1,PSFOUNDATIONPROG-d58c134a34bec18f,PSFIELDCLUE-d58c134a34bec18f,PSOVERLAYPROG-d58c134a34bec18f,235,right,235-right,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,1,0,1,0,0,0,1,0,0,1,1,true,true,3,PSFOUNDATIONBATCH-624cbb5690223e09,第03批-页列底座核验,23,73,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,39,117,145,67,page-235,35dde950859ace5ee66fbede63cc6db980e73af80cc874be0e78cee08b6dafc0,235_page-235,9c6c8b614284932a95cdbed73246d2a036c49715d39169064f9b109cd505bf1e,first-closure-235-right-csv,8d24add9f9e00397aba790d766cc0ac09855c16e614c804c5bf2e08bfd5b1df4,first-closure-235-right-html,adcaa9f20c397145bb9c11b701244aaf253b7aeccef97d609ba85f7e011bc841,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-b55961124bc8610b,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-b55961124bc8610b,PSFOUNDATIONBATCHROW-4ae05bac4e37d560,PSFOUNDATIONPROG-97c72758f9c86c47,PSFIELDCLUE-97c72758f9c86c47,PSOVERLAYPROG-97c72758f9c86c47,226,left,226-left,Q1-补缺或计划数偏大页列先核,R0-私有复核材料已生成但未核页,39,20,19,0,19,1,0,0,19,20,19,true,true,5,PSFOUNDATIONBATCH-abae03899d272d2c,第05批-页列底座核验,7,107,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,34,102,153,73,page-226,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226,45fefb3ba866c44d30fb0a050453d4a27945f5cff66e1a3f0bb336155eb42a97,first-closure-226-left-csv,7345d98c1d0708be2cf5c24dd141580ea36b28c34b4b3738c093b80f4c002ee8,first-closure-226-left-html,1746ce9f2e5b4c5913211eafdae9f110013a85874a4b7081cddb611027ab2090,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-551d0b213dbd2529,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-551d0b213dbd2529,PSFOUNDATIONBATCHROW-c8308a01b1bfec01,PSFOUNDATIONPROG-11bbd348fcbf2706,PSFIELDCLUE-11bbd348fcbf2706,PSOVERLAYPROG-11bbd348fcbf2706,109,left,109-left,Q1-补缺或计划数偏大页列先核,R0-私有复核材料已生成但未核页,8,4,4,0,4,0,0,0,4,4,4,true,true,4,PSFOUNDATIONBATCH-57cdc99e66824607,第04批-页列底座核验,4,79,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,32,96,149,95,page-109,533edd540e60b82207ab620eebfe0228378dafe8f0faa4eb9d8e9a32c656f5ed,109_page-109,dda5ab96dfb245083f70f722239b426934d4da0592aec2d5ab1fda0307e670f9,first-closure-109-left-csv,83b62e3e4c1213ca52d3ad72cc882a55d2c08d1923e3c00773e5eaefd4fb9d7e,first-closure-109-left-html,229c11845f67b247fd4d5f8cfecab9acee48b2713c965786ef24a9939364e4d1,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-ed94df7696953cc5,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-ed94df7696953cc5,PSFOUNDATIONBATCHROW-709e5c7beeac44c8,PSFOUNDATIONPROG-11f2c0a9bd22c63a,PSFIELDCLUE-11f2c0a9bd22c63a,PSOVERLAYPROG-11f2c0a9bd22c63a,226,right,226-right,Q1-补缺或计划数偏大页列先核,R0-私有复核材料已生成但未核页,4,2,2,0,2,0,0,0,2,2,2,true,true,5,PSFOUNDATIONBATCH-abae03899d272d2c,第05批-页列底座核验,16,116,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,24,72,125,77,page-226,73ef360e7be622ca02a9ca899f1258fa97cafa1f495d4fe787929a8a75f042ab,226_page-226,45fefb3ba866c44d30fb0a050453d4a27945f5cff66e1a3f0bb336155eb42a97,first-closure-226-right-csv,33109f0093ab3e76404a85a10aee6187eab51f596b25297a0c6c98c71a4ef8f4,first-closure-226-right-html,4e5741a67b646aa0b75a2fca8e332929677fc60e47832cfa4f0bce9ecac0ea7a,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-38a317f5bf72d0ce,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-38a317f5bf72d0ce,PSFOUNDATIONBATCHROW-6a6f1e3221333696,PSFOUNDATIONPROG-4959074be111c7ca,PSFIELDCLUE-4959074be111c7ca,PSOVERLAYPROG-4959074be111c7ca,38,right,038-right,Q1-补缺或计划数偏大页列先核,R0-私有复核材料已生成但未核页,2,0,2,0,0,0,0,2,0,2,2,true,true,19,PSFOUNDATIONBATCH-a8226feff5cadb52,第19批-页列底座核验,5,455,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,30,90,131,60,page-038,e336306298258cea36730867530134573f62ab9cf9275fa752ca3e626bd61107,038_page-038,cde51d612a09e160aad4bee78cdf9beedf2afd1d88b1bad2bb8e14b8b54cbff4,first-closure-038-right-csv,d33ca55018c447ccfb203f2c44ce97223f1cf77eb9de69cef38ef5dfdc4af45a,first-closure-038-right-html,5760c40a65f37507754993c443f5521f80bef8e5f6db46b52e5a3888b93888d3,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-cfa201a8f79e7d0e,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-cfa201a8f79e7d0e,PSFOUNDATIONBATCHROW-a6b6c914f6fda518,PSFOUNDATIONPROG-980979696a9fd471,PSFIELDCLUE-980979696a9fd471,PSOVERLAYPROG-980979696a9fd471,82,right,082-right,Q1-补缺或计划数偏大页列先核,R0-私有复核材料已生成但未核页,2,0,2,0,0,0,0,2,0,2,2,true,true,19,PSFOUNDATIONBATCH-a8226feff5cadb52,第19批-页列底座核验,1,451,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,41,123,165,90,page-082,ea54fcf379dff67e02174997e5e4f027deefe30d7ad6495e4a3a736141e4a9f4,082_page-082,aadacf9c9ff82de142aa9b9e95b6c3c518a643ab0295915e35e0d925e98b65ff,first-closure-082-right-csv,6cfcb6d8c10392641877c77493617d826e8bda87040f13ee4932dc805659ae60,first-closure-082-right-html,da79f363ec517c799fef01c0cf80bd3f7fcc93f4d78f8c0c021880db859575cd,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
