第一闭环私有预填公开审计ID,来源第一闭环任务复核公开账本,来源第一闭环复核公开账本,来源湖北官方公开入口状态快照,来源第一闭环私有预填材料,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,稳定基座第一闭环页列包ID,稳定基座第一闭环复核公开账本ID,来源页码,版面列,页码版面键,第一闭环页列优先级,预填任务数,自动官网辅证任务数,P0人工字段任务数,高校辅证线索任务数,含高校计划数线索任务数,含高校学费线索任务数,含高校选科线索任务数,公共高校来源文件任务数,公共高校来源文件数,自动辅证可作为核页提示任务数,PDF原页必核任务数,湖北官方侧必核任务数,高校辅证需复核任务数,双人复核任务数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,私有预填页列CSV证据编号,私有预填页列CSV_SHA256,私有预填材料状态,官方公开计划页可定稿,数智平台可定稿,字段事实写回状态,公开安全策略,下一步
FIRSTPREFILLAUDIT-7826a50352856b5d,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-7826a50352856b5d,FIRSTREVIEW-7826a50352856b5d,137,right,137-right,Q0-冲突页列第一批先核,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,FIRST-CLOSURE-PREFILL-CSV-137-right,30515a1d550491c5d70a00b7cd31602dbb3464a4a975d82762cc5a9489eedef3,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-a766473a37caa4de,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-a766473a37caa4de,FIRSTREVIEW-a766473a37caa4de,141,left,141-left,Q0-冲突页列第一批先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,FIRST-CLOSURE-PREFILL-CSV-141-left,36e8159b44d31f6b1e94e7b6e63b703e70ea72cbcc38d741642d0e89c007e1cb,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-815b76bed7962001,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-815b76bed7962001,FIRSTREVIEW-815b76bed7962001,169,right,169-right,Q0-冲突页列第一批先核,22,12,10,11,11,0,0,11,1,11,22,22,22,10,1,20,1,0,0,10,FIRST-CLOSURE-PREFILL-CSV-169-right,3b1c9bfab14c4068b9cd78188b16b01fb865a2751e993baa7ed346310e4f7a4e,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-0f2775b71610686e,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-0f2775b71610686e,FIRSTREVIEW-0f2775b71610686e,194,left,194-left,Q0-冲突页列第一批先核,7,0,7,0,0,0,0,0,0,0,7,7,0,7,0,0,0,6,1,0,FIRST-CLOSURE-PREFILL-CSV-194-left,e2b3f4038a004a36e3858b11508e5e117f2e8de209d3c88ed1f25f0e34411581,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-97ab0abc16a6bf85,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-97ab0abc16a6bf85,FIRSTREVIEW-97ab0abc16a6bf85,199,left,199-left,Q0-冲突页列第一批先核,5,4,1,3,3,3,3,3,1,3,5,5,5,4,3,0,1,0,0,1,FIRST-CLOSURE-PREFILL-CSV-199-left,b0d476085d15c4e0bc744692674bcf12e6cc4e1e946dbd840c8798cea09b74bd,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-44afa6d6e4d84e5a,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-44afa6d6e4d84e5a,FIRSTREVIEW-44afa6d6e4d84e5a,205,left,205-left,Q0-冲突页列第一批先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,FIRST-CLOSURE-PREFILL-CSV-205-left,a6472b564c17e2bf4e31321b0c31e9a58ac9cad210a65d48a6ae76165785ea27,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-e942d34407576c0d,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-e942d34407576c0d,FIRSTREVIEW-e942d34407576c0d,209,right,209-right,Q0-冲突页列第一批先核,13,9,4,6,6,6,6,6,1,6,13,13,13,4,2,8,3,0,0,4,FIRST-CLOSURE-PREFILL-CSV-209-right,6dbff344dd3f38f9e97ff606e18ce8c18a87f1644f6a9fc4133da890e47c438e,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-878b34b3141f5010,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-878b34b3141f5010,FIRSTREVIEW-878b34b3141f5010,235,right,235-right,Q0-冲突页列第一批先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,FIRST-CLOSURE-PREFILL-CSV-235-right,5fafdb5d17f852dff9f0f91c11bbd6dcaf851b05485978e377e19296721c2fbe,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-1d715f85ac144ecb,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-1d715f85ac144ecb,FIRSTREVIEW-1d715f85ac144ecb,14,left,014-left,Q1-补缺或计划数偏大页列先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,FIRST-CLOSURE-PREFILL-CSV-014-left,13ae40fbe4d395cbb927bc1d9eb4effcc1cdac8d6d54f94f3683550767df9346,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-807f1d9e99948b29,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-807f1d9e99948b29,FIRSTREVIEW-807f1d9e99948b29,32,right,032-right,Q1-补缺或计划数偏大页列先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,FIRST-CLOSURE-PREFILL-CSV-032-right,d9508a1c68c0629bc633073b4fe517fe2e4643bb6f2834e8c3f7d1e0b9272fa0,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-9e2f12395b6c066b,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-9e2f12395b6c066b,FIRSTREVIEW-9e2f12395b6c066b,33,right,033-right,Q1-补缺或计划数偏大页列先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,FIRST-CLOSURE-PREFILL-CSV-033-right,a8485f512fb6e89610e2eea192b9618b671653d3ab178e557916dc15748b8329,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
