官方不可得抽样执行明细ID,来源官方不可得抽样门禁ID,来源稳定基座自动交叉核验任务ID,来源逐专业证据路由ID,来源招生明细总工作台ID,来源湖北官方活体复查,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许写回字段事实,执行类别,执行优先级,风险等级,抽样策略,样本选择原因,样本序号,样本最低明细数,是否100%人工核验,是否抽样核验,是否低风险样本,院校代码,院校名称OCR,专业行ID,专业组出现ID,院校专业组代码OCR规范化,来源页码,版面列,页码版面键,专业组内专业序号,专业代号OCR,专业名称及备注短摘,必核字段,字段差异标记,官网辅证自动动作,OCR专业计划数候选,OCR学费候选,OCR再选科目候选,最佳官网专业名称,最佳官网专业代号,最佳官网计划数,最佳官网学费,最佳官网选科,最佳官网来源文件,官网证据强度,官网来源状态,官网证据匹配状态,计划数核验状态,疑似OCR把学费读入计划数,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方一致性状态,字段事实写回状态,是否需要双人复核,升级触发器,升级范围,当前用途边界,下一步
SAMPLINGEXEC-7caefc2ca5d99e63,SAMPLINGGATE-7ad58ab065d7b07b,STABLEAUTO-3179af1e5de3c228,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,7,7,true,false,false,A195,兰州大学,M-3ef576112ee9a076,G-399026bbf2fbbc18,A19511,56,left,056-left,8,42,数字媒体技术（办学地点：甘肃兰州）覓亮計孝院校专业组及专业代号,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5800,,数字媒体技术,,3,,物理和化学,data/external/issue19-b0-b1-official-sources/lzu-2026-hubei-physics-normal-zsjh.json,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-df7929c94cd3cfb9,SAMPLINGGATE-33332efc49338f15,STABLEAUTO-b7e01a7637ae2d58,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,1,4,true,false,false,F305,忻州师范学院,M-51215ebfd6e9c1fb,G-3ed22abc87c8dac2,F30508,109,left,109-left,1,15,应用化学,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,4950,化学,应用化学,,1,4950,,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-168c37b479592474,SAMPLINGGATE-33332efc49338f15,STABLEAUTO-3488bd90530f406d,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,2,4,true,false,false,F305,忻州师范学院,M-6eb339aae881b3aa,G-3ed22abc87c8dac2,F30508,109,left,109-left,2,16,数字媒体技术,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,4800,,数字媒体技术,,1,4800,,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-5d5272061ff0e421,SAMPLINGGATE-33332efc49338f15,STABLEAUTO-7cc5f9a0c5707c4b,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,3,4,true,false,false,F305,忻州师范学院,M-68e8615d3ab753b9,G-3ed22abc87c8dac2,F30508,109,left,109-left,3,17,数据科学与大数据技术,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,4800,,数据科学与大数据技术,,1,4800,,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-eb05ab3d5980f565,SAMPLINGGATE-33332efc49338f15,STABLEAUTO-bdabf8ae56854226,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,4,4,true,false,false,F305,忻州师范学院,M-b11b9f49fcb51333,G-3ed22abc87c8dac2,F30508,109,left,109-left,4,18,计算机科学与技术（师范类）,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5280,【化学,计算机科学与技术(师范),,2,5280,,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-d06b8633fffdb3dc,SAMPLINGGATE-254ebd8db5f7dd82,STABLEAUTO-d5b1650de23ea7e2,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,1,1,true,false,false,H001,杭州电子科技大学,M-07561f2ddca7868c,G-d202caf3a5b24060,H00104,137,left,137-left,6,18,数学类（数学与应用数学、信息与计算科学：办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5300,,数学类,,3,,"物理,化学(2门科目考生均须选考方可报考)",data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-b9bedbfcc89d61de,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-ca9b54aef69fa3a4,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,1,10,true,false,false,H450,山东工商学院,M-8ba195c86a925e83,G-69a8112ee16cf2ba,H45004,169,right,169-right,1,39,统计学,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5500,化学,统计学,,2,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-c771c7b546be759c,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-ce3b600c80da0192,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,2,10,true,false,false,H450,山东工商学院,M-90b2fc54c5bc2e5c,G-69a8112ee16cf2ba,H45004,169,right,169-right,2,40,人工智能,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5500,,人工智能,,3,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-88a03b031db990ec,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-1dfd7f6901ea2f5d,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,3,10,true,false,false,H450,山东工商学院,M-9710c4b647b66507,G-69a8112ee16cf2ba,H45004,169,right,169-right,3,41,数学与应用数学,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,6325,,数学与应用数学,,2,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-ea68b8ff5cc9af23,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-200335ca33aebe17,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,4,10,true,false,false,H450,山东工商学院,M-cdfe659d6ddbb7d7,G-69a8112ee16cf2ba,H45004,169,right,169-right,9,47,计算机科学与技术,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,6600,,计算机科学与技术,,3,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-e6e34229763c2bec,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-c357837a03bd5ccc,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,5,10,true,false,false,H450,山东工商学院,M-13b19a3991c8159a,G-69a8112ee16cf2ba,H45004,169,right,169-right,10,48,数字媒体技术,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5500,,数字媒体技术,,2,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-91c6b2f2109d57bb,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-c607f7e031c0e044,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,6,10,true,false,false,H450,山东工商学院,M-b4b8560bd289f9b5,G-69a8112ee16cf2ba,H45004,169,right,169-right,11,49,安全工程,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5500,,安全工程,,3,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-3cb0572b565294ec,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-65fd416855014ef0,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,7,10,true,false,false,H450,山东工商学院,M-4a71a2765412ac2a,G-69a8112ee16cf2ba,H45004,169,right,169-right,12,50,应急技术与管理,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5500,,应急技术与管理,,4,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-1645dd1f3ef2a691,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-4da5345f4ed80a0b,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,8,10,true,false,false,H450,山东工商学院,M-7a3695c82b5953d6,G-69a8112ee16cf2ba,H45004,169,right,169-right,13,51,数据计算及应用,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5500,,数据计算及应用,,2,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-52f4897cdcc1033f,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-324234116c837d6e,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,9,10,true,false,false,H450,山东工商学院,M-7489ddca4dfd3dd8,G-69a8112ee16cf2ba,H45004,169,right,169-right,14,52,集成电路设计与集成系统,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5500,,集成电路设计与集成系统,,3,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
SAMPLINGEXEC-7f5dfff7017c5fda,SAMPLINGGATE-cedea416345d323d,STABLEAUTO-38f63edb551f4fe5,,,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_execution_detail,逐专业招生明细,官方不可得抽样门禁×逐专业招生明细,false,false,false,false,false,false,false,H0-高风险100%人工核验,00-高风险逐专业核验,R3-high,100%人工核验,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,10,10,true,false,false,H450,山东工商学院,M-d7ad035436e7d0f7,G-69a8112ee16cf2ba,H45004,169,right,169-right,15,53,数据科学与大数据技术,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,C1-官网补缺候选但禁止自动写回,,5500,,数据科学与大数据技术,,1,,,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,逐专业执行明细只用于人工核页、抽检和升级派单；不得作为志愿推荐或字段事实写回依据。,C1-官网补缺候选但禁止自动写回；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
