院校代码,院校名称OCR,涉及专业明细数,涉及专业组数,来源页码集合,疑似风险类型,示例专业行ID,示例专业名称及备注短摘,建议核验动作
F424,山东,4,1,166,校名未匹配待人工核验,M-106364880e519813,临床医学（不招色盲色弱：学制：五年）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F434,晉东大学,1,1,168,特殊院校或校名OCR待核,M-cc8ca95455be8ae4,船舶与海洋工程（中外合作办学）（与韩国蔚山大学合作办学）H435 临沂大学（公办）（山东）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F479,（辽宁中医药大学,3,2,115,OCR括号或标点异常；特殊院校或校名OCR待核,M-fa8e593e411cc279,中医学（不录取色直色照考生；非英语语种考生镇报；沈阳校区（第一学年本溪校区就读）：学制：五年）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F487,东北財经大学,5,2,116,特殊院校或校名OCR待核,M-0e360973dcbe632d,经济统计学,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F488,（沈阳体育学院,2,2,116,OCR括号或标点异常；特殊院校或校名OCR待核,M-28e19d1503e54d61,运动人体科学（办学地点：本部）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F797,上海,10,2,130,校名未匹配待人工核验,M-b06e7e07762249e7,机械工程,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F895,淮安大学,5,2,134,特殊院校或校名OCR待核,M-97ea312e6ce4df22,金融数学（办学地点：枚乘路校区）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
F905,南京特教育师范学院,13,2,135；197,特殊院校或校名OCR待核,M-4f6b2d335e7df85b,孤独症儿童教育（师范类；办学地点：江宁校区，第一学年）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H010,湖州师范大学,10,3,139,特殊院校或校名OCR待核,M-202b64933496fa8d,科学教育（师范类）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H011,绍兴大学,3,1,139,特殊院校或校名OCR待核,M-b768014dc8f51f1e,应用化学,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H113,3安徽建筑大学,16,1,146,OCR混入字母或数字；特殊院校或校名OCR待核,M-edca0f61ba24c0fa,士木工程（办学地点：紫云路校区）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H130,院西学院,1,1,145,特殊院校或校名OCR待核,M-dbc5d9518ba2dccd,数据科学与大数据技术H131 滁州学院（公办）（安徽）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H138,安徽科技工程大学,17,3,146,特殊院校或校名OCR待核,M-834201877bc7e635,财务管理（办学地点：龙湖校区）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H224,闽江大学,4,1,148,特殊院校或校名OCR待核,M-18783da250f4fbe2,人工智能,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H374,（南昌交通学院,12,2,161,OCR括号或标点异常；特殊院校或校名OCR待核,M-4f6e2114dc7fdf3b,建筑学（办学地点：靖安墨轩湖校区；,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H421,（山东理工大学,23,2,165,OCR括号或标点异常；特殊院校或校名OCR待核,M-e90e2e4371492a22,大数据管理与应用,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H425,山东,13,13,166,校名未匹配待人工核验,M-99a9f0dcb8c2b43d,运动康复（泰安校区）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H426,山东医药大学,4,3,166,特殊院校或校名OCR待核,M-ed17c2e1b3823a36,临床医学（不招收色直、色弱考生；办学地点：烟台校区：学制：五年）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H561,路阳师范学院,3,1,175,特殊院校或校名OCR待核,M-1d9da5b279618955,化妆品技术与工程,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H619,玫北医学院,3,2,177,特殊院校或校名OCR待核,M-730ae7b6b9cdcc97,医学影像技术（办学地点：平原校区）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H668,湖南理工大学,6,1,181,特殊院校或校名OCR待核,M-60eb15552e8210e2,数学与应用数学（师范类）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H682,湖南財政经济学院,24,2,183,特殊院校或校名OCR待核,M-cfb63e52cff866d3,会计学,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H686,湖南,17,2,184,校名未匹配待人工核验,M-92f322ef306e3456,汉语言文学（师范类）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
H857,北师香港浸会大学,12,2,193；194,特殊院校或校名OCR待核,M-6b4184d85af301bd,工商管理类（中外合作办学）（財务管理、人力资源管理、市场营销、工商管理、文化产业管理；大类招生.工商管理专业培养创业与创新管理、电子商务与资讯系统管理、数字媒体管理方向：文化产业管理专业培养文化仓意与管理方向. 原则上在第一学年第三学期开始...,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
K072,重庆三峡科技大学,20,2,204；205,特殊院校或校名OCR待核,M-32aa3ffbe4ebdd92,大数据管理与应用（办学地点：百安校,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
K368,演西应用技术大学,1,1,221,特殊院校或校名OCR待核,M-16d903d2de9af547,康复治疗学（色弱、色盲不录）K398 云南经济管理学院（民办）（云南）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
K482,榆林大学,9,2,225,特殊院校或校名OCR待核,M-e1cc0c66fbb9663f,数学与应用数学（师范炎）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
K781,新疆,21,3,236；237,校名未匹配待人工核验,M-15276bbbf7391530,智能医学工程（数学单科成绩不低于,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
M558,哈尔滨建筑科技职业大学,7,1,237；238,职业本科/职业大学或新增学校待核；特殊院校或校名OCR待核,M-3c6acfe3173da8e2,智能建造工程◎◎ZX,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
P012,北京,3,1,93,校名未匹配待人工核验,M-c2224195fef85996,英语（辅修智能技术相关专业；只招收外语语种为英语的考生，且外语单和成绩不低于90分：大一在延庆校区辅修智能科学与技术专业，合格者同时授予相应辅修学去学位；外语语种：萃语：办学地点：一年级在延庆校区，大二至大四在校本部）,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
T224,闽江大学,2,1,148,特殊院校或校名OCR待核,M-227d50669cc9abe3,工商管理,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
T434,魯东大学,3,1,167,特殊院校或校名OCR待核,M-a06e87ddc239e661,经济学,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
T486,齐魯医药学院,1,1,170,特殊院校或校名OCR待核,M-44d24664e7a75fd3,监床医学（办学地点：周村校区；学制：,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
T952,四川建筑职业技术大学,5,1,239,职业本科/职业大学或新增学校待核；特殊院校或校名OCR待核,M-b001312bb9d69a96,智能建造工程,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
X457,新疆工业职业技术大学,3,2,240,职业本科/职业大学或新增学校待核；特殊院校或校名OCR待核,M-76a0d181189e9f04,应用化工技术,回看PDF原页校名，并用湖北官方系统、学校官网或招生章程确认学校全称和性质
