学校闭环索引ID,来源逐专业闭环批次表,来源期号,来源PDF_SHA256,数据阶段,索引粒度,最终可用,可进入下一阶段,院校代码,院校名称OCR,学校执行总序,专业明细数,涉及PDF页数,涉及专业组数,C0_P0主批次专业明细数,C1字段缺口主批次专业明细数,C2官网辅证主批次专业明细数,C3常规三方主批次专业明细数,C4低风险抽检主批次专业明细数,含官网辅证任务专业明细数,B0B1官网差异专业明细数,有高校官网来源线索专业明细数,偏好专业明细数,高校官网来源状态分布,首个PDF页码,首个专业行ID,首要核验动作,下一步
CLOSESCHOOL-8ec4052c0cd34136,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F189,保定学院,12,4,1,1,1,3,0,0,0,0,0,0,3,not_yet_school_source_searched_in_full_workbench:4,101,M-3c11775a27ed0c0f,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-2711495aeb347daf,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,A195,兰州大学,13,54,1,10,54,0,0,0,0,54,54,54,6,has_reusable_2026_hubei_plan_source:54,56,M-3ef576112ee9a076,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-624e6c0f353f6e91,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F588,通化师范学院,14,2,1,2,1,1,0,0,0,0,0,0,1,not_yet_school_source_searched_in_full_workbench:2,121,M-085b27da835ba81b,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-5b1b5370dca54a04,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F591,长春师范大学,15,11,1,6,1,9,0,1,0,0,0,0,5,not_yet_school_source_searched_in_full_workbench:11,121,M-93f14320c69b760e,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-553abfba0a6f77e4,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,C108,江汉大学,16,72,2,11,72,0,0,0,0,72,72,72,12,has_partial_source_needs_followup:72,69,M-2e4cfb5c1e02763a,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-2b50e5aedb0f642d,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F831,上海建桥学院,17,27,1,3,17,10,0,0,0,0,0,0,8,not_yet_school_source_searched_in_full_workbench:27,130,M-fec6c13e8421ca0c,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-968fd92e8c71d8b4,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,C133,湖北师范大学,19,36,1,9,36,0,0,0,0,36,36,36,13,needs_official_plan_source_search:36,78,M-15177b26212882d0,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-7e5a9369112b722d,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,T733,柳州职业技术大学,21,10,1,1,10,0,0,0,0,0,0,0,2,not_yet_school_source_searched_in_full_workbench:10,239,M-87663f61ba7873af,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-b880f14b41156615,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H227,泉州师范学院,22,16,1,4,3,13,0,0,0,0,0,0,4,not_yet_school_source_searched_in_full_workbench:16,148,M-e07fd113ca0b26d3,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-72fc8377554cc274,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H225,武夷学院,23,11,1,1,2,9,0,0,0,0,0,0,1,not_yet_school_source_searched_in_full_workbench:11,148,M-d32a3a4600408472,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-1e4d57601e275ba0,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F002,北方工业大学,24,28,1,4,28,0,0,0,0,28,28,28,4,charter_or_rules_only_no_plan:28,92,M-0c0edd7d7d82147d,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-6872cab36b996267,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H321,宜春学院,25,11,1,5,6,5,0,0,0,0,0,0,2,not_yet_school_source_searched_in_full_workbench:11,158,M-8e4b67ee72353453,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-5239cf0ff4c9eeef,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H331,九江学院,27,10,1,2,4,6,0,0,0,0,0,0,4,not_yet_school_source_searched_in_full_workbench:10,160,M-31835c637dd1c1ee,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-a5fb5a4f029a317f,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,A033,中国传媒大学,28,19,2,8,19,0,0,0,0,19,19,19,8,has_reusable_2026_hubei_plan_source:19,18,M-93d6111287b31e95,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-ae3391c962d23863,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H553,河南大学,31,11,1,6,4,6,0,1,0,0,0,0,7,not_yet_school_source_searched_in_full_workbench:11,174,M-bf647134363e12f7,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-0097264b557bdd27,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H556,信阳师范大学,32,2,1,2,1,0,0,0,1,0,0,0,1,not_yet_school_source_searched_in_full_workbench:2,175,M-ecfdf722c701e188,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-5ad7cf3f008cd846,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H428,济宁医学院,33,18,2,3,16,2,0,0,0,0,0,0,1,not_yet_school_source_searched_in_full_workbench:18,167,M-34d6d312b306c9df,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-cd35044609124456,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F582,长春工业大学,34,41,1,12,41,0,0,0,0,41,41,41,7,needs_official_plan_source_search:41,119,M-42afb95cc4899dd4,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-cb862f267ee6197c,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H776,惠州学院,35,2,1,2,1,1,0,0,0,0,0,0,1,not_yet_school_source_searched_in_full_workbench:2,187,M-37f694c5008ccb51,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-b374a3ec8b9d053a,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H001,杭州电子科技大学,36,19,1,5,19,0,0,0,0,19,19,19,5,has_partial_source_needs_followup:19,137,M-b68a6418a68cfb85,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-549979d79cccc218,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F902,江苏理工学院,37,17,1,2,17,0,0,0,0,17,17,17,3,has_partial_source_needs_followup:17,135,M-bf093921a5df7b57,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-c8175bf7b90bc207,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H026,浙江传媒学院,38,22,1,6,22,0,0,0,0,22,22,22,5,needs_official_plan_source_search:22,141,M-bf0983f360150462,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-4a38b09f9fbbf34c,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H901,河池学院,39,6,1,4,4,2,0,0,0,0,0,0,3,not_yet_school_source_searched_in_full_workbench:6,197,M-b47acdedea5260b9,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-b6dcf3965b4cc926,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,A197,西北民族大学,40,31,1,14,31,0,0,0,0,31,31,31,6,has_reusable_2026_hubei_plan_source:31,57,M-1d96359ea44be968,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-551f3d2d68520ec3,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,K260,贵州师范大学,41,1,1,1,1,0,0,0,0,0,0,0,1,not_yet_school_source_searched_in_full_workbench:1,215,M-757e48321788a763,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-f615f3c630bb7a32,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H439,山东财经大学,43,19,1,3,19,0,0,0,0,19,19,19,5,has_partial_source_needs_followup:19,168,M-f84d4ef7e78d900f,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-fc685ebf402af62c,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,K474,咸阳师范学院,44,3,1,1,1,2,0,0,0,0,0,0,3,not_yet_school_source_searched_in_full_workbench:3,225,M-99a6f2238b6d4710,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-3e646dd7138b758e,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H450,山东工商学院,45,35,1,3,35,0,0,0,0,35,35,35,4,has_partial_source_needs_followup:35,169,M-13b19a3991c8159a,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-4d92ee56ccc6ff70,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,K473,宝鸡文理学院,46,4,1,1,1,3,0,0,0,0,0,0,2,not_yet_school_source_searched_in_full_workbench:4,225,M-5c5f921a61f59f91,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-14f42de6759b2eda,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,K581,甘肃政法大学,47,9,1,2,1,8,0,0,0,0,0,0,2,not_yet_school_source_searched_in_full_workbench:9,230,M-119355c5bc0f49f7,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-e655f5939bd574a3,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F880,南京中医药大学,48,5,1,3,5,0,0,0,0,0,0,0,1,not_yet_school_source_searched_in_full_workbench:5,133,M-f8bfd58198507c56,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-9c1ba1382821da90,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H775,韶关学院,49,5,1,5,5,0,0,0,0,5,5,5,2,needs_official_plan_source_search:5,187,M-4b0cc9d74eef3c59,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-6ddc2b0f95cd44c9,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,F099,天津外国语大学,50,13,1,5,13,0,0,0,0,13,13,13,4,has_reusable_2026_hubei_plan_source:13,96,M-ba76e18b079d513f,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-d7a1c24d4ce89088,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,H275,集美大学诚毅学院,51,13,1,3,1,11,0,1,0,0,0,0,2,not_yet_school_source_searched_in_full_workbench:13,151,M-54e775f0f6b11a1f,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-129ab8fc3ba73d59,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,K151,成都理工大学,52,53,2,12,53,0,0,0,0,53,53,53,4,has_partial_source_needs_followup:53,208,M-c7fca9efc240eb35,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
CLOSESCHOOL-bf269ad6a4b467c8,data/working/issue19-foundation-closure-major-batches.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_foundation_closure_school_index,院校,false,false,K179,成都师范学院,53,6,2,6,6,0,0,0,0,6,6,6,1,needs_official_plan_source_search:6,212,M-b5b35c3f6ffedf7c,回看PDF原页并同步补湖北官方系统/高校官网证据,按学校补湖北官方系统和高校官网/章程来源，再回到逐专业闭环批次表逐行核字段、家庭接受度和调剂范围。
