来源期号,来源PDF_SHA256,数据阶段,最终可用,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,专业组标题OCR原文,来源页码,版面列,专业组标题行号,专业组标题y,OCR专业行数,再选科目OCR候选,人数OCR候选,学费OCR候选,偏好和风险标签,字段完整性标记,候选池V1命中,样本学校命中,核验状态,备注
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A006,北京航空航天大学,A00604,04,A00604北京航空航天大学第 04 组,12,left,38,0.563953,1,［化学,,9；50000,high_fee_or_coop;tuition_over_15000,missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A006,北京航空航天大学,A00605,05,A00605 北京航空航天大学第05组,12,left,47,0.476735,1,化学；「化学,10,9；80000,high_fee_or_coop;priority_2_computer;tuition_over_15000,tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A006,北京航空航天大学,A00606,06,A00606北京航空航天大学第06组,12,left,55,0.389388,2,,86；62,6；5500,special_plan_or_direction,missing_subject_candidate;plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A007,北京理工大学,A00704,04,A00704/北京理工大学第04 组,12,left,69,0.246939,10,「化学；再选；要求,人数,3；5500；5；年；学费；（元）；10；2；6；11；5000,priority_2_computer;rejected_medical,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A007,北京理工大学,A00705,05,A00705 北京理工大学第05组,12,right,187,0.188953,2,化学,,3；待定；2；9,high_fee_or_coop,missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A007,北京理工大学,A00706,06,「A00706/北京理工大学第06组,12,right,192,0.130612,3,化学；再选；科目；要求,人数,4；57000；3；2；年；学費,high_fee_or_coop;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A007,北京理工大学,A00707,07,A00707|北京理工大学第 07 组,13,left,6,0.819767,3,化学,10；2；3；5；5500；89,5500,rejected_medical;special_plan_or_direction,plan_count_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A008,北京科技大学,A00804,04,A00804|北京科技大学第04组,13,left,42,0.511628,1,不限,4；3,5000,priority_2_computer,plan_count_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A008,北京科技大学,A00805,05,A00805/北京科技大学第05组,13,left,50,0.434553,2,「化学,1；5000；2；7,,,plan_count_not_plain_number;missing_tuition_candidate,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A008,北京科技大学,A00806,06,A00806/北京科技大学第06组,13,left,59,0.344309,1,化学,5000；3,,,plan_count_not_plain_number;missing_tuition_candidate,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A008,北京科技大学,A00807,07,A00807北京科技大学第07组,13,left,68,0.268699,1,化学,3；5000；21,,priority_2_computer,plan_count_not_plain_number;missing_tuition_candidate,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A008,北京科技大学,A00808,08,A00808/北京科技大学第08 组,13,left,76,0.202033,8,化学,2；5000；3；招生计划；X；人数,N；年；学费；（元）；5000,priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A008,北京科技大学,A00809,09,A00809/北京科技大学第09组,13,right,141,0.771802,8,,,5000,priority_2_computer,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A010,北京化工大学,A01002,02,AO1002/北京化工大学第 02组,13,right,172,0.419919,2,,16,5000,,missing_subject_candidate,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A010,北京化工大学,A01003,03,A01003/北京化工大学第03组,13,right,178,0.350291,5,X；U；再选；科目；要求；化学,3；2；5；資亮；部冬；N；人数,5000；学费；（元）；29,body_or_exam_limit;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A010,北京化工大学,A01004,04,A01004 北京化工大学第 04组,14,left,22,0.806531,5,化学,,5000；4；15；2；6；40,body_or_exam_limit;rejected_medical,missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A010,北京化工大学,A01005,05,A01005/北京化工大学第05组,14,left,40,0.587209,8,化学,,11；5000；6；3；4；5,priority_2_computer,missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A010,北京化工大学,A01006,06,A01006/北京化工大学第06 组,14,left,65,0.328488,2,不限,,2；70000；4；60000,body_or_exam_limit;high_fee_or_coop;tuition_over_15000,missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A010,北京化工大学,A01007,07,AO1007|北京化工大学第07组,14,left,77,0.197551,1,,,5000；2,special_plan_or_direction,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A010,北京化工大学,A01008,08,A01008北京化工大学第08组,14,left,81,0.152616,1,不限,,5000,special_plan_or_direction,missing_plan_count_candidate,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A010,北京化工大学,A01009,09,A01009 北京化工大学第09 组,14,left,84,0.116279,11,不限；要求；化学,化学,5000；123；（C）；10；5；5500；81；20；14；7；4；11；8；3；19,priority_2_computer;special_plan_or_direction;tuition_over_15000,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A013,北京邮电大学,A01304,04,A01304/北京邮电大学第04组,14,right,187,0.299419,4,,,8；10万；4；3；11,high_fee_or_coop;priority_2_computer,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A013,北京邮电大学,A01305,05,AO1305 北京邮电大学第 05组,14,right,212,0.072653,3,再选；科目；要求,化学；人数；4；2,3；10万；年；学费；（）,high_fee_or_coop;priority_1_digital_media;rejected_medical,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A013,北京邮电大学,A01306,06,A01306/北京邮电大学第06组,15,left,23,0.671512,1,「化学,2；91；30,5500,special_plan_or_direction,plan_count_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A019,中国农业大学,A01906,06,A01906/中国农业大学第 06组,15,left,29,0.613372,11,化学,3；2；4；7；37,5000；3000,rejected_medical,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A019,中国农业大学,A01907,07,AO1907 中国农业大学第07 组,15,left,56,0.315407,11,化学；再选；耍求,2；3；10；6；5000；招生计划；人数；20,5000；U；N；年；学贤；（元）,priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A019,中国农业大学,A01908,08,AO1908 中国农业大学第08组,15,right,149,0.754360,8,［化学,3；2；4,3000；5000,,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A019,中国农业大学,A01909,09,［AO1909 中国农业大学第09组,15,right,197,0.210569,4,化学；U；更选；科目；耍求,2；買亮；部亭；N；人数；100；3,待定；年；学炎；（元）,high_fee_or_coop;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02204,04,AO2204 北京林业大学第04组,16,left,22,0.796327,2,不限,2；6,5500；5000,,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02205,05,AO2205/北京林业大学第05 组,16,left,25,0.746939,2,不限,2；4；14,5500,,plan_count_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02206,06,AO2206/北京林业大学第06组,16,left,32,0.687347,4,化学,2；3；9,5000,priority_2_computer,plan_count_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02207,07,AO2207 北京林业大学第07组,16,left,48,0.526122,4,「化学,3；2；8,5500；2,,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02208,08,A02208 北京林业大学第08组,16,left,58,0.411337,3,化学,,4；2500；2；5500,,missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02209,09,AO2209/北京林业大学第09组,16,left,70,0.308140,5,「化学,,5500；2,rejected_medical,missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02210,10,A02210/北京林业大学第10组,16,left,80,0.190204,5,化学,38,2500；5000；5500；2,,tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02211,11,AO2211|北京林业大学第11组,16,left,91,0.061047,8,要求,人数,年；学费；（元）；4；5500；6；9；3,priority_1_digital_media;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02212,12,A02212/北京林业大学第12组,16,right,184,0.587209,1,,,5000,,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02213,13,AO2213/北京林业大学第 13组,16,right,188,0.552245,1,,,5500,,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A022,北京林业大学,A02214,14,AO2214/北京林业大学第 14组,16,right,191,0.515918,1,,,待定,high_fee_or_coop;rejected_medical,missing_subject_candidate;missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A023,北京协和医学院,A02301,01,A02301|北京协和医学院第 01组,16,right,201,0.395349,1,,,4800,body_or_exam_limit;rejected_medical,missing_subject_candidate;missing_plan_count_candidate,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A026,北京中医药大学,A02602,02,A02602/北京中医药大学第 02组,16,right,205,0.347347,2,化学,,5800；5000,body_or_exam_limit;rejected_medical,missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A026,北京中医药大学,A02603,03,A02603/北京中医药大学第03组,16,right,213,0.236735,2,化学,,1；5800；2；34,body_or_exam_limit;rejected_medical,missing_plan_count_candidate;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A026,北京中医药大学,A02604,04,A02604/北京中医药大学第04组,16,right,226,0.093023,11,要求,人数；？；8；1；5；2；3；36,5800；年；学费；元）；5500；5000,body_or_exam_limit;priority_2_computer;priority_3_teacher;rejected_medical,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A027,北京师范大学,A02705,05,A02705 北京师范大学第 05 组,17,left,46,0.401163,3,不限,2,5000；4800,priority_3_teacher,tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A027,北京师范大学,A02706,06,A02706北京师范大学第06组,17,left,55,0.299419,13,化学；再洗；科E；要求,30；4；3；2；招生计划；U；人数；12；9,5400；4800；N；年；学費,priority_2_computer;priority_3_teacher,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A030,北京外国语大学,A03008,08,A03008/北京外国语大学第 08组,17,right,155,0.687398,9,不限,1；3,5000；6000,language_or_single_subject,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A030,北京外国语大学,A03009,09,A03009 北京外国语大学第09组,17,right,167,0.527616,1,,3；44,98000,high_fee_or_coop;priority_2_computer;tuition_over_15000,missing_subject_candidate;plan_count_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A032,北京语言大学,A03206,06,A03206/北京语言大学第06组,17,right,172,0.479651,9,不限,19；3；15,5000；6000,language_or_single_subject;priority_2_computer,plan_count_not_plain_number;tuition_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A032,北京语言大学,A03207,07,A03207 北京语言大学第07组,17,right,187,0.268699,1,化学,15；4,5500,priority_2_computer,plan_count_not_plain_number,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A032,北京语言大学,A03208,08,A03208/ 北京语言大学第08组,17,right,191,0.222358,1,不限,4；6,10万,high_fee_or_coop,plan_count_not_plain_number;tuition_not_plain_number,是,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
《湖北招生考试》2026年第19期,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_ocr_draft,false,A032,北京语言大学,A03209,09,A03209/北京语言大学第09组,17,right,195,0.186047,1,化学,6；48,82500,high_fee_or_coop;tuition_over_15000,plan_count_not_plain_number;tuition_over_15000,否,否,needs_manual_pdf_review,第19期全量OCR自动切组初稿；必须回看原PDF页确认。
