第一闭环核验结果页列汇总ID,来源第一闭环核验结果表,来源第一闭环下一步动作页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,第一闭环页列下一步动作ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,执行泳道,第一闭环页列优先级,页列任务数,涉及专业行数,涉及院校代码数,N0冲突双人核页任务数,N1高校补缺回页任务数,N2机器坐标辅助核页任务数,N3无候选人工看图任务数,N4PDFOCR候选确认任务数,N5多源一致待官核任务数,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,需要双人复核任务数,需要人工直接看图任务数,任务结果桶分布,OCR提示状态分布,冲突状态分布,字段优先级分布,专业行字段缺口类型分布,页列主阻断,页列建议下一步动作,建议人工核验小包类型,建议物理小包数量,建议每包任务上限,关联任务集合SHA16,关联专业行集合SHA16,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,字段事实写回状态,完成条件,公开安全策略
FIRSTRESULTPAGE-64d691501ef62339,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,11,FIRSTNEXTPAGE-f4fbd5d82da338e6,FIRSTPAGE-b1715d7e0fecab9a,53,right,053-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×2；P1-字段有候选回看原页和官方×1,再选科目；专业计划数；学费×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,eb348316c7cca013,7d8e09ba1e0d5a65,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-3c766e0ff1942de2,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,12,FIRSTNEXTPAGE-1ed8c3e6b96ccca7,FIRSTPAGE-4c0f16a37d308b85,56,left,056-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,16,9,2,1,6,5,3,1,0,16,16,15,3,4,R0-冲突优先双人核PDF原页和湖北官方侧×1；R1-高校补缺线索回PDF原页×6；R2-机器坐标辅助核PDF原页×5；R3-无稳定候选需人工看图×3；R4-PDFOCR候选人工确认×1,O0-PDFOCR与高校辅证冲突×1；O2-高校有线索但PDFOCR缺候选×6；O3-仅PDFOCR候选待人工核页×1；O4-无PDFOCR但有机器坐标提示×5；O5-无公开OCR候选提示×3,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×1；C1-高校补缺线索，PDF原页缺候选需人工看图×6；C3-仅PDFOCR候选，需人工核页×1；C4-无可比候选，需人工看图或随页列闭环×8,P0-字段无候选原页重读×9；P1-字段有候选回看原页和官方×7；P3-OCR齐全字段三方闭环×11,专业计划数×6；再选科目；专业计划数×21,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,2,10,13d15d4feccb7da0,a167e8a939199069,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-70dad0d8d597b15b,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,13,FIRSTNEXTPAGE-4100003d7eb20f07,FIRSTPAGE-45d30b827811919c,57,left,057-left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,0,0,0,0,1,0,1,1,1,0,0,R4-PDFOCR候选人工确认×1,O3-仅PDFOCR候选待人工核页×1,C3-仅PDFOCR候选，需人工核页×1,P0-字段无候选原页重读×1；P3-OCR齐全字段三方闭环×2,再选科目×3,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,P4-PDFOCR候选确认包,1,10,08f33c4c206f63f3,ead8ad89af4a8920,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-30974dde9dd13153,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,14,FIRSTNEXTPAGE-959fc838f7e4e17f,FIRSTPAGE-65f75a1a3c92b9b3,70,left,070-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,2,2,1,0,0,1,0,1,0,2,2,1,1,0,R2-机器坐标辅助核PDF原页×1；R4-PDFOCR候选人工确认×1,O3-仅PDFOCR候选待人工核页×1；O4-无PDFOCR但有机器坐标提示×1,C3-仅PDFOCR候选，需人工核页×1；C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×3；P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×2,专业计划数；学费×3；再选科目；专业计划数×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,88897a524006f47e,33e0352746154fab,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-769aa883d3ac9d77,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,15,FIRSTNEXTPAGE-35bdc41c13c6ef1f,FIRSTPAGE-4c8c5f6279a32c04,70,right,070-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,11,11,1,0,0,0,0,11,0,11,11,11,0,0,R4-PDFOCR候选人工确认×11,O3-仅PDFOCR候选待人工核页×11,C3-仅PDFOCR候选，需人工核页×11,P0-字段无候选原页重读×14；P3-OCR齐全字段三方闭环×19,再选科目×18；再选科目；专业计划数×12；无机器字段缺口×3,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,P4-PDFOCR候选确认包,2,10,3729a45baba1304a,9653fb20d443d3dc,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-8d0bf5eb5e76349c,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,16,FIRSTNEXTPAGE-95d8e5466933ec5d,FIRSTPAGE-6bd94b5fb0abfec4,80,right,080-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,18,18,1,0,0,0,17,1,0,18,18,18,17,17,R3-无稳定候选需人工看图×17；R4-PDFOCR候选人工确认×1,O3-仅PDFOCR候选待人工核页×1；O5-无公开OCR候选提示×17,C3-仅PDFOCR候选，需人工核页×1；C4-无可比候选，需人工看图或随页列闭环×17,P0-字段无候选原页重读×19；P3-OCR齐全字段三方闭环×35,再选科目×51；再选科目；专业计划数×3,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,P1-人工看图补候选包,2,10,7942bd6ab9a6444b,7054f44d7a0171e6,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-cb836be21adc625b,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,17,FIRSTNEXTPAGE-67b71b11fd8f60e1,FIRSTPAGE-93ec45e4e888f97d,81,left,081-left,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,0,0,0,0,1,0,1,1,1,0,0,R4-PDFOCR候选人工确认×1,O3-仅PDFOCR候选待人工核页×1,C3-仅PDFOCR候选，需人工核页×1,P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×2,再选科目×3,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,P4-PDFOCR候选确认包,1,10,0e82ee7d583aa151,a860b790ee02b99b,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-692cf60e85deaf07,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,18,FIRSTNEXTPAGE-38374463ab89554f,FIRSTPAGE-cfa201a8f79e7d0e,82,right,082-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,2,1,0,0,2,0,0,0,2,2,0,2,0,R2-机器坐标辅助核PDF原页×2,O4-无PDFOCR但有机器坐标提示×2,C4-无可比候选，需人工看图或随页列闭环×2,P0-字段无候选原页重读×2；P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×3,专业计划数×3；再选科目；专业计划数×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,2425361d1dd4f948,7a7e4536324e6f7f,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-8dfe4689a0c0f29b,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,19,FIRSTNEXTPAGE-3d7a8f88b4a41269,FIRSTPAGE-b07fea137a292b98,93,left,093-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×1；P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×1,再选科目；学费×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,fe0ba83bd0e3255f,e0b7b2daef7ffbd5,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-000ad40ebd115e95,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,20,FIRSTNEXTPAGE-ef3b230fc430bc8e,FIRSTPAGE-4a89eabd9dcaa967,96,right,096-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,0,0,0,0,1,0,1,1,1,0,0,R4-PDFOCR候选人工确认×1,O3-仅PDFOCR候选待人工核页×1,C3-仅PDFOCR候选，需人工核页×1,P0-字段无候选原页重读×1；P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×1,再选科目；专业计划数×3,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,P4-PDFOCR候选确认包,1,10,77f9d87ea9ae2d16,d1a6045fb010ccb0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-19510b964dbc83e9,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,21,FIRSTNEXTPAGE-1ec70c9ae26e5153,FIRSTPAGE-26bbbf78aa76ddbe,102,left,102-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×2；P3-OCR齐全字段三方闭环×1,再选科目；专业计划数×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,77a62b2eba3852c0,2d153a8b3c86c424,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-b9d2bee2c0cd890e,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,22,FIRSTNEXTPAGE-45fcddffc83b0015,FIRSTPAGE-551d0b213dbd2529,109,left,109-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,8,4,1,0,0,0,4,0,4,8,8,8,2,4,R3-无稳定候选需人工看图×4；R5-多源一致线索仍待湖北官方侧×4,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环×4；O5-无公开OCR候选提示×4,C2-多源有一致线索，仍待湖北官方侧闭环×4；C4-无可比候选，需人工看图或随页列闭环×4,P0-字段无候选原页重读×4；P1-字段有候选回看原页和官方×2；P3-OCR齐全字段三方闭环×6,专业计划数×6；再选科目；专业计划数×6,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,P1-人工看图补候选包,1,10,3a172cf7b12f7cc7,08dc9f70ba4d15bd,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-3421175cb340147d,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,23,FIRSTNEXTPAGE-0294cce673918d4e,FIRSTPAGE-49426baa76375e44,135,left,135-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,10,1,10,0,0,0,0,0,10,10,10,10,10,R0-冲突优先双人核PDF原页和湖北官方侧×10,O0-PDFOCR与高校辅证冲突×10,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×10,P1-字段有候选回看原页和官方×25；P3-OCR齐全字段三方闭环×5,专业计划数；学费×3；再选科目；专业计划数×12；再选科目；专业计划数；学费×15,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,1,10,4e3256f5af77d831,eeafb1981fa3e20d,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-ce0b23b6d1decd4f,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,24,FIRSTNEXTPAGE-71735b208e1f49e5,FIRSTPAGE-6f905e62249f58a5,135,right,135-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,3,3,1,0,0,0,2,1,0,3,3,3,0,2,R3-无稳定候选需人工看图×2；R4-PDFOCR候选人工确认×1,O3-仅PDFOCR候选待人工核页×1；O5-无公开OCR候选提示×2,C3-仅PDFOCR候选，需人工核页×1；C4-无可比候选，需人工看图或随页列闭环×2,P0-字段无候选原页重读×7；P3-OCR齐全字段三方闭环×2,再选科目×3；再选科目；专业计划数；学费×6,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,P1-人工看图补候选包,1,10,2e6a185173bb93b8,803142ec4b7aef27,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-ea80bbff01a1874c,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,25,FIRSTNEXTPAGE-44801f7d8c79abb4,FIRSTPAGE-15ba87f70c7f53a2,137,left,137-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,1,1,0,1,0,1,0,0,2,2,2,1,1,R1-高校补缺线索回PDF原页×1；R3-无稳定候选需人工看图×1,O2-高校有线索但PDFOCR缺候选×1；O5-无公开OCR候选提示×1,C1-高校补缺线索，PDF原页缺候选需人工看图×1；C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×1；P1-字段有候选回看原页和官方×1；P3-OCR齐全字段三方闭环×1,再选科目；专业计划数×3,B1-缺PDFOCR候选需人工看图,先人工看PDF原页补字段读数；再回连湖北官方侧和高校辅证记录。,P1-人工看图补候选包,1,10,a839140eabb07319,eabcde9f6c6e9cfd,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-7393091a4fb3e989,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,26,FIRSTNEXTPAGE-32ccaa96b503af88,FIRSTPAGE-7826a50352856b5d,137,right,137-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,0,0,0,0,0,1,1,1,1,1,R0-冲突优先双人核PDF原页和湖北官方侧×1,O0-PDFOCR与高校辅证冲突×1,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧×1,P3-OCR齐全字段三方闭环×3,无机器字段缺口×3,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,P0-冲突双人核页包,1,10,588116c77d461d87,a896beb783dce6a0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
FIRSTRESULTPAGE-595d2ebd8d37c1f3,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_verification_result_board_page_summary,PDF页码×版面列,页列×核验结果汇总×建议人工小包,false,false,false,false,false,false,false,false,27,FIRSTNEXTPAGE-63f297ad3b2ea6df,FIRSTPAGE-a766473a37caa4de,141,left,141-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,0,0,1,0,0,0,1,1,0,1,0,R2-机器坐标辅助核PDF原页×1,O4-无PDFOCR但有机器坐标提示×1,C4-无可比候选，需人工看图或随页列闭环×1,P0-字段无候选原页重读×2；P3-OCR齐全字段三方闭环×1,再选科目；学费×3,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,P3-机器坐标辅助核页包,1,10,21ce1305e2488821,6e49fd4e722d3164,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,页列汇总只保存状态、计数、分布、ID和SHA；不保存学校专业文本、字段读数、OCR正文、图片路径、人工记录或登录态。
