来源期号,来源PDF_SHA256,数据阶段,最终可用,关联类型,关联原候选,原候选专业组代码,2026院校专业组代码,院校代码,院校名称,来源页码,证据来源,页图文件名,页面组号审计,页面组号证据,结构化命中,专业明细行数,结构异常行数,偏好方向,风险类型,最高学费候选,V2定位结论,核验状态,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15007 第07组,C15007,C15007,C150,武汉商学院,81,full_ocr_draft,page-081.png,页面与结构化均命中,第81页第6行含C15007,是,2,2,师范类相关,中外合作或高收费；学费超过当前上限,40000,需风险复核：中外合作或高收费；学费超过当前上限,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,同校偏好专业补充组,成都理工大学 K15123 第23组,,K15114,K151,成都理工大学,208,page_visual_review_seed,page-208.png,,,是,3,0,数字媒体技术；计算机类相关,体检或色觉限制,6240,同校同页发现偏好专业，补入复核但不能沿用原候选历史线,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,成都理工大学 K15123 第23组,K15123,K15123,K151,成都理工大学,208；209,page_code_audit_only,,复核页未见候选组号且结构化未命中,,否,0,0,,,,第19期候选页未见该组号，按2026组号变化/旧组号处理,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,成都医学院 K17801 第01组,K17801,K17801,K178,成都医学院,212,full_ocr_draft,page-212.png,页面与结构化均命中,第212页第200行含K17801,是,1,0,,体检或色觉限制；医学/护理等排除方向,6670,需风险复核：体检或色觉限制；医学/护理等排除方向,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,成都医学院 K17802 第02组,K17802,K17802,K178,成都医学院,212,full_ocr_draft,page-212.png,页面与结构化均命中,第212页第203行含K17802,是,1,1,师范类相关,体检或色觉限制；医学/护理等排除方向,6670,需风险复核：体检或色觉限制；医学/护理等排除方向,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,成都师范学院 K17903 第03组,K17903,K17903,K179,成都师范学院,212,full_ocr_draft,page-212.png,页面与结构化均命中,第212页第207行含K17903,是,1,0,,,5200,可进入人工逐字段复核,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,同校偏好专业补充组,成都师范学院 K17903 第03组,,K17905,K179,成都师范学院,212,full_ocr_draft,page-212.png,,,是,1,1,数字媒体技术,,5200,同校同页发现偏好专业，补入复核但不能沿用原候选历史线,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,西安建筑科技大学 K46505 第05组,K46505,K46505,K465,西安建筑科技大学,223,full_ocr_draft,page-223.png,页面与结构化均命中,第223页第165行含K46505,是,1,0,,中外合作或高收费；学费超过当前上限,70000,需风险复核：中外合作或高收费；学费超过当前上限,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,西安财经大学 K48504 第04组,K48504,K48504,K485,西安财经大学,226,full_ocr_draft,page-226.png,页面与结构化均命中,第226页第35行含K48504,是,1,1,,中外合作或高收费,6,需风险复核：中外合作或高收费,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,西安航空学院 K48703 第03组,K48703,K48703,K487,西安航空学院,226,full_ocr_draft,page-226.png,页面与结构化均命中,第226页第173行含K48703,是,1,0,计算机类相关,中外合作或高收费；学费超过当前上限,50000,需风险复核：中外合作或高收费；学费超过当前上限,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,西安航空学院 K48704 第04组,K48704,K48704,K487,西安航空学院,226,full_ocr_draft,page-226.png,页面与结构化均命中,第226页第177行含K48704,是,2,2,,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,50000,需风险复核：中外合作或高收费；医学/护理等排除方向；学费超过当前上限,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,西安医学院 K48804 第04组,K48804,K48804,K488,西安医学院,226,full_ocr_draft,page-226.png,页面与结构化均命中,第226页第184行含K48804,是,1,0,,语种或单科限制,5000,需风险复核：语种或单科限制,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,西安医学院 K48805 第05组,K48805,K48805,K488,西安医学院,226,full_ocr_draft,page-226.png,页面与结构化均命中,第226页第188行含K48805,是,1,0,,医学/护理等排除方向,6500,需风险复核：医学/护理等排除方向,needs_manual_pdf_review,回看页图逐字段确认；再核湖北官方系统/高校章程；确认组内全部专业能否接受调剂
