第一闭环事实准入任务汇总ID,来源第一闭环事实准入门禁账本,来源第一闭环核验结果看板,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,任务汇总序号,稳定基座第一闭环明细任务ID,第一闭环核验结果ID,稳定基座第一闭环任务复核公开账本ID,稳定基座第一闭环页列包ID,页码版面键,来源页码,版面列,专业行ID,专业组出现ID,院校代码,字段名,执行泳道,第一闭环页列优先级,核验动作层级,事实范围数,字段事实数,专业名归属事实数,专业组边界事实数,准入阻断等级分布,事实类型分布,W0B0命中事实数,高校源double_check事实数,PDF湖北官方先行事实数,B0冲突事实数,需要双人复核事实数,需要人工看图事实数,结构化接入候选事实数,PDF待核事实数,湖北官方待核事实数,任务级复核状态,任务级阻断原因,PDF原页是否必核,湖北官方侧是否必核,高校辅证是否需要复核,自动辅证是否可作为核页提示,自动辅证是否可替代湖北官方计划,官方公开计划页可定稿,数智平台可定稿,事实集合SHA16,证据集合SHA16,任务准入动作,公开安全策略
FCFACTGATETASK-fa092634da53169a,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,49,FIRSTDETAIL-391717603ff99852,FIRSTRESULT-91b7130157eecd8b,FIRSTTASKREVIEW-8d1cde127fe0e238,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-b0e700912fffe743,G-69a8112ee16cf2ba,H450,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N4-PDFOCR候选人工确认,3,2,1,0,G0-W0B0核心事实优先阻断×1；G1-B0同页伴生事实阻断×2,专业名归属事实×1；字段事实-专业计划数×1；字段事实-学费×1,1,0,1,3,0,2,1,3,3,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,false,false,false,26679a6e11ab5620,e86f15e20f58c82e,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-c87300c910c8b64b,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,50,FIRSTDETAIL-39187a6d7560b6e7,FIRSTRESULT-8777e0d117c4cf48,FIRSTTASKREVIEW-b888f314b3908c62,FIRSTPAGE-b55961124bc8610b,226-left,226,left,M-896f6185282057cc,G-01338c1d774310d5,K486,专业计划数；学费；再选科目,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,N1-高校补缺线索回PDF原页,3,3,0,0,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,0,0,0,3,0,3,0,3,3,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,true,false,false,false,fca862c7b73b4cdb,9ed8a37cfc39253d,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-18ed0b7f0420933b,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,51,FIRSTDETAIL-393dba8354b77b5e,FIRSTRESULT-d5f1cc9595c73abd,FIRSTTASKREVIEW-4bd735e4d20720ba,FIRSTPAGE-97ab0abc16a6bf85,199-left,199,left,M-c0e205bf9e212204,G-37268c0379be16ef,H945,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N0-先双人核PDF原页冲突,3,3,0,0,G0-W0B0核心事实优先阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,0,3,3,3,0,3,3,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,true,false,false,false,72dbd36ec074040a,19f9a28feea31ef3,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-331133daefc6b86e,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,52,FIRSTDETAIL-39dc41c06356c551,FIRSTRESULT-49995f51833d957c,FIRSTTASKREVIEW-e1944cad76e3e314,FIRSTPAGE-0f2775b71610686e,194-left,194,left,M-50cab57f432b5cdc,G-a0f68bc50be1b3be,H857,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,1,1,0,0,G3-双人复核待完成×1,字段事实-专业计划数×1,0,0,0,0,1,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,false,false,false,false,false,33d600220728e8f8,a46585d8bba507fc,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-5c8f75749606ce9e,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,53,FIRSTDETAIL-3a235d2d79010832,FIRSTRESULT-a12fd7d04d1e5e69,FIRSTTASKREVIEW-e7e659649d7c7a56,FIRSTPAGE-878b34b3141f5010,235-right,235,right,M-d7bad17c82051950,G-98fa46f0f05ab76e,K753,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,1,1,0,0,G3-双人复核待完成×1,字段事实-专业计划数×1,0,0,0,0,1,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,false,false,false,false,false,1017561353dbe8da,18a258ae6ff4f494,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-0a19999646d34de5,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,54,FIRSTDETAIL-3fddffa420d16af2,FIRSTRESULT-1e5822cb0b79452b,FIRSTTASKREVIEW-ec2e1a3326dbadd9,FIRSTPAGE-4c0f16a37d308b85,056-left,56,left,M-294c46ae6cb755d6,G-399026bbf2fbbc18,A195,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N0-先双人核PDF原页冲突,3,3,0,0,G0-W0B0核心事实优先阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,3,0,3,0,3,3,3,3,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,true,false,false,false,4a67ae8930414c8e,b997c4b381dd512e,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-f4c9e1a489ff23b3,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,55,FIRSTDETAIL-400b9fb6c1658bc2,FIRSTRESULT-607ba0e60ddc0d31,FIRSTTASKREVIEW-208001f43250728c,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-03be14d5008a95f0,G-2432826275c85956,A033,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N5-多源一致仍待湖北官方侧,3,3,0,0,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,0,0,0,3,0,3,0,3,3,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,true,false,false,false,ef7b22031d2c6c3f,6c7476a242e71e7f,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-0955cc2378da7045,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,56,FIRSTDETAIL-41a7cf56d34c7bb6,FIRSTRESULT-0b32265de9d2d4d3,FIRSTTASKREVIEW-ad503cf41eec9ef7,FIRSTPAGE-4c8c5f6279a32c04,070-right,70,right,M-6e01e1645d19ebfd,G-facec610841ca140,C108,专业计划数；学费,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,3,2,1,0,G2-结构事实PDF湖北官方先行×1；G6-常规PDF湖北官方闭环待完成×2,专业名归属事实×1；字段事实-专业计划数×1；字段事实-学费×1,0,0,0,0,0,2,0,3,3,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,false,false,false,0c9ac594a7b46338,93480a2256f8adbe,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-85481f5972d8a2e3,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,57,FIRSTDETAIL-449c8df99faf6a51,FIRSTRESULT-0bea0269e26a2eed,FIRSTTASKREVIEW-3b7ed86d42509404,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-83af574ae53d478b,G-df1242f8618d3971,A033,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,1,1,0,0,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,0,0,0,1,1,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,true,false,false,false,false,ea7856d75686b6f2,2be49ffa592dfe4f,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-e47c23dd171df75c,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,58,FIRSTDETAIL-4643d67c0c0e950d,FIRSTRESULT-8501fb7677e1e3af,FIRSTTASKREVIEW-4d6c79d984f94054,FIRSTPAGE-4c8c5f6279a32c04,070-right,70,right,M-f9c56d652fbb33cd,G-facec610841ca140,C108,专业计划数；学费,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,N4-PDFOCR候选人工确认,3,2,1,0,G2-结构事实PDF湖北官方先行×1；G6-常规PDF湖北官方闭环待完成×2,专业名归属事实×1；字段事实-专业计划数×1；字段事实-学费×1,0,0,0,0,0,2,0,3,3,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,false,false,false,890bc37cd5a022e8,93480a2256f8adbe,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-f63bd77f17d28f9d,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,59,FIRSTDETAIL-46750a08eb17e822,FIRSTRESULT-52a7f8f9cac7ad73,FIRSTTASKREVIEW-2a09fefeb7f4b31c,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-7a3695c82b5953d6,G-69a8112ee16cf2ba,H450,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,1,1,0,0,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,0,0,0,1,1,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,true,false,false,false,false,8fcbf83784269cd3,23a3eda7c121f748,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-a6291f103345a808,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,60,FIRSTDETAIL-4a2ece3f20087581,FIRSTRESULT-948c9b0c5e8421cf,FIRSTTASKREVIEW-7832e0ea3c6c0571,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-fddc2e8a1a4582a1,G-2432826275c85956,A033,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N5-多源一致仍待湖北官方侧,3,3,0,0,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,0,0,0,3,0,3,0,3,3,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,true,false,false,false,7d6876db532f25da,6c7476a242e71e7f,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-7efbc58d3563154e,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,61,FIRSTDETAIL-4a3b29ecc48bcddc,FIRSTRESULT-1e7a79de3c2fc5bf,FIRSTTASKREVIEW-fd57d8399846a407,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-8ba195c86a925e83,G-69a8112ee16cf2ba,H450,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N1-高校补缺线索回PDF原页,3,3,0,0,G1-B0同页伴生事实阻断×3,字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,0,0,0,3,0,3,0,3,3,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,true,false,false,false,b897f1b02c72d536,079e2df0e2b229a0,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-878bc6e13b4610d5,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,62,FIRSTDETAIL-4b301da384283fec,FIRSTRESULT-13f9b70f8a4854e5,FIRSTTASKREVIEW-7679be6e6d044af2,FIRSTPAGE-cfa201a8f79e7d0e,082-right,82,right,M-3a229bd5e4d033ee,G-a0f94f54d9c97a68,C202,专业计划数,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,N2-机器坐标辅助核PDF原页,1,1,0,0,G3-双人复核待完成×1,字段事实-专业计划数×1,0,0,0,0,1,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,false,false,false,false,false,a268794d8ac8bc48,beb8c0a39bfd8b1c,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-3c81fd68afdfc48d,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,63,FIRSTDETAIL-4be2297b222daff5,FIRSTRESULT-d0b9e6a796ec8981,FIRSTTASKREVIEW-19a5402e47476b92,FIRSTPAGE-b55961124bc8610b,226-left,226,left,M-eb18c68df6af2f4d,G-01338c1d774310d5,K486,专业计划数,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,N3-无稳定候选人工看图,1,1,0,0,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,0,0,0,1,1,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,true,false,false,false,false,995da3c524f45b09,37f0f497bb148d31,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-3ef0530123f891d1,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,64,FIRSTDETAIL-4e84b7d69fa1307d,FIRSTRESULT-9e082e99e28ceff4,FIRSTTASKREVIEW-0fc41e377eb675ea,FIRSTPAGE-b55961124bc8610b,226-left,226,left,M-697f5f955ecc00c8,G-01338c1d774310d5,K486,专业计划数,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,N2-机器坐标辅助核PDF原页,1,1,0,0,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,0,0,0,1,0,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,true,false,false,false,false,6197bfd16ed8ea4e,af5f0ca2b0426928,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-c52bbf7b08c471d5,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,65,FIRSTDETAIL-4eefd8f052c8caa8,FIRSTRESULT-2d4e367be1e7dbb7,FIRSTTASKREVIEW-8c1e1de5a448d9ea,FIRSTPAGE-4c0f16a37d308b85,056-left,56,left,M-0331ffd1db7621d2,G-399026bbf2fbbc18,A195,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,1,1,0,0,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,0,0,0,1,0,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,true,false,false,false,false,9ab5c65397eb6e15,9ceb6a7a32a2c44f,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-914d91d510e1a339,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,66,FIRSTDETAIL-51b2b8463ec925df,FIRSTRESULT-f6eda864793dbef8,FIRSTTASKREVIEW-8345861c592e4dbf,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-4a71a2765412ac2a,G-69a8112ee16cf2ba,H450,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N3-无稳定候选人工看图,1,1,0,0,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,0,0,0,1,1,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,true,false,false,false,false,5d3a74482280f706,77c8c8e655f84912,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-59452445ea932d19,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,67,FIRSTDETAIL-5386851502856401,FIRSTRESULT-3ae21056a083958b,FIRSTTASKREVIEW-7b42fa23376383cc,FIRSTPAGE-ffc90431edf15154,018-left,18,left,M-93d6111287b31e95,G-2432826275c85956,A033,专业计划数,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N2-机器坐标辅助核PDF原页,1,1,0,0,G1-B0同页伴生事实阻断×1,字段事实-专业计划数×1,0,0,0,1,0,1,0,1,1,T0-待PDF原页湖北官方和必要高校辅证核验,P0字段任务尚未写入私有人工记录，禁止字段事实写回,true,true,true,false,false,false,false,4daeedf0669fb38c,e2b8ec879ee5e030,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
FCFACTGATETASK-6113db8116d65e9b,data/working/issue19-first-closure-fact-gate-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_gate,第一闭环事实准入任务汇总,稳定基座第一闭环明细任务ID×事实范围缺口,false,false,false,false,false,false,false,false,false,68,FIRSTDETAIL-55c641ecf7db1022,FIRSTRESULT-68e898d1e50896ec,FIRSTTASKREVIEW-dc7df8a12b2bb956,FIRSTPAGE-815b76bed7962001,169-right,169,right,M-b4b8560bd289f9b5,G-69a8112ee16cf2ba,H450,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,N1-高校补缺线索回PDF原页,2,2,0,0,G1-B0同页伴生事实阻断×2,字段事实-专业计划数×1；字段事实-学费×1,0,0,0,2,0,2,0,2,2,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,true,false,false,false,3760d7c0259e6374,079e2df0e2b229a0,任务内事实仍需PDF原页和湖北官方侧闭环；不得据高校源或OCR直接写回。,not_final；fact_gate_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
