全量字段页列核验队列ID,来源字段事实核验任务队列,来源页级保真复核队列,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,机器是否允许自动写回主表,机器是否允许自动回填候选,是否允许写回字段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,页列执行总序,来源页码,版面列,页码版面键,页列核验优先级桶,页列核验优先级数值,页列首要动作,包内字段任务数,包内专业行数,包内专业组数,包内院校代码数,包内字段名分布,包内字段核验优先级分布,包内字段事实阻断等级分布,包内Q0无候选阻断任务数,包内Q1有候选待人工核验任务数,包内Q2OCR齐全待三方闭环任务数,包内专业计划数字段任务数,包内学费字段任务数,包内再选科目字段任务数,包内PDF原页核验待完成任务数,包内湖北官方核验待完成任务数,包内高校官网辅证线索任务数,包内源证据P0任务数,包内源证据P1任务数,页面复核优先级,页面阻断等级,页级保真队列ID,私有页图证据编号,私有页图SHA256,私有识别材料证据编号,私有识别材料SHA256,OCR平均置信度,OCR_QC_P0数,OCR_QC_P1数,页面专业明细数,页面结构异常数,页面高严重结构异常数,字段任务ID集合SHA256,专业行ID集合SHA256,专业组出现ID集合SHA256,院校代码集合SHA256,下钻筛选键,PDF原页核页状态,湖北官方系统或省招办计划核验状态,字段事实写回状态,公开安全策略,下一步
FIELDPSIDE-11d20ed44ab3d2bc,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,112,42,right,042-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,75,25,8,2,专业计划数:25；再选科目:25；学费:25,P0-字段无候选原页重读:30；P1-字段有候选回看原页和官方:6；P3-OCR齐全字段三方闭环:39,Q0-字段缺口无候选阻断:51；Q1-字段缺口有候选待人工核验:18；Q2-OCR字段齐全但PDF和官方未闭环:6,51,18,6,25,25,25,75,75,0,0,48,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-f6618a584517c5e3,page-042,d03360b79ed50536f887a1bb9d85422c230cd2926991a02dc916504ccefb6f19,042_page-042,2bf85e9e67ae9b310d09e2b56e6fffe7e9787bac68ee45772e1c569252934d92,0.7466,67,69,63,18,14,7b5accbfb4a527c0dc6665763e6076d0e2b4e4671fed8241a7828a0febdf2b98,507c7e15ba84746f4a1ef489539955464b84699f4c3a6222426d49eb28af6682,7ccd3151448c219bd95834cb54ba7270ef6d55f69ede4378cd8c8bfb355eb86d,aafccb37823d1e8255ccb0c43d080263d3a571b699cd9a465549630a8a819237,来源页码=42；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-efee3b6ca7fc2d7c,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,113,157,right,157-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,72,24,8,2,专业计划数:24；再选科目:24；学费:24,P0-字段无候选原页重读:31；P1-字段有候选回看原页和官方:4；P3-OCR齐全字段三方闭环:37,Q0-字段缺口无候选阻断:51；Q1-字段缺口有候选待人工核验:12；Q2-OCR字段齐全但PDF和官方未闭环:9,51,12,9,24,24,24,72,72,0,0,12,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-316d83b1dca3b25d,page-157,e18e87288da8f60c1e553a32bbd167761a1a84d41a7fe7100290d979c3b77914,157_page-157,480adcfa1ce76917b4afa0bef3fcca871bc1345d360a99479364847f1391fb50,0.6862,100,55,48,11,3,da22dc3843c8bd8562365aff1cffbf41de0cf07393d592144401881f2db2bdf5,c62d5fbe6bbb47a4583b9757a8b1a18d7575a8795288bcae9b8d1b1e5ed6d9bd,6fd2cdf1c32afdc00c8605eb0bab8eb78794ea1e89df9301316af613411b2bfa,c0b86abdf218aca2741415b47a3ced50ff480f0b7816eb0845d2cd8af1c3bdac,来源页码=157；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-90616be6261e07eb,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,114,22,right,022-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,66,22,4,2,专业计划数:22；再选科目:22；学费:22,P0-字段无候选原页重读:36；P1-字段有候选回看原页和官方:4；P3-OCR齐全字段三方闭环:26,Q0-字段缺口无候选阻断:51；Q1-字段缺口有候选待人工核验:12；Q2-OCR字段齐全但PDF和官方未闭环:3,51,12,3,22,22,22,66,66,0,0,54,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-bd6fee9d916391a9,page-022,60ce04cb6205a4e37063568d5dc2d46c529137dbcae9941f14e3559a1ac3f560,022_page-022,3c956b64fbac8195462d9bb2f67e453097c9a7b715a1d7f97e7e5ffce4e27a6f,0.7286,77,83,42,23,18,d8c885bbadfe6dc38a1c1fa6b4bca4dd4e3b36bbe58b834b6b7a165c3621b6a1,5ee07ca3257ba1cf0397bd84133112e2859b798e18f23a8bd0de13d0b2a961f6,35af02420f907045648233bb1aa14e7db10516042b3cb31e947c01b7e43009be,61996898c9cf2dbfbf28aa26c2c996a5d08fe2a414cd04feb1f650fde79c98dc,来源页码=22；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-951fcf9d3ce75655,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,115,41,right,041-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,63,21,6,1,专业计划数:21；再选科目:21；学费:21,P0-字段无候选原页重读:17；P3-OCR齐全字段三方闭环:46,Q0-字段缺口无候选阻断:51；Q2-OCR字段齐全但PDF和官方未闭环:12,51,0,12,21,21,21,63,63,0,0,45,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-ad960cb7d5e3a362,page-041,4298303f069d06e8a4f575425787036216e6f9b540cdcb19d4bc7b9cda443b8d,041_page-041,b988e00d7ddca15cd51167ef3571cae9fe11eef708b57362c7ab8390f87815a7,0.7302,73,76,50,4,1,d7b53a953666e926f3a3f2fd5d2f8592430373c9d197ee3e2b602c9c5c7ad5fa,cb65db875eef679e07ae986634c1b9f0d770d25bac985953b18c8ac6fad04185,bdbf1f0094e835a74ed39a633f0a59b114b92b07c978abce2279254282d52ac5,0f864ec4b08faf20d8fed4c6def1023b264cbe4a195acc1af1c9020dda902c2d,来源页码=41；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-8a0d0064b3637169,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,116,164,left,164-left,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,129,43,5,3,专业计划数:43；再选科目:43；学费:43,P0-字段无候选原页重读:57；P1-字段有候选回看原页和官方:27；P3-OCR齐全字段三方闭环:45,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:81,48,81,0,43,43,43,129,129,0,0,57,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-0bc7be5ffcbaa47b,page-164,2c0e2ecd289f9fb1c7837e2c729ce3bc1c2b39e9800f18d97638061b662d1eb5,164_page-164,eaf538849b4f21b93a9554d2e06026f808fef0403235d26b949efa55f5abfe69,0.7315,86,57,78,31,18,143c2d28265fd527f6ca0852987812ed824d80f061a20676c679548b8f64f4ef,190d7313048c65a4ddb254b78eb875161c7b482594bc463de77e1ea7765c19bb,62b0c900e029c7efe23c60fd19107743ef0966e425ec285136d012b110f8b15e,5188ea346c7cf7ecf43973e456ea1d6a319c80f19acc59d284382b68432c134a,来源页码=164；版面列=left,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-981c26b2ba740e05,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,117,151,right,151-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,117,39,6,4,专业计划数:39；再选科目:39；学费:39,P0-字段无候选原页重读:23；P1-字段有候选回看原页和官方:21；P3-OCR齐全字段三方闭环:73,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:63；Q2-OCR字段齐全但PDF和官方未闭环:6,48,63,6,39,39,39,117,117,0,0,54,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-a63ea124ddb0bc7d,page-151,cd61276d65fa72a1d5bc3a83887e1e48e62bfa3a1acc627b6ff343e516716cf0,151_page-151,744f191bd65746c30ca94966f8ded840ee72ef45c17a7bc51ed1af412498d1cf,0.6912,78,130,77,15,7,b1c8c25c8aaa7c4de16f22fdf3f6239c1074e038a5e78948964a6cbd13f76efd,e1a20362448ef1b896a6030fb2d68330792d90d04f44e721661e244b891cdb64,c8d5de14f8115d396ab95401208b243a97606f657d4c621cd40ac27a3c0dade6,c5003387aa11f5a828b6512245ad05503c68603c78d8696ca85b675bec78aefe,来源页码=151；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-7c2151a22257938c,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,118,107,left,107-left,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,111,37,8,2,专业计划数:37；再选科目:37；学费:37,P0-字段无候选原页重读:21；P1-字段有候选回看原页和官方:16；P3-OCR齐全字段三方闭环:74,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:48；Q2-OCR字段齐全但PDF和官方未闭环:15,48,48,15,37,37,37,111,111,0,0,48,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-4e9adbfac72f6970,page-107,7e303265f415a1e02e9080c0651a360e30d072c265a8c9ff0d43fc22ad70425c,107_page-107,c207c69b694235c183d5fd69e1d2c9ada9b4d17f642006c3ca077465f68adc05,0.7493,82,62,82,12,2,2cab289cf9b90d53488963f685e7f26a199470c49ec119d8af91b5ddd256ee44,579f8c8073d67d730b6b3902bf9aedb4cd9100271dd5763dfc8501cfe4fe053b,8b9261df06dbbdf952937b350c7cd7b93639feb6c8218cf7f73090f9d2dd725a,94aa5bc4d0a75cf53b6adf257dcead3003f52000b90a43522ae22578a229dad6,来源页码=107；版面列=left,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-5a0cc283cfa8dfc6,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,119,113,right,113-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,96,32,6,4,专业计划数:32；再选科目:32；学费:32,P0-字段无候选原页重读:21；P1-字段有候选回看原页和官方:14；P3-OCR齐全字段三方闭环:61,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:42；Q2-OCR字段齐全但PDF和官方未闭环:6,48,42,6,32,32,32,96,96,0,0,60,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-657a0638d2db4bd0,page-113,1cacbf75577c5289574a34170a1411adbce41661a5ad8b8bcdbda52c807a801d,113_page-113,d2fe63c732dba85f9f2079c7721bc5c5e3bc47a62808aac7415cfc08126cbb9f,0.7131,59,93,60,9,4,53bed649b80fc686a87c4bc8003eb703e64c059a17583f75175ec95af7a7af2f,ab85001e14527a2179fe582a181d99520f10ee03701ff81f68d325a422650c6c,e9d6865934ec9538e5e5e270ed96baccd324c57a5566877a2a08bb8a7daecade,513fb6ba0362018751c8cb1f5bbbc036f989fce8ce9da23fbe301e704702aa53,来源页码=113；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-6ace5b3b76e26a4f,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,120,192,right,192-right,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,75,25,12,5,专业计划数:25；再选科目:25；学费:25,P0-字段无候选原页重读:34；P1-字段有候选回看原页和官方:9；P3-OCR齐全字段三方闭环:32,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:27,48,27,0,25,25,25,75,75,0,0,57,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-03e130445dd88a22,page-192,088d7788e687383ac4a2671136088d49381fa4edfb1a5d4c7f44928a13bf2db3,192_page-192,10820109b977ebb97356b5709213e1e766ec82116eaba4f57cf7d41ae484aeda,0.6404,95,106,58,38,33,2f0e4a671681546b2345567e62ee3f3787897cd65ec7114aeab28716aafd7e9f,4770ac523bbe10fb5dfdc4d5c12648319ff39313cf51753f01287030a1286ade,5181862041998edc17a1f6feaccab1a29cd3a880991ba7f882ed916683658243,94d942319629e6c89f9353e7aae1dbe7e5a9491cdcaac1fec14014d39b24ba5c,来源页码=192；版面列=right,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-5b2163256a78463b,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,121,201,left,201-left,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,87,29,7,2,专业计划数:29；再选科目:29；学费:29,P0-字段无候选原页重读:19；P1-字段有候选回看原页和官方:9；P3-OCR齐全字段三方闭环:59,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:24；Q2-OCR字段齐全但PDF和官方未闭环:15,48,24,15,29,29,29,87,87,0,0,6,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-f7061777519f2825,page-201,5080967614c8c5a15dd268c0fbc4c993925ad68ead3b3fe859f0fc00bcee24de,201_page-201,79dceb89c9f7dbee23c935b56b009412a551b264cd733d6bd024060283936ade,0.7052,123,34,55,13,4,62c9eb38870c6cc1ab283cff52e831f98deddea15347e6b9bb11eb9631332ca7,58618e82673b93ffe9dbe07f81d4659628b8681bef559e85ec709691ab3c25e6,f3258dc165fb290789a97e736039777dc5d91987b0156e1fed42babd9e968f56,0b0d155b1a06efb660452879893a640ed194cb350cce0db5d73f338fe1033200,来源页码=201；版面列=left,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-c00f0ad038d3d11e,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,122,120,left,120-left,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,87,29,8,2,专业计划数:29；再选科目:29；学费:29,P0-字段无候选原页重读:27；P1-字段有候选回看原页和官方:7；P3-OCR齐全字段三方闭环:53,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:21；Q2-OCR字段齐全但PDF和官方未闭环:18,48,21,18,29,29,29,87,87,0,0,24,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-662499b6cfd85694,page-120,58bacd2fb07e05210e2cd4fea118e64ac1ddf619f1ff53eba21a5f96fbb5fc9e,120_page-120,2d1f0a46ce8f674953d219261b990e6dbc2d5aaa8410d15143ba6037fdcc4530,0.7031,101,57,64,5,3,be80dd8595f5a83d3934524271990015a33c18835b7f00811384fa20a5a235dc,f6308b62de325335fa8fcd3de577402d7670b7a6d032b10d0b620296ec2c03eb,0731a4a5066be146d5e119344583444a087d29aed87b00286780c48c78723336,4db4d5e79aab97bb0b4a4b91c11c4d90d36706180b60329b3d7c562f49b734d0,来源页码=120；版面列=left,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-deb76d72d9bad073,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,123,126,left,126-left,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,87,29,18,4,专业计划数:29；再选科目:29；学费:29,P0-字段无候选原页重读:21；P1-字段有候选回看原页和官方:5；P3-OCR齐全字段三方闭环:61,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:15；Q2-OCR字段齐全但PDF和官方未闭环:24,48,15,24,29,29,29,87,87,0,0,45,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-b771c29199fc4e23,page-126,9698ae067127b5531e64457c1e9ef221d26c7862897d9e3006f0b5a997a01fe6,126_page-126,f7225e4406193ca44937fd62796baa61cf680c2d620d0ef76a214748e99ba26e,0.7192,92,68,68,34,19,60a4390e425b3e3b15a0902217fc66ccde11f701364b899986498d68ad7fb040,5066b741b463167ed233adfa3879c41cedb0142ab86c3122fdde836c5b8d9107,d7d30b2480a4a50ec30225f2851105b94f4369235a1eb75cf3fbf834f2d14b58,4254437d5b4b0f2b3bc28e529c93234c94297bc2861172ef220ae9153fb4d59d,来源页码=126；版面列=left,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-15a9352542d2046f,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,124,47,left,047-left,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,66,22,4,1,专业计划数:22；再选科目:22；学费:22,P0-字段无候选原页重读:19；P1-字段有候选回看原页和官方:4；P3-OCR齐全字段三方闭环:43,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:12；Q2-OCR字段齐全但PDF和官方未闭环:6,48,12,6,22,22,22,66,66,0,0,45,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-8d0dd1d4cd13725f,page-047,144e2a60d86308aac5b429c482a5b6c3299eb22f37cb4bc163092c5a1dfd7f4a,047_page-047,478311a23a61963a0b963c75ca7c5309ae0835411db367735ee42ce24eece116,0.6655,71,90,33,8,3,ea8eb9e4065d27789f0e7b21ace9057ba775721567e197a82b76a95968766ccb,05c882fbb3e6d7fddfc27a44102dd98af75d0da3e75205eb1fdff0b7b16b206a,5eb9f7a9981d64b96d8162d87f27abedcfb0571fa17924bfd81f91c6ff999ed4,f2384a46c0213beb141f11ea21a65cc37fbce471463d6efb7dcdbd19cd7619d5,来源页码=47；版面列=left,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
FIELDPSIDE-ded17ff65fbc1aa7,data/working/issue19-field-fact-verification-tasks.csv,data/working/issue19-page-fidelity-review-queue.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_field_fact_page_side_verification_queue,PDF页码×版面列,PDF页码×版面列×全量字段事实核验任务,false,false,false,false,false,false,false,125,213,left,213-left,V0-Q0无候选阻断页列先核,0,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。,66,22,8,3,专业计划数:22；再选科目:22；学费:22,P0-字段无候选原页重读:16；P1-字段有候选回看原页和官方:4；P3-OCR齐全字段三方闭环:46,Q0-字段缺口无候选阻断:48；Q1-字段缺口有候选待人工核验:12；Q2-OCR字段齐全但PDF和官方未闭环:6,48,12,6,22,22,22,66,66,9,0,18,P0-必须优先核页,F0-本页存在阻断级专业行,PAGEFID-70af0f16b3f07bed,page-213,9cb1b5288335b1d4e503913ea75d60b98b72ba2d7c1c82d95ba3b9323f19fcf0,213_page-213,62ba5a6443193ecf3b3eb62dce1f28512851b1abdeab1268d4e009a1c0395da5,0.6922,89,106,54,18,7,7e6f0b586075a39e477e0f5f349d0915b225abaa7fd5ba0458ba7ee8e79f4d99,3f60dc2e85d274fe544434b1df7a7473731e7fa4d14d0c03ab733edcaa002ea7,0db621918024dabca500347b20b0677fda939a5160046bfeba47dfd9e0070795,5fd0565daa92982080ff0c7b131ad3cd94b063adc7c85c886108737c0d231e61,来源页码=213；版面列=left,pending_manual_pdf_review,pending_hubei_official_review,blocked_until_pdf_and_hubei_official_fields_verified,只公开页列执行顺序、任务数量、状态、证据编号、SHA和任务集合哈希；不公开字段候选值、人工确认值、私有识别材料、图片路径、院校名、专业名、专业代号或专业组代码。,先按页列重读无候选字段，优先补专业计划数、再选科目和学费缺口。 完成后仍需湖北官方系统或省招办计划核验。
