第一闭环证据状态公开账本ID,来源第一闭环字段确认公开账本,来源第一闭环任务复核公开账本,来源第一闭环PDFOCR候选公开审计,来源第一闭环字段状态看板,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,证据状态总序,稳定基座第一闭环明细任务ID,第一闭环字段确认公开账本ID,稳定基座第一闭环任务复核公开账本ID,第一闭环PDFOCR候选公开审计ID,第一闭环字段状态看板ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,第一闭环页列优先级,执行泳道,人工核验泳道,人工核验方式,人工核验动作,必须完成证据步骤,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校辅证证据状态,湖北官方侧状态,冲突状态,三方闭环状态,字段写回门禁,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,PDFOCR提示审阅桶,PDFOCR与高校辅证关系桶,候选提示综合桶,官网辅证自动动作,官网证据强度,官网来源状态,计划数核验状态,页列主阻断,页列建议下一步动作,公开安全策略,下一步
FIRSTEVID-903c65941366e18b,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,32,FIRSTDETAIL-2805b5347b8e40ae,FIRSTFCONF-51ccb4649f27aac4,FIRSTTASKREVIEW-51ccb4649f27aac4,FIRSTPDFOCR-51ccb4649f27aac4,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-cdfe659d6ddbb7d7,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F2-PDFOCR候选人工确认,单人初核加抽检,按PDFOCR候选回看PDF原页，再核湖北官方侧,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,false,false,false,P1-缺PDFOCR候选需人工看图,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,ocr_plan_missing_official_available,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-ddce8448fedbfe36,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,33,FIRSTDETAIL-2f3d5f6bcb8b8c58,FIRSTFCONF-c40a4a43ae928501,FIRSTTASKREVIEW-c40a4a43ae928501,FIRSTPDFOCR-c40a4a43ae928501,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-13b19a3991c8159a,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F2-PDFOCR候选人工确认,单人初核加抽检,按PDFOCR候选回看PDF原页，再核湖北官方侧,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,false,false,false,P1-缺PDFOCR候选需人工看图,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,ocr_plan_missing_official_available,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-42b91ebe6dd0a9fc,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,34,FIRSTDETAIL-2fc55fcaedc06c57,FIRSTFCONF-8ea5db5ce18c96f6,FIRSTTASKREVIEW-8ea5db5ce18c96f6,FIRSTPDFOCR-8ea5db5ce18c96f6,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-4a71a2765412ac2a,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F2-PDFOCR候选人工确认,单人初核加抽检,按PDFOCR候选回看PDF原页，再核湖北官方侧,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,false,false,false,P1-缺PDFOCR候选需人工看图,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,ocr_plan_missing_official_available,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-eb7f1878b22fa2d9,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,35,FIRSTDETAIL-32bdf82346802bf7,FIRSTFCONF-787bfb9a93c62a4c,FIRSTTASKREVIEW-787bfb9a93c62a4c,FIRSTPDFOCR-787bfb9a93c62a4c,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-9710c4b647b66507,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F2-PDFOCR候选人工确认,单人初核加抽检,按PDFOCR候选回看PDF原页，再核湖北官方侧,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,false,false,false,P1-缺PDFOCR候选需人工看图,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,ocr_plan_missing_official_available,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-963140d0eac430c0,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,36,FIRSTDETAIL-391717603ff99852,FIRSTFCONF-8d1cde127fe0e238,FIRSTTASKREVIEW-8d1cde127fe0e238,FIRSTPDFOCR-8d1cde127fe0e238,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-b0e700912fffe743,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F2-PDFOCR候选人工确认,单人初核加抽检,按PDFOCR候选回看PDF原页，再核湖北官方侧,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,false,false,false,false,P3-有候选但需人工确认,R3-仅PDFOCR候选待人工核页,H2-已有PDFOCR候选,C7-官网源未匹配专业需人工确认专业名,unmatched,has_partial_source_needs_followup,not_covered,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-8e091b6eefbb83f2,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,37,FIRSTDETAIL-4a3b29ecc48bcddc,FIRSTFCONF-fd57d8399846a407,FIRSTTASKREVIEW-fd57d8399846a407,FIRSTPDFOCR-fd57d8399846a407,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-8ba195c86a925e83,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数；学费；再选科目,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F2-PDFOCR候选人工确认,单人初核加抽检,按PDFOCR候选回看PDF原页，再核湖北官方侧,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,false,false,false,P1-缺PDFOCR候选需人工看图,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,ocr_plan_missing_official_available,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-8a469f95bfbdee16,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,38,FIRSTDETAIL-55c641ecf7db1022,FIRSTFCONF-dc7df8a12b2bb956,FIRSTTASKREVIEW-dc7df8a12b2bb956,FIRSTPDFOCR-dc7df8a12b2bb956,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-b4b8560bd289f9b5,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F2-PDFOCR候选人工确认,单人初核加抽检,按PDFOCR候选回看PDF原页，再核湖北官方侧,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,false,false,false,P1-缺PDFOCR候选需人工看图,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,ocr_plan_missing_official_available,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-c553314f86a10787,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,39,FIRSTDETAIL-5bf24e503db69e71,FIRSTFCONF-2d9b5efb819d8af7,FIRSTTASKREVIEW-2d9b5efb819d8af7,FIRSTPDFOCR-2d9b5efb819d8af7,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-7a3695c82b5953d6,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F2-PDFOCR候选人工确认,单人初核加抽检,按PDFOCR候选回看PDF原页，再核湖北官方侧,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,false,false,false,P1-缺PDFOCR候选需人工看图,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,ocr_plan_missing_official_available,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-bbe4f58fe2d396db,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,40,FIRSTDETAIL-d865ed334f79ac8b,FIRSTFCONF-010dadbeb632e8af,FIRSTTASKREVIEW-010dadbeb632e8af,FIRSTPDFOCR-010dadbeb632e8af,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-d7ad035436e7d0f7,G-69a8112ee16cf2ba,H450,自动官网辅证任务,专业计划数；学费,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F2-PDFOCR候选人工确认,单人初核加抽检,按PDFOCR候选回看PDF原页，再核湖北官方侧,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P2-有PDFOCR提示，仍待PDF原页人工确认,O2-高校有线索但PDFOCR缺候选,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C1-高校补缺线索，PDF原页缺候选需人工看图,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,false,false,false,P1-缺PDFOCR候选需人工看图,R2-高校有线索但PDFOCR缺候选,H2-已有PDFOCR候选,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,ocr_plan_missing_official_available,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-a47d493e05989c17,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,41,FIRSTDETAIL-04f5273e386af8c6,FIRSTFCONF-c2f264c0e5ead1dc,FIRSTTASKREVIEW-c2f264c0e5ead1dc,FIRSTPDFOCR-c2f264c0e5ead1dc,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-90b2fc54c5bc2e5c,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F4-无候选人工看图,人工看图,直接回看PDF原页和页列上下文,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,false,P1-缺PDFOCR候选需人工看图,R5-无候选需人工看图,H4-无候选需人工看图,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-bcf42a1aafb1d18f,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,42,FIRSTDETAIL-26a4a2d46176a22b,FIRSTFCONF-0525b9b91056ad6f,FIRSTTASKREVIEW-0525b9b91056ad6f,FIRSTPDFOCR-0525b9b91056ad6f,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-13b19a3991c8159a,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F4-无候选人工看图,人工看图,直接回看PDF原页和页列上下文,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,P1-缺PDFOCR候选需人工看图,R5-无候选需人工看图,H4-无候选需人工看图,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
FIRSTEVID-f60e7c078862cd82,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-field-status-dashboard.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_evidence_status_report,第一闭环明细任务,专业行ID×字段或高校辅证任务×公开证据状态,false,false,false,false,false,false,false,false,43,FIRSTDETAIL-2bedee7b9c7f7990,FIRSTFCONF-6f5057d8480192c0,FIRSTTASKREVIEW-6f5057d8480192c0,FIRSTPDFOCR-6f5057d8480192c0,FIRSTFSTATUS-815b76bed7962001,FIRSTPAGE-815b76bed7962001,169,right,169-right,M-7489ddca4dfd3dd8,G-69a8112ee16cf2ba,H450,P0人工字段任务,专业计划数,Q0-冲突页列第一批先核,E0-冲突异常双人优先核验,F4-无候选人工看图,人工看图,直接回看PDF原页和页列上下文,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,false,false,false,false,true,true,P1-缺PDFOCR候选需人工看图,R5-无候选需人工看图,H4-无候选需人工看图,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,公开层只保存证据状态桶、计数、ID和SHA；不公开字段值、OCR原文、学校专业明细、人工记录或私有路径,按页列先核PDF原页，再核湖北官方侧；有高校辅证线索的任务只作double check，不替代湖北官方计划
