来源期号,来源PDF_SHA256,数据阶段,最终可用,关联类型,关联原候选,2026院校专业组代码,组内序号,证据来源,院校代码,院校名称OCR,院校专业组代码,专业组名称,来源页码,页图文件名,页面证据,专业组再选科目候选,专业组计划数候选,专业代号,专业名称及备注,再选科目候选,专业计划数候选,学费候选,学费数字候选,偏好和风险标签,偏好方向,风险类型,字段完整性标记,结构异常规则ID,结构异常类型,视觉复核说明,核验状态,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉体育学院 C10704 第04组,C10704,3,page_visual_review_seed,C107,武汉体育学院,C10704,武汉体育学院第04组,69,page-069.png,页图第69页右栏；页面OCR第201-204行；C10704后至C10705前,化学,20,14,数据科学与大数据技术,化学,7,4000,4000,priority_2_computer,计算机类相关,,,,,页图和页面OCR均出现C10704，但全量专业组表未拆出；先按页图写入复核种子，不直接作为最终事实。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,同页相邻风险组,武汉体育学院 C10703/C10704 同页边界复核,C10705,1,page_visual_review_seed,C107,武汉体育学院,C10705,武汉体育学院第05组,69,page-069.png,页图第69页右栏；页面OCR第205-206行；C10705后至C108前,化学,7,15,康复治疗学（中外合作办学）,化学,7,48000,48000,high_fee_or_coop;rejected_medical;tuition_over_15000,,中外合作或高收费；医学/护理等排除方向；学费超过当前上限,,,,页图显示C10705为中外合作高收费医学相关风险组；用于说明同页边界，不进入主方案。,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,1,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,46,化学工程与工艺,,77,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,2,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,47,功能材料,,43,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,3,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,48,机械类（含机械设计制造及其自动化、智能制造工程专业）,,312,5200,5200,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,4,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,49,食品科学与工程类（含食品科学与工得、食品质量与安全、粮食工程、食品营养与健康专业）,,343,5200,5200,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,5,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,50,康复治疗学,,37,4000,4000,rejected_medical,,医学/护理等排除方向,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,6,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,51,药学,,70,4000,4000,rejected_medical,,医学/护理等排除方向,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,7,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,52,生物技术,,75,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,8,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,53,生物工程类（含生物工程、合成生物学专业）,,74,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,9,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,54,制药工程,,80,4000,4000,rejected_medical,,医学/护理等排除方向,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,10,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,55,生物信息学,,80,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,11,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,56,动物科学,,51,3000,3000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,12,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,57,动物药学,,24,3000,3000,rejected_medical,,医学/护理等排除方向,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,13,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,58,水产养殖学,,31,3000,3000,,,,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,14,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,59,应用生物科学,,35,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,15,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,60,护理学,,50,4000,4000,rejected_medical,,医学/护理等排除方向,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,16,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,61,环境工程,,49,4000,4000,,,,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,17,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,62,包装工程,,40,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,18,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,63,士木类（含土木工程、智能建造专业）,,80,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,19,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,64,机器人工程,,55,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,20,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,65,动物科学（伴侣动物方向）,,26,3000,3000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉轻工大学 C12508 第08组,C12508,21,full_ocr_draft,C125,武汉轻工大学,C12508,C12508/武汉轻工大学第 08 组,74,page-074.png,全量OCR结构化初稿；需回看页图逐字段确认,,77；43；312；343；37；70；75；74；80；51；24；31；35；50；49；40；55；26；22,66,饲料工程,,22,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15003 第03组,C15003,1,full_ocr_draft,C150,武汉商学院,C15003,CI5003/武汉商学院第03组,80,page-080.png,全量OCR结构化初稿；需回看页图逐字段确认,不限,9；8；66；63；𩢤选；人数；10；19；61；18；20；12；14；21；25；24；7；17；242,21,零售业管理（智慧运营方向；大一在马影河校区就读，大二起在后官湖校区就读）,不限,9,5200,5200,,,,,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15003 第03组,C15003,2,full_ocr_draft,C150,武汉商学院,C15003,CI5003/武汉商学院第03组,80,page-080.png,全量OCR结构化初稿；需回看页图逐字段确认,不限,9；8；66；63；𩢤选；人数；10；19；61；18；20；12；14；21；25；24；7；17；242,22,零售业管理（数智营销方向：大一在马影河校区就读，大二起在后官湖校区就读）,,8,5200,5200,,,,missing_subject_candidate;low_ocr_confidence,low_ocr_confidence,OCR置信度低,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15003 第03组,C15003,3,full_ocr_draft,C150,武汉商学院,C15003,CI5003/武汉商学院第03组,80,page-080.png,全量OCR结构化初稿；需回看页图逐字段确认,不限,9；8；66；63；𩢤选；人数；10；19；61；18；20；12；14；21；25；24；7；17；242,23,大数据管理与应用（大一在马影河校区就读，大二起在后官湖校区就读）,,66,4000,4000,priority_2_computer,计算机类相关,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15003 第03组,C15003,4,full_ocr_draft,C150,武汉商学院,C15003,CI5003/武汉商学院第03组,80,page-080.png,全量OCR结构化初稿；需回看页图逐字段确认,不限,9；8；66；63；𩢤选；人数；10；19；61；18；20；12；14；21；25；24；7；17；242,24,数字经济（大一在马影河校区就读，大資高謝亭院校专业组及专业代号二起在后官湖校区就读）,,63,4000,4000,,,,missing_subject_candidate,major_text_embeds_page_header,专业名称疑似串入页眉或栏目文字,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15003 第03组,C15003,5,full_ocr_draft,C150,武汉商学院,C15003,CI5003/武汉商学院第03组,80,page-080.png,全量OCR结构化初稿；需回看页图逐字段确认,不限,9；8；66；63；𩢤选；人数；10；19；61；18；20；12；14；21；25；24；7；17；242,25,经济与金融（大一在马影河校区就读，大二起在后官湖校区就读）,,10,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15003 第03组,C15003,6,full_ocr_draft,C150,武汉商学院,C15003,CI5003/武汉商学院第03组,80,page-080.png,全量OCR结构化初稿；需回看页图逐字段确认,不限,9；8；66；63；𩢤选；人数；10；19；61；18；20；12；14；21；25；24；7；17；242,26,南务经济学（大一在马影河校区就读，大二起在后官湖校区就读）,,19,5200,5200,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15003 第03组,C15003,7,full_ocr_draft,C150,武汉商学院,C15003,CI5003/武汉商学院第03组,80,page-080.png,全量OCR结构化初稿；需回看页图逐字段确认,不限,9；8；66；63；𩢤选；人数；10；19；61；18；20；12；14；21；25；24；7；17；242,27,经济统计学（大一在马影河校区就读，大二起在后官湖校区就读）,,61,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,candidate_v2_review_seed,false,历史候选,武汉商学院 C15003 第03组,C15003,8,full_ocr_draft,C150,武汉商学院,C15003,CI5003/武汉商学院第03组,80,page-080.png,全量OCR结构化初稿；需回看页图逐字段确认,不限,9；8；66；63；𩢤选；人数；10；19；61；18；20；12；14；21；25；24；7；17；242,28,税收学（大一在马影河校区就读，大三起在后官湖校区就读）,,18,4000,4000,,,,missing_subject_candidate,,,,needs_manual_pdf_review,逐字段核对专业代号、专业名称、计划数、学费、选科、备注；再判断调剂可接受性
