页级保真队列ID,来源页级manifest,来源底座按页审计,来源全量逐专业保真总账,来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,PDF页码,页码范围角色,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,私有OCR文本SHA256,OCR识别行数,OCR平均置信度,OCR_QC_P0数,OCR_QC_P1数,疑似招生计划行数,页面复核优先级,页面阻断等级,页面审计状态,页面专业组数,页面专业明细数,页面院校数,页面结构异常数,页面高严重结构异常数,高风险保真行数,低风险行数,F0阻断行数,F1高优先行数,F2待补证行数,F3低风险非最终行数,P0结构串行行数,P1计划数保真行数,P2家庭费用行数,P3选科限制行数,P4调剂风险行数,P5偏好或普通待核行数,P6暂未触发机器高风险行数,空专业名行数,高严重结构异常专业行数,结构异常专业行数,计划数字段风险行数,学费字段风险行数,再选科目字段风险行数,家庭底线风险行数,偏好专业行数,候选池V1专业明细数,样本学校专业明细数,涉及院校数,涉及专业组数,风险字段Top,风险规则Top,必须核验字段,是否可进入最终页级结论,可进入下一阶段,下一步
PAGEFID-25aeac293791c790,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,71,招生计划明细页,page-071,c2a394e655d1ed6e2ef52670ce5175ff5f0e5d4a35cf63d56d46e038f969d2d7,071_page-071,d8eba40347345f85c4ad6198d197aba098f3387a943ea8c0ed8ed2a7855bae88,269,0.7164,46,94,20,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,11,72,3,14,2,69,3,16,32,21,3,2,41,3,23,0,0,3,0,2,13,27,15,68,19,8,0,14,3,12,再选科目字段:68；调剂风险:44；组内字段风险:43；计划数字段:27；家庭底线:19；学费字段:15；结构异常:13；OCR置信度:9,missing_subject_candidate:68；group_has_plan_count_untrusted:43；group_has_rejected_medical_or_nursing:40；missing_plan_count_candidate:27；plan_count_not_verified_numeric:27；medical_or_nursing_rejected:15；family_machine_reject_medical:15；missing_tuition_candidate:15,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-2ae035edad62f8dd,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,72,招生计划明细页,page-072,c14df1e9486448b3cd931376ea0cb934a1f1ba02e1661d5d89353215e22fb6d4,072_page-072,42f63cb317ae9440ee2fcc74c9c1c3cd9e6b04c8ef6ab1790e50c4aaada34087,335,0.7567,77,73,22,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,19,70,3,12,5,68,2,23,33,12,2,4,15,20,25,1,3,2,0,4,11,2,1,54,22,14,0,49,3,18,调剂风险:57；再选科目字段:54；家庭底线:22；组内字段风险:16；偏好专业:14；结构异常:11；OCR置信度:6；特殊限制:4,missing_subject_candidate:54；group_has_rejected_medical_or_nursing:31；group_has_special_requirement_pending:24；medical_or_nursing_rejected:20；family_machine_reject_medical:20；group_has_plan_count_untrusted:16；preference_major_candidate:14；structure_anomaly:7,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-6d80d2dc65d43514,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,73,招生计划明细页,page-073,f679c7b6c149befa3cedc6cd987fc55da8add3e51910848f89b9841620f94db8,073_page-073,2d91b379ea9bd364c3b386a1c92e5317449aade3d632b73372fbb62427f6fa7b,343,0.7528,75,79,22,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,10,80,2,15,2,78,2,5,41,32,2,2,0,3,71,1,1,2,0,2,14,1,0,74,3,23,0,15,3,11,再选科目字段:74；调剂风险:51；偏好专业:23；结构异常:14；OCR置信度:9；特殊限制:4；家庭底线:3；计划数字段:1,missing_subject_candidate:74；group_has_rejected_medical_or_nursing:31；preference_major_candidate:23；group_has_special_requirement_pending:20；structure_anomaly:12；low_ocr_confidence:9；special_requirement_pending:4；family_machine_pending_special:4,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-bd2d4c723a32faa5,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,74,招生计划明细页,page-074,ff491a3da8d096f7f2a73410dbeee588792575e1b274b9924143e4742aa3ee40,074_page-074,2f35e2b795bf068679384706de163826161d3f3e1b39cff5510c369ed3cae6e4,353,0.7402,84,79,16,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,17,81,3,26,7,76,5,14,30,32,5,7,5,6,53,1,4,5,0,7,23,5,0,64,9,9,21,81,3,17,再选科目字段:64；调剂风险:34；结构异常:23；OCR置信度:18；家庭底线:9；偏好专业:9；组内字段风险:8；计划数字段:5,missing_subject_candidate:64；group_has_rejected_medical_or_nursing:24；low_ocr_confidence:18；structure_anomaly:16；preference_major_candidate:9；group_has_special_requirement_pending:9；group_has_plan_count_untrusted:8；medical_or_nursing_rejected:8,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-13aed282b39703b1,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,75,招生计划明细页,page-075,bb97be1a58ad2774fc536fa6f453a3f8529b6ce57fc26e1e5127805c84da002a,075_page-075,622222270bc718bf1d4bf84ac696b677e579fe9da3f2588735cae5d8aa35d9db,368,0.7549,71,94,22,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,18,88,3,27,3,85,3,3,40,42,3,2,1,6,70,2,4,3,0,2,25,1,1,74,9,14,0,63,3,19,再选科目字段:74；调剂风险:37；结构异常:25；OCR置信度:20；偏好专业:14；家庭底线:9；费用底线:7；特殊限制:4,missing_subject_candidate:74；structure_anomaly:23；low_ocr_confidence:20；group_has_special_requirement_pending:16；preference_major_candidate:14；group_has_rejected_medical_or_nursing:13；high_fee_or_coop:8；family_machine_reject_fee:8,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-f3c3e0370e4a38ac,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,76,招生计划明细页,page-076,134e745932635745c67aded24721ce70e0e752ad127f85866590be629e7bd151,076_page-076,8cf9cdcfa1a7a8452a782488aa5584d17f85d070d23f49e57c47f96d008b9eb4,357,0.7378,56,115,17,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,14,89,2,15,1,84,5,12,50,22,5,1,18,11,53,1,0,5,0,1,15,6,0,77,11,11,0,0,2,12,再选科目字段:77；调剂风险:56；组内字段风险:19；结构异常:15；OCR置信度:13；偏好专业:11；特殊限制:11；家庭底线:11,missing_subject_candidate:77；group_has_rejected_medical_or_nursing:39；group_has_special_requirement_pending:23；group_has_plan_count_untrusted:19；structure_anomaly:14；low_ocr_confidence:13；preference_major_candidate:11；special_requirement_pending:11,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-716ab528f3f909ce,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,77,招生计划明细页,page-077,49cd1e906efd3485fe453008ac346074f03f518867a1ba773f374b1115ca226b,077_page-077,2082c9ba9a6cb9f584d04b8c27a1e557a5b3a0842ba6094ef6b363de432f5753,337,0.7493,72,88,26,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,10,81,2,8,3,81,0,16,27,38,0,3,0,15,62,0,1,0,0,3,7,2,1,78,16,9,0,0,3,11,再选科目字段:78；调剂风险:65；家庭底线:16；特殊限制:16；偏好专业:9；结构异常:7；OCR置信度:4；费用底线:3,missing_subject_candidate:78；group_has_special_requirement_pending:40；group_has_rejected_medical_or_nursing:22；special_requirement_pending:16；family_machine_pending_special:16；medical_or_nursing_rejected:14；family_machine_reject_medical:14；preference_major_candidate:9,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-aab08d53ccdea8e4,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,78,招生计划明细页,page-078,5e03a3236a2cb8e8355d8504e3a591b6ad7ad86b6c43b19adaf5e4ff958e566f,078_page-078,d621f973b28de123295d98eaa53ba827ff465b6f0a53f0a2ab4a3048cda842e2,351,0.7456,100,66,16,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,18,81,4,17,4,78,3,21,20,37,3,4,0,21,47,1,5,3,0,4,17,0,0,64,23,19,0,18,4,18,再选科目字段:64；调剂风险:44；家庭底线:23；偏好专业:19；结构异常:17；OCR置信度:11；特殊限制:10；费用底线:6,missing_subject_candidate:64；group_has_rejected_medical_or_nursing:21；preference_major_candidate:19；medical_or_nursing_rejected:18；family_machine_reject_medical:18；group_has_special_requirement_pending:18；structure_anomaly:13；low_ocr_confidence:11,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-72502835dee36634,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,79,招生计划明细页,page-079,cb970fa76d27a4cd162055f78c6629ff04d72509c3f36f99692d109c55b89b8e,079_page-079,aa832277db8da6485232e48e4283d79aed17048f422c57010a110730a0f7358c,360,0.7567,78,85,28,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,21,78,3,13,2,75,3,8,30,37,3,2,0,9,56,3,5,3,0,2,12,0,0,65,10,18,0,78,2,21,再选科目字段:65；调剂风险:37；偏好专业:18；特殊限制:16；结构异常:12；家庭底线:10；OCR置信度:9；费用底线:4,missing_subject_candidate:65；preference_major_candidate:18；group_has_special_requirement_pending:17；special_requirement_pending:16；group_has_rejected_medical_or_nursing:16；structure_anomaly:10；low_ocr_confidence:9；family_machine_pending_special:9,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-57988682033a9b3c,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,80,招生计划明细页,page-080,19aa99b47345c817b0477ca2ec84bbf4d25ea260340fd9d33b96c4132d579389,080_page-080,ec3dbfa287d7cf94e3a37cb7b5db46bcb277f080af827a7ef4e47499960798b1,332,0.7651,106,62,16,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,11,77,2,17,1,74,3,6,41,27,3,1,32,7,31,0,3,3,0,1,16,2,1,64,7,14,33,77,2,12,再选科目字段:64；调剂风险:39；组内字段风险:32；结构异常:16；偏好专业:14；OCR置信度:12；家庭底线:7；特殊限制:4,missing_subject_candidate:64；group_has_special_requirement_pending:32；group_has_plan_count_untrusted:32；structure_anomaly:15；preference_major_candidate:14；low_ocr_confidence:12；medical_or_nursing_rejected:5；family_machine_reject_medical:5,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-1a03012fa7bc26b0,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,81,招生计划明细页,page-081,88e8264c3f18f63a1343fd197fa808d7d42897f73b041c25b2729650a6ed4d8a,081_page-081,1e163ac65473bc0aa14b43a6192a4d93f1ab38bea4e694f1d4fb0b204d728302,301,0.7515,85,61,19,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,17,64,7,14,6,61,3,7,18,36,3,6,8,1,46,0,0,3,0,6,13,7,0,60,8,14,2,37,7,17,再选科目字段:60；调剂风险:42；偏好专业:14；结构异常:13；特殊限制:13；组内字段风险:10；家庭底线:8；计划数字段:7,missing_subject_candidate:60；group_has_special_requirement_pending:36；preference_major_candidate:14；special_requirement_pending:13；family_machine_pending_special:10；group_has_plan_count_untrusted:10；group_has_rejected_medical_or_nursing:7；missing_plan_count_candidate:7,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-b4fcf8ff6f0704e3,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,82,招生计划明细页,page-082,ea54fcf379dff67e02174997e5e4f027deefe30d7ad6495e4a3a736141e4a9f4,082_page-082,aadacf9c9ff82de142aa9b9e95b6c3c518a643ab0295915e35e0d925e98b65ff,358,0.6950,68,165,21,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,12,92,3,48,37,92,0,38,54,0,0,36,24,32,0,0,0,0,0,36,43,31,13,78,59,6,0,0,3,13,调剂风险:90；再选科目字段:78；费用底线:69；家庭底线:59；组内字段风险:49；结构异常:43；计划数字段:31；学费字段:13,group_has_high_fee_or_over_budget:90；missing_subject_candidate:78；tuition_over_15000_numeric:69；family_machine_reject_fee:55；group_has_plan_count_untrusted:49；group_has_rejected_medical_or_nursing:42；high_structure_anomaly:36；group_has_special_requirement_pending:33,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-0c7003e34f778160,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,83,招生计划明细页,page-083,e6145a20083c8ccff11442c1dfc61283ef2fe2c5bf7435d375ace46275585700,083_page-083,03218bd1e6882e93322eba3b738fcc9c1a5e662f136e4bce37213bb2bb7d8f2f,294,0.7180,84,118,14,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,5,60,2,17,12,60,0,12,48,0,0,12,24,24,0,0,0,0,0,12,14,3,12,56,48,5,0,0,3,6,调剂风险:60；再选科目字段:56；费用底线:55；家庭底线:48；组内字段风险:34；结构异常:14；学费字段:12；偏好专业:5,group_has_high_fee_or_over_budget:60；missing_subject_candidate:56；tuition_over_15000_numeric:55；family_machine_reject_fee:47；group_has_plan_count_untrusted:34；group_has_special_requirement_pending:17；high_structure_anomaly:12；tuition_not_verified_numeric:12,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-17d87c559a9887cf,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,84,招生计划明细页,page-084,1abf8658e5458dc97f6161b6991de6b795a1974e65fc0e1c49ee29299876b5c9,084_page-084,093d1bde2d1a7c3cf60cab18d58a57e7499b2b59f8783c83a68ba6e8126a64cc,315,0.6933,105,111,15,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,10,67,4,32,17,67,0,16,51,0,0,16,13,38,0,0,0,0,0,16,27,6,6,57,54,3,0,0,4,10,调剂风险:67；费用底线:60；再选科目字段:57；家庭底线:54；结构异常:27；组内字段风险:24；OCR置信度:13；计划数字段:6,group_has_high_fee_or_over_budget:67；tuition_over_15000_numeric:60；missing_subject_candidate:57；family_machine_reject_fee:54；group_has_plan_count_untrusted:24；high_structure_anomaly:16；low_ocr_confidence:13；structure_anomaly:11,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-eb7b941784c43b4b,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,85,招生计划明细页,page-085,e5e4d1c379cb5cc9d922028e9f16c0c62ca4a82581c7506c200bc3d26b0bdb8d,085_page-085,7a37683c93b8e4ed5b935ae8562df14671d58d9306988f3f01b311e6a6141029,289,0.7007,102,103,17,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,7,60,3,20,9,60,0,8,52,0,0,7,22,31,0,0,0,0,0,7,16,5,10,50,50,2,0,0,3,8,调剂风险:60；费用底线:53；再选科目字段:50；家庭底线:50；组内字段风险:27；结构异常:16；OCR置信度:11；学费字段:10,group_has_high_fee_or_over_budget:60；tuition_over_15000_numeric:53；missing_subject_candidate:50；family_machine_reject_fee:48；group_has_plan_count_untrusted:27；group_has_rejected_medical_or_nursing:14；low_ocr_confidence:11；tuition_not_verified_numeric:10,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-51749245676be504,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,86,招生计划明细页,page-086,4f2feddbc663c1cda10d9eb73d6dc557234f45c0363c34f256533d11d9dfb70c,086_page-086,abbaf50cdc8bea7af751775caff9fa536e942328e1c1ddd0799dc1e700a5f85c,351,0.6741,84,145,19,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,13,84,3,56,41,84,0,47,37,0,0,40,17,27,0,0,0,0,0,40,49,26,17,74,52,7,0,0,4,13,调剂风险:83；再选科目字段:74；费用底线:62；家庭底线:52；结构异常:49；组内字段风险:38；计划数字段:26；学费字段:17,group_has_high_fee_or_over_budget:76；missing_subject_candidate:74；tuition_over_15000_numeric:62；group_has_rejected_medical_or_nursing:61；high_structure_anomaly:40；group_has_plan_count_untrusted:38；family_machine_reject_fee:37；missing_plan_count_candidate:26,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-eb317353594ad654,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,87,招生计划明细页,page-087,b8e7004d8fb19a315c720ca0a283814d13388120231a6eda56c09df2aba18ed6,087_page-087,231ba98dceecd8eefbab92b2965bafff1e6032021ee39975e43c63a8275ff90b,363,0.7116,55,184,16,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,12,93,4,19,6,93,0,13,80,0,0,6,2,77,7,1,0,0,0,6,17,1,5,82,81,2,0,0,4,13,调剂风险:93；费用底线:83；再选科目字段:82；家庭底线:81；结构异常:17；OCR置信度:11；学费字段:5；特殊限制:5,group_has_high_fee_or_over_budget:93；tuition_over_15000_numeric:83；missing_subject_candidate:82；family_machine_reject_fee:73；group_has_rejected_medical_or_nursing:25；low_ocr_confidence:11；structure_anomaly:11；medical_or_nursing_rejected:8,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
PAGEFID-fc4024ff9e78e210,data/working/issue19-page-manifest.csv,data/working/issue19-foundation-page-audit.csv,data/working/issue19-full-major-field-fidelity-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_page_fidelity_review_queue,false,pending_page_fidelity_review,88,招生计划明细页,page-088,38b7762c0e3e00e2360239288f428d383ceab356ed1c94d8c6fb89291791eb4d,088_page-088,0abc6d406a0ea16ed175d6b878198f20cf83fa8f8af416df0da9e55ff00c8ae6,357,0.6787,94,136,20,P0-必须优先核页,F0-本页存在阻断级专业行,有结构化记录待核页,10,94,4,67,50,94,0,49,45,0,0,46,25,20,3,0,0,0,0,46,52,40,7,83,51,5,0,0,4,11,调剂风险:93；再选科目字段:83；组内字段风险:65；结构异常:52；家庭底线:51；费用底线:50；计划数字段:40；OCR置信度:14,group_has_high_fee_or_over_budget:92；missing_subject_candidate:83；group_has_plan_count_untrusted:65；group_has_rejected_medical_or_nursing:58；tuition_over_15000_numeric:50；high_structure_anomaly:46；family_machine_reject_fee:41；missing_plan_count_candidate:39,PDF原页；页内专业组边界；院校代码；专业组代码；专业代号；专业名称及备注；计划数；学费；再选科目；校区/特殊限制；湖北官方系统；高校官网/章程,false,false,按页回看第19期原PDF，对照全量逐专业保真总账逐行核专业组边界、专业字段、计划数、学费、选科和备注；再接湖北官方系统和高校官网/章程。
