专业代号顺序风险ID,来源专业行原页证据锚点表,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,机器能否自动修复,风险规则ID,风险类型,风险等级,专业行ID,相邻前一专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,专业组内专业序号,相邻前一专业序号,专业代号OCR,相邻前一专业代号OCR,专业代号解析值,相邻前一专业代号解析值,专业代号解析差,专业名称及备注短摘,专业起始行号,相邻前一专业起始行号,专业起始y,相邻前一专业起始y,证据摘要,不得进入原因,下一步
CODERISK-45e673cdd3cb64fe,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-3090757d32ca2831,,G-b47ec242932885ff,F869,江苏科技大学,F86904,131,right,2,,G,,,,,,151,,0.914228,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-c4c7c1a557b570bc,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-be5e5e3f618634dc,,G-fd5f1fe1d4190749,F877,盐城工学院,F87701,133,right,1,,G,,,,,,150,,0.912602,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-d3b340ff1bac4adf,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-7a1159c14014da1c,,G-77c53a43fc65d315,H012,台州学院,H01203,139,right,7,,K,,,,,,159,,0.912602,,专业代号 OCR = K,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-13640d7fa4a15806,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-e51caa0828d974e8,,G-3ef96b8e1b7f69ce,H022,浙江水利水电学院,H02201,141,left,6,,0G,,,,,,34,,0.459302,,专业代号 OCR = 0G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-66c999acb7aa63a0,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-c50ea7f2fdfa8caf,,G-95b37b0322d929ba,H315,景德镇陶瓷大学,H31502,155,right,3,,K,,,,,,132,,0.917073,,专业代号 OCR = K,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-ed0f3830ff8d5b52,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-f9df900c48435608,,G-c24e00d9e4e40037,H415,山东科技大学,H41502,163,left,5,,0G,,,,,,68,,0.113372,,专业代号 OCR = 0G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-64d49827d5fcaa1c,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-8c4cf31234b579cf,,G-94a2fc1a936145ee,H449,山东交通学院,H44903,169,right,11,,K,,,,,,144,,0.912602,,专业代号 OCR = K,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-aefeca387da6b217,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-8e7c118f7f6e5cf0,,G-01d808222840daf8,H673,湖南文理学院,H67305,182,left,1,,Z,,,,,,10,,0.921512,,专业代号 OCR = Z,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-af0192f0d5b9f032,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-7be284f0c664f3fc,,G-88c403508c090639,H767,汕头大学,H76707,186,left,3,,G,,,,,,2,,0.917143,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-e7a240f52f691866,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-432d5535ccf80a0a,,G-e52f7b2a7d28c1bd,K117,重庆对外经贸学院,K11702,207,right,3,,B,,,,,,119,,0.796341,,专业代号 OCR = B,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-7cfe3e3409dcda3d,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-5a15f78413d6ffbd,,G-a5ecc24f63421cfd,K153,成都信息工程大学,K15308,210,left,2,,G,,,,,,2,,0.920000,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-be832e8aad7ea830,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-0043824d2d980b01,,G-b3403defe46b3a9e,K211,电子科技大学成都学院,K21103,213,right,9,,G,,,,,,141,,0.912602,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-76e1fd83331be6f6,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-fa62f86fa52eb4c0,,G-41fca80c8029322f,K352,云南师范大学,K35206,220,left,4,,G,,,,,,2,,0.920000,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-61ef9fed31e8008e,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-9b04538f0b5e2257,,G-1c5981e631f8cff2,K466,西安科技大学,K46603,223,right,2,,0G,,,,,,187,,0.563821,,专业代号 OCR = 0G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-98d6b01ad74b66e9,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-047cd4b2ca90a8ed,,G-0dd7420e284509c2,K467,西安石油大学,K46705,224,left,5,,G,,,,,,3,,0.920000,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-3d5dc92e00d39f5a,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-8a11ab4ada49264f,,G-dfb0313fd05f09bd,K576,兰州城市学院,K57602,229,right,2,,0G,,,,,,155,,0.720472,,专业代号 OCR = 0G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-03b3c16481e0736e,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-76e7a36b809a93c9,,G-d465ae6e6a705340,K650,青海大学,K65007,231,right,10,,0K,,,,,,141,,0.915698,,专业代号 OCR = 0K,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-60be1c4e49d1a418,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-d7bad17c82051950,,G-98fa46f0f05ab76e,K753,喀什大学,K75309,235,right,1,,G,,,,,,135,,0.911337,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-927c1245fb3e649f,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C01_MAJOR_CODE_UNPARSEABLE,专业代号无法按保守规则解析,P1-专业代号先核,M-3953dea3a34959bc,,G-bc92d2c75481909e,M558,哈尔滨建筑科技职业大学,M55802,238,left,2,,G,,,,,,2,,0.917143,,专业代号 OCR = G,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-88b3a663f777ea5e,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C02_MAJOR_CODE_NOT_INCREASING,同组相邻专业代号解析值不递增,P1-专业代号先核,M-9a79733e507509c1,M-9c083efbbcb088e2,G-40b6e780f7219833,A007,北京理工大学,A00704,12,right,7,6,1,10,1,10,-9,,164,158,0.505714,0.569767,相邻专业代号解析差 -9 <= 0,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-71c98bb8187f309c,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C03_MAJOR_CODE_JUMP_GT_5,同组相邻专业代号解析值跳变过大,P2-专业代号序列复核,M-abb50a07b7f76b22,M-9a79733e507509c1,G-40b6e780f7219833,A007,北京理工大学,A00704,12,right,8,7,12,1,12,1,11,,169,164,0.441860,0.505714,相邻专业代号解析差 11 > 5,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-add6cf00588916d0,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C03_MAJOR_CODE_JUMP_GT_5,同组相邻专业代号解析值跳变过大,P2-专业代号序列复核,M-759a7c6353c91d1c,M-e51470a99b5ede48,G-d27899118686794e,A008,北京科技大学,A00805,13,left,2,1,08,01,8,1,7,,55,52,0.388081,0.422764,相邻专业代号解析差 7 > 5,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-670543436d3996cd,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C03_MAJOR_CODE_JUMP_GT_5,同组相邻专业代号解析值跳变过大,P2-专业代号序列复核,M-9cfdf921dd1a936f,M-60e111bde8441f08,G-bfe8e6c311be4fbb,A008,北京科技大学,A00808,13,right,6,5,A0,15,100,15,85,,126,86,0.914228,0.095930,相邻专业代号解析差 85 > 5,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-604adebb5a16651f,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C02_MAJOR_CODE_NOT_INCREASING,同组相邻专业代号解析值不递增,P1-专业代号先核,M-d73e37110a895bbc,M-9cfdf921dd1a936f,G-bfe8e6c311be4fbb,A008,北京科技大学,A00808,13,right,7,6,16,A0,16,100,-84,,137,126,0.818293,0.914228,相邻专业代号解析差 -84 <= 0,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-d4c447d30a42082e,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C02_MAJOR_CODE_NOT_INCREASING,同组相邻专业代号解析值不递增,P1-专业代号先核,M-c18b584a31d35e7b,M-0e3eab5eafd98476,G-3a0c940c9affcb18,A010,北京化工大学,A01009,14,right,2,1,05,31,5,31,-26,,139,85,0.808140,0.103198,相邻专业代号解析差 -26 <= 0,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
CODERISK-10f6a4efb7134f35,data/working/issue19-major-line-pdf-evidence-anchors.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_major_code_order_risk_ledger,逐专业招生明细×专业代号顺序风险事件,false,false,false,C03_MAJOR_CODE_JUMP_GT_5,同组相邻专业代号解析值跳变过大,P2-专业代号序列复核,M-f57dc2be18d54ef9,M-435740bf491d8407,G-3a0c940c9affcb18,A010,北京化工大学,A01009,14,right,4,3,Z0,06,350,6,344,,150,144,0.700408,0.754286,相邻专业代号解析差 344 > 5,专业代号顺序风险未人工核验前，不得把该专业行作为最终事实或志愿排序依据。,回看PDF原页同组专业代号序列，并用湖北官方系统或省招办计划逐行确认专业代号。
