官方不可得抽样门禁ID,来源类型,来源账本ID,来源逐专业证据路由ID,来源高校侧辅证刷新账本,来源湖北官方活体复查,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,是否允许作为志愿推荐依据,是否允许生成学校专业建议,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许写回字段事实,院校代码,院校名称OCR,专业行ID,专业组出现ID,院校专业组代码OCR规范化,页码版面键,来源文件类型集合,官网辅证自动动作,风险等级,抽样分层,抽样策略,是否纳入抽样或100%核验,样本选择原因,样本最低明细数,涉及招生明细数,必核字段,字段差异标记,升级触发器,升级范围,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方一致性状态,字段事实写回状态,当前用途边界,下一步
SAMPLINGGATE-cedea416345d323d,高校侧辅证刷新任务,SCHOOLREFRESH-a153e5d6faa68f4e,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,H450,山东工商学院,,,,,结构化CSV,C1-官网补缺候选但禁止自动写回,R3-high,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,10,10,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SAMPLINGGATE-d6b84683d68f8893,高校侧辅证刷新任务,SCHOOLREFRESH-63250545b0d32b54,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,K153,成都信息工程大学,,,,,HTML,C1-官网补缺候选但禁止自动写回,R3-high,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,4,4,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SAMPLINGGATE-805ffcb0ff0aa222,高校侧辅证刷新任务,SCHOOLREFRESH-5879cbfa20e60c30,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,K486,西安邮电大学,,,,,API/JSON,C1-官网补缺候选但禁止自动写回,R3-high,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,19,19,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SAMPLINGGATE-7f3e7362c0f9454b,高校侧辅证刷新任务,SCHOOLREFRESH-ae0991ae2662b9eb,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,K488,西安医学院,,,,,API/JSON,C1-官网补缺候选但禁止自动写回,R3-high,S0-PDF原页与湖北官方优先闭环,100%人工核验,true,OCR字段缺口但高校官网有补缺线索，必须回原页和湖北官方侧。,2,2,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SAMPLINGGATE-0109c312812002cf,高校侧辅证刷新任务,SCHOOLREFRESH-e099a484ca5810ee,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,A135,山东大学,,,,,未留存来源文件,C7-官网源未匹配专业需人工确认专业名,R3-high,S1-专业名匹配人工确认,100%人工核验,true,官网未匹配专业名或限定词，必须确认专业归属和组内边界。,3,3,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,官网专业未匹配,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SAMPLINGGATE-ffeca2291447539c,高校侧辅证刷新任务,SCHOOLREFRESH-16eca37c2d138b08,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,A195,兰州大学,,,,,未留存来源文件,C7-官网源未匹配专业需人工确认专业名,R3-high,S1-专业名匹配人工确认,100%人工核验,true,官网未匹配专业名或限定词，必须确认专业归属和组内边界。,1,1,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,官网专业未匹配,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SAMPLINGGATE-2443cc6b3d7dd539,高校侧辅证刷新任务,SCHOOLREFRESH-4cab42f44ea28b36,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,A197,西北民族大学,,,,,未留存来源文件,C7-官网源未匹配专业需人工确认专业名,R3-high,S1-专业名匹配人工确认,100%人工核验,true,官网未匹配专业名或限定词，必须确认专业归属和组内边界。,1,1,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,官网专业未匹配,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SAMPLINGGATE-fa91005385a44103,高校侧辅证刷新任务,SCHOOLREFRESH-6a8b2dd80efd2d64,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,C108,江汉大学,,,,,部分来源待结构化,C7-官网源未匹配专业需人工确认专业名,R3-high,S1-专业名匹配人工确认,100%人工核验,true,官网未匹配专业名或限定词，必须确认专业归属和组内边界。,12,12,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,官网专业未匹配；官网计划源待补强,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SAMPLINGGATE-9dac66e7d78e6b8e,高校侧辅证刷新任务,SCHOOLREFRESH-effd332bcddcc283,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,C150,武汉商学院,,,,,未留存来源文件,C7-官网源未匹配专业需人工确认专业名,R3-high,S1-专业名匹配人工确认,100%人工核验,true,官网未匹配专业名或限定词，必须确认专业归属和组内边界。,2,2,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
SAMPLINGGATE-8784ad9c7862af0d,高校侧辅证刷新任务,SCHOOLREFRESH-fa6e44112263e1df,,data/working/issue19-stable-foundation-school-source-refresh-public-ledger.csv,data/working/issue19-official-public-entry-live-recheck.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_official_unavailable_sampling_gates,高校侧任务或低风险抽检专业明细,高校×动作 或 逐专业抽检样本,false,false,false,false,false,false,false,F099,天津外国语大学,,,,,未留存来源文件,C7-官网源未匹配专业需人工确认专业名,R3-high,S1-专业名匹配人工确认,100%人工核验,true,官网未匹配专业名或限定词，必须确认专业归属和组内边界。,1,1,专业名；专业计划数；学费；再选科目；校区/学制/备注；特殊限制,官网专业未匹配,计划数冲突；关键限定词缺失；物理/历史未拆；非2026湖北物理普通本科来源；同组家庭不可接受专业；抽检失败,同页列100%；同一学校出现2个失败则同校100%；同一专业组失败则整组100%,pending_manual_pdf_review,pending_hubei_official_review,pending_school_evidence_refresh_or_review,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,只用于官方不可得时的double-check、抽样和升级派单；不能作为最终志愿依据。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。
