稳定基座自动交叉核验任务ID,来源稳定基座逐专业筛选视图,来源逐专业证据路由表,来源B0B1高校官网证据旁挂表,来源B0B1公开官网差异账,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,专业组内专业序号,专业代号OCR,专业名称及备注短摘,OCR专业计划数候选,OCR学费候选,OCR再选科目候选,稳定筛选机器线索等级,稳定筛选下一步,人工核验优先级,人工核验强度,自动官网核验可执行性,官网证据强度,官网证据说明,官网来源状态,官网证据匹配状态,计划数核验状态,差异字段集合,疑似OCR把学费读入计划数,最佳官网来源文件,最佳官网专业名称,最佳官网专业代号,最佳官网计划数,最佳官网学费,最佳官网选科,专业名称匹配方式,专业名称匹配分,官网辅证自动动作,闭环优先级,人工升级原因,PDF原页核页状态,湖北官方系统核验状态,官网辅证状态,字段写回状态,公开安全策略,下一步
STABLEAUTO-f83c37cdd38a660c,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-7fbf4b0f615e4a72,G-d202caf3a5b24060,H001,杭州电子科技大学,H00104,137,left,9,21,入工智能（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,2,6000,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,人工智能,,2,,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-4f7a64762e3c7395,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-a47ed17f150aaed0,G-d202caf3a5b24060,H001,杭州电子科技大学,H00104,137,left,10,22,计算机科学与技术（办学地点：下沙校,4,6900,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,计算机科学与技术,,4,,"物理,化学(2门科目考生均须选考方可报考)",contains_after_normalization,85,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-f2c3b72227248cd7,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-b68a6418a68cfb85,G-d202caf3a5b24060,H001,杭州电子科技大学,H00104,137,left,2,14,数字媒体技术（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,2,6000,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,数字媒体技术,,2,,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-d486651153dc4107,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-bee7f31a873d58fe,G-d202caf3a5b24060,H001,杭州电子科技大学,H00104,137,left,8,20,统计学（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,4,5300,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,统计学,,4,,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-37afd29a86a416ea,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-cc48b3c608e0c178,G-d202caf3a5b24060,H001,杭州电子科技大学,H00104,137,left,1,13,电子信息类（电子信息学院：电子信息工程、电子科学与技术；办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,2,6000,化学,M3-常规留存但不可定案,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,电子信息类,,2,,"物理,化学(2门科目考生均须选考方可报考)",contains_after_normalization,85,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-8cf64beb2466413b,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-f29a255bb6281c25,G-d202caf3a5b24060,H001,杭州电子科技大学,H00104,137,left,4,16,机械设计制造及其自动化（办学地点：第一学年在绍兴校区，第二学年起在下沙校区）,2,6900,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/hdu-2026-hubei-plan.xlsx,机械设计制造及其自动化,,2,,"物理,化学(2门科目考生均须选考方可报考)",exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-66fe320f7bb7ea62,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-07b8c003bf21d8a2,G-995f78a388a7f2b5,H002,浙江工业大学,H00204,137,right,3,07,物理学类（物理与光电信息类；应用物理学、光电信息科学与工程；办学地点：朝晖校区）,3,5300,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/zjut-2026-hubei-physics-plan-extracted.csv,物理学类（物理与光电信息类）,,3,,,contains_after_normalization,85,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-99fbfe451425a03d,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-07c0ae0606282bd6,G-995f78a388a7f2b5,H002,浙江工业大学,H00204,137,right,4,08,机械类（机械工程、过程装备与控制工程、车辆工程、工业工程、物流工程；办学地点：朝晖校区）,4,6000,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/zjut-2026-hubei-physics-plan-extracted.csv,机械类,,4,,,contains_after_normalization,85,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-020f9f8276467ff7,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-198b77287fc7a7ac,G-995f78a388a7f2b5,H002,浙江工业大学,H00204,137,right,2,06,智能建造（办学地点：朝晖校区）,3,6900,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/zjut-2026-hubei-physics-plan-extracted.csv,智能建造,,3,,,exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-bec2f9a28afa4068,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-413ddf9391dfce49,G-995f78a388a7f2b5,H002,浙江工业大学,H00204,137,right,5,09,机器人工程（办学地点：朝晖校区）,2,6000,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/zjut-2026-hubei-physics-plan-extracted.csv,机器人工程,,2,,,exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-6e14f69ba977d7ee,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-9e26fdb0260351e2,G-995f78a388a7f2b5,H002,浙江工业大学,H00204,137,right,6,10,计算机类（计算机科学与技术、软件工程、网络工程、数字媒体技术：办学地点：朝晖校区）,5,6000,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/zjut-2026-hubei-physics-plan-extracted.csv,计算机类,,5,,,contains_after_normalization,85,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-336735c1246a0f00,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-7fc32d85e35b149c,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,6,44,电气工程及其自动化,2,5500,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,电气工程及其自动化,,2,,,exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-cf8cde072cc20275,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-8007c889cbd9a1ae,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,4,42,应用统计学,3,6600,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,应用统计学,,3,,,exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-f89e5847c408f0dc,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-86ef54f0445df8fe,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,5,43,自动化,3,6325,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,自动化,,3,,,exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
STABLEAUTO-437d9da8dff70c86,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-major-evidence-level-routing.csv,data/working/issue19-b0-b1-official-evidence-by-major-line.csv,data/working/issue19-b0-b1-public-official-diff-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_auto_official_crosscheck_workbench,逐专业招生明细×高校官网辅证,false,false,false,false,false,false,false,M-c8e830f39a1d46bb,G-69a8112ee16cf2ba,H450,山东工商学院,H45004,169,right,7,45,电子信息工程,2,6600,,M4-字段缺口先补,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,A1-已有高校官网结构化源可自动复跑比对,strong_support,官网专业名和计划数匹配，可作为强辅证；仍需 PDF 原页和湖北官方系统复核。,has_reusable_2026_hubei_plan_source,matched,match,,false,data/external/issue19-b0-b1-official-sources/sdtbu-2026-hubei-physics-plan-extracted.csv,电子信息工程,,2,,,exact_after_normalization,100,C2-强辅证抽检并等待湖北官方闭环,03-P1强辅证抽检,高校官网只作辅证仍需PDF原页和湖北官方闭环,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,blocked_until_pdf_hubei_official_review,公开表只保存OCR候选、官网辅证、状态和来源文件相对路径；不保存私有OCR原文、截图路径、登录态或人工确认值。,C2-强辅证抽检并等待湖北官方闭环；必须回到PDF原页和湖北官方系统/省招办计划核验，高校官网不得替代湖北官方计划。
