事实证据通道工作台ID,来源事实准出门禁账本,来源准出执行叠加表,来源第一闭环核验结果看板,来源第一闭环字段级公开状态,来源高校官网辅证进度看板,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,事实工作台序号,来源准出序号,来源执行顺序,页码版面键,来源页码,版面列,准出闭环波次,执行泳道,核验动作层级,第一闭环页列优先级,事实核验动作组,事实通道优先级,事实准出门禁ID,第一闭环事实范围缺口公开账本ID,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,第一闭环核验结果ID,第一闭环字段核验状态ID,专业行ID,专业组出现ID,院校代码,事实域,事实类型,事实粒度,字段类别,字段事实状态,字段核验优先级,字段事实闭环等级,字段事实阻断等级,PDF原页通道状态,OCR提示通道状态,机器坐标通道状态,高校官网辅证通道状态,湖北官方侧通道状态,冲突处理通道状态,双人复核通道状态,三方闭环通道状态,字段写回评审状态,专业名归属通道状态,专业组边界通道状态,同校高校源进度任务数,同校高校源最高证据层级分布,同校高校源下一批优先级分布,同校高校源留存状态分布,同校高校源候选diff数,同校高校源冲突候选数,同校高校源补缺候选数,是否仍需PDF原页,是否仍需湖北官方侧,是否仍需高校辅证,是否仍需冲突处理,是否仍需双人复核,是否仍需三方闭环,是否仍需专业名归属,是否仍需专业组边界,是否可进入私有写回评审,完成证据要求,当前阻断原因,下一步最小核验动作,公开安全策略
FCFACTCHANNEL-13ca3a2a6e37b410,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,49,46,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-046,FCFACTRESGATE-13ca3a2a6e37b410,FIRSTSCOPE-741c9cb1e4b728e8,FIRSTDETAIL-91f329b50cb442b2,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-4df90b026fe2c213,FIRSTFIELDSTATUS-1fef9b951477f9cd,M-eb78e1c31fae9e22,G-e377a7e078e92213,K153,字段事实,字段事实-再选科目,第一闭环任务×字段,再选科目,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,true,true,false,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-37fcea9a875c1ee2,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,50,47,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N4-PDFOCR候选人工确认,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-047,FCFACTRESGATE-37fcea9a875c1ee2,FIRSTSCOPE-91eb938752122403,FIRSTDETAIL-b23680d0e33b54fd,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-b82415eef5b026f8,FIRSTFIELDSTATUS-8a1cfdd79b6657d2,M-026664ca0517a54d,G-e377a7e078e92213,K153,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,false,true,false,true,false,false,false,PDF原页；湖北官方侧；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-811757d4e677a7e5,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,51,48,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-048,FCFACTRESGATE-811757d4e677a7e5,FIRSTSCOPE-505ab4aea41f548a,FIRSTDETAIL-db3c8109cbb01ac9,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-6005908fd3b0e0b9,FIRSTFIELDSTATUS-06699759c7186f56,M-8281eec06d651680,G-e377a7e078e92213,K153,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,true,true,false,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-76f64320e46fd1f7,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,52,49,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-049,FCFACTRESGATE-76f64320e46fd1f7,FIRSTSCOPE-967942f9d0268114,FIRSTDETAIL-db3c8109cbb01ac9,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-6005908fd3b0e0b9,FIRSTFIELDSTATUS-26c061b6c92aafdb,M-8281eec06d651680,G-e377a7e078e92213,K153,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,true,true,false,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-76287cb2ee84fd11,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,53,50,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-050,FCFACTRESGATE-76287cb2ee84fd11,FIRSTSCOPE-b9ec12c66ec7899d,FIRSTDETAIL-db3c8109cbb01ac9,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-6005908fd3b0e0b9,FIRSTFIELDSTATUS-1b20136f5e99f3f3,M-8281eec06d651680,G-e377a7e078e92213,K153,字段事实,字段事实-再选科目,第一闭环任务×字段,再选科目,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,true,true,false,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-5c2a4785665b9f97,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,54,51,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-051,FCFACTRESGATE-5c2a4785665b9f97,FIRSTSCOPE-4c34fabf8a56183c,FIRSTDETAIL-efa0717525e49d43,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-c5116b7cd61e7d5f,FIRSTFIELDSTATUS-5658fb773b23c053,M-4d07d36dc438349c,G-e377a7e078e92213,K153,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,true,true,false,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-9e3abc0d8dbbc4a9,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,55,52,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-052,FCFACTRESGATE-9e3abc0d8dbbc4a9,FIRSTSCOPE-49dbdb18f77aa6f1,FIRSTDETAIL-efa0717525e49d43,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-c5116b7cd61e7d5f,FIRSTFIELDSTATUS-2ace3def9dbe5c84,M-4d07d36dc438349c,G-e377a7e078e92213,K153,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,true,true,false,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-34d2fcae3ab16efc,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,56,53,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N5-多源一致仍待湖北官方侧,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-053,FCFACTRESGATE-34d2fcae3ab16efc,FIRSTSCOPE-d229f0dff335d746,FIRSTDETAIL-efa0717525e49d43,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-c5116b7cd61e7d5f,FIRSTFIELDSTATUS-49c293628fea00d1,M-4d07d36dc438349c,G-e377a7e078e92213,K153,字段事实,字段事实-再选科目,第一闭环任务×字段,再选科目,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O1-PDFOCR与高校辅证有一致字段但仍待官方闭环,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C2-多源有一致线索，仍待湖北官方侧闭环,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,true,true,false,true,false,false,false,PDF原页；湖北官方侧；高校官网辅证；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-4c6f7d941db152f8,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,57,54,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N4-PDFOCR候选人工确认,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-054,FCFACTRESGATE-4c6f7d941db152f8,FIRSTSCOPE-47f30be6d6133c3e,FIRSTDETAIL-ff3b9d7ceecbddf8,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-445a91b44e15abad,FIRSTFIELDSTATUS-5666d6d4c3937bcb,M-946c01fc445f6eb2,G-e377a7e078e92213,K153,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L2-单字段缺口有候选待核,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,false,true,false,true,false,false,false,PDF原页；湖北官方侧；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-9e8d721dfbe3b9ce,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,58,55,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N4-PDFOCR候选人工确认,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-055,FCFACTRESGATE-9e8d721dfbe3b9ce,FIRSTSCOPE-604d0303c84d9875,FIRSTDETAIL-ff3b9d7ceecbddf8,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-445a91b44e15abad,FIRSTFIELDSTATUS-b0ce5968ce332ee3,M-946c01fc445f6eb2,G-e377a7e078e92213,K153,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L2-单字段缺口有候选待核,Q1-字段缺口有候选待人工核验,P2-有PDFOCR提示，仍待PDF原页人工确认,O3-仅PDFOCR候选待人工核页,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C3-仅PDFOCR候选，需人工核页,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,false,true,false,true,false,false,false,PDF原页；湖北官方侧；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
FCFACTCHANNEL-168fa2ce9853dc96,data/working/issue19-first-closure-fact-resolution-gate-v1-public-ledger.csv,data/working/issue19-first-closure-resolution-execution-overlay-v1.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_fact_evidence_channel_workbench_v1,第一闭环事实范围×证据通道工作台,事实范围×PDF/OCR/机器坐标/高校官网/湖北官方/冲突/复核通道,false,false,false,false,false,false,false,false,false,59,56,3,209-right,209,right,R0-W0B0冲突事实先闭环,E0-冲突异常双人优先核验,N3-无稳定候选人工看图,Q0-冲突页列第一批先核,A0-W0B0冲突事实先核,00-003-056,FCFACTRESGATE-168fa2ce9853dc96,FIRSTSCOPE-06b02ac416684157,FIRSTDETAIL-80f6e32678d47edc,FIRSTPAGE-e942d34407576c0d,FIRSTRESULT-05a49368b4b3cace,FIRSTFIELDSTATUS-2eecd7734885e282,M-8281eec06d651680,G-e377a7e078e92213,K153,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,L1-两字段缺口优先补证,Q1-字段缺口有候选待人工核验,P3-无稳定OCR提示，需人工看PDF原页,O5-无公开OCR候选提示,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C4-无可比候选，需人工看图或随页列闭环,not_required_or_task_level_pending,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,not_applicable,not_applicable,5,L3-已有湖北物理结构化或候选diff线索×5,P0-冲突优先回PDF原页和湖北官方侧×1；P1-官网补缺线索回页×4,R0-已有公开来源文件或URL留存×5,30,2,24,true,true,false,true,false,true,false,false,false,PDF原页；湖北官方侧；冲突处理；三方闭环,B0同页伴生事实仍缺冲突处理、PDF原页与湖北官方侧闭环,回PDF原页和湖北官方侧核同一事实；有高校官网辅证时只作double check，冲突事实完成双人复核后再评估写回。,not_final；fact_channel_workbench_only；no_field_values；no_school_names；no_major_names；no_private_paths；no_ocr_text；no_recommendation
